🔴 Kij bez kierunku nie będzie drogowskazem | LIVE #27
🔗 https://www.youtube.com/watch?v=N8q4yU142oY

81:  Dzięki za uwagę!
141:  Muzyka
225:  Moi drodzy, ja mam jedno usprawiedliwienie.
228:  Jedno.
229:  Jedno usprawiedliwienie.
231:  Mianowicie dzisiaj Krzysztof, i o tym był ten wstęp, którego nie usłyszeliście, wstało godzinie 6.40.
241:  Wstawszy o godzinie 6.40 poszedł na szkolenie tutoringowe z zakresu certyfikowanego, akredytowanego tutoringu akademickiego, który trwał do godziny 16.00 i wczoraj było tak samo.
254:  Więc jeżeli to mnie nie usprawiedliwia, to nic mnie nie usprawiedliwia, ale mogę powiedzieć tylko, że no cóż, zasmakowałem tego, co większość z was albo ma wciąż, albo miała całkiem niedawno, czy to w szkole, czy na uczelni, gdzie do tego rodzaju godzin zmusza się nas wszystkich.
271:  Natomiast równocześnie muszę zaznaczyć, że pewnych aspektów nie zaznałem ordynku edukacyjnego i normalnych procedur edukacyjnych, mianowicie
281:  co dziwne, umożliwiono nam oddanie moczu, oddanie kału i przyswajanie pożywienia i picia.
290:  Ale w zamian mieliśmy, moi drodzy, do czynienia z różnymi niepokojącymi, myślę, technikami, które wielu youtuberów mających z edukacją tyle wspólnego, że ją kiedyś mieli, nazwałoby utopijnymi, zmyślonymi, bezsensownymi, niesprawdzonymi.
308:  Oczywiście dlatego, że jeżeli chcecie zająć się edukacją, to jest parę oczywiście takich warunków wstępnych, które trzeba spełnić, żeby, wiecie, być wiarygodnym w polskiej sieci, mianowicie przede wszystkim trzeba nie uczyć.
320:  Po drugie, najlepiej, żebyście nie mieli żadnego doświadczenia praktycznego.
324:  Dobrze, żebyście też nie znali teorii, ale co najważniejsze, musicie mieć taką w sobie moc, taką wolę mocy, żeby wypowiadać się na ten temat wtedy, kiedy temat zatrenduje.
336:  wtedy możecie się na to wypowiadać.
338:  Natomiast jeżeli jesteście praktykami, nie powinniście robić szkoleń, ponieważ na takich szkoleniach możecie głosić tak obrzydliwe tezy, jak chociażby prymat pytań otwartych nad pytaniami zamkniętymi, konieczność formułowania opisowej informacji zwrotnej, potrzebę nie zamykania się na podręczniki,
365:  I podstawy?
367:  Ale co najgorsze, indywidualne podejście do ucznia lub studenta.
379:  Więc jak widzicie, szkolenie było bardzo owocne, strasznie się cieszę, poznałem tam kupę różnych narzędzi, więc musiałem od tego, moi drodzy, zacząć tę naszą narrację, zanim przejdziemy do pytań i moich na nie odpowiedzi.
391:  A jeżeli jeszcze dobrze pójdzie, to pokażę Wam jedną z takich technik tutorskich, która się może, myślę, Wam wszystkim przydać, zwłaszcza Wam wszystkim, którzy są w jakikolwiek sposób nieprzygotowani
402:  do podejmowania decyzji dotyczących naszego życia.
405:  Nie oszukujmy się, większość z nas jest nieprzygotowana, ponieważ nie istnieje coś takiego jak doradztwo zawodowe, czy właśnie tego rodzaju indywidualne podejście.
412:  Mega polecam i shoutout, moi drodzy, już na poważnie mówiąc, dla Collegium Vratis La Vienze, bo to ci dobrzy ludzie robią tego rodzaju szkolenia i cieszę się strasznie, że mogę w nich uczestniczyć, więc przy okazji, to są ci ludzie,
427:  Więc mega polecam.
428:  Jak widzicie, szkolenia prowadzą i dla edukacji i nauki, i dla biznesu, więc jeżeli słuchają nas jacyś przedstawiciele biznesu, którzy na przykład zastanawiają się, jak to się dzieje, że zwalnianie pracowników nie doprowadza do tego, że zwiększają obroty, albo którzy zastanawiają się nad tym, co zrobić, żeby pracownicy
