🔴 Kto nabiera wody w usta, niech przynajmniej nią nie opluwa | LIVE #17
🔗 https://www.youtube.com/watch?v=YAgzlmh_A4g

8:  KONIEC!
162:  wszystkich przy naszym comiesięcznym już, moi drodzy, Q&A-u.
167:  Witam najserdeczniej wszystkich widzów, wszystkich wspierających.
172:  Przepraszam za chwileczkę opóźnienia.
175:  A wizard is never late, wiem.
177:  Dzisiaj byłem jak Amazon Prime, który nie umie zekranizować Władcy Pierścieni.
183:  I chociaż wiemy wszyscy, że A Wizard Is Never Late, to zacytowałem dzisiaj niedokładnie.
188:  Niedokładnie.
188:  To dlatego, moi drodzy.
190:  Ambient zbyt głośny.
192:  Ambient już zostanie przyciszony, moi drodzy.
195:  Bardzo proszę, monitorujcie mnie, jeżeli chodzi o poziomy dźwięku, ponieważ nie chcę mieć odsłuchu na bieżąco.
201:  A jest nowy mikrofon, nowy GoXLR mixer, przedwzmacniacz dzięki trybutariuszom zakupiony w związku z powyższym jeszcze wciąż się oswajam ze sprzętem.
211:  Dziękuję na początek Kozjemu za wsparcie 14 miesięcy i dziękuję za pierwszy trybut od Jacka79100 moi drodzy.
218:  Ile będziemy mieli dzisiaj rzeczy przed nami?
222:  Trochę cicho słychać to chyba dotyczyło właśnie ambientu zbyt głośnego.
227:  Krzysztof za cicho, muzyka dalej trochę głośno.
230:  Dobrze.
230:  Muzyka będzie systematycznie ściszona, moi drodzy.
234:  Jak teraz zamilknę, to widzę poziom muzyki.
236:  Dobrze, moi drodzy.
237:  Cieszę się, że się podałem mikrofon.
239:  Moi drodzy, skończyłem tam, gdzie wszyscy, z pokorą.
242:  Większość striberów, youtuberów, podcasterów ma mikrofon SM7B.
246:  Ja wcześniej.
249:  Ja wcześniej.
251:  Miałem ten, to jest MV7, on wygląda dokładnie tak samo, ale zabawna rzecz z tym mikrofonem polega na tym, że ma mniejszą czaszę, w związku z powyższym łatwiej łapie różnego rodzaju sprzężenia, czasem łapał też tak zwane spółgłoski frykatywne, czyli szeleszczące za bardzo.
267:  Z kolei ten mikrofon za bardzo łapie zwartowybuchowe, czyli PBI podobne, tak zwane plosives, więc nie ma dobrego rozwiązania, nigdy nie ma dobrego rozwiązania.
276:  Przepraszam, jest dobre rozwiązanie, to znaczy można taką czaszę zamieścić na tym mikrofonie, ale przepraszam bardzo, ona jest takiej wielkości jak moja głowa, więc tego nie zrobię.
284:  Będę mieć wtedy syndrom pigmeja.
288:  Jak wiecie, może pigmeje mieli taki przykry zwyczaj zmniejszania czaszek ludzi, którzy do nich przybywali.
293:  Witamy Arcekapłana Dzikich Bobrów, także dziękuję za wsparcie od 6 miesięcy.
297:  Arcekapłan Dzikich Bobrów przekazuje pozdrowienie od Wielkiej Tamy, moi drodzy.
302:  I tak źle i tak niedobrze, zawsze tak jest z mikrofonami, zawsze tak jest.
306:  Marcin Turszmit prosi o jamniki wsparcia, ma chemię i umiera, rozumiem, że jesteśmy już w tym gorącym okresie przed sesyjnym, egzaminy dla biednych studentów, niestety kolokwia zaliczeniowa i podobne paskudne rzeczy się zbliżają, więc wiecie, tak to się dzieje potem.
323:  Live, jak zawsze, będzie zapisany.
325:  Dzisiaj mamy, moi drodzy, plany, jak zawsze, plany w planach.
328:  Wprawdzie nie wpadłem jeszcze na to, co będziemy czytać i to jest ta jedna, jedyna rzecz, której nie zrobiłem przed live'em, ale za to mam dla was coś specjalnego.
337:  Fani gier FromSoftów już wiedzą, co to jest zapewne.
342:  Ale tak, będziemy dzisiaj oglądać album, moi drodzy.
344:  Na razie nie mówię o co chodzi, ale dowiecie się wszystkiego w drugiej części live'a, więc będzie radośnie.
349:  A na początku oczywiście będziemy sobie odpowiadać na pytania wasze, a ja jeszcze mam w planach pokazanie wam kursu, który wyszedł, bo tak, mogę jeszcze raz zapowiedzieć wszystkim tym, którzy nie widzieli shorta, że zrobiłem kurs darmowy, bezpłatny dla wszystkich, światotwórstwa, który starałem się zrobić wedle mojej filozofii, która podobno prowadzi do tego, że nie wiem czy wiecie, ale tak się nie da nauczać.
372:  Więc sprawdzimy sobie, czy faktycznie tak się nie da nauczać i będzie zabawnie.
378:  To znaczy, krótko mówiąc, z tego kursu się niczego nie nauczycie.
380:  Tak jest założenie.
382:  Przygotowania psychiczne przed Hogwarts Legacy.
384:  Zrobiłem już test w Pottermore, znaczy on jest dawno zrobiony, ale połączyłem konto Pottermore z kontem w Hogwarts Legacy, dzięki czemu podobno ma dojść do migracji mojej szkoły, która oczywiście jest Slytherin, naturalna sprawa, oraz nawet mojej różdżki.
399:  Niestety patronus nie przenosi się.
401:  Smutna sprawa.
404:  Jeżeli chodzi o chat GPT, mam dla was bardzo specjalną rzecz, którą szykuję w najbliższym odcinku.
410:  To będzie najzłośliwsza rzecz jaką zobaczyliście, dla każdego coś przykrego od momentu rozpoczęcia tego cyklu.
417:  I tak będzie to poniekąd wstęp do odcinka o ściąganiu, który zapowiadam w nieskończoność, ale temat się zrobił tak rozległy, że będą z tego dwa odcinki.
427:  Kiedy pierwszy termin z tego Warsztatu Światotwórstwa?
429:  Czy jest zerówka?
430:  U mnie nie... Warsztat ten tudzież kurs polega na tym, że nie ma tam, moi drodzy, żadnego zaliczenia.
436:  Nie ma żadnej oceny.
437:  Ba, nawet nie można, nie można, moi drodzy, wysłać mi do sprawdzenia pracy.
446:  Można liczyć tylko na siebie.
448:  Oj, najgorzej, z pewnością tak się nie da uczyć.
451:  Niektórzy już są po kursie, no proszę.
463:  Kurs będzie dostępny absolutnie cały czas, Barczyński wiekuiście odbędzie na platformie.
467:  Dobrze, jak już mówimy o tym kursie, moi drodzy, to mówmy o kursie, a potem przejdziemy do pytań.
471:  Mianowicie, tylko żebym teraz dobrze wam wszystko odpalił, to jest rzeczony kurs, światotwórstwo w grach komputerowych.
478:  Na wszelki wypadek, moi drodzy, jeszcze zrobię jedną rzecz, to znaczy chytrze i sprytnie, przekleję wam tutaj link do tego, tylko muszę to zrobić rzeczywiście chytrze i sprytnie, ponieważ oczywiście nie odpala się to tak, jak powinno się odpalać, ponieważ nie zapominajmy jednak, że to jest platforma.
494:  Tak, więc teraz to się odpali właściwie.
496:  Mam nadzieję w każdym razie.
497:  I już wam zamieszczam link.
499:  Okej.
501:  A zatem link będzie przypięty teraz.
503:  Darmowy kurs!
506:  Zobacz zdjęcia.
510:  Większego clickbaitu nie jestem w stanie wymyślić na szybko, więc musicie mi wybaczyć.
516:  Będzie to coś takiego.
517:  Czy to źle, że nie mam pytań?
518:  To bardzo dobrze z tym mowałem to.
519:  Jeżeli nie ma pytań, to znaczy, że nie ma problemu.
523:  Dobrze, moi drodzy, więc jest przypięty link.
526:  Mogę otworzyć zasób.
527:  Otwieram zasób.
528:  W ogóle ta platforma to jest też platforma darmowych podręczników, tak nawiasem mówiąc.
532:  I wcale nie mówię nie, jeżeli chodzi o podręcznik mojego autorstwa kiedyś, moi drodzy.
536:  Otwórz zasób.
541:  Chcecie mi powiedzieć, że nie mogę otworzyć zasobu?
542:  Mogę otworzyć zasób.
543:  To byłoby bardzo zabawne, gdybym nie mógł otworzyć zasobu.
546:  Tak, to byłoby bardzo zabawne.
547:  No, więc po pierwsze, kochani, i najważniejsze, myślę, kurs jest ilustrowany przez Dominikę Jamnikotwórczynię Klimczak.
555:  Tutaj macie cały, zresztą też jest podpięty w tej rzeczonej grafice, macie wszystkie opisy, ona jest dostępna także na tutaj stronie, przewodnim po kursie Infografika, więc tam jest opis wszystkiego tego, czego się można spodziewać.
570:  I generalnie, ponieważ mówiłem o tym w szorcie, jak to wygląda, i przy okazji dziękuję Dominikowi Ślosarczykowi za wsparcie od 10 miesięcy, tylko się przeklikam, żebyście wiedzieli, jak nieoczywisty jest ten serwis, bo na niego niestety nie mam wpływu, znaczy on wygląda tak, jak wygląda.
584:  I ja na layout nie miałem wpływu, ale miałem wpływ na ilustracje, miałem wpływ na prezentacje materiałów filmowych, na te wspaniałe glify, które zostały zaprojektowane przez Dominikę.
594:  I wszystko się sprowadza do tego, że przechodzicie sobie przez kolejne rozdziały tej takiej mini książki, gdzie macie różnego rodzaju przykłady.
603:  To jest powiedzmy taka część najbardziej teoretyczna z tego wszystkiego, no ale na przykład są też takie rzeczy, na które ja się uparłem, że zamiast, żeby opisywać mapę, jak ona wygląda, to zobaczmy, jak ona wygląda, nie?
613:  Tak też uważam, że powinien wyglądać podręcznik do groznawstwa, tak?
617:  To znaczy on powinien być całkowicie interaktywny.
619:  Ba, uważam, że czasopisma naukowe groznawcze powinny być full video, tak?
623:  Tak samo jest czasopisma filmoznawcze.
626:  Rysowanie przestrzeni, pisze Dominika, było wyzwaniem, bo rysowałem ją w busie, który jechał po dziurach.
631:  Swoją drogą, przez to, że to są gify, to ta podstrona się zawsze strasznie długo ładuje.
635:  No i tak to wygląda z grubsza, jeżeli chodzi o nawigowanie po poszczególnych częściach takiego mini-podręcznika i potem musicie się niestety w górnym menu przeklikać z powrotem.
645:  I w ramach tego jest zawsze moduł sprawdzający, który jest jakoś zrealizowany w taki sposób, żeby dać jakieś wyzwanie do zrobienia.
653:  I jak widzicie, żeby zrobić to wyzwanie, trzeba się z kolei przenieść do innego modułu kursu, który jest związany z narzędziami światotwórczymi, czyli z aplikacjami wszystkimi pomocnymi w kreowaniu fikcyjnych światów.
665:  Tu jest moje omówienie też filmowe, to jest chyba najdłuższy film w kursie, 12 minut, coś pozostałe to jest, nie wiem, 5 minut, mało.
672:  Więc wszystkie programy, które są rekomendowane w kursie są darmowe, bez żadnego problemu można je ogarnąć.
677:  Druga rzecz, która jest w narzędziach światotwórczych, to są różnego rodzaju rekomendacje.
681:  Pytaliście mnie często o tym, o Krzysztof, gdzie można się dowiedzieć czegoś o projektowaniu światów, czy są jakieś grupy conworldowe, wszystko tutaj macie wymienione.
688:  Przy okazji też wrzuciłem info, gdzie szukać pracy w gamedevie na stanowisku narrative designera.
693:  Oprócz tego w narzędziach światotwórczych jest też taki dział związany z dobrymi praktykami, to znaczy takie najważniejsze reguły, które wynikały z mojego doświadczenia, z tekstów, które przeczytałem, z rozmów z gamedevem i tak dalej.
704:  No i na sam koniec jeszcze, to jest dla wszystkich tych, którzy nie są na przykład jeszcze studentami, nie czują się dobrze w tej terminologii, więc jest dość duży
712:  nawet bardzo duży słownik, który no nie jest tylko słownikiem czysto tekstowym, ale także ostensywnym.
718:  Definicja ostensywna to jest taka wskazująca, to znaczy zamiast definiować czym jest krzesło, to pokazujecie zdjęcie krzesła.
724:  Prosta sprawa.
725:  No i tyle, jeżeli chodzi o
727:  Mam kurs, polecam, jeżeli ktoś chce się zajawić światotwórcem, to można się tym pobawić i właśnie tak to należy traktować, to jako zabawę, to nie ma być kurs naukowy.
735:  Nie ma z tego ocen, nie ma z tego zaliczenia, nie ma z tego sprawdzianu.
739:  Ja nie mam z oczywistych względów z tego pieniędzy teraz, ponieważ kurs był finansowany, jak widzicie, z grantu, więc co miałem dostać, to dostałem i wszystko jest darmowo dostępne dla podatników.
748:  Tak jak to powinno wyglądać, tak?
750:  To znaczy, jeżeli ułożymy na naukę, to powinny być wszystkie kursy dostępne dla wszystkich.
755:  Za darmo.
755:  I wszystkie podręczniki dostępne dla wszystkich.
757:  Za darmo.
758:  I dla wszystkich idiotów, którzy mówią mi, że się tak nie da.
761:  DA SIĘ!
763:  Dziękuję.
765:  To było nie do was, to było do wszystkich idiotów, którzy mówią, że się nie da.
769:  Dyplomu też nie ma do, do, do, moi drodzy, do pobrania.
774:  Nie będzie.
778:  Po prawej stronie w modułach coś jeszcze jest, pyta Cordemon.
780:  Po prawej stronie w modułach.
782:  Już sprawdzam.
783:  Po prawej stronie w modułach.
786:  No tak, tak, tak.
788:  W prawej stronie w modułach właśnie jest nieintuicyjnie ten spis treści, więc trzeba na to niestety zwracać uwagę.
793:  A, no i jeszcze oprócz tego jest naturalnie literatura, jeżeli by ktoś chciała, ponieważ literatura, moim zdaniem, do zajmowania się grami znajduje się na YouTubach, to macie także YouTuby tutaj podpięte.
803:  Te przynajmniej, które uznałem za najbardziej praktyczne.
806:  To tyle w temacie, moi drodzy.
808:  Tyle reklamy.
809:  Nie ma więcej.
810:  Nic nie ma więcej.
812:  Wygrywam podwójnie, pisze Jeep879, bo nie jestem polskim podatnikiem.
817:  Tak, tak, moi drodzy.
821:  Wolf Lefland, dzięki za wsparcie od 16 miesięcy.
823:  Kurs dla mnie bez testów.
824:  Absolutnie tak, moi drodzy.
825:  Absolutnie.
826:  Brandil, dzięki za wsparcie od 16 miesięcy.
828:  W sumie to kurs, aby być lepszym mistrzem gry.
830:  O, widzicie, to jest jeszcze coś, czego nie dopowiedziałem, bo...
