🔴 Kto ocenia oceniających? | LIVE #33
🔗 https://www.youtube.com/watch?v=cK7kQh77ygw

3:  Muzyka
163:  Dzięki za oglądanie!
190:  Witam wszystkich najserdeczniej na naszym comiesięcznym, miałem już rzec, ale przecież nie było go w maju, co jest bardzo memiczne, live'ie i dziękuję Wam za przybycie i od razu przepraszam z góry, jeżeli mój głos choropawy jeszcze będzie, gdyż czerwiec jest miesiącem podróży.
210:  Małych i dużych byłem na Expo w Łodzi, za tydzień jadę na Politechnikę Gdańską.
215:  na edukatorium bodajże, tak się nazywa ta konferencja, chyba, tak mi się wydaje, a za kolejne tygodnie będzie Pyrkon, więc dzieją się rzeczy, moi drodzy.
226:  Mam nadzieję tradycyjnie, że dobrze jest z głośnością i z muzyką, ponieważ na słuchu dzisiaj nie mam.
232:  Witam najserdeczniej wszystkich stałych widzów kanału, wszystkich, którzy przybyli dopiero, zobaczywszy ostatnie nasze krotochwile z profesora Kat...
242:  kapellebili pilaki z Turkmenistanu, tudzież wszystkich innych, którzy przybyli i wpadli na kanał i stwierdzili, że czemu by nie dołączyć do tej jamniczej społeczności i na przykład nie wpaść na live'a.
253:  A zatem dobrej niedzieli wam wszystkim moi drodzy i od razu może zacznę od pytania, które wychwyciłem jeszcze zanim, zanim się wszystko zaczęło, a mianowicie pytanie było od Ilin Ladeliw, skąd autorzy słowników biorą słowa?
267:  Muszę powiedzieć, że pytanie absolutnie przecudowne.
270:  To znaczy, wszystkie słowa, które są wzięte w słownikach, zazwyczaj biorą się z czegoś, co się nazywa książki.
277:  I wszyscy na przykład, którzy uważają, że feminatywy nie istnieją, nigdy nie sprawdzili sobie na przykład, czy nie występują one w starych książkach, chociażby w XVI wieku, w XVII, XVIII.
287:  A to można zrobić dzisiaj za pośrednictwem Google Books.
291:  Więc bardzo polecam.
292:  Opieranie się na słownikach generalnie ma tę wadę zawsze, więc pamiętajcie, że sięganie do słownika PWN nie rozwiązuje sporu, że polegamy na anonimowym autorze hasła, który skądś brał tę wiedzę, więc nigdy nie cytujemy wprost.
307:  I bezpośrednio.
308:  To też jest powód, dla którego w tekstach naukowych, z wyjątkiem tekstów językoznawczych i leksykograficznych, nie znajdziecie praktycznie żadnych odniesień do źródeł słownikowych czy encyklopedycznych.
320:  To jest powód, dla którego nie wolno cytować w tekstach naukowych Wikipedii.
323:  Nie chodzi o to, że Wikipedia jest zła, ponieważ Encyklopedia Britannica jest równie dobra i ma też takie same błędy i taką samą frekwencję jak Wikipedia.
331:  Problem jest tylko taki, że nie jesteśmy w stanie ustalić autorstwa.
334:  A w tekstach naukowych chodzi o to, żeby ustalić autorstwo, czego niestety nie wiedzą redaktorzy wschodniego rocznika humanistycznego, którzy nie sprawdzili autorstwa tekstów cytowanych w artykule profesora Kapeli Pilaki.
347:  Nie, nie przestanie mnie to nigdy bawić praktycznie.
349:  We wrześniu, tak jest, Jakubie, mamy powrót do świata God of War, ponieważ wychodzi God of War Ragnarok na pecety, więc wiecie już, co robimy.
357:  Będziemy oczywiście grać i to radośnie w God of War Ragnarok,
361:  Oprócz tego we wrześniu jest Space Marine 2, więc już znacie komplet naszych planów gamingowych z kolei na wrzesień.
368:  I jeszcze do tego wszystkiego będzie wcześniej, to znaczy w czerwcu, Elden Ring, więc ja spodziewam się, że przez wakacje będziemy grali w Elden Ringa.
376:  Chyba, że wyjdzie coś w tak zwanym międzyczasie.
378:  Klaudia pisze, że odkryła niedawno, żałuję, że nie wcześniej, wszystkiego jamniczego dla Klaudii w takim razie.
382:  Czy ja mam jamnika?
385:  Jest jamnik.
388:  Proszę bardzo.
389:  Ten jamnik rzadko się pokazuje na live'ach Q&A, a powinien częściej.
392:  Skąd się biorą słowa w książkach?
393:  No właśnie, to jest dobre pytanie.
396:  Ja zawsze lubię ten kazus, który jest w Skyrimie, że ktoś się zastanowił, w jaki sposób zapisywałyby słowa smoki i stwierdził pismo klinowe.
405:  I swoją drogą jest, moi drodzy, cała strona internetowa, ona się wydaje, że nazywa tuum.org.
411:  Ja ją zawsze zadręczam studentów, na której macie całe pismo smocze skyrimowe udokumentowane.
418:  Wspaniała sprawa.
420:  I tutaj są właśnie te inskrypcje, które przypominają trochę pismo klinowe.
424:  Uwielbiam to absolutnie, bo to znaczy, że ktoś pomyślał, że tak, smoki nie mają kciuka przeciwstawnego, w związku z tym nie trzymałyby pióra, a jakoś muszą zapisywać swoje myśli.
433:  Więc ciekawa sprawa.
434:  A jeżeli chodzi o to, w jaki sposób powstały litery i tego rodzaju znaki, to też jest o tym fajna książka.
441:  Może mi się nawet uda ją relatywnie szybko dla was znaleźć i pokazać.
445:  Mianowicie ona się nazywa Krótka historia linii, czyli Lines a Brief History.
450:  Ja już mogłem wam o niej parę razy mówić, ponieważ ją absolutnie uwielbiam i czczę.
455:  Jest to ta książka Tima Ingolda i on tutaj opowiada, że to jest bardzo swoją drogą fajny
461:  Fajnie napisany tekst, troszeczkę tak jak Yuval Noah Harrarion pisze, bardzo tak beletrystycznie, dobrze się to czyta, sympatycznie, no i pisze, że ludzie w którymś momencie zatracili przez wynalazek druku taką cielesną więź z pismem, które było po prostu linią, taką linią życia, którą sobie zapisywaliśmy, bo komuś coś się schojarzyło.
481:  Przecież ciekawa sprawa, w tym momencie mamy ten problem, że przez to, że wszystko zapisujemy albo na kompie, albo na telefonie i tak dalej, to troszeczkę traci się ta...
491:  To człowieczeństwo kaligrafii.
493:  Przeciekawa sprawa.
494:  Gość jeszcze przy okazji w tej książce znajduje odpowiedź na pytanie, dlaczego jak mówimy liniowy, to mamy na myśli coś negatywnego.
501:  A jak jest gra np.
