🔴 Na początku było Słowo, a na końcu Frazes | LIVE #5
🔗 https://www.youtube.com/watch?v=-gwsCcfNMCs

3:  Witajcie serdecznie.
5:  Oto już nadszedł ten dzień, kiedy robimy sobie nie do wiary, absolutnie nie do wiary, bo ostatni Q&A tego roku 2021.
15:  Haha, złapałem was, myśleliście, że ostatni w ogóle.
19:  Przygotowałem dzisiaj dla was bardzo dużo ambientów, przygotowałem dla siebie pachnącą świeczkę Sojangu, przygotowałem dla siebie herbatkę, a to oznacza, że możemy gawędzić
30:  Dawajcie znać, jeżeli muzyka na przykład była za głośno, mamy nowy applet, który będzie pokazywał Wam na bieżąco, czego słuchamy, ponieważ pytaliście ostatnimi czasy, co to za muzyka, więc będziecie widzieć na bieżąco, co to za muzyka, a dlaczego mamy taki applet, zaraz zaczniemy, zaraz zaczniemy, nie martwcie się pytania.
50:  Mamy ten apel dlatego, że są trybutariusze, a trybutariusze wspierają od jakiegoś czasu kanał i chciałem serdecznie im za to podziękować, bo właśnie dzięki nim takie bajery różne mamy, ale dziękuję przede wszystkim Wam wszystkim tu zgromadzonym, ponieważ i od tego chciałem zacząć nasze Q&A zanim przyjdziemy do pytań.
69:  to wyście wygenerowali te liczby i list, który dostałem od youtuber całkiem niedawno, gratulujemy, masz wspaniałych fanów, to czas by uczcić twoje tegoroczne osiągnięcie, powinien pójść do was wszystkich, kochani, to znaczy zarówno do widzów stałych, niestałych, tych, którzy wpadają na streamy, tych, którzy po prostu oglądają filmy, to wyście wygenerowali to wszystko, to wyście napisali ponad 7 tysięcy komentarzy od lipca bodajże, nie, wcześniej nawet byłoby, boże, to już jest rok, nie,
97:  od lipca, Krzysztof, nic nie pamiętasz, to wy przechodziliście na live'y 22 869, haha, nice, minut na live'ach spędziliśmy w sumie w tym roku, więc dziękuję wam serdecznie wszystkim teraz, tutaj, z tego miejsca, za...
113:  No właśnie, wspieranie mnie przez ten cały rok, za interakcje, za rozmowy, co najważniejsze i komentarze, które się powtarzały, więc pozwolicie, że raz jeszcze podziękuję wszystkim wspierającym kanał, którzy zajamniczają czaty w tym momencie i jeszcze raz dziękuję wszystkim pozostałym, także tym, którzy będą ten live oglądać później i już nie będą mieli na przykład okazji, żeby dokonać na bieżąco interakcji.
137:  Dzięki, dzięki Wam najserdeczniej.
140:  Taki YouTube Rap nam się zrobił, tak, Hefestion, tak.
143:  Zwykle mamy taki zwyczaj, że wyczytujemy nazwiska wszystkich trybutariuszy, ale to robimy na streamach regularnych, więc pozwolicie, że te zbiorcze podziękowania dzisiaj wystarczą.
153:  Możemy śmiało, myślę, rozpoczynać od pytań.
157:  Wychwyciłem pierwsze pytanie, które było.
160:  Nie macie co mi gratulować absolutnie, to wasza robota zdecydowanie, ale dziękuję za zajamniczanie czatów, doceniam jak zawsze.
168:  Jamniki zresztą dla wszystkich, którzy są zainteresowani, robi Dominika Klimczak, możecie ją obczaić na Behance.
174:  Najzajebistsza graficzka jako ozdaba absolutnie, więc śmiało polecam.
179:  I cóż, moi drodzy, więc mignęło mi pytanie.
181:  Pytanie dotyczyło wpływu na Squid Game.
185:  Na dzieci, nasze, tak, tak, i wasze, i inne, i tak, tak, oczywiście, bo to jest straszliwy problem.
193:  Wiecie co, opowiem wam tak.
195:  Była kiedyś głośna sytuacja, mianowicie dziewczynka wyszkoczyła z parasolem przez okno.
200:  To była Mary Poppins.
201:  Dzisiaj myślę, jakbyśmy przeczytali Mary Poppins, to zgodzilibyśmy się, że wpływ Mary Poppins na kulturę jest raczej marginalny, więc nie bójcie się takich rzeczy, zawsze jest głośne dzieło kultury, które sprawia, że ludzie się nim przejmują.
214:  I z jakiegoś względu ktoś w którymś momencie podejmuje nieodpowiedzialną decyzję.
218:  Nie ma to absolutnie nic wspólnego z tym, czy to jest utwór fantastyczny, czy fikcyjny, więc nie przejmowałem się tym absolutnie, a tymczasem witam nową trybutariuszkę Cezarię Magento, wpadającą zresztą już od jakiegoś czasu na nasze streamy, więc serdecznie, serdecznie dziękuję.
235:  I już widzę, że czat został stosownie zajamniczony na tę okoliczność.
238:  Bardzo mnie to cieszy.
240:  Jeżeli chodzi o pytania o Magnaców i Czarodziei, od razu zbiorczo odpowiem.
243:  Wszystkie komentarze dotyczące wsparcia dla produkcji fanowskich rozumiem i wspieram.
250:  Natomiast to nie jest mój typ humoru.
252:  Jakuba Wędrowycza i tego rodzaju utwory zostawiłem za sobą w pomroce dziejów.
257:  To znaczy w latach 90. i początku 2000. wtedy, kiedy
261:  no, powiedzmy, były najgłośniejsze i tak najwięcej powstawało, więc obawiam się, że nie jestem już targetem.
267:  I to jest też to chyba, myślę, kwestia tego, że długo, długo, długo powstające produkcje fanowskie mogą po prostu część fanów zostawić za sobą i to jest naturalny bieg rzeczy.
276:  Próbowałem oglądać, ale not my cup of tea, jak mawiają anglosasi.
280:  Myślę, że ten samo by dotknęło czegoś, na co ja bardzo czekałem po stronie z kolei science fiction, nie fantasy, to znaczy Stars in Black.
288:  od pamiętnego trailera Stanisława Mądarka lat temu, ho ho ho i tyle.
294:  Witam, witam również, nic Cię nie ominęło, w żadnym razie, właśnie spokojnie rozpoczynamy.
299:  Michał zresztą słusznie sekunduje, że cierpienia młodego Wertera przyczyniły się do wzrostu liczby samobójstw znacząco, to jeszcze ad vocem tego naszego wątku ze Squid Game, więc absolutnie tak.
311:  Na ile lat się czuje, pyta ponura osoba.
314:  Chyba wreszcie zaczynam się czuć młodziej niż starżej, mam takie wrażenie, bo przez długi, długi czas dzieciństwa zawsze byłem tym puersenek, starym malutkim, który się czuł na znacznie więcej lat niż miał, a teraz mam wrażenie, że to się zaczęło już normować powoli i już wkraczam najwyraźniej w taki wiek, kiedy człowiek chce być coraz młodszy.
339:  Teraz crap game popularne, pisze Hefestion.
342:  Jakie plany na święta rodzinne?
344:  Co sądzę o pomyśle Ministerstwa Edukacji?
346:  Pyta SybWeb na przedmiot historia i teraźniejszość.
349:  Historia połowy XX wieku, XXI do 2015.
354:  Intencja jak zwykle słuszna, egzekucja fatalna.
357:  To znaczy po prostu historię należy zreformować w taki sposób, żeby była nauczana zgodnie z regułami sztuki.
363:  Na ten przykład, żebyśmy jednak skoncentrowali się na dziejach, które nas dotyczą,
367:  a niekoniecznie na starożytnym Rzymie i Egipcie, od którego rozpoczynamy za każdym razem, w każdym toku edukacji to samo.
374:  Więc zamiast tego trzeba byłoby się skoncentrować na tym, co jest później, no i oczywiście, hopefully, bez jakichkolwiek wstawek politycznych, a obawiam się, że w tym przedmiocie będą one nieuniknione, tak jak on został zaprojektowany.
388:  Czy obejrzałem Wiedźmina na jednym posiedzeniu?
390:  Zawsze.
391:  Zawsze Octopus Garden.
392:  Oglądam wszystkie seriale na jednym posiedzeniu.
395:  Chyba, że jakiś złośliwiec je wypuszcza co tydzień, co jest absolutnym skandalem.
400:  Morio Nunan na kwarantannie.
402:  Zdrówka dla ciebie i najamniki liczę na czatach dla Morio Nunana specjalnie.
407:  Przepraszam za przekręcenie niku.
410:  Mateusz Szumski pyta o Warhammera 40 tysięcy Space Marine 2.
413:  Oczywiście.
414:  że będzie grany.
415:  Oj, jak bardzo będzie grany.
417:  Naturalnie, nawet chyba postreamujemy z tego.
420:  Czy oglądałem The Morning Show?
422:  Nie, nie oglądałem.
425:  Elezarze, pozdrowienia dla ciebie.
426:  Nie szkodzi, że się nie możesz pojawić na live.
428:  Będą jeszcze, będą.
429:  Jaka moja ulubiona frakcja w Heroes of Might and Magic?
432:  Pyta Clapautius.
433:  Ha!
434:  Oczywiście, że lochy i oczywiście, że wielki, możny Jedite albo Jedite, w zależności od tego, jak się go czyta.
440:  Co sądzę o Erasmusie?
441:  Myślę, że godne polecenia dla wszystkich tych, którzy chcą sobie popodróżować po świecie, bo mam wrażenie, że naukowy wymiar tego jest przereklapowaty.
450:  Przynajmniej, niestety, w obecnym projekcie, który zakładano, znaczy inaczej, zakładano na samym początku, że Erasmus będzie polegał na tym,
456:  No super, weźmiemy sobie przedmioty za granicą i później będą takie punkty ECTS i te punkty ECTS sprawią, że tam przedmiot będzie się nazywał na przykład History and Presence, a u nas będzie Historia i Teraźniejszość i ktoś, kto nie umie w angielski, on sobie przełoży.
472:  A, to jest to samo.
473:  Nie, nie, nie, nie, nie, nie, nie.
474:  żeby mu pomóc, żeby nie musiał wkładać tego wysiłku psychicznego w przełożenie nazwy angielskiej przedmiotu na polską.
480:  On dostanie punkty ECTS.
483:  No i te punkty zakładały, żeby można było łatwo nostryfikować przedmioty, czyli przekładać je na polski i zaliczać na studiach przedmioty według tego curriculum, które się pojawia za granicą.
493:  Ale oczywiście, że została ta idea zaprzepaszczona i studentów się ściga o to, że ten przedmiot nie ma takiego samego sylabusa
501:  I programu, więc trzeba to robić od nowa.
503:  Więc przygotujcie się na to, że to są różne problemy z tym związane.
506:  To też bardzo dużo zależy od tego, jak dana uczelnia ogarnia Erasmusa.
510:  Ale w pierwszej zasadniczej kolejności koncentrujecie się na podróżowaniu i na networkingu, czyli zawieraniu znajomości.
518:  Zawieranie znajomości zagranicznych to było coś, co mnie osobiście uratowało.
521:  Palitka dopytuje o pluszowe jamniki.
523:  Dzisiaj nie mam ze sobą pluszowych jamników, mam natomiast tylko żeliwne jamniki, jako na przykład ten jamnik, on jest żeliwny.
529:  I tutaj towarzyszy nam cały czas razem ze swoim stadem, chociaż ostatnio też zastanawialiśmy się na streamach, czy stado jamników, czy raczej kamaryla.
539:  Czy oglądałem Truman Show?
540:  Tak, bardzo lubię wszelkiego rodzaju dystopię i to jest jedna z lepszych.
544:  Kiedy odcinek o WF Różo Izabelo będzie?
547:  W swoim czasie muszę mieć na niego wenę, bo jak wiecie, albo nie.
550:  Ja nagrywam wszystkie filmy bez scenariusza.
553:  Czy w gry mobilnej mam jakąś do polecenia?
555:  Jedyna gra mobilna, w którą grałem ostatnimi czasy, to był Genshin Impact i polecam z tym zastrzeżeniem, żeby nie podpinać pod tę grę karty kredytowej.
563:  Jeżeli potraktujemy to jako doświadczenie fabularne, to wszystko jest w porządku.
568:  Oceniam to, jak został potraktowany Eskel... aż się rozkaszlałem.
574:  Eskel w Wiedźminie, jak również inne postaci, zostały potraktowane w sposób skandaliczny.
579:  Jak jesteście zainteresowani spoilerową dyskusją, to... Wasze zdrowie.
584:  Będzie ona dostępna na kanale bez schematu.
586:  Będziemy dyskutować prawdopodobnie w czteroosobowym gronie i szykujcie się na ostry rant z mojej strony.
593:  Spider-Man dzisiaj był oglądany.
595:  Dzisiaj byłem w kinie i jestem zachwycony.
598:  To była dobra odtrutka po drugim sezonie Wiedźmina.
602:  Bardzo wszystkim polecam.
604:  Znaczy ja jestem oczywiście uprzedzony w pewnym sensie, bo tam się pojawił Magus.
608:  A jeżeli gdzieś się pojawia Magus, konkretnie Doctor Strange, to Krzysztof na pewno będzie tym faktem bardzo zainteresowany.
615:  Dlatego też wszyscy ci z was, którym brakowało Doctora Strange'a, świetna wiadomość.
619:  Jest go bardzo dużo w Spider-Manie.
621:  Co więcej, pojawia się też
622:  W innych okolicznościach nie będę zdradzał, ale warto zostać do samego końca, jak to bywa na filmach marvelowskich.
629:  Zadaję szybko pytanie, pisze Cyrian, żeby się załapać.
632:  No to się udało.
633:  Jak mogę porównać ze sobą dwie polskie uczelnie?
635:  Ciężko znaleźć osoby, które były na obu, a rankingom za bardzo nie ufam.
638:  Czy polecam jakieś sposoby?
639:  Tak, przejrzyj uważnie sylabusę.
641:  Czyli tak, sylabus to jest...
643:  zestawienie tematów, które pojawiają się w ramach danego przedmiotu razem z literaturą, która tam będzie przywoływana i tematami.
649:  Jeżeli jakaś uczelnia na przykład olewa robienie sylabusów albo są one kiepskie, to już jest to pierwszy sygnał.
655:  A jeżeli są one przygotowane dobrze, to już bym to traktował jako pierwszy trop, a dalej no to wtedy niestety już musisz podpytać studentów, bo ja mogę powiedzieć od kuchni,
666:  Ulotki z opisami studiów są przygotowywane przez ludzi ze słowiańską i ułańską zarazem fantazją, więc tak, konfrontowałbym te dane ze studentami.
678:  Jaki RPG najlepszy dla osoby, która ma doświadczenia tylko z Wiedźminem i GTA?
682:  Pyta Sandra Daszkiewicz.
683:  Polecam Ci Divinity Original Sin 1 i Divinity Original Sin 2.
687:  Podpalony zgonu.
688:  Witajcie wszyscy serdecznie, którzy dołączacie.
690:  Witaj Miłoszu.
691:  Proroku Kaczk.
692:  Cała reszta.
692:  Przepraszam, że dzisiaj nie wyczytuję, ale dużo, dużo się dzieje.
696:  Jaka herbatka wybrać?
697:  New York Gunpowder, spacer po Warszawie czy z trawą cytrynową?
700:  Dwie pierwsze polecam.
702:  Czy widziałem Demon Slayer'a?
703:  Jeszcze nie, moi drodzy.
704:  Jeszcze nie.
704:  Czy znam kanał Myśleć Głębiej?
705:  Tak, jak najbardziej.
706:  Ile mam jawników na biurku?
707:  Trzy.
709:  Nie wiem, czy jestem w stanie je wszystkie pokazać na dłoni, ale spróbujemy.
713:  To jest ostatecznie... Udało się?
714:  Nie udało się.
715:  Krzysztof nie umie pokazywać do kamery.
717:  To są dwa, a to jest trzeci.
718:  Więc wszystkie mi tutaj towarzyszą.
723:  O, Zgredek też wrócił z seansu Spidermana i było znacznie.
