🔴 Ogon jamnika za przewodnika | LIVE #9
🔗 https://www.youtube.com/watch?v=kXn9zHAt-gY

43:  Muzyka
133:  Muzyka
183:  Witam, witam wszystkich najserdeczniej, witam wszystkich zgromadzonych, wszystkich trybutariuszy, wszystkich widzów, wszystkich nowych widzów, bo nas przybyło, przybyło nas sporo w ostatnim czasie, zjadę tylko z muzyką tak, żeby nie zagłuszała, cieszę się ogromnie i witam wszystkich tym serdeczniej, choć przy smutnej okoliczności przybywaliście na kanał, mam nadzieję, że zobaczycie wkrótce, że ta nasza społeczność
213:  Jest społecznością wyjątkową, wspierającą się i nade wszystko jamniczą, bo tak, pojawiające się na czatach jamniki nie są przypadkowe absolutnie.
222:  Wygląda na to maskotka kanału już zaprojektowana przez Dominikę Klimczak, którą jak zawsze serdecznie z tego miejsca pozdrawiam.
230:  Don Radko, dziękuję serdecznie za trybun na sam początek.
233:  Witam, witam i o doświadczenie z UJ nie pytam.
236:  To bardzo dobrze.
237:  UJ sobie na tyle grabi, że za moment będziemy go wypikiwać.
241:  czaty to cudowna społeczność, pisze Magda, absolutnie tak jest, cieszę się ogromnie, że przybyliście, mimo że mamy dzień wolny, dzień, który się zowie świętem pracy, ale nawet to nie powstrzymuje różnych komisarzy politycznych na uczelniach od tego, żeby na przykład nie banować komentarzy, jak to się dzieje w tej chwili na fanpage'u Instytutu Historii Sztuki UJ, banowani są i komentatorzy, i blokowane są komentarze, więc jak widzicie,
268:  Nie wszyscy, nie wszyscy wypoczywają, ale dobrze, że my znaleźliśmy sobie taką enklawę, w której możemy sobie zregenerować siły.
275:  Witamy proroka Kaczka, który błogosławi wszystkich, włącznie z czatami.
278:  Co za wspaniała wiadomość.
280:  Czy widziałem już drugą część 365 dni?
283:  Pyta Mika, nie zamierzam, to jest absolutnie wykluczone.
288:  365 dni zobaczyłem przez przypadek i zobaczywszy, że film ten gloryfikuje gwałt, stwierdziłem, że nie zamierzam absolutnie wspierać tej franczyzy ani finansowo, ani niefinansowo.
302:  przyznać się, kto sprawdzał na starych filmach Krzysztofa, czy ta tuba faktycznie była tam cały czas, jest od samego początku, jest, jest, tak, tuba doktorska, jedyna rzecz, która została jeszcze u mnie, która kotwiczy mnie w starym świecie i w starych czasach, witajcie wszyscy, raz jeszcze powtarzam powitania z tego względu, że zwykle mamy na naszych czatach
324:  gamingowych, taki zwyczaj, że się wyczytujemy, ale podczas Q&A nie ma czasu, bo jest tyle pytań, niezwykle.
330:  Czy było oglądane Better Call Saul?
332:  Pyta Igor Kłosek.
333:  Zamierzam obejrzeć całość, jak się ukaże już w komplecie.
337:  Bardzo mi się nie podoba traktyka, która się rozpoczęła na
341:  Netflixie i podobnych serwisach streamingowych, mianowicie, że zrezygnowano z wypuszczania serialu naraz.
347:  Dla mnie to było sedno streamingu.
349:  Czym się różni w tym momencie konsumpcja serialu z tygodnia na tydzień od konsumpcji telewizyjnej, której nie znosiłem przez wzgląd na to, że nie miano względu tam na moją niepamięć, to raz, a dwa, że to wywoływało różne zmiany w tempie narracji.
365:  Generalnie rzecz ujmując, tak, oczywiście za wszystkim się kryje teoria, ale to jest akurat prawda, to znaczy jak wypuszczacie serial co tydzień, albo jak wypuszczacie narrację seryjną, to tempo narracyjne cały czas musi tak falować sinuseidalnie, prawda?
377:  Natomiast jeżeli dajecie całość narracji naraz w dziesięciu częściach, to możecie zadbać o to, żeby ten pływ narracji był bardziej naturalny.
384:  i przez to nie ma na przykład cliffhangerów, czyli tych momentów, w których zawieszamy widza w niewiedzy i niecierpliwości i w oczekiwaniu na kolejny odcinek i w oczekiwaniu na wyjaśnienie często sztucznie wywołanego konfliktu narracyjnego albo napięcia narracyjnego.
400:  To jest strasznie irytujące, tego nie znoszę i zwykle jak...
404:  Seriale są w ten sposób produkowane, to dotyczy niestety też anime, Attack on Titan jest znane z cliffhangerów, które mnie dobijają.
410:  Ja po prostu oglądam to w całości i trzymam w ręku cały czas pilot i przewijam wszystkie sytuacje narracyjne, o których wiem, że będą cliffhangerami.
417:  Więc tak, Better Call Saul, obejrzę jak będzie w całości, to samo dotyczy Moon Knighta i wszelkich innych produkcji serialowych, które w ten sposób wychodzą, z jednym wyjątkiem.
426:  Z jednym wyjątkiem.
428:  Lord of the Rings...
430:  Rings of Amazon Prime będziemy oglądać z odcinka na odcinek i za każdym razem komentować.
439:  Taki jest plan, moi drodzy.
440:  Taki jest plan.
445:  Czy będziemy dzisiaj coś czytać?
447:  A zobaczymy.
448:  Może coś przeczytamy.
449:  Kto wie?
449:  Kto wie?
450:  Czy uważamy jakieś uczelnie w Polsce za normalne?
454:  Ciężka sprawa i ciężkie pytanie, bo ja raczej widzę w uczelniach pewną społeczność, ale na pewno ze wszystkich uczelni, które znam, te, na których pracuję, są zdecydowanie najnormalniejsze.
464:  Pracuję bezpośrednio i na co dzień na Akademii Górniczo-Hutniczej, natomiast...
468:  Oprócz tego współpracuję z Artes Liberales na Uniwersytecie Warszawskim i okazjonalnie z Uniwersytetem Śląskim, zwłaszcza sztuka pisania.
476:  Ale tam mam w tym momencie tylko doktoranta na Uniwersytecie Śląskim, więc bezpośredniego związku nie ma.
480:  I tak uważam te trzy obszary za względnie bezpieczne, także dlatego, że w razie czego mam tam wpływ na różne rzeczy, które się dzieją.
488:  Stachu pyta, czy spodziewałem się, że zdobędę 40 tysięcy subskrypcji.
490:  Ja się spodziewałem, że zdobędę cztery.
492:  Jak zakładałem kanał, więc przerośliście moje oczekiwania absolutnie, moi kochani.
498:  Attack on Titan to w sumie niedobrze, niedobrze pod koniec mówi Donald Atkos, tak, powiadasz.
505:  Donald Atkos użył nawet skatologicznego rzeczownika Kau na określenie poziomu narracyjnego ostatniej partii Attack on Titan, co napawa pewnymi wątpliwościami, zwłaszcza, że ja zrezygnowałem właśnie z oglądania całego sezonu, bo chciałem, żeby wyszedł w całości.
524:  Z tym wypuszczaniem odcinek po odcinku pisze Kamil, chodzi o utrzymanie widzy na platformie, żeby ten po miesiącu nie anulował subskrypcji.
530:  Oczywiście, że tak, ale jest jeszcze lepszy sposób na utrzymanie widzy na platformie.
534:  Wiecie jaki?
535:  Powiem wam na uszko, mianowicie wystarczy mieć...
540:  dużo dobrych seriali.
542:  Ja wiem, że to jest trudniejsze, ale tak to też działa, żeby widzowie nie anulowali subskrypcji.
548:  Na przykład mówimy, że w marcu wypuścimy to i później dwa tygodnie temu będzie następne i w momencie, w którym już spodziewamy się, że ktoś może kończyć to, następny serial i następny zwiastun.
558:  W ten sposób też możemy merytorycznie przyciągać widza do siebie.
564:  ćwiczę machanie jamnikami.
567:  Tak.
569:  Czy mam jakieś zdanie co do polskich politechnik?
574:  Powiem tak, najmniej różnych patologicznych sytuacji dochodzi mego, mej wiedzy, mego słuchu i mych oczu właśnie z politechnik, ale to nie oznacza, że ich tam nie ma.
585:  Boć może jest tak, że w przypadku uczelni technicznych ten poziom
591:  odporności na różnego rodzaju zachowania pozamerytoryczne jest wyższy o tyle, że jest bardzo dużo projektów, w które można się zaangażować, prężnie działają koła naukowe i społeczność akademicka zwykle jest bardziej, mam wrażenie, zwarta, ale to mówię z perspektywy AG i o tyle, o ile mogę znać Politechnikę Krakowską.
609:  Natomiast fakt faktem jest, że najmniej historii stamtąd niepokojących dociera, ale jak zawsze trzeba to weryfikować u źródła i na bieżąco ze studentami.
617:  Oczywiście, że oglądam anime pumpkinie, naturalnie, że oglądam.
620:  Na przykład teraz oglądam sobie film, który się nazywa Bubble, wskoczył na Netflixa właśnie.
626:  Więc stwierdziłem, czemu by nie, spróbujemy.
628:  I bardzo dziękuję Mikołajowi Knychowi za dołączenie do jamnikodzierżców, trybutariuszy, wspierających kanał.
634:  To bardzo miło z twojej strony i widzę, że już się czaty stosownie zajamniczyły.
638:  Ukuliśmy nawet taki idiom.
639:  Dobry zwyczaj, zajamniczaj.
641:  Aaaa, tak.
643:  Tak było.
643:  Czemu nauczyciele dają sprawdziany dzień po dniach wolnych?
646:  To jest dobre pytanie, Kordemon, nigdy tego nie zrozumiałem, szczerze powiedziawszy.
649:  Mam wrażenie, że to jest pokłosie tego transmisyjnego stylu sprawdzania wiedzy, to znaczy jest takie założenie, że skoro nie było przepływu wiedzy w tej rurze, którą jest system edukacji, prawda, i no rura się zatkała odpoczynkiem, tak, zatkała się grami wideo, zatkała się anime, zatkała się książkami, tymi, wiecie, złymi książkami, nie lekturami, tymi, które się miło czyta,
671:  zatkała się filmami, zatkała się spacerem, zatkała się jamnikami, w związku z powyższym trzeba ją teraz odetkać, tak?
678:  I przypomnieć ludziom, co jest ważne w życiu, czyli zakuwanie.
682:  I po to jest ten sprawdzian, tak?
684:  Żeby przypomnieć o tym, że trzeba systematycznie pracować.
687:  Systematyczna praca nie działa tak, jak myślimy w momencie, w którym uczymy się czegoś, co do czego nie mamy przekonania.
693:  Nawet systematyczna praca nam nie pomoże.
695:  To znaczy, pomoże prawdopodobnie niektórym na krótkotwalowo, to znaczy do najbliższego egzaminu.
701:  Potem
702:  Wszystko wyparuje tak czy siak.
706:  Myślałem, że nie będzie w ogóle oglądane, pisze Zgredek.
708:  To nie będzie Zgredku oglądane.
709:  Rings of Power musi być oglądane, absolutnie.
712:  Arcanum pyta, czy w moim filmie o Momigu na UJ mam jakieś nieprzyjemności z tego powodu.
715:  Let them come.
719:  Cała rzecz polega na tym, żartuję oczywiście sobie trochę, ale pamiętajcie o jednej rzeczy.
724:  Ten strach, który jest w nas i tkwi w związku z nagłaśnianiem różnych patologii, jest pokarmem, na którym się te czerwie żywią.
733:  I to jest niebezpieczne bardzo, bo dzięki temu mogą immunizować się i uodpornić na jakąkolwiek krytykę.
739:  Profesor Szachaj napisał kiedyś taki tekst, może mi się nawet uda go dla Was znaleźć.
744:  Szybko sobie w tle sprawdzę.
746:  Polska nauka na krześle...
749:  elektrycznym, Szachaj.
753:  Jeśli tak, to od razu wam pokażę ten tekst i wszystko wskazuje na to, że nie, nie znalazłem go.
761:  Aleksander Szachaj.
763:  Polska nauka na krześle elektrycznym.
765:  Widzę, to oczywiście nie był profesor Szachaj, pomyliłem się, profesor Szachaj to cytował, dobrze, że sprawdzam od razu, macie dowód na to, że pamięć nigdy nie działa i trzeba zawsze wszystko sprawdzać u źródła.
776:  To jest wywiad z doktorem Kamilem Kuleszą, zaraz wam go pokażę w takim razie od razu, tylko się upewnię, że wszystko jest w porządku.
782:  I to jest mądry wywiad, mega wam polecam zainteresowanie się tym tematem z bardzo prostego powodu, to znaczy generalnie rzecz ujmując jest tak, że
794:  to nie dotyczy tylko studentów, ok?
796:  To znaczy, to dotyczy również bardzo często pracowników naukowych, to dotyczy profesorów, to dotyczy adiunktów, to dotyczy pracowników administracji i to krzesło elektryczne, o którym mówi tutaj doktor Kulesza w tym wywiadzie, dotyczy przede wszystkim takiej sytuacji, w której wszyscy się boją, tak?
817:  I równocześnie dotyczy tego, że polska nauka, jak złośliwie mówi Kamil Kulesza, do całej światowej nauki ma się jak krzesło do krzesła elektrycznego.
825:  To jest brutalny wywiad, ale mega Wam polecam zainteresowanie się nim i przeczytanie go.
830:  Wrzucę link pod koniec naszego live'a, żebyście się mogli z tym zapoznać.
834:  A ja jeszcze dorzucę swoje trzy grosze, to znaczy to krzesło elektryczne właśnie możemy interpretować jeszcze jako coś takiego, taką atmosferę strachu, tak?
841:  Podsycaną nieustannie.
843:  że student boi się doktora, doktor boi się profesora, profesor boi się prodziekana, prodziekan boi się dziekana, dziekan broni się rektora, prorektor boi się rektora, rektor boi się ministra i równocześnie wszyscy będą na siebie zwalać winę, tak?
855:  O nie, nie, to nie jest moja wina, to jest wina kierownika katedry, to nie jest wina, nie, nie, nie, nie jest wina kierownika katedry, to jest wina dziekana, bo on nie zrobił procedur.
861:  Nie, tak?
863:  Trzeba powiedzieć w którymś momencie nie, żeby te karuzele śmiechu zatrzymać i wreszcie zacząć brać na siebie odpowiedzialność.
869:  Bardzo dużo na przykład studentów mówiło o tym, że
874:  Profesorowie byli też dobrzy na tym wydziale, czyli Instytucie Historii Sztuki, przepraszam.
880:  No super, zajebiście, że byli też dobrzy, ale gdzie są ich głosy?
885:  Czemu nikt nic nie mówi?
887:  To szkodzi coś powiedzieć?
890:  Nie można wprost powiedzieć, no to jestem ze studentami, jestem po stronie studentów.
894:  Ile to Cię kosztuje?
895:  Dużo Cię to kosztuje?
896:  Praca Cię to kosztuje?
898:  Jeżeli ktoś się boi, że zostanie zwolniony z pracy za zdanie wspieram studentów, uważam, że moi koledzy nie powinni się tak zachować, wiecie co powinien zrobić taki człowiek?
907:  Złożyć wypowiedzenie i przejść na inną uczelnię.
910:  To powinien zrobić.
911:  Jeżeli jest dobry, to go przyjmą.
913:  Tylko tutaj mamy drugi element krzesła elektrycznego, o którym mówi dr Kulesza.
917:  Większość polskich naukowców nie jest tak dobra.
920:  Więc na tym polega też problem, że mamy do czynienia z ludźmi, którzy dostali się na uczelnię bardzo często za sprawą koneksji albo politycznych układów.
929:  W związku z powyższym jedyne, co mogą robić, żeby się utrzymać, to utrzymywać równocześnie taką atmosferę strachu i mieć nadzieję, że jeżeli Szambo wybije, to będą mogli się skontaktować ze swoimi układami.
941:  Witam placjusza w gronie trybutariuszy, dziękuję ci serdecznie za wsparcie.
948:  Pamiętajcie o tym, że strach jest pożywką dla ludzi, którzy...
954:  równocześnie tworzył atmosferę strachu.
956:  W ich interesie jest to, żeby się wszyscy bali.
958:  I przerażające jest, że w ogóle ktokolwiek może pomyśleć, że ktoś może mieć nieprzyjemności z tego powodu, że mówi, ja jestem po stronie studentów, prawda?
967:  Albo że ktoś podzieli się swoimi własnymi doświadczeniami, bo zauważcie, tu nikt nikogo nie oskarża.
972:  I to jest też przerażające.
974:  Żaden student nie podał imienia i nazwiska.
976:  Wszyscy się bali.
979:  Nawet ja nie podaję imion i nazwisk.
981:  Do czasu,
984:  I may be an idiot, but I'm not a fool.
986:  Trzeba sobie wybrać odpowiednio pole bitwy i w takim momencie podać wszystkie imiona i nazwiska, kiedy się wie, że nikt nie ucierpi postronny, kiedy się wie, że faktycznie za tym równocześnie pójdą jakieś działania prawne.
998:  Tylko wtedy ma to sens.
999:  W moim przypadku to jest tylko pustosłowie, które można wyśmiać albo zablokować, ponieważ na ostatnim streamie się dowiedziałem, że Uniwersytet Jagielloński blokuje mój kanał na swoich komputerach, co jest... Ja mam nadzieję, że teraz dostaniemy dostateczną liczbę jamników kekwowych na czatach i śmiechu, bo tak, bo to jest coś, co należy potraktować chłostą śmiechu.
1021:  O której godzinie będzie przegląd Discorda?
1023:  Przegląd Discorda sobie zrobimy koło 21.00.
1028:  Elon Musk kupuje Twittera.
1029:  Twitterowicze, tak, Twitterowicze napływają z powrotem, ale pamiętajcie, że to nie jest też tak do końca możliwe, że napłyną wszyscy, którzy na przykład na Twitterze łamali prawo, bo Komisja Europejska już zajęła stanowisko, że spoko, spoko, spoko, jeżeli Twitter się zrobi za bardzo liberalny pod względem niektórych treści, które nie są akceptowalne w różnych porządkach prawnych, to wtedy nawet Elon Musk nie pomoże i nie będzie naszym zbawcą.
1057:  Czy serial o wampirach Nocna Msza na Netflixie był oglądany?
1062:  Nie, ale mam wrażenie, że właśnie za sprawą Mikołaja Marchewki zespoilowałem częściowo ten serial, bo to nie jest powiedziane wprost, że on jest o wampirach.
1071:  Nie, jest jeszcze przede mną.
1075:  Dziękuję Mateuszu Marcinkowski za trybut, serdeczne dzięki.
1079:  Q&A jest w urodziny Marka.
1082:  Kochani, mamy taki zwyczaj, trybutariusze, kochani, ci, którzy przybyli, ci, którzy są już z nami od dłuższego czasu, są tacy, którzy wspierają kanał od 7 miesięcy i nie przestaję im dziękować.
1092:  Mamy taki zwyczaj, żeby zajamniczyć się na urodziny, więc zajamniczmy się.
1095:  Czy obejrzałem w końcu Dora Hedera?
1096:  Zacząłem oglądać, ale to jest totalnie nie dla mnie, Kamilu, więc posłuchałem czatów, zajrzałem, obejrzałem jeden odcinek, stwierdziłem, że nie, że to jest na okres wakacyjny, kiedy będę wypoczęty, ja w ciągu roku akademickiego potrzebuję prostszych narracji.
1109:  Może Elon Musk kupi UJ?
1112:  Ja myślę, że nawet to nic nie da.
1117:  Notabene co do Artes Liberals, na UW też było skarżenie o molestowanie, to prawda, byłem zaangażowany w znajdowanie sposobu na rozwiązanie tej sytuacji, tyle mogę powiedzieć, ale UW zaczęło działać od razu, to znaczy poszły momentalnie decyzje, zawieszenie zajęć i to jest procedura, która powinna być na każdej uczelni.
1137:  Jest oskarżenie, jest jakaś niepewność, natychmiast, nie zwalniamy, tak?
1143:  Zawieszamy do czasu rozwiązania sprawy, wszczynamy śledztwo, zbieramy materiały dowodowe i absolutnie nie uciszamy tak zwanych whistleblowerów, czyli ludzi, którzy nagłaśniają sprawę i nie uciszamy także studentów, bo pamiętajcie, wszyscy ci, którzy uważacie, że ooo,
1158:  że mobbing, że teraz się mówi o mobbingu, a 50 lat temu się nie mówiło.
1161:  Dlatego, że świadomość społeczna 50 lat temu była inna i ludzie dawali sobie na głowę wejść, przez co dzisiaj na przykład są takimi prowadzącymi, którzy...
1171:  replikują te wzorce, prawda?
1173:  Więc mamy konsekwencje nienagłaśniania wcześniej takich przypadków, jawne i teraz widoczne.
1179:  Natomiast w momencie, w którym oczywiście okaże się, że ktoś był na przykład oskarżony nieuczciwie, no to należy wyciągnąć konsekwencje wobec osoby, która wyciągnęła niewłaściwe oskarżenie, a osobie niewłaściwie oskarżonej wypłacić odszkodowanie, end of story.
1192:  Natomiast cała sytuacja polega na tym, że w najgorszym przypadku wtedy, w takim porządku prawnym, ten, kto został niewłaściwie oskarżony
1200:  Zyskuje na tym, tak, bo dostaje odszkodowanie, a w momencie, w którym jest winny, jest nawet cień podejrzenia, to zyskują na tym potencjalnie dziesiątki studentów, które nie mają do czynienia z jakimś creepem, czy molestatorem, czy mobbingującą osobą.
1216:  Bardzo się zahachały czaty, że największe osiągnięcie Krzysztofa zostanie zablokowanym na UJ.
1223:  Muszę to sprawdzić, bo mnie ta historia bardzo rozbawiła, ale muszę to sprawdzić, jak słowo daję, to będzie cudowne doświadczenie.
1230:  Obiecuję, że zrobię wtedy shorta w plenerze, będzie pierwszy short w plenerze na kanale.
1236:  Czy decydowałem się na drewnianego jamnika?
1238:  Jeszcze nie, ale jest taki plan.
1240:  Selekcja negatywna, pisze Tomasz, ma na uczelniach się bardzo dobrze i zakonserwowała się ze względu na toksyczne środowisko, niskie zarobki, niepewność.
1247:  Tak, o tym też pamiętajcie, że te rzeczy wpływają psychologicznie na niektórych prowadzących, tych, którzy się nie nadawali do tej pracy i poszli do niej na przykład tylko dla zarobków.
1255:  No to tak, to jest gotowy przepis na porażkę i dziękuję kolejnemu wspierającemu.
1260:  Deś tym razem dobry zwyczaj zajamnicza i dzięki ci serdeczne za wsparcie.
1265:  Czy oglądałem jakieś K-dramy?
1266:  Nie wydaje mi się, ale oglądałem... Mam wrażenie, że to K to jest skrót od Korean, ale ja nie jestem dobry w akronimy.
1275:  Natomiast miałem taki moment, że oglądałem bardzo dużo koreańskich filmów o zombie i muszę powiedzieć, że serial Kingdom jest świetny.
1282:  Naprawdę jest świetny.
1283:  Zaskoczony byłem aż.
1284:  Samuraje kontra zombie.
1286:  Brzmi strasznie, ale zostało zrealizowane świetnie.
1289:  Czy problemem na uczelniach PIT jest hierarchia, ergo potrzebna jest decentralizacja, autonomia w edukacji?
1295:  Tak, jest potrzebna decentralizacja, autonomia w edukacji, ale niekoniecznie w szkolnictwie wyższym.
1300:  Nie zacieśnianie pasa.
1301:  Tutaj trzeba odróżnić dwie rzeczy.
1303:  To znaczy uczelnie już mają autonomię i niestety na niektórych uczelniach zakonserwowała się feudalna struktura i hierarchia.
1309:  Ją trzeba zlikwidować oczywiście.
1311:  co nie oznacza, że należy całą hierarchię uczelnianą eliminować, to nie ma sensu.
1315:  To, co można robić natomiast, to to, żeby ta hierarchia była pro forma tylko, natomiast w praktyce, żeby nie była widoczna, no bo to, że trzeba upadać na kolana przed profesorem i...
1325:  Całować pierścień feudalny to jest żenujące, prawda?
1328:  Znaczy to jest żenujące obiektywnie.
1330:  Są takie czasopisma na przykład na Wydziale Polonistyki UJ, w którym się nie opublikuje, jeżeli się nie pójdzie na dyżur do redaktora naczelnego tegoż czasopisma, który jest to swoją rodową redaktor naczelny tegoż czasopisma, a jest ich niewielu, więc mądrzy wyciągną wnioski.
1345:  miał taki zwyczaj, że zmuszał studentów do tego, żeby płacili za jego obiad na seminariach magisterskich, więc ludzie się musieli na to zrzucać i zadajmy sobie pytanie, dlaczego to robili?
1355:  Oczywiście, że dlatego, że się bali, albo częściowo mogli nawet nie zdawać sobie sprawy, że może to jest troszeczkę nieadekwatne, żeby profesor z pensją 6 canetto albo 7 canetto dostawał, plus oczywiście wszystkie synekury dodatkowe, które się dostaje na uczelniach i w różnych komisjach, podkomisjach,
1370:  Tym sram, tym i owam.
1372:  Recenzja doktorska też jest czymś, za co się otrzymuje odpłatność, więc profesorowie mają tego bardzo dużo.
1377:  No nie opowiecie mi, że takiego człowieka nie stać na to, żeby sobie zapłacić za obiad.
1381:  To jest żenujące.
1383:  Doceniam fakt, że można wyjść ze studentami na zewnątrz uczelni, ale wymaganie czegoś takiego to jest jedna z wielu patologii, które się dzieją na tym wydziale.
1390:  I witamy Suchego Jana w gronie Trybutariuszy.
1393:  Dziękuję serdecznie.
1394:  Ale się nam mnoży nasze grono.
1397:  Kuhaski pyta, czy lubię grać w gry planszowe, jeśli tak to jakie?
1399:  Lubię grać w bardzo podstawowe gry planszowe, okej?
1403:  To znaczy takie, które nie są zaawansowane za bardzo, nie mają wielkich reguł.
