🔴 Palmy pierwszeństwa nie rodzą kokosów | LIVE #18
🔗 https://www.youtube.com/watch?v=oevEal3hAQI

140:  Dzięki za oglądanie!
179:  Witam wszystkich zgromadzonych przy niedzieli podczas naszego co miesięcznego Q&A.
185:  Witajcie kochali widzowie, witajcie subskrybenci, witajcie ci, którzy nie subskrybują albo stwierdzili, że teraz zasubskrybują, żeby coś napisać na czacie.
194:  Stali i nie stali widzowie, jak również wspierający kanał Trybutariusze, dzięki którym...
199:  będzie możliwy szalony upgrade komputera, który planuję w najbliższym czasie.
203:  Tak, wreszcie udało mi się uzyskać różowy kolor LED-u, właściwie mówiąc magentowy, moi drodzy, bo taki był na początku naszych rozmów Q&A i live'ów comiesięcznych i później mi się nie udało go uzyskać.
216:  Otóż sekret w kolorze różowym tudzież magentowym LED-ów polega na tym, że trzeba było ustawić customowy
227:  Tak, i wtedy zaczęło wszystko działać nagle.
230:  Krzysztof oczywiście stwierdził, gnuśny Krzysztof, że będzie korzystał z predefiniowanych kolorów ledów, a tutaj trzeba było się postarać, tak, dla widzów, więc wreszcie to się udało zrobić, moi drodzy.
241:  Magenta to jest najwspanialszy kolor, absolutnie się zgadzam z wszystkimi.
247:  May the dark side of the Force be with you.
249:  Dziękuję, Boże drogi.
251:  Najlepsze powitanie, jakie sobie można wyobrazić.
253:  I dlaczegoż to, moi drodzy, dlaczegoż?
255:  Wspaniały sequel Jedi Fallen Order został przesunięty na kwiecień.
259:  Może to i dobrze, bo dzięki temu mi pójdzie na moim sprzęcie.
265:  Tak, moi drodzy, poszły jamniki po betonie i pisze Marcin Giełzak.
268:  Witałem Marcina Giełzaka.
270:  Moi drodzy, Marcin Giełzak to jest ktoś, kogo powinniście znać.
273:  Wiecie dlaczego?
274:  Dlatego, że Marcin Giełzak współprowadzi podcast, który wam serdecznie polecam.
279:  I pytacie, jaki to podcast?
280:  A ja wam odpowiem.
281:  Mianowicie Dwie Lewe Ręce, subskrybowany przeze mnie.
284:  Dzisiaj wyszedł nowy odcinek.
285:  Polecam wam serdecznie.
286:  Jeżeli słuchać narracji lewicowej, to mądrej narracji lewicowej.
292:  I taka ona jest.
293:  Bardzo wam serdecznie polecam.
295:  Liczę, że tutaj się pojawi trochę subów.
296:  Tradycyjnie wam oczywiście zaraz wrzucę link do tego, bo pamiętam, żeby to robić.
302:  Powiedział Krzysztof, który tak naprawdę nie pamięta, żeby to robić, więc polecam bardzo.
307:  I Marcin jeszcze pisze, że kończy Mistborn z polecenia.
310:  To jest dobry wybór.
311:  Mistborn, czyli z mgły zrodzony, to jest dobry wybór.
315:  Brandon Sanderson.
316:  Wcale nie mam dla was dzisiaj przygotowanego Brandona Sandersona, nawiasem mówiąc.
320:  Tak, moi drodzy, może być mądry dyskurs lewicowy,
322:  podpowiedź, gdzie go szukać, mianowicie nie na Twitterze.
327:  Znaczy można też znaleźć na Twitterze, ale trzeba się bardzo naszukać.
330:  To jest mniej więcej tak, jakby ktoś na przykład miał plan, żeby znaleźć, ja wiem, mądrego i myślącego poza pudełkiem nauczyciela w szkole publicznej.
339:  Da się?
341:  Da się, jest to możliwe, ale bardzo trudne.
346:  Witamy Helenę w gronie Trybutariuszy, bardzo serdecznie dziękuję.
349:  Polska jest potęgą, no właśnie, tak, tak, tak, tam jest bardzo prowokacyjny tytuł tego najnowszego podcastu na dwóch lewych rękach, więc polecam, ależ to challenge swego drogu, żeby odmieniać poprawnie tę nazwę.
361:  Szczwany List pisze, że skończył oba moje wystąpienia o grach wideo na YouTubie.
364:  To będzie niebawem następne, ponieważ zostałem zaproszony na TED Talka do jakiegoś dziwnego miasta, którego nie znam, więc prawdopodobnie nie jest Krakowem.
372:  I chyba jest to w kwietniu.
374:  Postaram się was poinformować o tym, jakbyście mieli samobójczą myśl wpadnięcia i przywitania się z Krzysztofem występującym raz na... Kiedyś się mówiło raz na ruski rok, ale dzisiaj już się tak nie mówi, więc raz na jakiś czas.
387:  Raz na orczy rok, o, to jest dobry idiom do popularyzacji, więc raz na orczy rok Krzysztof się czasem pojawia stacjonarnie i da żywo, ale to się dzieje bardzo rzadko.
398:  To się dzieje bardzo, widzę, że jest dużo fanów różowych ledów, bardzo mnie to cieszy.
403:  Czy uważam, że pojęcie na chłopski rozum to klasizm?
405:  Ciekawe pytanie od Gespara.
409:  Trochę tak, to znaczy na pewno jest to wyraz jakiegoś myślenia klasowego, ale pytanie, które powinniśmy sobie raczej zadać brzmi, dlaczego uważamy, że na chłopski rozum to coś złego?
419:  Dlaczego to oznacza, że to jest niby takie racjonalne, ale nieuczone?
424:  Dlatego, że jest klasowe przekonanie o tym, że wiedza się rozkładała
428:  klasowo, to dzisiaj już tak nie ma, z oczywistych względów, internet i inne rzeczy, których nie odkryło jeszcze szkolnictwo, więc można, bo jeżeli się używa tego żartobliwie, to wszystko w porządku, ale wiecie, że są ludzie, którzy mogą tego użyć z intencją, która będzie niezłośliwa względem jakiegoś zjawiska, ale względem drugiego człowieka, na przykład, a ty tylko tego potrafisz na chłopski rozum,
450:  A tu trzeba, wiesz, w uczony sposób i wszystko się zmienia.
453:  Ale tak długo, jak długo będziecie używać tego jako zamiennik zdroworozsądkowego, to wszystko jest w porządku.
458:  Krótko mówiąc, chyba chłopski rozum od zdrowego rozsądku różnił mowa społeczna, prawda?
463:  Po co komu Twitter?
464:  Po to, żeby upuścić żółci, moi drodzy.
466:  Czasem ja nawet tego potrzebuję.
468:  Lekarze są drodzy, żeby pójść do lekarza i upuścić żółci z pęcherzyka żółcim, wiecie ile to jest fatygii, ile problemów, na NFZ terminy na 3 miesiące, trzeba iść prywatnie, potem zabieg, jeszcze człowiek, jeżeli jest takiego bojaźliwego ducha jak Krzysztof, to będzie chciał narkozę ogólną, znaczy znieczulenie ogólne, bo się będzie bał i krzyczał, że mu coś wbijają w brzuch, więc to jest kosztowne, a tak idziecie na Twittera, piszecie coś, upuszczacie żółci i wszystko jest w porządku.
493:  Zawsze znajdziecie ktoś, kto będzie się chciał w niej taplać.
498:  Where Hogwart?
499:  Kiedy będę miał upgrade kompa, wtedy będzie, moi drodzy, gra.
502:  Mam duży zawsze, i chciałbym, żeby tak pozostało, szacunek dla ludzi, którzy poświęcają swój czas, żeby przyjść i pooglądać sobie, jak ktoś gra, w tym przypadku ja, i zarazem porozmawiać, więc nie chcę was tormentować.
516:  jakimiś potwornymi glitchami, bugami dźwiękowymi i tak dalej, zwłaszcza, że wyszło, że część z tych problemów, które miałem wynika z prawdopodobnie mojego wadliwego egzemplarza karty graficznej, bo zauważyłem, że dzieją się także glitche dźwiękowe w innych przypadkach.
531:  Długa historia w każdym razie.
534:  i tak czy siak ten upgrade był konieczny i był potrzebny.
