🔴 Powiadają, że szkoda gadać | LIVE #15
🔗 https://www.youtube.com/watch?v=TvaLR7IOo5U

13:  KONIEC!
168:  muzyka muzyka muzyka
204:  Dziękuje za oglądanie.
240:  Muzyka Muzyka
275:  Muzyka
282:  Witam wszystkich przy niedzieli.
284:  Tradycyjnie co trzeci tydzień danego miesiąca spotykamy się, moi drodzy, przy herbacie, przy ambiencie i przy rozmowach na tematy ważne, na tematy złożone i na tematy skomplikowane, i na tematy trudne i na tematy łatwe, a dzisiaj mam przygotowane dla Was bardzo dużo rzeczy,
305:  Jeszcze zaznaczę, że jedną z tych rzeczy będzie jamnik, ale zanim przejdziemy do naszego tradycyjnego Q&A, mam nadzieję w ogóle, że muzyczka już nasza będzie słyszalna, teraz przechodzimy w fazę spokojną.
316:  Witam wszystkich wspierających kanał Trybutariuszy, witam wszystkich widzów stałych i niestałych kanału jak zawsze, witam tych, którzy wpadają tutaj w przerwach między dla każdego coś przykrego.
327:  Były dwa odcinki w tym miesiącu, więc dużo.
330:  Dziękuję raz jeszcze, skoro jesteśmy w tym gronie wszystkim wspierającym kanał, ponieważ to w jakiej jakości mnie teraz oglądacie jest wyłącznie ich zasługą, więc jamniki dla trybutariuszy to powiedziane byłoby źle, ponieważ to by znaczyło, że trybutariuszy sami sobie muszą dać jamniki, dlatego też ja niniejszym na czacie, w tym momencie niech to zostanie udokumentowane, publikuję jamniki ku czci wszystkich wspierających, dziękując im bardzo serdecznie raz jeszcze.
354:  Co powiedziawszy, mamy ważną rzecz do poruszenia na samym początku, moi mili.
359:  Przykro mi, że zaczynamy od takiego tematu na samym początku, ale dotarło do mnie na sportofilu Ania Maluje na Instagramie następująca rzecz, która może będzie asumptem do tego, żebyście chętniej zgłaszali tego rodzaju sytuacje, może nie na Instagrama, tylko na telefon czy numer interwencyjny Stowarzyszenia Umarłych Statutów, za chwilę sobie o nim powiemy.
382:  Mianowicie tu się pojawił statut
384:  w którym jest napisane, że uczeń liceum ma być asertywny, radzić sobie ze stresem, depresją i adekwatnie zachowywać się w różnych sytuacjach.
407:  Dam wam chwilę do przetrawienia tego, to znaczy tak, regulamin instytucji publicznej żąda ludzi tego, żeby udali, że choroba nie istnieje i umieli sobie z nią radzić.
420:  Mhm.
