🔴 Przed wyruszeniem w drogę należy zebrać drużynę | LIVE #33
🔗 https://www.youtube.com/watch?v=EFb3wmHEBz8

7:  KONIEC!
36:  Dzięki za oglądanie!
249:  Muzyka Muzyka
287:  Muzyka Muzyka
307:  Muzyka
353:  Muzyka
398:  Dzień dobry.
426:  Dzień dobry.
465:  Witam wszystkich najserdeczniej przy naszym pierwszym, moi drodzy, pierwszym live'ie Q&A z tematyzowanym, kiedy będziemy rozmawiali sobie o fantastyce, o science fiction, o wszystkich możliwych nurtach, przy świeczuchach, w niebieskich ledach.
485:  Ja sam dla lepszej imersji będę zawsze mieć też muzykę.
489:  Tę samą, którą słyszycie, muzyka jest z playlisty, moi drodzy, zawiązaj się w...
495:  Legendary Dexcon Fairy.
498:  Więc możecie sobie, oczywiście będzie podlinkowana na spokojnie.
502:  Zaraz wytłumaczę, jaki jest tryb nasz.
504:  Dziękuję serdecznie na wstępie Anulinusowi za podarowanie pięciu wsparć.
508:  A to znaczy, że Anulinus jest Janem Nikołajem.
511:  Mam nadzieję, że wszystko jest słyszalne, że dźwięk jest w porządku.
515:  Ponieważ będziemy sobie, moi drodzy, także czytać na tych live'ach, to też korzystam z górnego mikrofonu.
521:  Cieszę się, że się muzyka podoba, Macieju.
523:  Bardzo się cieszę.
524:  Będziemy sobie słuchać muzyki z gier.
526:  Jak słyszycie, zresztą teraz nam płynie Skyrim.
529:  Pytaliście tyle razy, czy będzie Skyrim.
531:  No więc jest już Skyrim.
533:  Przynajmniej w tej postaci.
535:  Nie, nie było jeszcze Grilla.
537:  I nie będzie, moi drodzy.
538:  Mój żołądek na to nie pozwala absolutnie.
541:  Ale przede wszystkim, powiedzmy sobie, potroszę o tej formule, którą będziemy mieli tutaj.
547:  Muzyczkę troszeczkę przyciszyłem, bo to też o to chodzi, żeby ona bardziej była w tle, moi mili.
552:  Bluesa wypełniona w perwolu, tak.
554:  Trzeba pozdrowić Holistyczną Agencję Eskapistyczną.
557:  Właśnie, Holistyczna Agencja Eskapistyczna, może zacznijmy od tego, ogłasza, moi drodzy, że jest kolejna edycja,
564:  ale ściśle mówiąc trzecia już część dyskusyjnego klubu książki H&M.
568:  A to znaczy, że możecie wpaść w niedzielę o 20 i posłuchać o Paradyzji.
572:  Paradyzja, dobra rzecz.
574:  Pierwsza, proszę bardzo, pierwsza już fantastyczna wzmianka.
578:  W ogóle idea tych live'ów powstała z tego, że bardzo dużo na Q&A rozmawialiśmy na temat...
584:  o kulty ogólne, o kulturze, o szkolnictwie, o szkolnictwie wyższym i innym, natomiast troszeczkę ginęły dyskusje, które można były pociągnąć troszeczkę bardziej o różnych książkach, filmach, serialach i tak dalej.
595:  I jeszcze druga rzecz, moi drodzy, to znaczy sporo z was mówiło, że jest kłopot z tym, że nie ma żadnej listy.
603:  Ha, że nie ma kanonu.
606:  A ponieważ Krzysztof nigdy nie zrobi żadnego kanonu, bo nie, to zrobimy sobie coś lepszego.
613:  Będziemy mianowicie wszystko to, co na bieżąco sobie przywołujemy, notować w jednym miejscu, jeśli to ja to będę robił i będziemy mieli coś w rodzaju mojej mili mapy.
621:  I teraz Wam już ujawniam to, o czym mówiłem wiele, wiele razy.
625:  Przepraszam, dłuższy wstęp będzie dzisiaj, bo też organizujemy różne rzeczy i zaraz przejdziemy do Waszych pytań na spokojnie.
631:  Mianowicie będziemy sobie, moi drodzy, siedzieli w mapce Miro.
634:  Tutaj jest nasz jamnik na sam początek.
637:  Docencie, minimapkę zrobiłem specjalnie myśli po to ciemną, żeby was nie raziło słońce i jasność i w to miejsce będziemy zrzucać sobie wszystkie książki, seriale, trailery, grafiki, rzeczy, anime, cokolwiek będzie nam przychodziło do głowy i w ten sposób będziemy mieli własną nie listę, tylko mapę.
657:  I mapy nie zawierającą rzeczy, które są wybitne, tylko wartościowe.
662:  Dla na przykład kogoś, kto by chciał sobie obejrzeć animki o magach, dajmy na to.
667:  I później poczytać książki o magach.
668:  Więc będziemy sobie to grupować tematycznie na najróżniejsze sposoby.
673:  Przy okazji widzę następnego.
674:  Ja Mikołaja, to znaczy Cain, Jakubowi Wdowiakowi podarował wsparcie.
677:  Dziękuję najserdeczniej za to.
680:  Tara jeszcze przekazuje pozdrowienia.
681:  Dyskusyjny klub książki HS nad generalnego ogarniania regałów w Noże Tasmańskiej w przygotowaniu do wietrzenia książek.
686:  To jest najpiękniejsza rzecz w świecie.
689:  I ta mała mapka, moi mili, będzie dla Was wszystkich dostępna w sposób stały.
693:  Ja ją podlinkuję pod live'ami.
697:  Ona będzie na stałe podlinkowana w miarę tego, jak się będzie zbierała.
701:  I teraz jeszcze jedna rzecz.
703:  Po każdym takim cyklu uzbieramy sobie wystarczająco dużo rzeczy związanych z fantazy.
709:  Jestem ustawiony już z grafikiem, nie ujawniam Wam jeszcze jakim, ale grafikiem współpracującym z dużym domem modowym między innymi, który będzie stworzył w innym trochę stylu niż Dominika Jamieniko, twórczynik Limczak, PDF-y duże,
725:  artystycznym stylu zawierające wszystkie te nasze wspólne rzeczy.
729:  Więc to będzie nasza wspólna lista zajawek, mapa ściślej mówiąc, która będzie w formie PDF-u.
734:  I teraz druga rzecz.
736:  Wszystkie te PDF-y będą miały stworzyć większą mapę.
740:  Taka jest idea.
741:  A potencjalnie w przyszłości może Atlas.
746:  który sobie wydamy.
748:  Więc jak widzicie, projekt jest na lata.
750:  Nie wiem, czy to się uda, to jest kompletnie szalone, nikt czegoś takiego nie zrobił, ale myślę, że jeżeli nie my, to komu się uda, prawda?
757:  Armii dzięki za bycie, Jan Mikołajem Kazik otrzymuje wsparcie, Alizan Imperium Budowniczy, Pylonów i cała reszta, i Michał Pęksa też jest Jan Mikołajem, Rua otrzymuje wsparcie, Maximus, Orany i Ash Monday.
769:  Z tym rozmawialiśmy sobie przed sekundą w komentarzach pod filmem, moi drodzy, nowym, macie podlinkowany u góry i
775:  John Poppy, Kacper Sapkowski i Józef Powroźnicki i Logol i Jackie Left.
782:  Dziękuję serdecznie.
783:  W ogóle sobie zrobimy jeszcze jedną rzecz, to znaczy ja zrandomizuję, moi drodzy, te listy oby.
788:  No ja nie wiem, randomowe rzeczy pojawiały wtedy.
792:  Mam nadzieję, że Wam się pomysł podoba, widzę, że reakcje są sympatyczne.
796:  Pamiętajcie, że no pressure, tak?
798:  Ja jestem ustawiony z grafikiem na długie, długie lata, jeżeli chodzi o ten projekt, więc tyle, ile nam zejdzie opracowywanie jednego nurtu fantastyki, tyle nasze.
808:  Ja jeszcze od siebie też dorzucę coś, okej?
811:  To znaczy, plan jest taki, tylko tu się ze zostrożnością zobowiązuję, żeby po każdym takim cyklu jeszcze robić film, typu, co to jest dystopia?
819:  Co to jest urban fantasy?
822:  Urban fantasy byłoby oczywiście z Jerzym Urbanem.
826:  Urban fantasy to była fantastyka miejska.
828:  Co to jest steampunk?
829:  Czym się różni steampunk od clockpunku?
831:  I takie filmy będą wjeżdżały na kanał.
834:  To będzie zupełnie nowy format także filmu.
836:  Skoro mamy nowy format live'ów, to niech będzie i format filmu, bo też zauważyłem, że recenzje fantastyki się coraz częściej podobają, klikają, mają zasięgi, więc pomyślałem, czemu by nie zrobić i tego.
847:  To będą bardzo krótkie filmy, tylko zaznaczę, nie w moim stylu na 40 minut, nie będą przegadane za bardzo, bo też nie chodzi o to, żeby dyskutować, składać taką pigułkę wiedzową.
855:  Pod każdym filmem będzie też link do źródeł naukowych, jak zawsze, ale również będzie link do naszej mapki myśli, którą my sobie będziemy stale uzupełniać.
864:  To jest na razie wszystko, co wymyśliłem.
866:  Idzę, jeszcze muszę podziękować za obdarowanie Kajetana wsparciem.
869:  Piękny plan, tylko i wyłącznie fantastyka.
871:  Tak, Gawiedo, bo na tym się znam, wiesz, najlepiej i ciężko byłoby mi prowadzić live'a o czymś, co nie byłoby związane z fantastyką, ale też widzicie, patrzmy na to możliwie szeroko, nie?
881:  Ja na przykład nie lubię horroru.
883:  Wy lubicie.
885:  Istnieje niezerowe prawdopodobieństwo, że wśród was jest mnóstwo osób, które lubią horror, znają się na post-apo, lepiej niż ja.
890:  Właśnie po to tu jesteście, nie?
892:  Żeby od serca rekomendować ludziom to, co może się im spodobać, podług jakichś fajnych kryteriów,
898:  W zależności od tego, jak ta nasza dyskusja popłynie, bo też wiecie, nie chcę za bardzo tego robić w sztywny sposób, po prostu niech to wygląda tak, nasze Q&A normalne, z tą różnicą, że będziemy sobie to wszystko notować w fajny sposób.
910:  Czy Atlas to forma habilitacji?
911:  To jest forma nobilitacji.
915:  W urban fantasy miasto będzie zasilane energią wytwarzaną przez machanie uszami.
920:  Tak, to w urban fantasy, absolutnie.
922:  Jest pytanie od Mephisto.
922:  Jestem w trakcie tworzenia własnego świata fantasy.
924:  Mapy już mam, tylko lore, które w większości wymyśliłem.
928:  Czy byłbym chętny ocenić to, jak skończę?
930:  Wiesz co, Mephisto, możesz nam podrzucić na przykład i widzisz, że na tych live'ach, czemu by nie, możemy sobie coś takiego przejrzeć i nie mamy z tym najmniejszego problemu.
938:  Czemu live ma numer 32?
