🔴 Szkoła jest jak labirynt z napisem "Zakaz błądzenia" | LIVE #13
🔗 https://www.youtube.com/watch?v=CEl3WAGz2sg

91:  Muzyka
131:  Muzyka
182:  Witam wszystkich Was najserdeczniej niedzielną porą.
185:  Na naszym już comiesięcznym, na to wygląda Q&A, udaje się utrzymać tryb co trzecią niedzielę miesiąca.
193:  Witam wszystkich zgromadzonych jak najserdeczniej.
196:  Cieszę się, że spędzamy dzisiaj
198:  Niedzielę witam wszystkich trybutariuszy, czyli wspierających kanał, to są ci szczęśliwcy, którzy mogą używać specjalnych emoji zaprojektowanych przez Dominikę Miszkę-Klimczak.
209:  Nigdy mi się nie znudzi promowanie Dominiki Miszki-Klimczak.
212:  Witam serdecznie widzów, witam stałych i niestałych bywalców kanału, witam wszystkich, którzy
218:  precyzyjnie unikają streamów gameplayowych, żeby sobie po prostu skoncentrować się na rozmowie.
222:  I witam wszystkich, których kojarzę z naszych aktualnych rozgrywek, a ogrywamy sobie Detroit Become Human oraz StarCrafta.
230:  StarCraft niebawem wróci.
232:  Uprzedzając pytania, Warhammer też będzie wracał, ale raczej wyjątkowo w środy.
237:  Środy stają się pewnie wyjątkowe streamowo z tego prostego powodu, iż zaczyna się rok akademicki.
244:  To jest
245:  Taki smutny moment, kiedy dzieją się rzeczy.
249:  Znaczy nie, nie smutny, żartuję.
251:  Chodzi o to, że praca się zaczyna taka już intensywniejsza w związku z powyższym.
256:  Nie mogę sobie pozwolić na to, żeby dzielić uwagę między środowe zajęcia i środowe streamy, bo zwykle zajęcia mam we wtorki, w środy oraz właśnie w czwartki, ponieważ piątki, poniedziałki są na naukę.
269:  Oversharing.
270:  Witajcie wszyscy najserdeczniej raz jeszcze.
273:  Cieszę się, że się widzimy.
275:  I od razu zaczynam łowić spokojnie pytania.
278:  Na szczęście jeszcze się nie dzieją jakieś potworne, przerażające kwestie, które wymagałyby interwencji w rodzaju kolejnego odcinka dla każdego coś przykrego, więc przynajmniej oddycham z ulgi.
290:  Czy aplikacja Trello pomogłaby w organizacji nauki?
