🔴 Szkoła zmienia w kropkę nasze znaki zapytania | LIVE #28
🔗 https://www.youtube.com/watch?v=V0HIGopYGd0

81:  Muzyka
140:  Dzięki za oglądanie!
165:  Witam wszystkich najserdeczniej, moi drodzy, wraz z naszym comiesięcznym streamem z pytaniami waszymi i odpowiedziami mymi, z chaosem na czatach i mnóstwem wątków, które z jakichś względów ludzie później odsłuchują, jak piszecie mi w komentarzach w formie podcastu, za co serdecznie dziękuję, dlatego dzisiaj w pierwszej kolejności powitam wszystkich tych, którzy będą słuchali tego jako zapisu i podcastu, a w drugiej kolejności witam najserdecznie wszystkich was,
195:  Widzów stałych i niestałych, wspierających także kanał Witam, dzięki którym się witamy moi drodzy z nowego miksera Roadcaster Duo konkretnie.
204:  Bardzo serdecznie dziękuję i dzięki którym również mogę, co niektórych niesamowicie irytuje, przełączać kadr.
210:  Witam z drugiego kadru i powracam na właściwy i główny.
213:  Więc witajcie najserdeczniej.
214:  Dobre wiadomości w ogóle płyną na sam początek, to znaczy spieszę was poinformować, abyście jakimś cudem jeszcze nie wiedzieli, że na stanowisku kurator oświaty na razie została zastąpiona Małopolska, kurator oćmiaty, czyli Barbara Nowak przez dr Gabrielę Olszowską, która jest autorką książki o ocenianiu.
232:  I równocześnie reformatorką, która sprzyja, co ważne, stowarzyszeniu umarłych statutów, więc bardzo dobrze to rokuje, przynajmniej dla wszystkich, którzy by chcieli jakieś nieprawidłowości w szkołach małopolskich, moi drodzy, zgłaszać wyżej.
245:  Spieszcie się, ponieważ Gabriela Olszowska jest pełnomocniczką na razie, znaczy pełnolniącą obowiązki powinienem był rzec, kurator.
252:  Potem będzie rozpisany konkurs na stanowisko, ale póki co korzystajcie, bo można zgłaszać rzeczy.
258:  Podkręć się troszeczkę bardziej.
260:  Mogę, moi drodzy, wyłącznie ściszyć muzykę.
263:  Krzysztof jest podkręcony maksymalnie, jak jest w stanie się podkręcić już.
268:  Cieszę się bardzo, że się podobała rozmowa z Anną Szulc.
270:  Moi drodzy, dla tych z Was, którzy nie wiedzą, była na kanale czas jakiś temu, to znaczy konkretnie to było wczoraj, przedwczoraj.
277:  Przedwczoraj była Anna Szulc, która jest matematyczką, praktyczką, reformatorką oświaty, wiecie, taką oddolną, która pokazuje, że niemożliwe jest zrobienie tego wszystkiego, co mówi Krzysztof, ponieważ Krzysztof, jak wiadomo, głosi utopijne banialuki, w związku z powyższym to jest oderwane od rzeczywistości, a tak naprawdę to nie, tak naprawdę to można robić już od teraz, od zaraz, tylko po prostu musi się nam, moi drodzy, chcieć, więc jeżeli chcecie i wy,
302:  zobaczyć w jaki sposób można to robić, to polecam mega, tu jest ta rozmowa, utopię i mrzonki w praktyce, rozmowa z Anną Schulz o tym, co robić, żeby szkoła nie była piekłem, więc polecam Wam, moi drodzy, nawet skopiuję adres linku na czaty.
317:  Czy będę na następnym Pyrkonie?
319:  Pada pytanie od Koniary Gosi.
321:  Istnieje taka szansa, że tak.
323:  Utopijne, czyli dobre.
324:  Tak, właśnie.
325:  Przecież dystopijne to byłoby złe, gdybyśmy projektowali niedobry świat, który tylko udaje utopię, a jest tak naprawdę mrożącą krew w żyłach dystopią rodem z igrzysk śmierci, chociażby teraz była niedawno ballada ptaków i węży, która przypomniała nam o tym, że igrzyska śmierci istnieją.
340:  Kiedy składanie żyrafa?
342:  To pytanie dotyczy...
344:  wspaniałego, swoją drogą, zestawu Lego Żyrafa, który dostałem.
347:  Osadzone to Żyraf, mianowicie w uniwersum Horizon Zero Dawn i obiecałem, że będę składał wtedy, kiedy będzie druga kamera, dlatego są te pytania.
354:  Tak, ja wiem, ale teraz muszę zrobić tak, żeby kadr był na stół, co wcale nie jest takie proste, moi drodzy.
360:  Dziękuję za streama w urodziny, pisze Michał Kędzierski, a moi drodzy, to oznacza jedną rzecz, mianowicie wszystkiego, wszystkiego jamniczego dla Michała Kędzierskiego.
368:  Jeżeli możecie, moi drodzy, to się zajamniczcie koniecznie i bezwzględnie.
373:  Strajk w Akademiku Jowita, pisze Edge i Edge.
375:  Faktycznie było coś takiego.
376:  Studenci UAM protestowali przeciwko zamknięciu Akademika.
380:  Ja nawet miałem w tej sprawie zabrać głos, żeby wziąć stronę studentów, ale okazało się, że nowy minister nauki przyjechał na miejsce i no i proszę.
388:  I sprawa jest przynajmniej częściowo rozwiązana.
390:  Oczywiście będziemy się temu przyglądać jak zawsze, ale nie podoba mi się fakt, że w ogóle Uniwersytet może podjąć taką decyzję, żeby zamknąć Akademik, biorąc pod uwagę jeszcze, moi drodzy, to, że...
