🔴 Są takie oklaski, po których należy umyć ręce | LIVE #10
🔗 https://www.youtube.com/watch?v=uLnwUON3AxA

43:  muzyka
93:  Dziękuje.
133:  muzyka
319:  Muzyka
334:  Witam wszystkich najserdeczniej, wszystkich zgromadzonych i przybyłych w ten dzień, w najwspanialszy weekend jaki istnieje, mianowicie jamniczy weekend, bo długi weekend, przepraszam, aż muszę popić ten sucharek na samym początku, witajcie.
350:  najserdeczniej wszyscy, witam najserdeczniej trybutariuszy, witam najserdeczniej widzów, witam najserdeczniej wszystkich introwertyków.
358:  Ostatnio witam introwertyków, ponieważ wiem, że są tacy ludzie, którzy czają się cichutko na kanale, czasem coś powiedzą, czasem wychyną zza konta, a tak naprawdę sercem jestem z nimi, bo sam
369:  introwertykiem jestem.
370:  Moi kochani, witajcie jeszcze raz.
373:  Szczególnie doceniam wszystkich tych, którzy poświęcili ostatnie godziny Pyrkonowe na to, żeby się tutaj pojawić.
379:  Ja na Pyrkonie, jak widać, niestety nie mogłem być.
382:  Prośba do organizatorów Pyrkonu, żeby być może uwzględnić fakt, że
387:  Pyrkon należy organizować nie w czerwcu, kiedy jest sesja, nie w czerwcu, kiedy są egzaminy, nie w czerwcu, kiedy są obrony, bo biedni dydaktycy nie mogą przyjeżdżać.
397:  O studentach nie wspomnę.
399:  Witam także wszystkich studentów i pamiętajcie, tu są kciuki i tu są trzymane, jak będziecie mieć jakiekolwiek wątpliwości co do tego, jak się przygotowywać do egzaminów, to pamiętajcie, że szorcik, który nagrałem dla maturzystów na temat tego, żeby pójść na długi spacer,
413:  na dzień przed egzaminem i się nie uczyć do samej samiuteńkiej ostatniej chwili, także do Was się aplikuję, więc powodzenia.
420:  Raz jeszcze, witajcie serdecznie.
424:  Q&A też nie można organizować w trakcie sesji.
426:  Kłamstwo, można, ponieważ można sobie wpaść i wypaść szybciutko, a na Pyrkon trzeba jechać do Poznania 5 godzin polskimi kolejami losu, czyli PKP.
438:  Straszne rzeczy.
439:  Nie w czerwcu, kiedy jest gorąco jak cholera.
441:  Absolutnie Aurora ma świętą rację.
445:  Zgadzam się w 100% mojej mili.
448:  Dzisiaj, zgodnie z zapowiedzią, mam nadzieję, że muzyka nie jest za głośno, nie jest za cicho.
452:  Zawsze mam pewien problem, nie mając odsłuchu, żeby to ocenić.
456:  Więc dzisiaj sobie rozmawiamy, moi drodzy.
458:  Tradycyjne pytania i tradycyjne odpowiedzi.
461:  Mam dla Was wprawdzie jedną malutką niespodziankę, ale to zobaczymy w zależności od tego, czy czas pozwoli, czy czaty będą chciały.
470:  Teraz jeździ 3 godziny z lekkim hakiem z Krakowa do Poznania.
473:  Sprawdzałem ostatnio 5 godzin z Gretku.
475:  Nie ma innej opcji niestety.
477:  Martyna przejrzała mnie, co będzie dzisiaj czytane.
479:  Oczywiście, że będzie coś dzisiaj czytane.
482:  Muzyka o wiele za głośno mówicie.
484:  Dobrze, to muzyka zostanie gwałtownie ściszona przeze mnie.
488:  Jeszcze sprawdzę sobie na mikserze, ale wszystko wskazuje na to, że macie słuszność.
494:  Ociupinkę sobie jeszcze przyciszymy, powinno być już w porządku.
500:  Mam w każdym razie taką nadzieję.
503:  czy widziałem, że studenci z mojej uczelni, tak się bawi, tak się bawi, AGH, wygrali ligę akademicką w LOL-a.
509:  Jestem bardzo dumny z tego, że AGH ma drużynę esportową.
513:  Bardzo serdecznie kibicuję drużynie esportowej AGH, jak również wszystkim drużynom esportowym, ponieważ jako człowiek nie kibicujący żadnej drużynie sportowej, muszę kibicować drużynom esportowym.
523:  Nie ma innej opcji, absolutnie.
526:  Cieszę się, że dobrze jest muzyka.
528:  Nie będziemy czytać Empuzjonu, moi drodzy.
531:  Szanujmy się, szanujmy nasz odsłuch, szanujmy moje oczy przede wszystkim, żeby nie krwawiły.
538:  Krwawiące oczy to jest estetyka horrorowa, która jest mi dalece obca, moi kochani.
543:  Czy zagram w Star Wars Fallen Order?
545:  Jest w kolejce Star Wars Fallen Order, możecie się spodziewać, że będzie na kanale mała ankietka, tudzież sonda dotycząca tego, w co będziemy grać wakacyjną porą, ale na pewno wakacyjną porą się zbliża StarCraft i wróci Warhammer.
