🔴 TAJAMNICZY STREAM URODZINOWY 2023
🔗 https://www.youtube.com/watch?v=p04ecHER2uo

11:  Muzyka Muzyka
34:  Muzyka
124:  KONIEC
151:  Muzyka
174:  Dzięki za oglądanie!
409:  KONIEC
570:  Wita nas najpiękniejsza z muzyk, muzyka z twierdzy, z klasycznego Krzyżowca.
580:  Wspaniała wokaliza, cudowny utwór.
583:  Witajcie moi drodzy na tajemniczym streamie urodzinowym.
587:  Nie mieliśmy go rok, pełen rok, więc witam was dokładnie pomiędzy.
595:  Pierwszą częścią, a drugą częścią maja, ponieważ od 16 jest 15 dni do końca tego wspaniałego miesiąca.
603:  I 15 dni od początku tego wspaniałego miesiąca, żeby Krzysztof nie zapomniał, kiedy ma urodziny, tak?
611:  Właśnie z tego powodu dziękuję wszystkim kochanym widzom, którzy przybyli dzisiaj w ten wtorkowy wieczór.
618:  Niespodziewanie i niespotykanie o 20.30 tuż po moim wykładzie swoją drogą.
623:  Dziękuję trybutariuszom za olbrzymią liczbę jamników urodzinowych, moi drodzy, to te fioletowe.
629:  Dziękuję serdecznie za pojawiające się życzenia, jesteście przekochani.
633:  Dwimus, dzięki za wsparcie 16 miesięcy.
636:  Haha!
637:  Wszystkiego najemniczyniejszego, dziękuję wam bardzo, Krzysztof Siwczyński, 12 miesięcy, pełen rok wsparcia, dziękuję bardzo.
646:  Ja nie wiem wprawdzie, ile lat skończyłem, to jest najzbawniejsze, bo zawsze padłem ofiarą własnej strategii podawania wieku, który rozpoczynam, więc wydaje mi się, że rozpocząłem 35., a skończyłem 34.
659:  ale może być tak, że skończyłem trzydziesty piąty, a zacząłem trzydziesty szósty.
662:  Nikt tego nie wie, poza ludźmi, którzy umieją matematykę, w odróżnieniu od wszystkich tych, których szkoła tego nie nauczyła.
669:  Na sobie mam swoją drogą opaskę jamniczą, która jest jamniczym ubroborosem, który otrzymałem na Skierkonie w zeszłym roku od jednej z czatowniczek swoją drogą naszych, a mianowicie Świtezianki.
682:  Iga, dzięki za wsparcie od dwóch miesięcy.
684:  Dziękuję ci serdecznie za życzenia.
686:  Jednoręki bandyto,
688:  40 tysięcy lat Warhammerowsko życzy.
691:  Bardzo dziękuję na chwałę Boga Imperatora i zarazem również Aśku dziękuję za 17 miesięcy wsparcie.
697:  Gdzie urodzinowy niuchacz?
698:  Urodzinowy niuchacz jest, moi drodzy.
700:  Wszystkie zwierzęta są dzisiaj z nami, jest bardzo dużo zwierząt.
704:  Jamnika widzieliście, ale nie widzieliście być może tego jamnika, który debiutował na jednym z ostatnich live'ów.
709:  Jamnik włóczkowy.
711:  Otrzymałem go z kolei w Łodzi od Moniki, której serdecznie dziękuję za ten prezent.
716:  wspaniała rzecz.
718:  I widzę jeszcze, że się pojawił Jan Mikołaj.
720:  Ola Kustra mianowicie podarowała wsparcie pięciu szczęśliwym widzom.
724:  Kto otrzymał wsparcie?
725:  Nie mam pojęcia.
726:  Już widzę.
727:  Zły Czarownik otrzymał wsparcie.
729:  Ty też był swoją drogą w Łodzi z nami.
731:  Miraski, Radosław Małko, Kacper Zapkowski i Klaudia.
734:  Dziękujemy serdecznie Jan Mikołajce za bycie Jan Mikołajką.
737:  Tradycyjnie, moi drodzy.
739:  Masz 34, masz 14 lat więcej ode mnie, podpowiedziała Pusieńka Śnieżna, jedna z naszych moderatorek.
744:  Bardzo dziękuję za te podpowiedzi i witam przy okazji Nesseusa na chyba przedostatnim poziomie, jaki mamy w naszym Kolegium Magicznym, to znaczy na poziomie Maga Brązu już, to znaczy, że jest co najmniej rok wsparcia i to ponad, więc bardzo Ci za to serdecznie jeszcze raz dziękuję.
760:  Nieważne ile masz lat, pisze Anna, ważne jesteś z nami, że jamniki są z tobą.
763:  To jest przepiękne zdanie, moi drodzy.
765:  Memory, dzięki za wsparcie od 7 miesięcy.
768:  Memory, ślę dla nas armię niuchaczy, to wspaniale.
770:  Zobaczcie, jakie to jest piękne.
771:  Dzięki Hogwarts Legacy przynajmniej mamy tę jedną rzecz, że zostały z nami niuchacze, prawda?
777:  Wprawdzie nie został z nami kiepski design otwartego świata, ale mamy niuchacze, tak?
781:  Więc dobrze.
782:  Przynajmniej tyle.
783:  Plewan, dzięki za wsparcie od 14 miesięcy.
785:  Niech Cinch będzie z tobą.
786:  Uuu.
787:  Szanuję, szanuję.
788:  Wewe Darius z kolei od 20 miesięcy wspiera.
791:  Dzięki serdeczne za życzenia.
793:  Wszystkiego najlepszego.
794:  Życzenia od Solenizanta.
795:  Dla Solenizanta pisze Lazaretus.
796:  Proszę, proszę.
798:  Oby twoje firebole latały daleko.
799:  Ale wspaniałe życzenia.
801:  Oby jadło w gospodach krzywdy kiszkom nie robiło.
804:  Oby na szlaku jamników moc spotykać.
806:  To by się zwłaszcza przydało, bo nie ma ich nigdzie.
809:  Wampaw dołączyła do grona wspierających.
812:  Aki...
813:  VT dołączył do nas wspierających.
815:  Witam serdecznie.
816:  I jeszcze Juus podarowuje wsparcie.
818:  Bogowie, ja wiedziałem, moi drodzy, że musimy, bo tak będziemy grać dzisiaj w twierdze, ale że musimy sobie dać czas na pogawędzenie, na wasze życzenia.
825:  Ja wiedziałem, że tak będzie.
827:  Dziękuję serdecznie za wsparcie i za trybut Wondercut.
831:  Gdzież są ludzie, którzy otrzymali wsparcie?
833:  Zaraz znajdę.
834:  Bartosz Pstrągowski otrzymał.
836:  TheClever1.pl, który jest przypadkowo również naszym moderatorem.
839:  Pusieńka Śnieżna, która jest przypadkowo naszą moderatorką, takoż
843:  Rediala otrzymała wsparcie od Józ i Emil Rusiecki.
846:  Witamy serdecznie w gronie ludzi, którzy mogą używać jamniczych emoji.
849:  Wspaniała wiadomość zawsze.
851:  Jątek, dzięki za wsparcie od miesiąca.
853:  Niech szmoc będzie z tobą.
855:  O tak, szmoc jest ważna.
857:  Szmoc, wszystko przenika i wszyscy w szmocy jesteśmy jednym szmocem, moi drodzy.
862:  Tak, właśnie, na pewno tak było w Nowej Beznadziei.
865:  Jestem absolutnie pewien.
867:  Dzięki Pawle, serdeczne życzenia.
868:  Paweł też w gronie naszych moderatorów.
870:  O Bogowie!
871:  I Franku338, dzięki za dołączenie do wspierających.
874:  Jeszcze mamy Trybut od Małgorzaty Peza, który serdecznie dziękuję.
877:  Trybut w obcej walucie, hoho!
880:  Wszystkiego jamniczego Krzysztofie, dziękuję Ci serdecznie za życzenia i za tort.
884:  Torty cyfrowe mogę przyjmować moi drodzy, nie mogę jeść natomiast tortów, które są słodkie, z uwagi na tak zwane względy dietetyczne.
894:  Tak samo nie mogę pić, w związku z powyższym stwierdziłem, że będę świętować z Wami, ponieważ wszystkie inne opcje
901:  odpadają i generalnie dobrze jest nie myśleć o tym, a poza tym to już się zrobiła taka nasza mała tradycja rokroczna, do czerwca bodajże nie mogę nic popijać, ale wiecie co moi drodzy, jest dobra rzecz, zaraz nawiążę z powrotem do waszych życzeń i do trybutów, ale dokończę ten jeden wątek, który będzie takim
919:  być może światełkiem nadziei dla wszystkich, którzy się zmagają z podobnymi trudnościami, albo myślą właśnie, że o, że dla towarzystwa trzeba wychylić kij, że moi drodzy, da się, od listopada do teraz nie wychylałem i można, nie ma jest to żadnym problem, nawiasem mówiąc, myślę sobie, że taka narracja fajnie, żeby płynęła w internet, biorąc pod uwagę to, że natykamy się wszędzie na ekrany alkoholu, co dla wszystkich ludzi, którzy na przykład starają się nie pić, może być problematyczne, więc macie alternatywę narracji ode mnie, absolutnie się da, nie ma żadnego problemu,
948:  Trzeba pić więcej herbaty?
951:  Dzięki Kama Greenberg za trybut niezliczonej liczby jamników długich i czcigodnych, soczystych rantów ku naszej uciesze i ku zmartwieniu mojej wątroby, zdrowia naszego powszedniego, co niemiara i wiecznego ognia w sercu.
963:  O, to się przyda, byś błogosławił nas mnogimi lajwami i wszelką znamienitą twórczością.
966:  Bębę się starać.
967:  Widzicie, Kama Greenberg niby ma życzenia, ale tak naprawdę przemyca prośby.
971:  To jest bardzo hytre i sprytne.
973:  Witam Home Zig Alien w gronie wspierających takoż i dziękuję serdecznie bogowie Agnieszce Brzozowskiej za pięć wsparci.
982:  Agnieszka Brzozowska jest jam nikołajką.
984:  Ja nigdy nie skończę czytać, moi drodzy, tego nie ma szans, żebym skończył i Agnieszka Brzozowska z tego, co widzę, podarowała niesamotnie, ponieważ Guni3353 również jest jam nikołajem, a zatem, moi drodzy, w naszym gronie pojawili się również Batrus.
999:  XXX, Mortadeliusz, The Witch, Alfa Koleos, Nickt, przypadkowo swoją drogą nawiedzający bardzo często nasze streamy, więc tym fajniej, że dostali wsparcie, Ola Nowicka, która się martwiła, że nie mogła wysłuchać jamników przed chwilą, Magdalena Grotnicka, DidykPLP, Pan Andrzej, haha, myślałem, że jest jeden Pan Andrzej, a jednak nie, Wilson, Quite Easy, Alex,
1022:  Mighty Bartomil, Sybin, Bogowie, Grzybnia Pierwiodna, dziękuję serdecznie za życzenia i wsparcie od 6 miesięcy, najlepszego, niech Skryba ma tylko dobre wieści, haha, nawiązanie, mamy pierwsze nawiązanie do twierdzy, 100 jamników najdłuższych w świecie od Marty F., dzięki serdeczne, mam nadzieję, że słychać w ogóle jakkolwiek naszą muzykę, bo ja nie mam na słuchu w tym momencie na sobie, wszystkiego jamniczego od Cordymana, dzięki za wsparcie od 11 miesięcy,
1046:  W ogóle, co to znaczy najdłuższy na świecie jamnik?
1048:  Ja muszę się zastanowić nad tym, Marto.
1050:  Czy to znaczy, że on będzie miał długość, która jest powyżej tej, która sprawia, że jamniki już chorują na kręgosłup?
1057:  Mam nadzieję, że nie.
1059:  Chyba, że to są takie jamniki, które są uroborosami.
1062:  I Aleksander Gut dołączył do nas, do grona wspierających.
1065:  Bardzo serdecznie dziękuję.
1067:  Dzięki za życzenia wszystkich, moi drodzy, absolutnie.
1070:  Szczwany List pisze, że zapomniała, że masz dzisiaj urodziny.
1072:  Fun fact jest taki, że gdyby nie stream, ja bym sam zapomniał, bo wiecie, co się dzisiaj działo?
1076:  Niesamowity dzień.
1078:  Musiałem wstać o świcie, jak dla mnie, to znaczy o godzinie 12, ponieważ było czyszczenie mojego osprzętu klimatyzacyjnego.
1085:  Następnie miałem Digital Dragons, a przed Digital Dragons miałem koreczek w Krakowie, wiadoma sprawa.
1090:  Na Digital Dragons mówiliśmy swoją drogą o edukacji w Game Day, bardzo ciekawy wątek, mam nadzieję, że wrócimy do niego w drugiej części live'a, jak będziemy grali.
1098:  I będzie czas, żeby pogawędzić.
1100:  I potem był wykład, a teraz mamy stream, więc dzieją się rzeczy.
1103:  Ja bym nie wiedział, że mam urodziny, gdyby nie wy.
1106:  Dominik Ślusarczyk, dzięki za wsparcie od 14 miesięcy fantastycznej fantastyki.
1109:  Oj, to by się przydało.
1111:  Dzisiaj wskoczył dla was mały prezent, to znaczy moja recenzja Rycerzy Zodiaku, żebyście wy nie musieli tego cholerstwa oglądać.
1117:  Więc bardzo bym chciał dobrej fantazy wreszcie, tak?
1120:  Ileż można czekać?
1121:  Nevermo, dzięki za zaproszenie od 5 miesięcy, wszystkiego, ja niczego.
1124:  Ja ci dam profesora, ja ci dam profesora.
1127:  To jest wredne przypominanie mi, że nie mam habilitacji.
1129:  Tak, ja wiem, ja wiem.
1131:  Co będziesz dokładnie robił w twierdzy?
1132:  Kampanię?
1132:  Tak, lecimy z kampanią, będzie zabawnie, posłuchamy sobie voice actingu, przecież nie gramy w to po to, żeby to skończyć, bo się nie da, w parę godzin najwyżej.
1141:  Natomiast będzie okazja, żeby posłuchać memicznych kwestii.
1145:  Biegają jamniki, biegają jamniki, niech nam żyje Magdziki, piękny wiersz Mikałan, wspaniałość.
1150:  Ola Nawicka się cieszy, że wróciła do jamników.
1152:  Kazerko, adept jamniczego ognia, dziękuję ci serdecznie za trybut, niech będzie podpalony.
1156:  Krzysztofie, co sądzisz o koncepcji, by dodać do Warhammera fantasy boga chaosu, który za cel obrał sobie zabicie pozostałych bogów?
1161:  Tak, to jest z Malisem w czterdziestce.
1163:  To by na pewno bardzo zdynamizowało sprawy w moim imieniu i tak myślę w każdym razie.
1167:  Co mi przypomina o tym, że kiedyś zadałem czatowi GPT zadanie napisania konfliktu pomiędzy wszystkimi bogami chaosu w Warhammerze fantasy, tylko że napisanie tego o pięknym metrum szekspirowskim.
1179:  I to wyszło nawet, tylko że po angielsku, a nie po polsku.
1182:  I witamy w gronie trybów wspierających.
1183:  ŚlimakPB11990 również, moi drodzy.
1188:  Rad Semlik, dzięki za wsparcie 17 miesięcy, najlepszego.
1191:  Bardzo Ci dziękuję serdecznie za to.
1193:  I jeszcze w dodatku Alfatra obdarowuje wsparciem.
1196:  Ja nigdy nie skończę czytać, ale to dobrze, to dobrze.
1200:  Daniel Ratajczak, dzięki za trybut, brak torcika, wszystkiego najsłodszego.
1204:  Moi drodzy, czy jest coś słodszego od tego niuchacza?
1206:  Umówmy się, nie ma nic słodszego.
1208:  Nie ma, nie istnieje taki tort, który byłby słodszy.
1210:  Zresztą torty, ja zawsze wolałem ciasteczka, na przykład takie duże ciasteczka, cookies, och, one są wspaniałe, tam są kawałki czekolady i one są takie grrrrrrrrrrube, musi być gruby cookies, wspaniałość.
1222:  Reskelion pisze, niech Jamnik zawsze będzie z Tobą, jako i z Wami, jako i z Wami, moi drodzy.
1228:  Ojej, tak, Daniel Ratajczak, jeszcze raz dzięki Ci serdecznie za trybut, a teraz, moi drodzy, muszę przeczytać 20 wspierających, którzy dołączyli za sprawą, a ja mnikołajki Alfatry, ja mnikołajki Kamy Greenberg i przy okazji podziękować za dołączenie molibdenowemu Cezaremu.
1243:  Cóż za miano do naszego grona wspierając.
1246:  Janek Żółtko dołącza, Hubert Kaj, Veles, Kometa, The Regular Gamer, IamFreedom66,
1253:  Następnie, którego też spotkaliśmy swoją drogą, jeśli mnie pamięć nie myli, w Łodzi, a może mnie pamięć myli, szaleństwo dzisiaj, Wróżka Zębuszka, Yolo Swag, Friend of Harmony, Aiena, Aleksander, Janek Żółtko i Hubert Kaj, moi drodzy, dołączają do szczęśliwego grona posiadaczy jamników.
1272:  Swoją drogą, moi drodzy, szykują się rzeczy jeszcze jamnikowe.
1276:  Ja nad różnymi rzeczami będę jeszcze starał się pracować, żeby to nasze uniwersum się rozwijało, ale w tak zwanym międzyczasie, moi drodzy, tylko sprawdzę czy to ładnie wyjdzie, ładnie wyjdzie, chciałem wam przedstawić mem ostateczny.
1288:  To znaczy mem ostateczny jest niebezpieczny i mem ostateczny, moi drodzy, udowadnia, że Legend of Total War jest jeszcze lepszym twórcą niż ja myślałem.
1298:  Moi drodzy, niech to wybrzmi!
1302:  Legend of Total War Majamnika!
1308:  Czy właśnie Legend of Total War znany z ogrywania Warhammera Fantasy stał się bardziej legendarny?
1316:  Otóż tak.
1319:  Otóż tak.
1321:  On ma Jamnika, tak?
1323:  I to jest śliczny Jamnik.
1325:  I swoją drogą było u Legenda włamanie do jego domu w Australii i strasznie się bali właśnie, czy Jamnikowi się nic nie stało, ale nie ośmielili się rabusie nic zrobić Jamnikowi, nie skrzywdzili Jamnika.
1338:  Jamnik był zbyt groźny, wzbudzał swoim majestatem potęgę i przerażenie pośród złodziei, z pewnością dlatego,
1347:  zabrali tylko nieliczne rzeczy, np.
1348:  nie zabrali komputera Legend of Total War, więc ja sobie imaginuję to tak, że Jamnik przeciwdziałał temu.
1355:  Tak było, moi drodzy, niezmyślnie, a tak, swoją drogą, dobrze, że się nic nie stało.
1358:  No straszna sytuacja.
1359:  Jeszcze raz dziękuję Kamie Grinberg i Alfatrze za obdarowanie ludzi wsparciem.
1364:  I jeszcze Jackowi79100 dziękuję za to samo.
1368:  I Garenda dzięki temu może używać jamników.
1370:  Wspaniała sprawa.
1371:  Ola Nowicka pisze z kolei, że torty są przereklamowane i za słodkie.
1374:  To zależy jakie, wiesz?
