🔴 W niektórych słownikach brak słowa honoru | LIVE #7
🔗 https://www.youtube.com/watch?v=wQ5GCGkgV0Q

129:  muzyka
182:  Witajcie wszyscy na kolejnym live naszym.
188:  W smutnych wprawdzie okolicznościach się spotykamy, ale mam nadzieję, że zgodnie z tą propozycją, którą feruję od jakiegoś czasu na kanale, uda nam się uciec do świata,
201:  fantastycznego, takiego świata, w którym jesteśmy w stanie się spotkać i rozmawiać bez wszelkich ograniczeń.
207:  Witam wszystkich serdecznie, witam trybutariuszy, witam stałych widzów, witam tych, którzy bywają na streamach naszych z gier wideo, witam tych, którzy bywają tylko na tych streamach.
220:  Witajcie serdecznie, witam wszystkich
222:  w ten niedzielny wieczór przygrywa nam Silver Maple, ponieważ streamy cały czas mamy charytatywne, moi kochani, to w górnym rogu powinniście mieć czatu, link do naszej skarbonki nam się pomaga, w tym momencie licznik pokazuje mi 60 306 zł, zdecydowałem się nie wprowadzać żadnego ograniczenia, nie zakończać zbiórki w momencie, w którym osiągnęliśmy próg,
247:  I jeszcze chciałbym podziękować serdecznie osobom, które wczoraj pod sam koniec streamu, nie zdążyłem tego odnotować, wpłaciły niesamowite datki.
255:  Między innymi dziękuję serdecznie studentom Wydziału Fizyki i Wydziału Informatyki Uniwersytetu Jagiellońskiego,
262:  Łącznie zrzucili się i wpłacili 2137 złotych memiczne, więc kochani trybutariusze, jamniki się należą, takie ukraińskie, okolicznościowe jamniki zaprojektowane przez Dominikę Klimczak, niezastąpioną absolutnie, która opiekuje się jamniczym emoji od początku naszych streamów.
280:  Więc dziękuję serdecznie za to gigantyczne wsparcie.
283:  Po dzisiejszym live'ie będę zamykać skarbonkę, żeby już te pieniądze rozliczone zostały i przeskazane przez Fundację Si Pomaga.
291:  Są, które najpilniej tej pomocy potrzebują, ale potem, jeżeli będzie tylko taka możliwość, zamontujemy nową skarbonkę, bo czemu nie?
298:  Dzięki serdeczne Wam.
300:  Studenci Uniwersytetu Jagiellońskiego, jak się okazuje, nadrabiają nadszarpniętą reputację tej uczelni.
307:  I dobrze, bo to jest właśnie piękno środowiska akademickiego, że jest tworzone przez ludzi, nie przez strupieszałe instytucje, nie przez system, który jest nam narzucany.
316:  Ludzie są najważniejsi, którzy tworzą społeczność.
319:  nauczyciele, uczniowie, studenci, dlatego takie bolesne jest to, jak się nam odbiera to człowieczeństwo nauczania, odbiera człowieczeństwo wspólnego poszukiwania wiedzy i wprowadza procedury, systemy, instytucje, blokady, podania, administracje i cały ten bagaż, który jest naprawdę zbyteczny, jak się na to spojrzy spoza...
342:  perspektywą, tą, w której jesteśmy tak zamknięci.
345:  Muzyczka trochę bliżej.
346:  Przepraszam Was strasznie, zawsze jest to ciężko bez nasłuchu stwierdzić, więc dawajcie mi na bieżąco znać.
353:  Powinno być, powinno być okej, już tak myślę.
356:  Trzy stopnie, trzy stopnie dałem niżej, powinno być okej.
362:  Mam nadzieję, że już jest w porządku.
364:  Dawajcie mi znać, jeżeli byłoby nie okej.
368:  Wreszcie powód, żeby zrobić sobie przerwę w pisaniu raportu, pisze Brandy.
372:  Tak, każdy pretekst, żeby...
375:  Była przerwa w pisaniu raportu, jest słuszny.
378:  Witajcie, witajcie wszyscy.
380:  Wciąż troszeczkę za głośno, dobrze.
381:  To cztery punkty z ciszy, powinno być już, powinno być w porządku.
385:  Witamy wszystkich stałych widzów i niestałych przybywających właśnie dzisiaj.
390:  Też mam coś dla Was przygotowane i do poczytania i mam przygotowane oczywiście też, w zasadzie to nie ja mam przygotowane, to...
398:  Discordianie w holistycznej agencji eskapistycznej przygotowali dla Was mnóstwo różnych rzeczy, które sobie obejrzymy.
406:  Sam piszę, że niektórzy sobie robią przerwę w pisaniu, a niektórzy dopiero zaczynają, tak?
410:  Tak, tak też można.
413:  Reptinia, chciałbym podziękować za stworzenie tego community.
415:  Znowu, to community samo się stworzyło, ono jest całkowicie samosterowne.
420:  Ja czasem tam wpadam tylko na Discorda, coś tam powiem, porantuję,
425:  Podrzucę jakiś link, ale społeczność się sama organizuje i z tego miejsca też chciałbym serdecznie podziękować osobom, które się opiekują na stałe Discordem.
432:  To jest, jeśli mnie pamięć nie myli, Kesalu, KluchenMuchen, Mocia i Diabeł Tasmański, zwany także Taraelem.
441:  To są nasi moderatorzy.
442:  Ostatnio też Oku do nich dołączył i to oni na co dzień dbają o to, żeby społeczność była
447:  safe for work, nietoksyczna, żeby wszystkie takie tony, które tam tworzą dysonansę niwelować i żeby wprowadzać konsonansę.
455:  Więc dziękuję Wam serdecznie też z tego miejsca.
460:  Dominika pisze, że byłby na dzisiaj nowy jamnik, ale maj jest nieuchwytny.
463:  To prawda, ponieważ maj to ja pracuję nad prezentacją na jutro, jutro o godzinie 16, mianowicie na Studenckim Festiwalu Informatyki w Krakowie w Auditorium Maximum.
475:  Będę opowiadał o tym, dlaczego gry wideo są sztuką.
478:  Więc tak, tak.
480:  Dlatego też jestem nieobecny, bo siedzę nad prezentacją i przygotowuję się.
486:  Brawa dla modów.
486:  Przyłączę się absolutnie, Erin, do tego.
490:  Anafema prosi o spóźnione jamniki.
492:  Wczoraj nie miał jak wejść, a miał urodziny.
494:  Oczywiście, że otrzymujesz ode mnie specjalne urodzinowe jamniki, Anatema.
497:  Oczywiście, że tak.
500:  Czy będzie jakaś transmisja z tego wykładu?
502:  Nie mam zielonego pojęcia, moi kochani.
505:  Gdyby to było wydarzenie online, to byście pierwsi się dowiedzieli i dostali łącza i linki.
510:  Więc, ponieważ Krzysztof bardzo rzadko podróżuje do innych województw, to dlatego w Krakowie się kisi.
516:  Wierzcie mi, jest sztuką wyciągnąć mnie nawet z mojego domostwa i mojej wieży różowej, w której jestem zamknięty.
522:  przez cały czas, haha, slanesh reference, ale wiecie, teraz zorientowałem się, nie, nie jesteśmy zapętlani, mam nadzieję, jeżeli chodzi o muzykę, no, więc to jest sztuka, żeby mnie wyciągnąć gdzieś do Krakowa, cóż dopiero do innego miasta.
536:  Witajcie wszyscy serdecznie, zgodnie z tradycją naszych live'ów, nie wyczytuję wszystkich trybutariuszy, żeby od razu przejść do pytań.
543:  które będą.
544:  Studencki Festiwal Informatyki, pisze Mike Kott, udostępnia na swoim kanale na YouTube te wykłady.
549:  No to super, to wtedy jak tylko będzie dostępny, to dostaniecie informacje.
553:  Ambient Dawida Myśliwca, tak, tak, tak, jest Silver Maple, to jest jeden z fajniejszych w tym momencie kompozytorów ambientowych.
561:  Co i różna trafia na jakiś jego utwór, to ląduje na mojej liście.
568:  Co sądzę o bojkocie kultury rosyjskiej, pisze Mezer Kare.
572:  Czy niegranie teraz Czajkowskiego i Rachmaninowa można uzasadnić okolicznościami, czy to jest trochę przesada?
578:  Wiecie, ja jestem entuzjastą i zawsze byłem kultury zachodnioeuropejskiej i amerykańskiej.
582:  Nie czułem się...
584:  jakkolwiek to głupio brzmi, słowianinem nigdy w pełni.
586:  Do czasu może wydania Wiedźmina przez CD Projekt Red, wtedy coś zagrało w mojej słowiańskiej duszy.
592:  Więc ja mam ambiwalentny do tego stosunek.
594:  Rozumiem bardzo ludzi, którzy mogą chcieć w ten sposób coś zamanifestować.
598:  I powiem z poletka fantastycznego wam o czymś, bo wydaje mi się, że to jest najbardziej neutralne.
604:  Wydawnictwo Powergraph mianowicie, które wydaje fantastykę regularnie,
608:  zrezygnowało ze współpracy z Rosjanami przy wydawaniu Roberta Wegnera.
614:  A co wielka szkoda, bo Robert Wegner to jeden z naszych najlepszych towarów eksportowych.
618:  Więc jeżeli wydawcy decydują się na takie kroki, to ewidentnie mają jakieś powody i wiedzą coś, czego my nie wiemy.
626:  I może to jest właśnie klucz do
630:  Ja mogę Wam powiedzieć, że z mojej perspektywy jest przesadą zrywanie umów bilateralnych, a są takie praktyki z uniwersytetami, bo naukowcy najczęściej są przeciwko reżimowi putinowskiemu i przeciwko totalitaryzmowi.
644:  Więc nie dziwię się moi drodzy, że kultursze tak się dzieje, bo kultura jest jednak obszarem manifestowania bardzo często idei politycznych.
653:  Problematyczne zaczyna być wtedy to, gdy przechodzi to na obszar nauki.
658:  Dziękuję serdecznie Banujowi do dołączenia do Trybutariuszy.
662:  Czy nie lepiej poznać i zrozumieć niż bojkotować?
664:  Na pewno tak Kamilu, tu się z Tobą absolutnie zgadzam.
667:  Przy czym osobiście, na tyle na ile udało mi się poznać kulturę rosyjską, entuzjastą nie jestem, no co ja poradzę na to.
674:  Natomiast cóż, nie jestem w stanie wam powiedzieć, jakby należało na to zareagować w każdym możliwym obszarze kultury, bo uważam, że są różne.
682:  Na pewno w obszarze fantastyki wahałbym się najdłużej.
686:  bo to jest naprawdę zbyteczne.
687:  Tak samo muzyka, prawda, czy malarstwo, ale już literatura, zwłaszcza taka interwencyjna społecznie, to jest pewien problem.
693:  Na przykład nie wiem, czy wiedzieliście, że Juwanoa Harari, który jest bardzo lubianym filozofem, godził się na cenzurowanie swoich książek po to tylko, żeby dosięgnęły odbiorców w Rosji.
704:  Etyczne?
706:  Tak, długo jak długo nie zajmujemy się sami etyką w swoich pracach, więc bardzo to jest dyskusyjne.
713:  Czy Code Guess był oglądany?
715:  Jeszcze nie, moi drodzy.
716:  Julia pyta, spotykam dwudziestoletniego siebie, co chciałbym mu powiedzieć?
722:  Że oceny i punkty nie są najważniejsze.
725:  To chyba byłaby najważniejsza rzecz, którą miałbym sobie do powiedzenia.
728:  I że zamiast może walczyć o stypendia, byłoby lepiej czymś się zająć równolegle, na przykład nauką programowania?
734:  O, może to bym sobie powiedział wtedy.
737:  Trudne pytanie, bardzo trudne.
740:  Trzeba trochę rozgraniczać, pisze Promet, rządy, władców i dyktatorów od ludzi kultury.
744:  Ale to robiono, wiecie, to robiono przez długi czas, przez długi czas tolerowano obecność różnych wątków, które były takie edgy w obszarze kultury, filozofii, polityki rosyjskiej.
756:  No i?
759:  To jest właśnie ten syndrom śpiącego zachodu, który nie widzi drzemiącego niedźwiedzia szykującego się do ataku, a bardzo często te sygnały możemy zobaczyć właśnie w takiej przekazie podprogowym.
770:  Zauważcie, że polityka amerykańska jest nam doskonale znana, bo każde najmniejsze wahnięcie jest obecne od razu we wszystkich filmach i tak dalej.
778:  Tak samo jest we wszystkich innych dziedzinach i we wszystkich innych stronach świata.
786:  Czajkowski to nie Wagner, też prawda, bo Wagner miał taki program, który był wymierzony w stronę czczenia kultury niemieckiej jako takiej.
798:  Ale zawsze jest ten problem wtedy, kiedy artysta za dużo zaczyna mówić o polityce i za dużo zaczyna mówić o tym, co za oknem.
805:  Dlatego ja cenię fantastykę, bo fantastyka pozwala nam na mówienie o tym, co jest za oknem, bez wychodzenia za to okno.
811:  Możemy przenieść się do innego świata i tam coś przedyskutować.
814:  Natomiast dobrze wiecie, że redaktory literackie, filmowe i inne są przyznawane dlatego, że ktoś podniesie jakiś temat medialny.
821:  No i to jest właśnie ta druga strona medalu.
824:  Okej, podnosicie tematy medialne, polityczne, ponieważ jesteście interwencyjni społecznie?
830:  Proszę uprzejmie, teraz będziecie bojkotowani, nie?
833:  Szkoda tylko, że to się przenosi też na inne obszary kultury.
838:  Mikrofon jest już maksymalnie podgłośniony, więc jeszcze troszeczkę ściszę muzykę, moi drodzy.
843:  Powinienem był to sprawdzić wcześniej.
849:  Moim zdaniem, pisze Horus, to ruchy pod publiczkę, które mają dodawać punkty do teoretycznej walki z Rosją, bo nie mają na tyle chęci, żeby dać coś faktycznego od siebie, na przykład fundusze.
857:  Funduszy jest dużo, ale faktem jest zawsze za mało, biorąc pod uwagę, że straty Ukrainy zostały wycenione na ponad 100 miliardów dolarów na tym etapie.
867:  Kinga pisze, hej Krzysztofie, muszę napisać opis artykułu naukowego związanego z grami, ale mnie trochę wystraszyło słownictwo w tych tekstach.
873:  Czy mogłybym podlecić jakiś prosty artykuł z łatwiejszą terminologią?
877:  Zacząłbym od dwóch książek.
