🔴 W życiu i w szachach najtrudniej być szarym | LIVE #30
🔗 https://www.youtube.com/watch?v=GZOkaxY_-Ug

82:  Muzyka
141:  KONIEC
172:  Przybyłych z pewnym drżeniem stworzony witam, ponieważ padliśmy, moi drodzy, ostatnio ofiarą paskudnego spisku.
181:  Spisku wrogich maszyn, które odcięły internet, uniemożliwiły nam rozmowy przy herbacie i ambiencie, które uskuteczniały przecież zawsze w trzecią niedzielę miesiąca.
192:  Więc co teraz?
193:  Ja nawet się zastanawiam, czy to jest w ogóle możliwe, żebyśmy się spotkali w takim razie w czwartą niedzielę miesiąca.
200:  mówicie, że coś się dzieje z dźwiękiem
205:  Już wiem.
206:  Teraz będzie wszystko w porządku.
209:  Widzicie, ja miałem nadzieję, że wystartujemy bez żadnych poślizgów, że usprawiedliwię się przed wami, że mieliśmy problemy techniczne ostatnio i nie, nie udało się absolutnie.
222:  Oczywiście, że się nie udało.
223:  Muszą być zawsze jakiegoś rodzaju kiksy i dziwne rzeczy.
227:  Przepraszam was jeszcze najserdeczniej raz za to wszystko.
230:  Mam nadzieję, że w najbliższym czasie będzie z internetem lepiej, ale właśnie...
234:  Pomyślałem sobie, że zrobimy z tego asumpt do krótkiego mojego mini rantu na temat tego i to pod waszą dyskusję i pod waszą rozwagę kieruję.
244:  Mianowicie, jak to jest, że wszystko mamy, to znaczy mamy wodę, mamy prąd i inne tego rodzaju podstawowe usługi gwarantowane przez państwo lub przez miasto lub przez wieś, w której mieszkamy.
254:  Natomiast nie dotyczy to z jakiegoś względu internetu.
258:  I teraz kieruję to w stronę wszystkich ludzi, którzy uważają, że państwowe usługi da się sprywatyzować.
263:  No to teraz wyobraźcie sobie, że dokładnie tak samo jak za internet, płacicie za wodę do jakiegoś prywaciarza, który pewnego dnia ustali, że woda generalnie jest dostępna do 7 litrów dziennie, ale...
277:  no przypadkowo akurat dzisiaj jest jeden litr tylko dostępny, no przepraszam, no w umowie, w umowie jest do siedmiu litrów dziennie, nie?
287:  Przepraszam najmocniej, kapitalizm, możesz pójść do innego dostawcy wody, on będzie mieć w umowie, że jest do dziewięciu litrów miesięcznie i oczywiście kupujcie to do dziewięciu litrów, ale tam, u tego usługodawców okaże się, że jakiś problem pewnego dnia jest, no i przykro mi,
305:  Będzie półtora litra tylko.
306:  Wyobrażacie sobie coś takiego?
308:  No to właśnie tak wygląda nasz internet.
310:  I bardzo bym chciał, żeby przynajmniej była alternatywa w postaci jakiegoś nawet minimalnego, wszystko jedno, gwarantowanego przez państwo internetu, który jest dostępny dla wszystkich.
319:  I nie jestem w stanie zrozumieć, dlaczego tego nie ma.
321:  Koniec mojego minirantu na temat internetu.
324:  Podkreślę, że najlepsza konkurencja jest taka, kiedy mamy usługi publiczne i usługi prywatne, które mają być lepsze od publicznych.
331:  Natomiast jeżeli jest wolna amerykanka i są wyłącznie usługi prywatne, to kończy się to właśnie w ten sposób, że nagle nie można mieć normalnego internetu i szlak człowieka trafia.
340:  O, co sądzisz o zadawaniu prac na tydzień?
343:  Pytanie od Sobet, Shad, Cookie, a niekiedy nawet jeden dni.
347:  Po feriach.
348:  Ferie to jest zabawny czas, nie?
350:  To znaczy słyszymy, że wtedy trzeba odpocząć, że wtedy trzeba się zregenerować.
354:  No i właśnie dlatego trzeba zadać na ten czas pracę.
357:  To jest ciekawe, ponieważ przy okazji bardzo dziękuję i Michałowi Pęksie i Kajnemu, którzy są jamnikowami i rozdają wsparcie dla ludzi, żeby mogli używać jamników.
365:  Więc zauważcie, że problem polega na tym, że to jest tradycja wzięta z krajów, w których macie prace semestralne na przykład, albo prace trymestralne, dłuższe i tego rodzaju projekt faktycznie bardzo często realizujecie na feriach.
378:  Na studiach też tak jest.
379:  A u nas są dwa systemy połączone w jeden.
381:  To znaczy system, w którym zadajemy zadania dziennie, z dnia na dzień.
385:  bardzo często też na weekendy, plus jeszcze prac semestralnych, które są zadawane większe na okresy wolnego, skutkiem czego ludzie nie mają się kiedy regenerować.
