🔴 Ćwiczę pamięć, by umieć zapominać | LIVE #6
🔗 https://www.youtube.com/watch?v=SivTj36l0BQ

8:  Dziękuje za uwagę.
82:  Muzyka
160:  Witajcie, witajcie, witajcie.
163:  Na kolejnym już Q&A przyciszam odrobinkę muzykę.
167:  Witam wszystkich najserdeczniej.
170:  Tak, chyba szósty raz się spotykamy już, jeśli dobrze pamiętam.
175:  Isterek dla wszystkich, którzy przyjęli się tytułem.
178:  Tytuł oczywiście wzięty jak zawsze ze Stanisława Jerzego Leca z Myśli Nieuczesanych.
183:  Jak mi miło was wszystkich tłumnie tutaj widzieć.
186:  Jak mi miło.
187:  Krzysztof tym razem włączył mikrofon z Gretku.
190:  Ostatnio mieliśmy taką sytuację na streamie, że zrobiliśmy epicki wstęp, ponieważ tak pojawiły się ekrany ładowania i po epickim wstępie Krzysztof mówił, witał się ze wszystkimi.
200:  radośnie, rzucał dykteryjkami, nawiązywał do tytułu filmu, po czym zorientował się, że zrobił dokładnie to samo, co każdy, absolutnie każdy wykładowca zawsze podczas edukacji zdalnej, to znaczy nie włączył mikrofonu.
212:  Witajcie, niech będzie podpalony.
214:  Jak mi miło Was widzieć wszystkich tłumnie tutaj dzisiaj zgromadzonych, bardzo tłumnie.
219:  Jest plan, moi kochani, jest plan jak zawsze i plan jest tym razem szczególny, mianowicie będziemy mieli Q&A w dwóch częściach.
228:  Będzie część pierwsza,
229:  będzie część druga, a między tymi dwiema częściami będą dla Was dwie niespodzianki.
234:  Jedną już ujawniłem, będziemy mianowicie wchodzić na Discorda Holistycznej Agencji Eskapistycznej do bardzo specyficznej zakładki, do holistycznej twórczości.
243:  Będziemy oglądać Wasze prace, różnego autoramentu i zobaczycie, jak bardzo różnego autoramentu.
249:  Dla wszystkich pytających zwykle o muzykę, powinien być tutaj taki sympatyczny applet graficzny, w ten sposób będziecie mogli śledzić to, co jest aktualnie grane.
259:  Mam nadzieję, że dźwiękowo jest wszystko w porządku, ponieważ nie mam dzisiaj na słuchu, na sobie, ale generalnie wszystko wskazuje na to, że powinno być ok.
267:  Dzisiaj będzie nam przegrywać taki cikusinki ambiencik, który możecie znaleźć zresztą na Spotify, to lista się nazywa po prostu Q&A.
277:  No właśnie, tak sądziłem.
282:  Zobaczymy, czy będzie okej teraz.
285:  Chyba powinno być okej.
287:  Dobra.
289:  Więc kochani, tak, robimy tradycyjnie w ten sposób, że zadajecie pytania, a ja odpowiadam na życzone pytania.
298:  Tak będzie, tak będzie, moi drodzy.
301:  Tak będzie.
303:  Znowu tutaj się spotykamy, wstaw mem z Asterixa i Obelixa.
306:  Tak, tak.
307:  Z muzyką jest, wiecie, tak, że są różnice tonalne, więc czasem będzie tak, że będzie nam przygrywać ciszej, czasem będzie tak, że będzie nam przygrywać głośniej.
317:  Tak się po prostu zdarza.
319:  Być może ta pierwsza rzecz, to znaczy Night Shiver, była po prostu zbyt głośna jako taka.
326:  Dobra.
327:  A więc, moi drodzy, teraz gra nam Silver Maple, czyli Srebrny Klon Residuum.
333:  Niedziela wieczór, jaki jest humor.
334:  Humor jest wspaniały.
335:  Kiedy Warhammer Total War 3?
337:  O, to pytanie mi się bardzo podoba.
339:  W środę.
340:  Dostałem dostęp od Creative Assembly i będziemy w środę wypróbować Grand Cafe i niespodzianka również Cinch'a, więc będzie stream w dwóch częściach.
349:  Nie wykluczam niespodziewanych streamów w inne dni tygodnia na okoliczność premiery Warhammera 3.
355:  Wasze zdrowie.
358:  Ja mi minęła niedziela od tej pory wstałem.
361:  Ja jestem zwolennikiem późnego wstawania.
366:  To nie jest tak, że Krzysztof mówi jedną rzecz na YouTubie, a drugą rzecz robi w swoim życiu.
370:  Nie, ja praktykuję bardzo usilnie i z pełną determinacją wstawanie tym później, im wcześniej musiałem wcześniej w życiu.
379:  Rozstrzygnijmy to, proponuje Carnac Hall.
382:  Włączać czy włączać?
383:  To jest bardzo proste.
384:  Macie włącznik, niewłącznik.
387:  Słowotwórstwo zawsze pomaga, jeżeli ciężko jest zapamiętać jakąś fleksję.
391:  Innowacyjne takie pytania i odpowiedzi na Q&A, prawda?
