100% Gaimana w Gaimanie | SANDMAN (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=EoCbXWYPaJI

0:  Serial Sandman nie miał prawa się udać przynajmniej z dwóch powodów.
3:  Po pierwsze, premieruje na Netflixie, czyli platformie, która wprawdzie zaczynała od seriali kinowej jakości jak House of Cards, ale z biegiem czasu zaczęła robić takie potworki jak drugi sezon Wiedźmina.
15:  Po drugie, proza Gaimana była wiele razy ekranizowana i do samego Sandmana, czyli komiksów legendarnych już autorstwa Anila Gaimana, Anil Gaiman oczywiście tam napisał wyłącznie tekst, artystów, którzy rysowali kartusze, było wielu,
30:  Miała być ekranizowana wiele razy, ale nigdy się to nie udało i trudno się dziwić, bo jeżeli prześledzimy ekranizację i adaptację Prozeny dla gamena, nie wszystkie są dobre.
40:  Osobiście najwyżej cenię Gwiezdny Pył z fantastyczną rolą Roberta De Niro, wcielającego się w Kapitana Szekspira, jak również zaskakującą, dobrą animację kukiełkową na podstawie koraliny.
53:  Tegoż pisarza Coralina jest z kolei kierowana raczej do młodszego odbiorcy.
57:  Sandman reprezentuje ten zaś nurt w prozie Gaimana, który najbliżej można byłoby określić mianem New Year, fantazy postmodernistycznej, która igra z różnymi konwencjami, nie boi się włączania elementów horroru, elementów thrillera, elementów science fiction, niekiedy cyberpunka, wielu, wielu innych i tworzy taki amalgamat różnych konwencji, który jednakże zakorzeniony jest w świecie rozpoznawanym przez nas jako świat fantazy.
83:  Tak też jest w przypadku Sandmana w Netflixowego, który jest najbliższy konwencji fantastyki miejskiej, znanej chociażby z takich seriali jak Cienikość czy Carnival Row.
95:  I spieszy do niej, że ten eksperyment, który nie miał prawa się powieść, powiódł się.
100:  Mimo, że nie czytałem komiksów Guymana, więc nie znałem fabuły, znałem tylko estetykę tego świata, znałem lore, wiedziałem jakie tam występują postaci, bawiłem się przed nią.
111:  I mogę śmiało powiedzieć, że ci, którzy czytali komiksy nie powinni być rozczarowani tym, jaką aurę w nich występującą zachowano w serialu.
122:  Mroczną, fascynującą, niesamowitą i oddalającą również oryginalność
129:  wielopostaciowej kreski komiksowej, tak jak mamy wielu artystów rysujących kartusze komiksowe dla Sandmana, tak też mamy w serialu wiele różnych settingów.
140:  Zaczynamy
142:  W XIX wieku zaczynamy w settingu typowym dla fantastyki miejskiej właśnie, łączącym postindustrialny świat czy świat rewolucji przemysłowej ze światem fantastycznym, w którym występuje tytułowy sermen.
156:  Piaskun, jakbyśmy powiedzieli za opowiadań Ersta Theodora Maddowsa Hoffmana, który jest zamknięty w magicznym kręgu przez potężnego maga.
164:  I od tego się wszystko zaczyna.
165:  Później się dowiadujemy, że Piaskun jest tylko jednym z wielu reprezentujących The Endless od wiecznych, jak Despair, jak Desire, jak Death, jedna z najlepszych postaci, która tutaj będzie występowała.
179:  I potem przechodzimy do kolejnych settingów, do baśniowego dreaming, czyli śnienia, domeny, w której rezyduje Piaskun.
187:  Pojawiają się elementy cyberpunka, noir, nawet kina tarantinowskiego.
192:  Ostatnie cztery części to w zasadzie coś, co byłoby najbliższe filmom w stylu Seven, więc jeżeli ktoś lubi i kino Davida Finchera i tego rodzaju produkcja, chociażby True Detective, to jak najbardziej bezwzględnie polecam zapoznanie się z tym serialem, jeżeli macie problem z fantastyką, bo fantastyka, typowa fantazy...
215:  pełnia pierwsze pięć części, w zasadzie, które odpowiadają komiksowym Preludes and Nocturnes.
222:  Cztery ostatnie części to zaś adaptacja Domu dla Lalek.
226:  Natomiast część szósta serialu
229:  Rozgrywa się pomiędzy nimi.
231:  Jest bodaj najpiękniejszą.
232:  To w zasadzie filmowa etiuda fantastyczna o przemijaniu i śmiertelności.
237:  Fantastyczna, wyciskająca łzy z oczu i wzruszająca.
243:  Serial także jest znakomicie zagrany.
245:  I nie tylko zaskoczył mnie Stephen Fry Charles Dance, ale także absolutnie rewelacyjnie dobrany do twórstwa głównej roli Tom Sterridge.
256:  To jest charyzmatyczny, magnetyczny
259:  Uśmiecha się bodaj przez cały serial trzy razy i za każdym razem jest to pół uśmiech.
265:  Śmiało, śmiało mogę powiedzieć, że mamy tutaj do czynienia z aktorstwem najwyższej próby.
272:  I to nie tylko z aktorstwem, do którego jesteśmy przyzwyczajeni właśnie w serialach, ale aktorstwem kinowym.
279:  No i wreszcie, co najważniejsze, muzyka.
284:  Pierwszy raz pamiętam temat muzyczny z serialu.
288:  Długo, długo minęło po House of Cards, żeby jakikolwiek temat z jakiegokolwiek serialu fantastycznego tak bardzo wbił się w moją wyobraźnię i w pamięć i tak dobrze oddawał świat Sandmana.
301:  Śmiało można rzec, że ktoś, kto nie czytał komiksu i zapierze się za ten serial, ale z zamiarem przeczytania komiksu, może się poczuć do tego przeczytania zachęcony.
309:  Skąd to wiem?
310:  Ja się poczułem, mimo problemów z czytaniem komiksów, o których Wam już powiedziałem.
315:  A zatem, jeżeli ktoś nie widział Sandmana, absolutnie nie powinien.
317:  Jeżeli ktoś czytał Sandmana z kolei, tym bardziej powinien to zobaczyć, żeby skonfrontować swoje wyobrażenia z tym, co zostało tutaj zrealizowane, zwłaszcza, że
326:  Ja akurat miałem przyjemność oglądać cały film bez schematu, który zna komiksy Sandmana na wyrywki, co jakiś czas podskakiwał z wrażenia mówiąc, że zostało to zrealizowane lepiej niż w komiksie, w tym sensie, że przydano głębi postaciom, różnym wątkom, które nie zostały tam w dostateczny sposób rozwinięte.
343:  Jeżeli jesteście zainteresowani pogłębioną dyskusją, a nie tylko moją krótką impresją od Matt Sandmana, jak zawsze będzie dłuższa dyskusja na łamach bez schematów, więc Was serdecznie już teraz zapraszam.
352:  We wtorek o 18 będziemy na ten temat dyskutować.
355:  Oczywiście będzie także zapis streamu.
357:  A ja tymczasem śmiało mogę rzec, że miałem do czynienia z wielką sztuką na srebrnym ekranie.
363:  Sztuką, która wymaga...
365:  Nie tylko kompetencji, żeby ją zrozumieć, ale także wrażliwości.
370:  Miłości do fantastyki, miłości do piękna.
373:  I myślę, że jeżeli spełniacie wszystkie te kategorie, a nie znacie właśnie Thundmana, nie znacie innych utworów New Weird, nie macie osławionych kompetencji, to będziecie zachwyceni.
384:  Bo to jest doświadczenie.
386:  Przepiękne, fantastycznie zrealizowane, z dobrym budżetem, z świetną jakością produkcyjną i przede wszystkim z szacunkiem dla oryginału.
394:  Do następnego.
