Best. Metal. Ever | STRANGER THINGS — SEZON 4 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=fbYdgWggkOk

0:  Stranger Things jest świetne!
3:  Prawie tak świetne jak mapa Warhammera Fantasy wykonana przez niepraktycznego kartografa, polecam.
9:  Ale serio, sezon czwarty Stranger Things przy wszystkich jego wadach, główną z nich oczywiście jest to, że został rozbity niepotrzebnie uważam na dwie części, z których to druga jest o wiele za długa i...
23:  Oczywiście wprowadza za dużo bohaterów, na co zwracają uwagę liczni recenzenci, także tacy, którzy mają o wiele lepszą pamięć niż ja, ale poza tym jest naprawdę rewelacyjny.
33:  Ogląda się to tak jak stare, dobre seriale na Netflixie, to znaczy te jeszcze sprzed roku,
40:  kiedy to chodziło o to, żeby opowiadać dobre historie i tworzyć piękne światy, a nie tylko, żeby odhaczać kolejne punkty na chatliście reprezentacji ważnych idei dla różnych środowisk, którym to ideom zresztą zaznaczę to.
56:  Sprzyjam osobiście, ale jak wielokrotnie powtarzam na tym kanale, istotne jest to, żeby postaci, które kreujemy, miały osobowość, miały głębię, a nie tylko charakteryzowały się jedną etykietką, to znaczy
70:  miały określony na przykład kolor skóry lub orientację seksualną i nic poza tym.
76:  Takich postaci nie znajdziemy w Stranger Things, rzekłbym.
80:  Nawet w sezonie czwartym, który owszem wprowadza kolejne po to tylko, żeby je zmieść z planszy.
86:  Nie powiem wam o jakie postaci chodzi, żeby unikać spoilerów.
90:  Ale prawda jest taka, że
92:  Jak zawsze będę podkreślał, że nie fabuła jest tutaj istotna.
96:  Stranger Things oglądamy tak samo jak każdy poprzedni sezon.
101:  Jest ta sama fabuła, takie same założenia, za każdym razem moc miłości i przyjaźni zwycięża nad strasznym złem, które zawsze czai się w Hastings i zawsze dybi na naszych bohaterów, którzy zawsze, dokładnie jak bohaterowie z Kubiego Duu, trafiają
117:  w epicentrum wydarzeń i tylko oni, a nie ci głupi dorośli, są w stanie rozwiązać zagadkę.
123:  I dobrze, taka jest formuła, jej właśnie oczekujemy.
127:  Ale pojawia się wreszcie, w sezonie czwartym, to na co czekałem tak długo.
133:  I nie obawiajcie się, nie będzie spoilerów.
135:  Dzięki temu, że narracja została mianowicie rozbita,
139:  na dwa plany.
140:  Na jednym planie dowiadujemy się więcej na temat przeszłości jedenastki i drugi plan, na którym to dowiadujemy się więcej na temat samego Upside Down, czyli tego miejsca na opak, na Nice, do którego trafiają nasi bohaterowie.
160:  Serial bardzo zyskuje na głębi światotwórczej, dzięki właśnie tym rozbiciu na dwa plany.
166:  I mogę znieść to, że na tych dwóch planach przemieszczają się bohaterowie w bardzo rozdrobnionych podgrupkach i wskutek tego
175:  Bardzo często też mamy do czynienia z szybkimi cięciami i przenoszeniem nas z jednego planu fabularnego i czasowego na inny.
183:  Jest to posunięte do tego stopnia, że niektórzy z bohaterów, których mogliście polubić w poprzednich sezonach, praktycznie nie będą mieć już czasu ekranowego i narzekają niektórzy, którzy nie lubią chociażby wątku jedenastki i jej skomplikowanej przeszłości w zakładzie, gdzie nad nią eksperymentowano po to, żeby uwolnić jej psjoniczne moce.
204:  mogą być troszeczkę mniej zadowoleni z tego tytułu.
207:  Ja osobiście wątek jedenastki ubóstwiam, ponieważ on pozwala mi dowiedzieć się więcej na temat tego, co jest oczywiście najpiękniejsze w każdej fantastyce, a mianowicie magii.
217:  Ale właśnie, pomijając elementy magiczne, fantastyczne, światotwórcze, w Stranger Things jest to, co bardzo rzadko gości w zasadzie na ekranach, a mianowicie groza.
228:  Niewysłowiona groza i dobrze zrealizowana.
231:  Taka groza, o której Manuela Giry na przykład mówi, że jest grozą numinotyczną.
236:  Co to znaczy?
237:  Numinozum to jest coś niesamowitego, coś przerażającego, ale zarazem fascynującego, z czym chcemy się zmierzyć i z czym chcemy się zetknąć.
246:  I symbolem tego jest Wekna.
250:  Straszliwy potwór, który jest wzorowany zresztą na Leachu z uniwersum Dungeons & Dragons i jego model postaci również nawiązuje do tego, w jaki sposób portretowany był ten Leach, ale zarazem również do tego, jak Wekna kontroluje wszystkich i wszystko.
266:  I wydawałoby się, że znacznie więcej niż moglibyśmy przypuszczać.
270:  Mówię tak ogólnie, że nie zarzucicie mi nadmiaru spoilerów, ale nie mniej...
277:  Jeszcze raz podkreślę, to nie spoilery fabularne zepsują wam przyjemność z oglądania Stranger Things.
284:  Nie.
284:  Przyjemność z oglądania Stranger Things zepsuje wam nastawienie na to, że zobaczycie coś nieprawdopodobnie i niewysłowienie oryginalnego.
292:  Że oto zostanie przełamana formuła fabularna i teraz w tym dekokcie będą sulać i pluskać się inne ingrediencje.
300:  Otóż nie.
301:  Będzie dokładnie tak samo.
303:  I epicki finał, który tak zapowiadał Netflix...
