Castlevania trzyma poziom | CASTLEVANIA: NOCTURNE (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=YDgNe6FIbI8

6:  Chapeau bas!
7:  Jeśli czegoś mi brakowało w serii Castlevania, spośród całej wspaniałej galerii portretów postaci wampirycznych z historii, to chyba tylko krwawej hrabiny Elżbiety Bathory, która, nawiasem mówiąc, najprawdopodobniej, przynajmniej tak każą nam wierzyć źródła historyczne, wampirzycą nie była, choć taką ją portretowali przeciwnicy polityczni,
29:  ale przynajmniej przez powinowactwo z królem Stefanem Batorem mamy polski akcent w historii wampirów, więc należy się cieszyć.
36:  I co tam historia?
37:  Ważna jest ta alternatywna, przedstawiona w uniwersum Castlevanii, gdzie ścierają się z wampirami klany magów, ale przede wszystkim, przede wszystkim wojowników, konkretnie rodziny Belmont, z której tutaj kolejną lataroślą mamy okazję się potykać.
55:  Konkretnie jest to Richter Belmont, który...
58:  doświadczywszy śmierci swej matki w Bostonie, przepływa w Wielką Wodę i tam zostaje przygarnięty przez, jak się okazuje, matkę późniejszej rewolucjonistki.
70:  I jego siostra Maria Renard rzeczywiście każe nam sobie przypomnieć o wszystkich rzeczach, które znamy dobrze z historii rewolucji francuskiej, nastrojów antykościelnych, antyarekstokratycznych, które kulminują tutaj tym bardziej
85:  że w roli arystokratów oraz duchownych mamy bardzo często wampiry.
90:  Już to faktyczne wampiry, już to wampiry energetyczne lub finansowe.
93:  W każdym razie ten wampiryzm staje się tutaj bardzo ciekawą metaforą walki klas.
99:  Oczywiście niektórym się może to nie spodobać, ale przypominam,
102:  że w tym świecie walka klas jest uzasadniona w tym prostym znaczeniu, że klasą wyższą najczęściej są nieśmiertelni nieumarli, czyli wampiry, w związku z powyższym ludzie siłą rzeczy prędzej czy później stają się rebeliantami.
117:  Jeżeli chodzi o
119:  Siostrę przyrodnią Belmonta jest ona Maginią.
121:  Belmont natomiast, i to jest ciekawa różnica w stosunku do jego poprzednika, ponieważ serial rozgrywa się 300 lat po oryginalnej Castlevanii, łączy w sobie umiejętności nie tylko wojownika, ale także i maga.
132:  Jest jeszcze akcent kolonialny, ponieważ pojawiają się także...
136:  zbiegli niewolnicy z plantacji na Wyspach Karaibskich, którzy też mają interes w tym, żeby walczyć z wampirami, a jeszcze nie zdążyłem wspomnieć, że w tle jest arcywampir, który zabił matkę Belmonta, bo oczywiście, że jeżeli pojawia się jakiś kolejny potomek Belmontów, naturalnie, że będzie on straumatyzowany, oczywista, że będzie mieć problem z odblokowaniem swoich zdolności, bo ostatecznie mamy do czynienia także z ekranizacją gry wideo, w związku z powyższym ten progres w rozwoju postaci musi być widoczny.
166:  Ale nieprzypadkowo, moi drodzy, zacząłem akurat od tego kadru przedstawiającego Erzbeth Bathory.
170:  Ona lśni jako antagonistka.
173:  A pamiętajmy, że biorąc pod uwagę fakt, że ampagonistą oryginalnej serii był najbardziej legendarny pośród wszystkich wampirów, czyli sam hrabia Dracula,
182:  Poprzeczka jest postawiona wysoko, bardzo wysoko, wyjątkowo wysoko.
187:  Oprócz tego mamy jeszcze pomniejszego antagonistę, raczej w funkcji antybohatera, a więc takiego antagonisty, z którego motywacjami możemy jakoś sympatyzować.
196:  No i jest to lokalny pleban, no cóż mogę powiedzieć, zawsze pojawia się w Castlevanii lokalny pleban, który ma wiele za uszami.
203:  Ale jaka jest jego dokładna rola, tego wam nie zdradzę, podpowiem jedynie, że łączy się to w pewnym sensie z tym, co znacie już z lore, czyli wiedzy o świecie oryginalnej Castlevanii.
213:  Podstawowe pytanie, na które wszyscy sobie powinni odpowiedzieć, ci z was, którzy nie obejrzeliście Castlevanii oryginalnej, to przede wszystkim dlaczego i co tu jeszcze robicie i dlaczego nie obejrzeliście tego znakomitego serialu.
224:  Ale drugie pytanie, które można sobie postawić, to czy trzeba obejrzeć oryginalną Castlevanię, żeby zrozumieć w ogóle, co się dzieje w Nocturne.
231:  I od razu spieszę z odpowiedzią nie.
233:  To znaczy, to jest historia całkowicie samodzielna.
236:  Oczywiście pojawiają się tam pewne akcenty
239:  które można rozpoznać, jeśli się znało oryginał, natomiast wciąż nie trzeba tych sezonów, które dotychczas wyszły, obejrzeć przed Nocturne.
248:  Myślę, że Nocturne może być takim gateway drug, jak mawiały anglosasi, a więc dobrym zakąskiem przed wieczerzą, jaką jest właściwy posiłek, czymś, od czego możecie zacząć poznawanie uniwersum i dopiero potem podążyć dalej w wszystkie meandry, które są tam dostępne do zaoferowania.
267:  Znakomity jest to serial od strony chyba najbardziej muzycznej i wizualnej.
272:  Fantastycznie są przedstawione postaci.
274:  Fabuła, no nie spodziewajcie się zbyt wiele.
277:  Na pewno będzie bardziej zaawansowana niż w grze wideo, na której motywach są osnute obydwa seriale.
283:  Natomiast wciąż jest to fabuła serialu animowanego i trzeba taką ją traktować.
288:  Dlatego też powiedziałem, że...
290:  Arkane stoi zdecydowanie wyżej pod względem narracyjnym i fabularnym od Castlevanii, ale też Castlevania ogląda się z... dlaczego innego?
297:  Oglądamy ją właśnie dla klimatu, atmosfery, dla muzyki i dla wspaniałych efektów wizualnych, a jeśli jeszcze podoba się wam kreska, tak jak mnie, to naprawdę będziecie zachwyceni.
307:  Niesamowicie polecam, na pewno jedna z premier na Netflixie, na które warto zwrócić uwagę, oprócz niedawnych ekranizacji i opowiadań Oralda Dalla w reżyserii Wes Andersona, które też wam nawiasem mówiąc polecam,
317:  ale przede wszystkim Castlevania Nocturne absolutnie do obejrzenia, pozostaje serdeczny Castlevanii również.
324:  No to co, do następnego i oby równie dobrego serialu.
