Cień daje w kość | SHADOW AND BONE — SEZON 2 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=P_UjYEmDZsM

0:  Tyle.
2:  Tyle materiału fabularnego mieszczą sobie w tym momencie dwale dwie sezony serialu Cień i Kość, który podjął się nielichej próby zekranizowania bardzo, bardzo dużego materiału fabularnego wyprodukowanego przez Libardugo w dwóch jej cyklach.
19:  Po pierwsze cyklu o Alinie Starkow, a po drugie cyklu o Kazie Brekerze i reszcie
26:  Szóstki Wron tytułowej, co na początku w pierwszym sezonie jeszcze działało, ponieważ dynamizowało nam fabułę i sprawiało, że mieliśmy wiele wątków bardzo interesujących, przede wszystkim jeden poświęcony odkrywaniu magii, która w świecie Libardugo, w świecie Griszów jest małą nauką, więc traktowana jest naukowo, a z drugiej strony...
47:  Taki lekki wątek przypominający heist movie, trochę kryminału, gdzie mamy fantastyczną pikarejską opowieść o antybohaterach walczących z zniewoleniem i uciskiem klas niższych w kupieckim państwie mieście.
63:  Więc to działało, natomiast w drugim sezonie zaczynają być już pewne problemy.
67:  Więc odpowiadając bardzo krótko na pytanie zawarte na miniaturze,
71:  Nie, Cieni Kość to nie jest absolutnie drugi Carrie Valraux, ma wszystkie zalety i wady serialu na Netflixie.
78:  To znaczy, zaletami jest to, że jest dostępny w całości, a wady są typowe, tak jak dla seriali fantasy na Netflixie.
86:  Od razu powiedzmy sobie, że nie jest to absolutnie ten kaliber wady, co przy Wiedźminie.
91:  Jest to serial dobrze zrealizowany, widać w nim budżet, przede wszystkim jeżeli chodzi o efekty specjalne, które naprawdę są istotne w uniwersum Griszów, gdzie połowa magów posługuje się magią żywiołów, a reszta straszliwą magią cieni, jak chociażby nasz główny antagonista, fantastycznie zresztą zagrany i powracający tutaj zza fałdy, gdzie zniknął
112:  Pod koniec pierwszego sezonu razem z armią cienistych stworów niczewojów, czyli dosłownie demonów nicości, których nie ma się ani magia, ani kule, bo świat to XIX wieczny na poły, ani nawet najstraszliwsze z zaklęć dostępnych wszystkich.
128:  W związku z powyższym, prokatorowie Oto mają problem i znajdują także asumpt do tego, żeby po raz kolejny poprosić o pomoc Szóstkę, Wron i Kazabrekera, żeby wykradli mianowicie magiczny artefakt, który pomoże w walce z niczewojami.
142:  A w tle zawiłości dynastyczne związane z
145:  z wprowadzeniem nowego bohatera, nie będę spoilował dokładnie o co chodzi, i szansa na zjednoczenie Ravki już wtedy, kiedy naszej głównej bohaterce, to znaczy Alinie Starkow, uda się wschodnią i zachodnią Ravkę połączyć poprzez zniszczenie przedzielające jej fałdy, jednej z najstraszliwszych kreacji naszego cienistego maga i antagonisty.
