Czarne lustro się skończyło 🥺 | BLACK MIRROR — sezon 6 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=7g2TweJhp4U

0:  Charlie Brooker, powiedz przecież, że dystopii już nie chcecie.
4:  Co się podziało z Czarnym Lustrem?
7:  To był serial wzorcowy, jeżeli chodzi o realizację konwencji dystopii, a zatem takiej narracji utopijnej, która niby przedstawia nam futurystyczny, wspaniale zorganizowany świat, nowy wspaniały świat jak Uldosa Huxleya,
21:  ale tam jak ze drzewy te pozłote, to coś się gnije i niestety spieszę z wiadomością, że najnowszy szósty sezon Czarnego Lustra, Czarnego Blukera, no właśnie zaczyna gnić i to w przynajmniej dwóch znaczeniach tego słowa.
37:  Po pierwsze, jeśli chodzi o formę artystyczną, no zdecydowanie poziom pikuje w dół, natomiast z drugiej strony gnije także dlatego, że pojawiają się tam elementy horrorowe.
47:  I z jakiego powodu, to dowiemy się w drugiej części tej recenzji, ale na razie na czym polega problem?
53:  Mianowicie, generalnie w szóstym sezonie, jeżeli chcecie i jesteście fanami Black Mirror zobaczyć, jak się serial rozwija, polecam dwa odcinki.
60:  Joan is Awful i Beyond the Sea.
63:  Joan is Awful opowiada historię, w której nagle okazuje się, że pewna korporacja, Streamberry, nie no nic z Netflixem,
70:  umożliwia realizowanie live wygenerowanych przez sztuczną inteligencję nieco satyrycznych i bardzo negatywnych obrazów z naszego życia.
79:  Pój teraz.
80:  Jest to rzeczywiście dość przejmujące, chociaż pojawiały się tam jakieś momenty skatologiczne, czyli takie fekalne.
85:  Niefajny humor, jeżeli ktoś tego nie lubi.
88:  Drugi odcinek, Bion Vessi, znaczy trzeci w kolejności, ale drugi wart polecenia.
92:  Z kolei opowiada o replikantach, którzy muszą sobie jakoś poradzić w sytuacji podróży pokosmicznej.
99:  Nie będę zdradzał dokładnie, o co chodzi, ale odcinek ten bardzo intensywnie nawiązuje do tego, co się zdarzyło nakładem sił Marilyn Mansona i ta słynna historia, która zresztą też się pojawiła dawno temu w Hollywood.
113:  Natomiast pozostałe odcinki mocno rozczarowują.
115:  Locke Henry chyba najbardziej, bo to jest po prostu taki true crime,
120:  odcinek detektywistyczny, w którym mamy zagadkę bordersta, którą tropią studenci, ale wiecie, studenci używają kamer, więc Black Mirror i technologia.
129:  A pozostałe odcinki są jeszcze dziwniejsze.
131:  Myślę, że chyba najmniej pasuje do całości antologii czwarty i piąty.
136:  Mianowicie czwarty to odcinek o paparazzi, która
140:  Stara się wyśledzić jakąś gwiazdę za strasznie duże pieniądze, która to gwiazda znajduje się w miejscu odosobnienia, ponieważ dziwne rzeczy się z nią dzieją, wilkołacze się z nią rzeczy dzieją, krótko mówiąc, więc jest to horror i dokładnie to samo się dzieje w Demonie 79, gdy mamy dosłownie rytuał przyzwania demona, co naprawdę nie przypomina mi szóstego sezonu Czarnego Lustra, tylko raczej drugi sezon Gabinetu Osobliwości Giel Mordentoro.
169:  I tutaj jest mój największy problem, to znaczy Czarne Lustro w którymś momencie zaczyna realizować dwa różne skrajne projekty artystyczne i kompletnie nie robi tego, co robiło przez przynajmniej pierwszych czterech sezony, mianowicie nie rozwija świata Czarnego Lustra.
184:  I Bandersnatch i White Christmas to były takie odcinki, które rozwijały tę rzeczywistość, z kolei
191:  wspaniały Nosedive, Fifteen Million Merits, Black Museum, to są rzeczy, które ja mogę polecać każdemu, kto chce w ogóle zrozumieć, na czym polega dystopia, bo aż tak są dobrze zrealizowane.
202:  I w nich wszystkich pojawiały się takie drobne tropy pokazujące na to, że być może żyjemy w jednym świecie, tym właśnie, który jest przedstawiony w tym serialu i bohaterowie mogą się spotykać ze sobą nawzajem.
214:  Fantastyczny koncept.
