Gwarancja dobrego melanżu | DIUNA (recenzja)
🔗 https://www.youtube.com/watch?v=6MAu5NmX_H0

1:  Jak ja czekałem na ten film.
4:  We wszystkich adaptacjach Kronik Dune'y Franka Herberta, klasycznej SF z lat 60-85, czegoś mi brakowało.
12:  W Dune'ie, legendarnym RTS-ie z 93' brakowało mi skali, choć oczywiście miło było podróżować Harvesterem po polach
20:  pustynnych arrakis i zbierać melanż, przyprawę pozwalającą na podróże międzygwiezdne.
25:  Trochę więcej kontekstu dała mi lektura samych Kronik Duny Herberta, tylko że tam też mi czegoś brakowało, konkretnie dobrego redaktora, bo styl Herberta przyciężki mozolnie się przez to brnie.
35:  No i wreszcie ekranizacja z roku 1985 w reżyserii Davida Lyncha, w której brakowało mi powagi i szacunku dla materiału źródłowego, bo zbyt to kampowe i awangardowe dzieło było dla mnie.
46:  Jakiż był więc mój zachwyt, jak się dowiedziałem, że Dune'a w reżyserii Denis Villeneuve'a, reżysera zresztą moich dwóch ulubionych filmów science fiction, The Arrival na podstawie powieści Tedda Chianga i Blade Runner 2049,
61:  Jest po prostu doskonała, jest ucztą wizualną, orgią światotwórczą dla każdego fana tego niezwykłego uniwersum, w którym w odróżnieniu od tak wielu science fiction postawiono nie na rozwój technologii, tylko na rozwój zdolności psjonicznych, mentackich, jak tutaj są one nazywane.
78:  Po dzihadzie butleriańskim, kiedy ludzkość starła się z maszynami i o mało przegrała, postanowiono mianowicie, że wszelka sztuczna inteligencja zostanie zabroniona.
88:  A zatem trzeba było rozwinąć nawet coś tak skomplikowanego jak podróże międzygwiezdne wyłącznie w oparciu o moc ludzkiego umysłu.
96:  I tak się złożyło, że gilia nawigatorów we współpracy ze zgromadzeniem żeńskim Bene Gesserit
103:  psjoniczek potężnych, umiejących wejrzeć w przyszłość, no i również robiących manipulacje genetyczne, opracowała standard podróży międzygwiezdnych z wykorzystaniem środków psychoaktywnych.
115:  A środki psychoaktywne wyorabiała się z melanżu właśnie, z
119:  przyprawy zbieranej na jednej jedynej planecie w galaktyce Lansradu i Pady Szachów mianowicie tytułowej Dune Arrakis innymi słowy ojczystej planecie Fremenów na której żyją gigantyczne czerwie tworzące bardzo skomplikowany ekosystem nierozerwalnie wiążący je z tą planetą i cały film Villneva tak samo jak i Kroniki Duny rozpoczyna się od przejęcia kontroli nad Arrakis generującą gigantyczne dochody oczywiście z rąk rodu Harkonenów
149:  Tutaj na czele rodu Harkonnenów wspaniały scens Karsgaard w roli Wladimira Harkonnena do rąk rodu Atrydów, z którego wywodzi się nasz główny bohater, czyli Paul Atryda.
163:  Przepiękne plenery, przepiękne scenerie, przepiękne kostiumy, wszystko to,
170:  zdecydowanie ciąży nad warstwą fabularną i dominuje.
