Głupi i głupszy kontra netflixian wynudzianu | PROBLEM TRZECH CIAŁ (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=TDdfTVtGMwM

0:  Free Body Problem, czyli problem trzech ciał na Netflixie ma zaiste problem.
6:  I tym problemem są panowie głupi i głupszy, czyli David Benioff oraz D.B.
9:  Shies, odpowiedzialni za klęskę, jako był ósmy sezon gry o tron, którego nie byli w stanie dowieźć wtedy, kiedy zabrakło tego, co grę o tron czyniło wyjątkowo, a więc talentu pisarskiego, fabułotwórczego i postaciotwórczego Georgia A. Martina.
24:  Więc jakkolwiek moglibyśmy uważać, że D.V.
27:  Benioff i D.B.
27:  Scheiss są dobrymi adaptatorami, nie radzą sobie dobrze wtedy, kiedy pofolgują zanadto swojej kreatywności, której nie mają.
35:  Dołączył do nich tutaj Aleksander Wu, co byłoby być może superatą, gdyby nie fakt, że Aleksander Wu odpowiada za serial True Blood.
42:  Jeżeli podobnie jak ja czujecie niepokój z tym związany, myślę, że jest on cokolwiek uzasadniony.
48:  Postaram się wam streścić pokrótce i bez spoilerów fabułę tego serialu w stylu recenzji najgorszych.
55:  To znaczy, Ziemia natakuje obca cywilizacja, która postanawia wszystkich naukowców zająć grą komputerową, kiepską, ale jednak pokazującą realia świata, z którego przybywają.
65:  Jednocześnie wysyła na Ziemię niszczycielską flotę, na czele której jest
71:  Sonda, która ma zniszczyć akceleratory cząstek, a w każdym razie wprowadzić dużo chaosu do ziemskiej nauki, ponieważ obcy stwierdzają z niewiadomych dla mnie względów, że jest to o wiele skuteczniejsze niż pogmeranie przy algorytmie na YouTubie i sprowadzanie, że ludzie będą głupieć sami, zamykając się w bańkach filtrujących w social mediach.
89:  Trzecia faza tego konfliktu zaś to wystrzelenie przerzeczonych głupich ziemian, sondy w stronę floty obcy, która zmierza do naszej cywilizacji.
101:  Tak to wygląda na planie głównym fabularnym.
104:  Natomiast to, co ma ten serial wyróżniać, to podejście do nauki, do fizyki kwantowej, do interesujących pomysłów, wynalazków, które się będą tutaj pojawiały.
115:  I faktycznie to są najlepsze momenty tego serialu.
117:  Tylko jest jeden problem.
118:  To są momenty wymyślone przez Sissina Liu.
121:  To nie są momenty wymyślone przez Davida Benioffa i D.B.
123:  Shice'a.
124:  Oni odpowiadają za całą ferię bohaterów i kompletnie nieinteresujących historii rodem z sitcomu, które z nimi się wiążą, a ponieważ serial ten to w 75% relacje między postaciami, których los was kompletnie nie obchodzi,
143:  Moim zdaniem rekomendowaną formą jego przyswajania i oglądania jest przewijanie do najistotniejszych i najciekawszych fragmentów, czyli tych, w których głównie będziemy mieli wątek obcych, ewentualnie rzeczonej gry komputerowej i oczywiście fragmentów, gdzie będzie grał Liam Cunningham oraz Jonathan Pryce,
161:  dwóch aktorów incidentalnie, którzy grali również w Grze o Tron i to nie jest jeden taki przypadek, ale niestety wzięci zostali również aktorzy, którzy owszem grali w Grze o Tron, ale nie tak dobrze Liam Cunningham i Jonathan Pryce, więc jest to pewien kłopot i to kłopot nie wskazany wyłącznie przeze mnie, ponieważ na przykład Marcin Łukański na gałęzi skupił się głównie właśnie na tym problemie, że serial skoncentrowany na losach postaci
188:  nie mówi nam niczego interesującego o tych postaciach, nie jest w stanie tym zainteresować, z wyjątkiem jednego wątku, który jest powiązany z chorobą jednego z bohaterów, nie będę oczywiście wam spoilował, o jaką to chorobę chodzi, ale zostaje to sprytnie włączone w główny wątek fabularny, który akurat w tym konkretnym przypadku zostaje przeniesiony z części trzeciej trylogii, wspomnienie o przeszłości Ziemi, do części pierwszej.
212:  Jeżeli chodzi o tego rodzaju decyzje, ja nie będę się wypowiadał, ponieważ przyznam Wam szczerze, Sicilio mnie nieprawdopodobnie zmęczył.
219:  Więc staram się oceniać ten serial tak, jakby oceniał go ktoś, kto podchodzi do niej absolutnie nie przeczytawszy książki, nawet może nie lubiąc science fiction.
228:  Jeżeli uczciwie można byłoby powiedzieć, który z odcinków był najlepszy, no to rzekłbym, że...
235:  z wszystkich chyba najbardziej niszczyciel światów Dzień Sądu Ostatecznego oraz wpatrujący się w ścianę.
242:  Ten ostatni koncept jest wyjątkowo interesujący, bo to jest taka powiedzmy nowa forma espionażu, którą zmuszeni są wykorzystać ziemianie wobec faktu, że obcy dysponują tak niszczycielską technologią wywiadowczą,
253:  Znowu, nie spoilując, że nie mogą ufać jakimkolwiek zdolnościom telekomunikacyjnym, które wykształciła nasza podupadająca białkowa i wiotka rasa.
