Jak naprawić Cyberpunka?
🔗 https://www.youtube.com/watch?v=SXyBVZbxKWc

2:  Jak naprawić Cyberpunk 2077 od CD Projektu Red?
7:  Najkrótszą odpowiedź mieliście na miniaturce filmu.
10:  The Corporate Must Die.
13:  Nie mam najmniejszych wątpliwości, że to właśnie decyzje biznesowe przyczyniły się do takiego, a nie innego sposobu wykończenia tej gry.
22:  I od razu mówię jedną zasadniczą rzecz.
25:  To...
26:  ten vlog nie jest o bugach.
30:  Bugi, czyli błędy w skryptowaniu, w algorytmach, to jest rzecz do naprawienia za pomocą patcha czy hotfixu.
38:  Zresztą kompilacje rzeczonych bugów raczej przyczyniają się do tego, że jesteśmy wezelsi w sieci, możemy się z tego gromko pośmiać,
47:  a programiści mogą wyciągnąć wnioski na przyszłość dotyczące tego, w jaki sposób należy, mówiąc po polsku, shipować product i jak należy dbać o kontrolę jakości tegoż.
61:  O czym zatem będzie mój esej?
63:  Głównie o tym, jak można naprawić grę od strony tego, w jaki sposób został zaprojektowany w niej świat.
71:  Bo po pierwsze, musimy sobie odpowiedzieć na bardzo podstawowe pytanie.
75:  Co to jest Cyberpunk 2077?
78:  Czy jest to gra RPG?
79:  Czy jest to looter shooter?
81:  Czy jest to akcyjniak?
83:  Czy jest to stealth action RPG, czyli połączenie w zasadzie trzech gatunków już wymienionych?
88:  Czy jest to jeszcze coś innego?
92:  A może jest to po prostu amalgamat wszystkich tych gatunków i w tym leży problem.
99:  Ponieważ nie da się zrobić gry idealnej w każdym z gatunków.
104:  Każdy gatunek o co innego ma.
107:  się dopomina i czego innego wymaga.
109:  Więc ja będę oceniać grę CD Projekt Red tak, jak została ona marketowana, to znaczy będę ją oceniać jako Open World RPG, czyli gra wideo RPG z otwartym światem.
124:  I pierwszy naczelny błąd, który nam się pojawia w tego rodzaju tytule, to przede wszystkim, jak myślę,
133:  rozziew pomiędzy główną linią fabularną a otwartym światem.
137:  I to jest coś, czego nie jesteśmy w stanie przeskoczyć w żaden sposób.
141:  Te przejście pomiędzy tymi dwoma trybami powinno być niezauważalne.
147:  Powinniśmy nie zauważać, kiedy rozwiązujemy zadania poboczne i ojej, ale nagle jest tutaj wątek główny, który powinniśmy pociągnąć.
154:  To jest pierwszy taki zarzut ogólnego autorementu.
157:  Natomiast zarzut konkretniejszy dotyczy już tego, w jaki sposób grą sterujemy.
161:  I te moje uwagi będę starał się porządkować w takie grupy.
165:  Zaczniemy sobie od uwag na temat interfejsu, potem przejdziemy do kwestii bardziej szczegółowych, a zakończymy to sobie wszystko na niedostatkach właśnie cyberpunka w zakresie otwartego świata.
176:  Więc pierwsza i naczelna kwestia, interfejs gry.
180:  Mam duże wątpliwości względem tego, w jaki sposób został stworzony.
184:  Przede wszystkim najważniejsza kwestia,
188:  nie ma za bardzo możliwości, żeby stworzyć dobrą grę, która operuje złożonymi systemami zbierania przedmiotów, ich ulepszania i wytwarzania za ich pośrednictwem lepszych wersji tychże przedmiotów, uzupełniania jej o modyfikacje, czy wreszcie
209:  augmentowania własnego ciała cyberszczepami, bez dobrze zarządzanego ekwipunku.
215:  Ekwipunek, który mamy do dyspozycji w cyberpunku jest zarządzany koszmarnie.
219:  Dość powiedzieć, że jeden przycisk odpowiada za wytwarzanie materiałów i przedmiotów,
225:  Za każdym razem wciśnięcie tego przycisku powoduje, że wytwarzamy jeden tego rodzaju przedmiot.
230:  Wszystkie systemy craftingowe, czyli służące wytwarzaniu przedmiotów w grach wideo, są skonstruowane raczej tak, że mamy dwie opcje do wyboru.
237:  Albo wytwarzamy jeden, albo wytwarzamy wiele i wtedy wypisujemy dokładnie ile.
242:  Co ciekawe, ta mechanika funkcjonuje
245:  Odwrotnie, to znaczy w momencie, w którym rozkładamy przedmiot, jesteśmy w stanie zdeterminować albo to, czy rozkładamy jeden, albo czy rozkładamy ich więcej.
253:  Czyli znowu, nie jest to kwestia tego, że Redzi nie mieli na coś czasu, tylko kwestia tego, że projekt gry jest niekonsekwentny.
262:  Druga kwestia związana z interfejsem wiąże się z decyzją takiego, a nie innego sposobu
270:  i przełączania się między broniami.
274:  Mam duże wątpliwości w stosunku do tego, czy w szybkiej grze akcji naprawdę schowanie broni wymaga tego, żeby wcisnąć Alt i wybrać następnie na...
286:  fatalnie zresztą zoptymalizowanym kółku dla pecetów, opcję, tak, schowaj broń.
292:  Zwłaszcza w grze, w której wystarczy podejść z wyciągniętą bronią do policji, żeby ta nie aresztowała nas, tylko natychmiast spakowała nam kulkę w łeb, ponieważ, tak zresztą Redzi obiecywali, system policji w Night City jest bardzo złożony i operuje zaawansowanymi algorytmami.
307:  To znaczy, policja w Night City funkcjonuje na takiej dwuz...
313:  dwubiegunowej, zero-jedynkowej zasadzie.
315:  To znaczy, albo jest w porządku, albo zabijamy.
318:  Nie ma nic pomiędzy.
319:  Nie można przekupić policji, nie można się z nią dogadać, nie można z nią porozmawiać.
323:  Nie.
323:  Policja albo jest i jej nie wadzisz i ona ci nie wadzi, albo zrobisz cokolwiek, zbliżysz się do policjanta, zaczyna on strzelać.
335:  Z interfejsem oczywiście wiążą się też problemy optymalizacyjne.
338:  W grze zdarza się bardzo często, że znikają nam celowniki, znikają nam bronie, nie możemy w ogóle celować z żadnej broni, wielokrotnie traciłem swoją broń nagle z mistycznych powodów.
349:  Wreszcie, znowu kwestia interfejsowa, należy odłączyć ulepszenia z broni danej, jeżeli ją ulepszamy albo wymieniamy na inną.
360:  co w grze, która jest oparta na ulepszaniu broni, jest kiepskim rozwiązaniem.
365:  Znów warto byłoby graczom ułatwić życie i raczej
370:  doprowadzić do tego, że te ulepszenia z nami zostają.
374:  Następnie nikt nas nie informuje o tym, a to powinien robić interfejs.
379:  Interfejs ma być naszym pośrednikiem w kontakcie ze światem gry.
383:  Nikt nas nie informuje o tym, do czego służą poszczególne mechaniki, w jaki sposób korzystać z interfejsu, który jest bardzo złożony.
391:  Jak się przełączać między poszczególnymi jego modułami?
395:  Gdzie możemy zajrzeć do dziennika zadań?
397:  W ogóle mamy dwa dzienniki zadań, to znaczy jeden to są rozmowy z postaciami i zapośrednictwem, żeby nie było łatwo zarówno telefonu, jak i komunikatora, a drugi to są opisy samych zadań.
409:  I one są w dwóch różnych miejscach.
412:  I nikt nam nie mówi, w jaki sposób do tego się mamy dostać.
415:  W każdej grze wideo praktycznie jest jakiś element tutorialu.
419:  I tutorial, samouczek innymi słowy w cyberpunku, ogranicza się tylko i wyłącznie do tego, że uczy się nasz strzelać.
427:  Bo strzelanie jest najważniejsze.
430:  Już pomijam fakt, że w grze, której istotą jest hakowanie, powinna być wbudowana od samego początku możliwość przejścia całości rozgrywki w opcji non-lethal.
444:  Nie ma takiej możliwości.
446:  Bo za każdym razem dochodzimy do sytuacji, w której trzeba rozwiązać jakiś problem siłowo.
454:  Tak więc interfejs w samej grze, która jest dynamiczna, jej wątek główny jest dynamicznie poprowadzony.
463:  Walki w grze są dynamiczne.
466:  Bardzo często nawet i dialogi są dynamiczne, pojawiają się bowiem quick time eventy, o których za moment.
472:  Jest absurdalne to, że interfejs nie działa.
475:  Ten interfejs powinien być zredukowany do absolutnego minimum, tak?
479:  To jest w looter shooterach.
481:  Albo też nieco rozbudowany, może wzorem tego, jak to jest w Warframe, gdzie mamy ten nasz seamless gaming experience przez cały czas, ale w momencie, w którym chcemy zająć się na przykład modyfikacjami przedmiotów, wówczas oddaje się nam do dyspozycji gigantyczne menu w dyspozycji.
498:  dedykowanym, przeznaczonym do tego miejscu, to znaczy frachtowców, którym się poruszamy w całej grze.
503:  Nie mam najmniejszego problemu i nie miałbym najmniejszego problemu, gdyby system Reaper Docków został rozwinięty w Cyberpunku 2077, żebyśmy mogli pójść do Reaper Docka i wówczas na przykład te modyfikacje z broni moglibyśmy odzyskać.
516:  albo moglibyśmy w zaawansowany sposób modyfikować również nasze wszczepy.
520:  A tak, czymczasem ReaperDockowiec sprowadzał się tylko i wyłącznie do tego, że kupujemy za cenę złota dany wszczep i on nam go wszczepia.
526:  I w którymś momencie dochodzicie do wniosku, że w zasadzie po co ja mam chodzić do ReaperDocka, skoro mógłbym sobie to sam zrobić, tak?
532:  Jestem w stanie sam craftować te 784 jednostki amunicji i sztuki broni, które ze sobą noszę i to jakoś nikomu nie zaburza imersji i nie powoduje zastanowienia, że ha, to musi pojemny plecak mieć ten Wii,
546:  skoro ma tam 1860 sztuk amunicji i 7024 sztuki broni i jeszcze do tego cały sklep spożywczy w innej zakładce.
555:  Czyli tak, czyli tutaj w tym zakresie mamy diegetyczny, czyli związany ze światem gry, interfejs, że tak, tak, idziemy sobie do Reaper Doca i zmieniamy sobie wszczepy, ale równocześnie mamy plecak, który zakrzywia czasoprzestrzeń jak torebka Hermiony i możemy do niego wrzucić absolutnie wszystko.
573:  Zdecydujcie się.
575:  Albo, albo.
577:  Albo robimy diegetyczny interfejs i wtedy chodzimy do reaperdoców, mamy swoją skrzynkę, gdzie trzymamy wszystkie rupiecie i na przykład gra nam ułatwia życie, to znaczy jak zbieramy rzeczy, to się automatycznie nam do tej skrzynki przenoszą i my sobie możemy je następnie dopiero zaczerpnąć do naszego ekwipunku podręcznego.
596:  Albo robimy odwrotnie, to znaczy oddajemy graczowi interfejs w pełni do dyspozycji, tak jak to się dzieje w Deus Exium Revolution, gdzie też domyślamy się, że Adam Jensen sobie nie robił operacji na żywo w trakcie walki, żeby sobie dodać jakiś wszczep, jak zdobywał punkty, które umożliwiają upgrade'y, prawda?
615:  Ale równocześnie zaletą takiego rozwiązania jest to, że graczowi jest łatwiej.
619:  Tak więc interfejs w Cyberpunku 2077 miota się między dwoma wizjami projektowymi.
626:  Między interfejsem diegetycznym związanym ze światem gry i interfejsem nie diegetycznym i w efekcie tworzy amalgamat, który nikogo nie zadowala.
634:  to znaczy ludzie, którzy wolą lootershootery będą prawdopodobnie w którymś momencie sfrustrowani, a ludzie, którzy wolą RPGi również będą w którymś momencie sfrustrowani, efekt jest taki, że frustruje się równocześnie wszystkich i przypominam, nie zacząłem jeszcze mówić o ewidentnych błędach i bugach, które sprawiają, że ten interfejs staje się jeszcze bardziej nieznośny.
