Już wolałem "The Last Jedi" | OBI-WAN KENOBI (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=qFcIz1ScPqY

6:  Hello there.
7:  General Kenobi.
9:  Tak, Disney+, a ściślej mówiąc Deborah Cho, zdecydowali się na to, żeby włączyć do serialu Obi-Wan Kenobi mem.
20:  I ten mem jest jedną z najlepszych rzeczy, jaka się w nim pojawia.
25:  Co jest o tyle smutne, że wielu z nas kupiło Disney+.
28:  Because of Obi-Wan.
30:  z powodu Obi-Wana Kenobi'ego i w związku z powyższym liczyło na dość dobrą, rzekłbym, rozrywkę.
38:  Przynajmniej.
39:  A w wariancie optimum na dobre i godne wypełnienie luki pomiędzy częścią trzecią, czyli Zemstą Sithów i częścią czwartą, czyli Nową Nadzieją.
50:  Co nie jest zadaniem łatwym, ponieważ udało się to jak dotąd najlepszemu w ogóle filmowi w historii Gwiezdnych Wojen, czyli Rogue One.
58:  jak również całkiem udanemu serialowi Star Wars Rebels, czyli Star Wars Rebelianci.
64:  Moje rozczarowanie serialem Obi-Wan Kenobi jest gigantyczne.
69:  Od razu zaznaczę z tego względu, że jestem fanem Gwiezdnych Wojen od zarania dziejów, nieprawdopodobnie zainwestowanym w lore i wiedzę na temat tego świata i w związku z powyższym surowo oceniającym to, czym jest ten serial, a jest on filerem, którego mogłoby nie być i którego obecność absolutnie nic w uniwersum nie zmienia.
92:  Przede wszystkim problemem Obi-Wana Kenobiego jest to, że jest o Obi-Wanie Kedobim, jest o inkwizytoriach, o których nikt nie prosił, w tym zwłaszcza o jednej bardzo irytującej inkwizytorce, która ma bardzo oczywistą przeszłość, o której wiemy od samym początku.
107:  Jest o Luke'u i Leji, których nikt z nas nie chciał, ponieważ są infantami, dziećmi, które zostały porzucone albo w piaskach,
118:  Tatooine, do których naprawdę już nie chcemy wracać po wszystkich serialach odbywających się i realizowanych na Tatooine, albo w Alderanie, na który ładnie sobie popatrzy przed jego katastrofą.
132:  Niemniej brakuje w tym serialu właśnie samego Obi-Wana, który zostaje wplątany w historię całkowicie niepotrzebną, czyniącą z niego absolutnego kretyna,
143:  ponieważ sprawiającą, że będzie podróżował on po innych planetach galaktyki, podczas gdy Mistrz Yoda kazał mu zrobić jedną rzecz.
150:  You had one job, Obi-Wan.
152:  Strzec Luka Skywalkera na Tatooine.
156:  Koniec pracy Obi-Wana, a jeszcze miał się skontaktować z Mistrzem Qui-Gon Jinnem.
161:  To jest zdecydowanie za mało oczywiście, żeby zrobić z tego sensowny serial, natomiast nikt mi nie jest w stanie wmówić, że w związku z tym, że mamy tego rodzaju problem, że nasz bohater powinien być w jednym miejscu, to nie jesteśmy w stanie tego kreatywnie rozwiązać.
176:  Oczywiście, że jesteśmy.
177:  Problem polega na tym, że...
179:  Fabuła, na którą się zdecydowano, to bardzo pretekstowy escort quest i misja ratunkowa, w którą mapaczony zostaje Obi-Wan i wskutek tego dzieją się rzeczy absolutnie absurdalne.
192:  Przede wszystkim bohaterowie, którzy nie powinni mieć wiedzy na temat tożsamości Obi-Wana Kenobiego, czyli Bena Kenobiego, względnie samego Dartha Vadera, czyli dawniej Anakina Skywalkera,
206:  mają tę wiedzę i spamują nią wszem i wobec.
209:  I tak zdaję sobie sprawę z tego, że serial czyni pewien trud, żeby wyjaśnić nam, dlaczego chociażby jedna z inkwizytorek zna tożsamość Lorda Vadera, podczas gdy Vader zabijał absolutnie każdego, co do którego miał choćby cień podejrzenia, by znał jego rodowód, ale to jest wciąż za mało, ponieważ nie przeszkadza to jej krzyczeć o Anakinie wszem i wobec na całej planecie.
235:  Ale największym problemem tego serialu jest scenariusz.
239:  Nawet nie błędy światotwórcze, które tam się pojawiają i nawet nie to, że w świecie absolutnie nic się nie zmienia i nic nam nie zostaje wyjaśnione ani z dylematów egzystencjalnych Obi-Wana, ani z jego lekcji z mistrzem Qui-Gon Jinnem, które pono miał realizować na Tatooine.
260:  W zamian za to zostaje nam zaserwowana fabuła pełna, może ujmę to w ten sposób, takich scen.
295:  Czyli już wiemy, że jeżeli chcecie walczyć skutecznie w Galaktyce Gwiezdnowojennej, porzućcie błyskawice Sithów, porzućcie miecze świetlne, elegancką broń, nawet jak na takie czasy, porzućcie blastery.
310:  Oto plaskacz mocy, który sprawia, że każdy żołdak imperialny zachwieje się i będzie gotów na każde ciosy.
321:  Porzućcie planistykę, strategię, taktykę.
326:  Od teraz, jeżeli widzicie, że jest barykada, którą łatwo możecie ominąć, skoncentrujcie cały swój intelekt, wszystkie siły na zniszczeniu tej barykady.
339:  Nie brońcie, brońcie bogowie, nie obchodźcie jej z żadnej ze stron, ponieważ to wywoła fałszywe napięcie narracyjne.
349:  Ktoś, kto tworzy takie sceny, a nie chcę mówić Wam też o innych ze względu na spoilery i chęć ich uniknięcia, choć naprawdę nie ma ich wiele, nie umie pisać.
358:  Nie umie pisać scenariusza, nie umie myśleć logicznie i przede wszystkim traktuje widza jak niemyślące dziecko.
366:  I to jest najgorsze w tym wszystkim, bo nie ma nic lepszego od mądrej baśni, która szanuje dziecięcego odbiorcę i traktuje go jak dorosłego.
375:  tym były Gwiezdne Wojny, baśnią fantasy, względnie powiedzmy fantasy z elementami kostiumu science fiction, ale narracyjnie to jest fantasy, walka rycerzy światła z Panem Ciemności, że...
392:  Ta narracja traktowała nas poważnie, sprawiała, że chcieliśmy zanurzyć się w tym świecie bardziej, że nie byliśmy ani przez jeden moment wyrwani z tego snu, w który nas zaklęto.
406:  To jest dobra narracja dla odbiorcy dziecięcego czy młodzieżowego, która też sprawia, że sięgną po nią dorośli tym chętniej.
415:  Natomiast Disney idzie w bardzo niebezpiecznym kierunku, infantylizując te wszystkie produkcje, które teraz spod jego egidy wychodzą i w związku z powyższym bardzo ograniczając grupę odbiorczą.
