Lochy, smoki i tłumoki | THE LEGEND OF VOX MACHINA (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=u75aPem_YQY

0:  Love Devon Robots, Invincible, Castlevania czy Arkane.
4:  Wymieniam cztery tytuły i każdy z nich bije produkcję aktorskie fantasy w rodzaju Wiedźmina czy The Will of Time, zarówno pod względem światotwórstwa, jak i estetyki, no i wreszcie sprawności w prowadzeniu fabuły.
18:  I z przyjemnością informuję, że dołącza do nich kolejna produkcja.
22:  No może nie na aż tak wysokim poziomie, ale też nie oszukujmy się, że
27:  Nawet takie Arkane nie dostaje do animacji na najwyższym poziomie jak chociażby Ergo Proxy, ale wciąż dotrzymująca kroku.
34:  Może mniejszym produkcjom tak jak chociażby Smoczy Książę.
37:  Mowa oczywiście o głośnym teraz i chwała za to The Legend of Vox Machina.
43:  I od razu mówię, serial ten, który zadebiutował niedawno na Amazon Prime, gdzie się wykazywały kolejne odcinki w lutym, ma najprostszą możliwą fabułę.
53:  zresztą dziwnego, ponieważ jest ona oparta na kampanii Dungeons & Dragons, w którą gra grupa aktorów głosowych dubbingowych od 2012 roku i zresztą nagrywa z tego filmy na kanale Critical Role na YouTubie.
68:  Oto Królestwo Taldorei na kontynencie Egzandria zmaga się z zagrożeniem ze strony starożytnej bestii, którą jest oczywiście porządny smok, jak to powinno być w każdej kampanii RPGowej, przeciwko któremu to smokowi staje
82:  drużyna chwackich bohaterów.
84:  Jedna, druga, trzecia okazuje się, że nie są dość chwadcy i wreszcie wkraczają tutaj nasi protagoniści, którzy są chaotyczni, ale kreatywnie zarządzają chaosem, który napędza ich jako drużyna i oczywiście udaje im się skonfrontować z wszystkimi zagrożeniami, które w tym świecie na nich czyhają, z których to oczywiście największym zagrożeniem jest brak gotowizny.
106:  która zmusza ich do podjęcia się prawie niemożliwego i zmierzenia się z rzeczonym smokiem grasującym w Egzandrii.
113:  Ale to jest oczywiście dopiero początek.
116:  Nie wspominam o tej animacji wam przede wszystkim dlatego, że no właśnie, jest to animacja, animacje są w Polsce obarczone taką stygmą, że no, pewnie nie warto tego oglądać, bo to dla dzieci, a właśnie cały urok i kontrast w Vox Legend, w Vox Machina polega na tym, że
133:  Na tej prostej, animowanej bazie jest nadbudowywany niesamowicie dojrzały, fajny humor i kontrast, który jest budowany w ten sposób wygrywa zdecydowanie dla mnie ten serial i od razu nadmienię również to, że
150:  Kreska, która tutaj się pojawia jest nieprzypadkowa, to znaczy producenci serialu wskazywali, że chodziło im właśnie o to, żebyśmy powrócili za jej pośrednictwem do czasów dzieciństwa, kiedy ukazywały się tego rodzaju animacje.
162:  No i nie ukrywam, chyba również odkryli na nowo, że to właśnie z tym stylem animowania i w ogóle z animacją jako taką, konwencja fantasy ma się najlepiej.
172:  Być może rozwiązaniem jest nie inwestowanie w gigantyczne, wysokobudżetowe produkcje aktorskie, które, jak Wiedźmin, co i róż zawodzą, mam nadzieję, że nie będzie tak z serialem Lotlot Amazonu,
186:  Może lepiej jest właśnie inwestować w produkcje mniejsze, może o mniejszej skali, mniejszych ambicjach fabularnych, ale nie mniejszych ambicjach światotwórczych.
195:  Ponieważ, cóż, ta konwencja po prostu jak najbardziej temu odpowiada.
198:  I na sam koniec, w czasach, w których coraz więcej uniwersów fantastycznych należy prawnie do wielkiej korporacji, miło jest widzieć, że ruch fanowski oddolny zostaje doceniony.
210:  No, także przez duże korporacje, bo ostatecznie serial się ukazuje na Amazonie, ale mimo wszystko,
216:  powstaje ta rzecz oddolnie i to światotworzenie fanowskie, które dzieje się na żywo podczas sesji RPGowej może zachęcić tych z Was, którzy nie mieli nigdy do czynienia z RPGami do tego, żeby może spróbować, a przynajmniej poobserwować jak grają inni.
232:  Legend of Vox Machina zdecydowanie polecam i nie mogę się doczekać na kolejne odcinki.
237:  A tymczasem do następnego.
