MYLIŁEM SIĘ w sprawie „Chłopów” | CHŁOPI (recenzja z bonusem)
🔗 https://www.youtube.com/watch?v=m6a_V1eI5XE

4:  No, myliłem się.
7:  Myliłem się z bardzo prostego powodu.
9:  To znaczy, przez wszystkie lata edukacji, plus jeszcze w moim przypadku dodatkowo pięć lat studiów polonistycznych, terroryzowany byłem bogo-ojczyźnianą chłopomanią.
22:  Czym ona jest?
23:  Najlepiej to kiedyś ujął złośliwie Artur Sandauer, autor, swoją drogą, książki dla każdego coś przykrego, więc wiecie, ważny dla mnie człowiek, krytyk literacki, w słowach...
35:  że nie ma nic gorszego niż wynajdywanie kolejnych sposobów na młucenie tej samej młodopolskiej słomy.
41:  I to młucenie słomy na najróżniejsze sposoby to jest oczywiście metafora tego, że cały czas trzymamy się tych samych tematów, mimo że Polska, wieś i miasto nie przypominają już w niczym tego, co było w XIX wieku, a i w XVIII, bo przecież szkoła tak daleko sięga w tych strupieszałych ramotkach, które każe ludziom przyswajać.
63:  W związku z powyższym nie ukrywam i dlatego też wyłącznie nagrywam ten film miesiąc po premierze, odmawiałem pójścia do kina na chłopów.
71:  Uznałem, że to jest odgrzewanie kotletów, że cały czas jest to samo, zróbcie coś nowego.
75:  I żeby nie było, podtrzymuję to.
78:  Chciałbym, żeby więcej filmowców w Polsce realizowało kino na zasadzie
84:  Pokażmy na przykład jak można jeszcze lepiej zekranizować Andrzeja Sapkowskiego albo wziąć prozę Roberta Wegnera, Anny Kaintoch, Agnieszki Hałas i pokazać światu, bo naprawdę jest co pokazywać i jest czym się chwalić, a jeszcze nie wspomniałem nawet o Jacku Dukaju i nie zahaczyłem o Stanisława Lema, który teraz się doczekał ekranizacji w postaci Niezwyciężonego, ale filmów, seriali...
109:  próżno szukać.
111:  Więc mamy bardzo dużo do nadrobienia, ale wciąż realizowane są produkcje na zasadzie Andrzej Szkoły Pójdą Wajda.
119:  Więc spieszę Was poinformować, że poszedłszy na chłopów do kina, mogę z całą odpowiedzialnością powiedzieć, że nie, nie jest to film realizujący tradycję kinematograficzną Andrzeja Szkoły Pójdą Wajdy.
133:  Nie, nie jest to również film bogojczyźniany, chłopomański, bębący...
140:  debilną, nietwórczą adaptacją jeden do jeden powieści Reymonta.
145:  Absolutnie tak nie jest.
147:  Wręcz przeciwnie.
148:  Powiedziałbym, że jako człowiek, który niestety Reymonta musiał przeczytać do dwa razy w całości, wycięto z tego filmu
156:  Praktycznie trzy czwarte wszystkich tych wątków, które mnie mierziły, nudziły i doprowadzały do szału.
162:  Więc mamy skondensowaną historię, skoncentrowaną na postaci Jagny, z perspektywy której poznajemy całą tę zapszańską wieś pełną przesądów zła, takiego pełzającego jak u Smażowskiego pod powierzchnią ziemi.
177:  No i oczywiście tak, o wiecie, że modlę się przed figurą, a diabła mam za skórą.
183:  I to jest pokazane cały czas z perspektywy jednej bohaterki, bez zaangażowania całej tej galerii postaci, która jest potrzebna Daimontowi nie wiadomo w zasadzie do czego.
191:  Ale przede wszystkim, moi drodzy, dostajemy nie tylko te piękne obrazy, które tutaj teraz widzicie na trailerze i o których przepięknie też wypowiedział się Marcin Łukański, więc ja mogę was tylko odesłać do tego materiału, bo genialnie wprowadza on w to, jak faktycznie zrobiony został ten film od strony technicznej.
209:  Mnie urzekła muzyka.
210:  Muzyka, która przypomniała mi najlepsze kawałki Percivala Schuttenbacha z Wiedźmina III Dzikiego Gonu.
217:  To, krótko mówiąc, była jak kolejna podróż Geralta po Białym Sadzie albo po przedmieściach Wyzimy Klasztornej, odnajdującego następną społeczność, gdzie są w stanie ludzie odsądzić niewinną kobietę od czci i wiary i spalić na stosie za domniemane gusła i zrzucić na nią wszystkie winy.
236:  To jest ten feminizm Andrzeja Sapkowskiego, którym zachwycaliśmy się jeszcze w latach 90-tych w Wiedźminie, końcówka 2000, znaczy 90-tych, początek 2000-tych i który tutaj też powraca.
