Nareszcie dobre urban fantasy | CIEŃ I KOŚĆ — SEZON 1 (recenzja)
🔗 https://www.youtube.com/watch?v=3zmyWVKJYMs

1:  Doczekałem się.
2:  Na Netflixie wreszcie pojawił się serial, który ma szansę wypełnić dojmującą pustkę, jaką pozostawił u mnie ósmy sezon Gry o Tron, a mianowicie serial według powieści amerykańskiej pisarki reprezentującej North Urban Fantasy, Leigh Bardugo, chodzi mianowicie o Shadow and Bone – Cień i Kość.
23:  Wbrew tytułowi jednakże serial jest adaptacją nie jednego cyklu powieściowego pod tym właśnie tytułem, ale także trylogii Szóstka Wron Bardugo, która ma zupełnie innych bohaterów i rozgrywa się w innej części świata, co
38:  Pośród fanów wzbudziło pewne kontrowersje, ale okazało się jedną z najlepszych decyzji, jaką mogli podjąć twórcy serialu.
45:  Shadow and Bone koncentruje się na losach Aliny Starkow, sieroty, jak przystało na dobre fantasy, która odkrywa w sobie umiejętności magiczne, ale niezwykłe i nietypowe także jak na uniwersum fantasy.
57:  Mianowicie Grishowie, bo tak się nazywają magowie w Grishverse, Libardugo,
63:  Posługują się tak zwaną małą nauką i to jest umiejętność manipulowania energią na różnych poziomach i także poziomie materialnym.
70:  A zatem nie tylko mamy szkwalników posługujących się magią powietrza czy piekielników posługujących się jedyną słuszną magią ognia, ale mamy również fabrykatorów tworzących różnorodne wynalazki i sprzęty codziennego użytku, a także ciało kształtujących magów, którzy potrafią zatrzymać akcje serca i uzdrowicieli itd., itd.
92:  Drugim wątkiem są losy naszej trójki bohaterów z Szóstki Wrona, mianowicie przede wszystkim Kazza Brekera oraz Inej i Jespera, którzy im pomagali.
103:  I jeszcze wkrada się trzeci wątek, najkrótszy bodaj, ale najciekawszy i najbardziej poruszający, a mianowicie Niny Zelnik oraz Matiasa.
113:  Niny Zelnik, która jest Griszą i Matiasa reprezentującego naród Fjerdan, a konkretnie jego najbardziej
121:  Elitarne siły zbrojne, dryszkele łowców czarownic, którzy nie uznają istnienia Griszów i mają za zadanie wytępić ich z powierzchni ziemi.
129:  A zatem serial ten wprowadza też bardzo interesujące podziały polityczne, przede wszystkim rysujące się na linii tej, którą wyznacza fałda.
139:  Ciemna, dziwna gra.
141:  energia wypełniająca prawie całą przestrzeń dzielącą dwie części rafki jednej z państw, w którym uniwersum Libardugo i rzeczona fałda powstała wskutek oddziaływania jednej z bardziej mrocznych postaci małej nauki, a mianowicie zdolności do manipulowania cieniami.
161:  No i tak się składa, że tę zdolność posiada główny antagonista serialu, a nasza bohaterka w pewnym momencie będzie musiała zmierzyć się zarówno z potworami, które zasiedlają ową VD, jak i również spróbować ją usunąć.
