Nie taki Pullman straszny, jak go księża malują | MROCZNE MATERIE (sezon 2)
🔗 https://www.youtube.com/watch?v=tgS78CJhT3Y

0:  anty-Narnia.
3:  Tak nazywana bywa trylogia Filipa Pullmana His Dark Materials, Mroczne Materie, oczywiście a contrario względem Narni, Cliva Stapes'a, Louisa znanej jako parabola chrześcijańska utrzymana w konwencji fantastycznej i oczywiście w wypadku Pullmana interpretacje zmierzają do tego, żeby powiedzieć, że to jest właśnie antykatolicka, ateistyczna, wstrętna propaganda wymierzona w kościół rzymski.
29:  Gdy tymczasem
30:  Ostatnio jak patrzyłem wokół i rozglądałem się po ulicach, ludzie nie chodzili po nich z duszą na zewnątrz w postaci zwierzęcego kompana, podążającego za nimi i dreptającego wokół, tylko jakby problem duszy jest w inny sposób konceptualizowany w naszej rzeczywistości.
46:  To jest jedna z wielu różnic dzielących nasz świat od świata wykreowanego przez Filipa Pullmana.
52:  Świata, w którym rządzi bezduszne magisterium,
56:  oddające cześć tajemniczemu autorytetowi.
58:  I to koniec w zasadzie paraleli, jakie moglibyśmy sobie czynić pomiędzy tym światem, a różnymi systemami monoteistycznymi funkcjonującymi w naszej rzeczywistości.
68:  I choć nie było kontynuacji Złotego Kompasu, nad czym bardzo ubolewam, bo film był dość dobry i miał przede wszystkim bardzo dobrą obsadę aktorską.
77:  Wspomnę chociażby
79:  czy The Coded Blue Richards, czy Daniela Craiga, czy Nicole Kidman, chociaż nie powinienem akurat w tej kolejności, to doczekaliśmy się serialu od HBO.
88:  Serialu, którego pierwszy sezon od razu powiem, nie spodobał mi się, ponieważ nieustannie porównywałem go ze Złotym Kompasem.
95:  Więc jeśli mieliście podobnie i widzicie jednak mój entuzjazm, być może jest to wskazówka dlatego, że sezon drugi serialu, który właśnie teraz można zbanjować, jest cokolwiek lepszy.
106:  Oto w serialu tym przenosimy się do drugiej części trylogii Pullmana Magiczny nóż, The Subtle Knife, która orbituje wokół dwóch problemów.
116:  Po pierwsze tytułowego artefaktu, który pozwala na wycinanie bram międzywymiarowych pomiędzy różnymi rzeczywistościami.
124:  a także pozwala ciąć absolutnie wszystko, włącznie z samym pyłem, mistyczną energią, która łączy wszechświaty ze sobą, ale zarazem również przesądza o tej więzi, która łączy daimoniona oraz człowieka.
142:  W drugim sezonie okazuje się, że pył jest czymś znacznie bardziej skomplikowanym, głównie dlatego, że za pośrednictwem przygód naszej protagonistki przenosimy się do świata, który znamy, świata, w którym wprowadzony jest kolejny bohater, Will Perry, a zarazem również naukowiec z Oxfordu, która bada...
159:  ale pod inną nazwą, pod tą nazwą, jaką moglibyśmy sobie wyobrazić w naszej rzeczywistości, to znaczy ciemnej materii.
166:  I nagle okazuje się, że światy w tym sezonie zaczynają się łączyć i dzieje się to, co w fantastyce wyjątkowo atrakcyjne, to znaczy z perspektywy świata fantastycznego, allotopijnego, wyobrażonego, nagle zaczynamy postrzegać naszą rzeczywistość.
179:  I ta nasza rzeczywistość wraz z prawami nią zarządzającymi wydaje się dziwna, odmienna, obca, fantastyczna nieomal.
187:  I dzięki temu
189:  W serialu możemy wprowadzić zupełnie nowe wątki i przede wszystkim zrealizować to, co zawsze jest misją fantastyki, to znaczy to, co Douglas Barbeau uznał jako ucieczkę, która sprowadza do domu.
200:  Uciekamy bowiem do tego świata, bo chcemy uciec od wszystkich problemów religijnych, politycznych, targających naszą rzeczywistością.
206:  Ale zarazem nie oznacza to, że w realiach fantastycznych nie możemy podyskutować o czymś takim jak opresyjne doktryny religijne, jak zagrożenia związane z militaryzacją jakiejkolwiek instytucji kościelnej, jak wreszcie problemy, które mogą powstawać na styku różnych kultur.
225:  Bo wyobraźmy sobie, jeśli my mamy problemy w naszej rzeczywistości z kontaktem międzykulturowym, cóż dopiero w sytuacji, w której moglibyśmy sobie wyobrazić kontakt między światami.
236:  Takie zjawiska jak kolonializm, jak podboje, jak ekspansje, jak pozbawianie niepodległości nagle zaczynają być coraz bardziej poważne.
244:  A nad tym wszystkim jeszcze w serialu krąży widmo owegoż tajemniczego autorytetu, co do którego intencji nikt nie jest pewien, włączając w to istoty zrodzone z samego pyłu, czyli anioły.
258:  Jeśli jesteście zainteresowani więc zupełnie innym spojrzeniem na to, czego moglibyśmy oczekiwać po narracji o tym,
266:  Jak walczyć z opresją i jak się jej nie poddać?
270:  Myślę, że drugi sezon His Dark Materials może być dobrym pretekstem do rozpoczęcia takich rozważań, ale przede wszystkim także do tego, by dać szansę również pierwszemu serio sezonowi, co ja zrobiłem, ponieważ w świetle drugiego o wiele bardziej on zyskuje.
285:  A zatem nie dajmy się zwariować uwagą i interpretacją w rodzaju tej redukującej cały świat stworzony Pullmana do antynarni.
296:  Nie jest to bowiem antynarnia, to jest oryginalna rzeczywistość stworzona z, owszem, pewnym politycznym namysłem, ale absolutnie nie będąca prymitywną i prostacką satyrą tego, co tutaj i teraz dzieje.
309:  Nie, jest to uniwersalna opowieść, którą możemy odnieść do naprawdę wielu doświadczeń naszych.
314:  Jeśli ten serial będzie także dobrym asumptem dla was, żeby sięgnąć do książek, to na pewno uznam, że misja HBO została całkowicie spełniona, bo i tym sezonem wznosi się on na zupełnie inny poziom, jeżeli chodzi o kinematografię, udźwiękowienie czy same efekty wizualne.
336:  Z całego serca rekomenduję, polecam i do następnego.
