Powrót dobrych Gwiezdnych wojen | AHSOKA — SEZON 1 (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=x_3DhlFykKU

0:  Dawno, dawno temu w odległej galaktyce były dwa uniwersa i dwie franczyzy.
6:  Jedna dla fanów science fiction i polityki, był to Star Trek, oraz druga dla fanów mocy, magii, ale w kosmicznych dekoracjach.
14:  I był to to uniwersum Gwiezdnych Wojen, uniwersum fanbaza, a nie uniwersum science fiction.
19:  Pamiętajmy, że ostatecznie wszystkie opowieści były dawno, dawno temu w odległej galaktyce osadzone.
25:  Ale nie Ahsoka, moi drodzy!
26:  Ahsoka jest osadzona w dawno, dawno temu w odległej galaktyce.
30:  jeszcze potencjalnie innej galaktyce tlewa, mogę powiedzieć bez spojli, ale zachęcić do tego serialu tym, że po raz pierwszy od lat, a ściśle mówiąc od kiedy Disney wykupił LucasArts, co było moim zdaniem najczarniejszą z kart dziejowych w ogóle w kulturze współczesnej, a zwłaszcza w historii LucasArts, mamy do czynienia z serialem, który
53:  odnosi się do tego legendarium swojego własnego i do swych własnych korzeni, a nie jest kolejną produkcją, w której mamy pił, pił, pił kosmiczny western na pustynnych planetach, gdzie zlokalizowana była akcja i Andorra, i Obi-Wana, i nawet z dwóch gier z serii Jedi Fallen Order i Jedi Survivor od Early Access, przepraszam, od Electronic Arts,
77:  które niby były o Jedi'u, ale i tak były o rebeliantach robiących piu, piu, piu.
81:  Mam dość piu, piu, piu.
82:  Chciałem wreszcie dostać to, co dostaję w Asoce.
84:  To znaczy dawną padałanka Nagina Skywalkera.
89:  Jedi na rozdrożach, która zastanawia się, czy pójść jasną, czy ciemną stroną mocy.
94:  W związku z powyższym wybiera coś pomiędzy.
96:  Staje się szarą Jedi.
97:  To jest nowość dla tych wszystkich, którzy nie oglądali czy Wojen Klonów, czy Rebeliantów,
102:  Ale równocześnie nie jest to wyłącznie serial dla miłośników chociażby Star Wars Rebels, mimo że pojawia się tam cały szereg nawiązań do tego serialu.
110:  Przede wszystkim wspomniany jest w którymś momencie Ezra Bridger, czyli bohater główny tegoż.
115:  Wspomniana jest, a ściślej mówiąc jest w zasadzie drugoplanową bohaterką także Sabine Wren, Mandalorianka, która tutaj będzie się uczyć na padałankę Jedi pod kierunkiem Ahsoki.
126:  Wszystko w każdym razie na to wskazuje, bo Krzysztof jest dopiero po dwóch odcinkach.
129:  ale i tak na tyle go one zachwyciły, że postanowiły się z wami natychmiast tym podzielić, bo też, moi drodzy, wreszcie pojawia się tutaj to, co w Gwiezdnych Wojenach najbardziej fascynujące.
139:  Legenda, starożytna moc, tajemnice z tym związane i poszukiwania, och, i przede wszystkim walka ciemnej, szarej i jasnej strony mocy, bo pojawia się tutaj jedna z w ogóle najlepszych postaci, jeżeli chodzi o użytkowników ciemnej strony mocy, a mianowicie...
158:  dawny mistrz Jedi, który ocalał z tej czystki, czyli z rozkazu 66, mianowicie Byland Skoll, razem z swoją wojowniczą padałanką, która prawdopodobnie będzie właśnie też użytkowniczką ciemnej strony mocy, troszeczkę tak jak Asajj Ventress z Wojen Klonów.
173:  To jest serial, krótko mówiąc, który bym plasował obok ostatniego finałowego sezonu Wojen Klonów, który uważam za jeden z najlepszych w ogóle w historii Wojen Klonów i na pewno najlepsze, co nam kiedykolwiek dał Dave Filoni w uniwersum już wykupionym właśnie przez Kathleen Kennedy oraz przez Disneya.
191:  Coś rewelacyjnego, jak się zaczyna Ahsoka.
193:  Jest to serial od samego początku interesujący, angażujący i opowiadający
200:  o kłeście, o kłeście do odkrycia tajemnicy, tak jak to zawsze bywa w fantasy, przypominający na czym polegają Gwiezdne Wojny, a nie wyłącznie mówiący nam, jakie kolejne ideały polityczne zostaną odhaczone przez producentów, nie kombinujący z castingiem, nawiązujący do wyglądu postaci z
220:  z serialu Star Wars Lebels.
221:  Ja nie wierzę w ogóle w to, co widzę, bo myślałem, że w Hollywoodzie zanikła umiejętność charakteryzacji po tym, jak chociażby Grindelwalda zmieniona na innego aktora nagle i nikt nas nawet nie próbował przekonać, że to jest ta sama postać, a to jest oczywiście tylko jeden z przykładów, bo przecież pamiętajmy cały czas, moi drodzy, że istnieje X of X.
239:  a jeszcze nie doszedłem do Wiedźmina.
241:  Więc pamiętajmy, jeżeli jest taka produkcja, nawet pojawia się na platformie, której normalnie bym nie wspierał, to znaczy Disney+, to warto oglądać, zwłaszcza jeżeli sobie zobaczycie w źródłach podejrzanej proweniencji.
252:  A zatem oglądajcie z tygodnia na tydzień, naprawdę warto, polecam jako długoletni fan Gwiezdnych Wojen, fan trylogii prequeli, żeby nie było, fan oryginalnej trylogii, antyfan trylogii sequeli Disneya,
265:  Ktoś, komu się podobał, może chyba najbardziej Andor i Mandalorian z wszystkich seriali, jakie kiedykolwiek wyszły w uniwersum, a jeśli chodzi o pozostałe, to w dalszym ciągu uważa, że Clone Wars czy Rebels to są najwyższe osiągnięcia, o jakich można myśleć, więc jeżeli macie podobnie jak ja i podobne rzeczy wam się też w uniwersum Gwiezdnych Wojen podobają, to od razu włączajcie Ahsoka i podejrzewam, że nie powinniście być rozczarowani.
290:  Polecam.
291:  Do następnego.
