Przerwałem oglądanie tej abominacji | WILLOW (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=qkFLb_5rXtw

1:  Jest rok 1988.
2:  Na ekrany kin wchodzi Willow z fantastyczną kreacją Warwicka Davisa i ludzie w 2022 roku pytają Mamo, mamo, mamo, chcemy Willow, ale przecież, odpowiada mama, przecież mamy Disney Plus i w domu też jest Willow.
21:  I ten rzecz Willow jednak...
25:  Aaaa, teledysk, gitarowe granisko, nowocześnie, fajnie i sympatycznie nasi bohaterzy uciekają przed jakimś mrocznym lordem z koczykiem na głowie, ale nic to, ale nic to, chmacka to drużyna i dzielna, poradzą sobie.
47:  To jest, tak, to jest Willow, którego mamy w domu.
54:  I musimy sobie jakoś z tym 2022 roku radzić, że Hollywood przestaje rozumieć gatunek fantasy.
63:  Najpierw nie zrozumiał, czym jest fantasy Tolkienowska.
66:  Tolkien ostatecznie stworzył ten gatunek.
69:  I dał nam Rings of Power, tudzież Rings of Sour, Kwaśne Pierścienie, Pierścienice Niedowładu.
76:  Różne miana wymyślano, ale za każdym razem po to, żeby pokazać, że to nie ma nic wspólnego nie tylko z dobrym serialem, ale z dobrą fantazją.
84:  Dlaczego?
84:  Dlatego, że i jeden, i drugi serial, i Rings of Power, i Willow nie traktują siebie i widza poważnie.
91:  I to jest główny i naczelny problem.
94:  Nie, nie mówię, że nie możemy mieć nowych Kronik Shanary.
97:  Nie, nie mówię, że niemożliwe jest stworzenie dobrej, satyrycznej fantasy.
104:  Przecież mamy Discworld Terry'ego Pratchetta, mamy świetną ekranizację też świata dysku jednej powieści, przynajmniej Piekła Pocztowego, z fantastyczną kreacją Davida Satchetta.
113:  Ale i w jednym i w drugim przypadku, i potem się rozpoznaje dobre u fantasy, świat jest wykreowany poważnie.
121:  Natomiast to, co nie jest poważne, to jest fabuła.
124:  Niepoważne są gagi niektórych bohaterów, może być jakiś sidekick, Samwise Gamgee się świetnie do tego nadawał we Władcy Pierścieni,
132:  ale świat jest potraktowany poważnie.
134:  Zresztą Terry Pratchett jako mistrz humoru i ciętego, złośliwego, satyrycznego, bardzo kąśliwego wobec naszej rzeczywistości, zdawał sobie doskonale z tego sprawę i robił sobie żarty z postaciami, z relacji między nimi, właśnie z różnych dziwnych twistów fabularnych, ale to, co kreował na poważnie, to był świat.
150:  Co jest o tyle zdumiewające, że świat Terry'ego Pratchetta to jest dysk przemieszczający się w kosmosie na grzbiecie wielkiego żółwia Atuina,
160:  na którym stoją cztery słonie, a wciąż świat ten jest bardziej poważny od tego, co funduje nam Willow.
168:  Pretekstowa fabuła, koszmarne dialogi,
172:  katastrofalnie złe kostiumy i cały czas wrażenie takiej plastikowości, slapstickowości i doliny niesamowitości.
182:  To samo, które miałem przy Brings of Power, z tą różnicą, że tutaj nie ma dużego budżetu.
186:  Ale problem designerski jest taki sam.
189:  Nie traktuje się poważnie tego świata, nie chce się go wykreować tak, jakby to był świat nieprawdziwy, ale nawet bardziej prawdziwy od naszego, bardziej realny od świata rzeczywistego.
201:  To powinno być fantasy.
203:  Jeśli fantasy nie traktuje się poważnie, staje się baśnią, a baśń jest prostą alegorią.
209:  Tolkien nie bez powodu miał spór z C.S.
210:  Lewisem, mówiąc mu bez przerwy, że ale, dude, przesadzasz z tym lwem, czarownicem i staroszawą, to jest po prostu Ewangelia 1 do 1 praktycznie.
219:  I dlatego Tolkien poszedł w inną stronę, w tworzenie fantasy.
222:  wtórnego świata, jak sam podkreślał zawsze i mówił od samego początku, że w fantasy nie ma alegorii, nie ma miejsca na prostackie odesłania do świata rzeczywistego, a tymczasem w Willow bohaterowie mówią językiem przeciętnego Amerykanina i to średnio wykształconego z LA.
238:  Nie da się tego słuchać.
241:  Bez przerwy serial wybija nas z imersji i ten teledysk, którego słuchaliście, mam nadzieję, że nie dostanę za to copyright strike'u, to będzie jedyny fragment serialu, który wam pokażę z tego względu, że on jest dla niego reprezentatywny.
252:  Bo jak przeglądałem trailer, jak obejrzałem pierwszy, drugi nawet i trzeci odcinek, wciąż byłem przekonany, że mamy do czynienia z fantazy, która jeszcze nawiązuje do filmu z lat 80.
264:  Ale nie.
265:  To było złudne wrażenie, bo serial nie ma na siebie pomysłu.
268:  Popada w idiotyczne dłużyzny fabularne i w zasadzie jest tylko jedna postać, świetnie zresztą zagrana, Bormana, z którą się da jakoś utożsamić, ale co charakterystyczne, ta postać cały czas robi sobie ze wszystkich jaja.
281:  Więc wyłącznie ze światem, więc ewidentnie jest coś na rzeczy, że ten serial nie umie nawet z siebie samego się śmiać.
289:  I nie, nie mówcie mi, o Krzysztof, bo ty zbyt poważnych rzeczy oczekujesz.
293:  Przepraszam najmocniej.
294:  Galawant?
295:  Chcemy mieć...
297:  Satyrę fantasy z elementami musicalowymi?
300:  Proszę uprzejmie, obejrzyjcie Galavanta.
303:  Spędzicie lepiej czas świąteczny niż przy Willow.
306:  Przestrzegam was przed tym serialem.
308:  Popełnia on wszystkie te błędy, które popełniało Rings of Power.
312:  i naprawdę jest wiele różnych alternatyw, natomiast bardzo niepokoi mnie ten trend, ponieważ widzę, że nie doczeka mi się chyba już dobrych produkcji fantasy.
322:  Tak, mamy bardzo dużo dobrych produkcji science fiction, tak, mamy bardzo dużo dobrych produkcji urban fantasy, chociażby His Dark Materials, którego recenzji możecie się jeszcze w tym roku spodziewać ode mnie,
333:  Ale nie zmienia to faktu, że klasycznej fantasy, high fantasy tak, mylnie reklamuje się Willow.
339:  Po prostu dobrej nie ma.
341:  Ewidentnie jest tak, że Hollywood i filmowcy nie czują konwencji i usiłują dać nam coś, na co naprawdę nie zasłużyliśmy, jako fani gatunku czekający latami na to, żeby ponownie zanurzyć się w fantastycznym świecie bezpretensjonalnie, ale równocześnie z powagą należną gatunkowi.
360:  I smutno mi jest strasznie, że po raz znowuż kolejny dostajemy serial, który bazuje na znanej marce tylko po to, żeby za pośrednictwem tej znanej marki się wybić, bo w innych okolicznościach byłby nieodróżnialny od przygód Merlina, Kronik, Szanary i to jeszcze w dodatku źle zrealizowanych, bo w zestawieniu z Kronikami Szanary czy Merlinem Willow po prostu przegrywa i to z Kretesem.
388:  Nie polecam.
389:  Trzymajcie się od tego z daleka i wyślijcie sygnał Disneyowi Plus, jeżeli zdecydujecie się to obejrzeć, że się nie podoba.
398:  A sądzę, że się wam będzie nie podobało.
400:  Rzadko kiedy jestem pewien tak swojego werdyktu i rzadko kiedy zdarza się, żebym przerwał oglądanie serialu, który chciałem zrecenzować.
407:  Miało być dobrze i miło na święta.
410:  Miało nie być krzyków i krytyki.
412:  Liczyłem na to, że przynajmniej Willow mi to da.
415:  Przeliczyłem się!
420:  Do następnego.
