🔴 RINGS OF POWER — odcinek 3 i 4 | Recenzja ze spojlerami #2
🔗 https://www.youtube.com/watch?v=_8_iXjwG2lI

0:  Muzyka Muzyka
59:  Muzyka
88:  KONIEC!
117:  muzyka
145:  Muzyka
192:  © PTA & TVP
328:  Tradycyjnie na sam początek chciałbym się z Wami podzielić, drodzy moi zgromadzeni, przy drugiej części omówienia Rings of Sour,
343:  znaleziskiem kolejnym, które, jako się rzekło, znalazłem w związku z powyższym.
349:  Myślę, że warto będzie je pokazać.
352:  Ma tę zaletę, że nie zawiera materiału, który Amazon mógłby ukraść, znaczy, przepraszam, skopyrajtować bezprawnie, więc przyjrzyjmy się, zanim rozgorzeje nasza debata temu, co mają nam do powiedzenia tym razem.
367:  Otóż
370:  A czy nie wiem jak wy,
397:  ale myślę, że jeżeli Rings of Power jest faktycznie listem miłosnym w stronę zarówno J.R.R.
406:  Tolkiena, bo pamiętajmy, pierwszy odcinek wyszedł dokładnie w rocznicę jego śmierci, jak i w stronę Śródziemia, to wiecie, ja chyba zdaję sobie sprawę z tego i przypominam, wydobywam z pomroków swej niepamięci.
422:  Jakiż to list!
424:  powinien być tutaj przywołany.
426:  Jakaś to formuła epistelograficzna została wykorzystana.
429:  Więc może pamiętacie taki charakterystyczny list napisany przez pewną czarodziejkę do pewnego wiedźmina.
438:  Miły przyjacielu...
443:  Więc tak, Amazon robi nam, moi drodzy, friendzone, jeżeli już tym swoim listem miłosnym do fanów, listem miłosnym do Śródziemia.
454:  I ja nie jestem w stanie naprawdę tego pojąć.
457:  Ja wiem, zaraz się zabierzemy, zaraz się zabierzemy za serial, ale naprawdę nie jestem w stanie tego, moi drodzy, pojąć po tym, jak obejrzałem absolutnie przegenialny Edgerunners, cyberpunk Edgerunners konkretnie,
470:  I to absolutnie przegenialne Cyberpunk Edgerunners, przypomnę, jest dokładnie tym samym, czym jest Rings of Power.
479:  To znaczy Cyberpunk Edgerunners to jest nie adaptacja, nie ekranizacja, a historia osadzona
486:  w świecie dokładnie tak, jak jest w odniesieniu do Rings of Power.
491:  To jest ten sam gatunek, to jest ten sam typ narracji, z jakim mamy do czynienia.
497:  A jednak zauważcie, że marketing był cokolwiek inny.
501:  I pozwolę sobie wam pokazać tutaj jedną charakterystyczną rzecz, zanim się zabierzemy za wszystko, a mianowicie już powstały kompilacje na YouTubie lokacji, które pojawiły się w serialu
516:  Z lokacjami, które są w grze.
519:  Oj, oj, oj, to co to te, to wszystkie komentarze, w których ludzie mówili, ho, ho, Krzysztof musi mieć galadrielę, która wygląda jak galadriela.
529:  Ha, ha, parodne.
531:  To dlaczego, moi kochani, tutaj jest tak, że...
535:  Tak samo wyglądają te lokacje?
538:  To może dlatego, że ja wiem, ja wiem, CD Projekt się pomylił, oni nie chcieli tego zrobić tak naprawdę, to tylko taka wpadka marketingowa, wcale tak nie miało być, że tak samo wyglądają te miejsca, bo to jest, wiecie, takie rzeczy się robi totalnie przez przypadek, to nie są decyzje artystyczne, w żadnym razie.
560:  I o tym mówiłem wam mówiąc o moim wymarzonym Rings of Power.
566:  Tak powinno wyglądać.
567:  Powinniśmy rozpoznawać znajome lokacje z grafik Johna Howe, Alana Lee i innych, znajome lokacje Śródziemia, znajome postaci stamtąd i tak dalej, i tak dalej.
576:  I dokładnie to się stało w Cyberpunk Edgerunners i dlatego uważam ten serial za znakomity.
581:  Jeżeli jeszcze nie widzieliście, to absolutnie, absolutnie rekomenduję.
584:  Koniecznie trzeba to obejrzeć i po to głównie, żeby zrozumieć na czym polega ten specyficzny typ
592:  quasi-adaptacji, bo to się zdarza tylko w fantastyce i w narracjach światotwórczych, że macie świat utworzony i ktoś sobie myśli, okej, to ja sobie tam osadzę swoją historię i co zabawne, zauważcie, jak wiele osób mówi, że Rings of Power to jest fanfiction.
604:  Ludzie intuicyjnie rozpoznają to.
606:  Fanfiction właśnie na tym polega.
608:  Mamy naszą fabułę i osadzamy ją w świecie, który już istnieje.
611:  Tym jest dokładnie fanfiction, tylko że fanfiction oczywiście może być też na licencji, wtedy nie jest taką typową narracją fanowską, ale...
618:  No właśnie, jest dziełem zależnym na licencji, takim jak jest Rings of Power i wszelkie inne tegoż autoramentu utwory.
626:  Więc to tyle, moi drodzy, w temacie odniesień ogólnokulturalnych do innych seriali.
633:  Witam was wszystkich serdecznie raz jeszcze, witam wszystkich tłumnie zgromadzonych i przybyłych i without further ado, moi drodzy, without missing a beat, od razu rozpoczynamy
644:  nasze co dwutygodniowe znęcanie się nad odcinkami, aczkolwiek od razu zaznaczę jedną rzecz.
651:  Mam straszny problem dzisiaj, to znaczy obejrzałem dwa odcinki i autentycznie nie uważam, że mamy materiał na stream.
658:  Znaczy, nam się za mało, za mało wydarzyło, tak?
662:  I ja nie wiem, o czym będziemy rozmawiali, więc czaty w was nadzieja.
667:  W was nadzieja, że wasze krotochwile i komentarze natkną mnie do czegoś, bo mogą być różne dziwne rzeczy.
674:  Mówicie, że jest dużo.
675:  Dobra, więc moi drodzy, lecimy po kolei.
678:  Od razu zaznaczę, że ponieważ Amazon ostatnio nas zdemonetyzował, będziemy się poruszać poklatkowo.
683:  Tak.
684:  będziemy sprawdzać poklatkowo, co się działo, w związku z powyższym, jak pamiętacie zapewne, ostatnio zostaliśmy zestawieni z taką sytuacją, która automatycznie od razu mnie natycha do tego, żeby zrobić Wam małe odniesienie, które chyba jest potrzebne i konieczne, do tego, w jaki sposób jest montowany cały serial.
701:  Zauważcie, że tradycyjna formuła jest cliffhanger,
705:  czyli ucięcie nagłe fabuły.
707:  Cliffhanger pochodzi od tej sytuacji z Artura Conan Doyle'a, że nad wodospadem Reichenbach Sherlock Holmes miał niby zginąć, ale potem Conan Doyle dostał mnóstwo listów od fanów i fani powiedzieli nie, chcemy więcej Sherlocka Holmesa i Conan Doyle powiedział ok, spoko i przywrócił Sherlocka Holmesa, korzystając z tego, że nigdy nie opisał sceny jego śmierci.
725:  No, więc Cliffhanger tutaj się będzie pojawiał bardzo często i Cliffhangerem się skończył ostatni odcinek, jak pamiętacie zapewne nasz elf, który już wiemy, że pochodzi z Brokilonu,
737:  Nie, nie z Brokilonu.
738:  Ojej, ojej, ojej, ojej, a, a, nie, nie, to nie jest Brokilon, to jest u Sapkowskiego i to jest znaczące, że się pomyliłem.
746:  Z Beleriandu.
747:  Został porwany przez orków.
749:  I nawiasem mówiąc, przypomnijcie mi ten wątek, ponieważ to jest znaczące, że powracają dryady z Brooklynu, znaczy z Brokilonu.
757:  I będziemy powracać jeszcze do Brokilonu i do tego, w jaki sposób obraz elfów, zwłaszcza w Numenorze, bardzo przypomina to, w jaki sposób mieliśmy przedstawione prześladowania elfów i nieludzi u Andrzeja Sapkowskiego.
769:  Dobrze.
770:  To powiedziawszy, moi drodzy, jesteśmy w tunelach.
773:  Oto...
774:  orkowie drążą tunele, a ściślej mówiąc rozpościerają taką ładną markizę albo plandekę nad sobą.
781:  To jest, wiecie, ten przemarsz armii Saurona.
783:  Może kojarzycie z takiego mało znanego filmu.
787:  Tytuł to jest Władca Pierścieni Powrót Króla.
790:  Nie mylić z Władca Pierścieni Rings of Power.
792:  To jest narracja zależna, która się podszywa pod tę markę.
795:  I tam mianowicie Sauron rozpościerał taki wielki,
799:  kłąb czarnego dymu, mniej więcej jak na nekropolis w Heroes 3.
804:  I ten kłąb czarnego dymu był mroczną magią, która to mroczna magia pozwalała orkom przejść w cieniu i z dala od palących promieni słonecznych.
814:  No to tutaj zamiast Sarumana, zamiast Saurona, zamiast Nazguli, zamiast Czarnoksiężnika Zangmaru, tutaj mamy Obi i mamy Plandekę z Obi, która to Plandeka z Obi chroni przed promieniami słonecznymi.
827:  To jest kamuflaż, tak, nie widać ich wtedy absolutnie.
832:  No powiedzmy, że jest to jakoś pomysłowe, ale nie pasuje mi za bardzo do tego miejsca, w którym się znajdujemy.
838:  A, bo jeszcze jedna rzecz, o której wam zapomniałem powiedzieć.
842:  Otóż, moi drodzy, okazuje się, że my nie jesteśmy w Southlands.
846:  Ja się cały czas myliłem.
848:  Haha, ja się myliłem.
849:  Głupi Krzysztof, Krzysztof się mylił.
851:  Otóż, moi drodzy, jak zerkaliśmy na Atlas Karen Wynfonstad, to ja wam powiedziałem, że to są Heatherlands, a nie żadne Southlands.
860:  Głupi ja, głupi Krzysztof, nędzny Krzysztof, gdzie tam?
865:  To nie chodzi o Southlands, to nie chodzi o Heverlands, to chodzi, moi drodzy, tu są Southlands, to są Southlands.
875:  Powiecie mi, na kuźwa, które południe i skąd są te Southlands?
880:  To znaczy, skąd to jest liczone od...
882:  To jest liczone od Rowanionu, czyli to by oznaczało, że Southland zostało określeniem wymyślonym przez ludy te, a tutaj przypominam, są Harfutowie mniej więcej w Rowanionie, więc ja już nic z tego nie rozumiem w każdym razie.
895:  To są Southlands, moi drodzy, czyli zresztą będzie później taki big reveal.
901:  który nam powie wprost, że ten symbol Saurona, o czym widzieliśmy w zasadzie od początku, jak o tym dyskutowaliśmy, to jest zarys Mordoru.
910:  To jest liczone od Amazonu.
912:  Może macie rację rzeczywiście.
915:  Północno-wschodnie-południe, czego nie rozumiesz?
918:  Więc przepraszam, prostuję niniejszym, nie jesteśmy w Heaveland, nie jesteśmy na południe od Umbaru, jesteśmy w tym miejscu konkretnie, gdzie później będzie Mordor,
927:  Kraina, gdzie zaległy jelenie, jak powszechnie wiadomo z adaptacji amazonowych.
933:  Wracając zatem do naszego radosnego wątku, który jest wątkiem, przypomnijmy, powiedział Krzysztof spoglądając szybko na X-Ray, który jest najlepszą funkcją Amazonu, jaka w ogóle istnieje, wątek Arondira, przypomniałem sobie.
946:  Więc wątek Arondira to jest dokładnie ta scena, z którą możecie pamiętać z trailerów niektórych, znaczy nie akurat ta scena, mianowicie jakiś obóz
956:  więzienny, jeniecki, nie chcesz użyć słowa, które mogłoby być na YouTubie postrzegane źle, w którym są przetrzymywane, są przetrzymywani elfowie przez orków, w jakim celu nie do końca wiadomo, prawdopodobnie w celu przekształcenia Southlands, które jak wiadomo nie są na południe, w Mordor, który jak wiadomo jest na północny wschód od wszystkiego praktycznie.
982:  Czy bitwa na polach plenoru nie toczyła się za dnia?
986:  Władca pierścieni Jacksona tutaj robi pewne numery, jeżeli chodzi o wizualizację, natomiast tam był ten kłom czarnego dymu, który sprawiał, że orkowie mogli się przemieścić tam.
996:  Jak najbardziej było coś takiego, moi drodzy.
1001:  No i to jest wątek w zasadzie, który niczemu nie służy, o czym powiemy sobie za moment.
1005:  Wprowadzona jest tutaj pretekstowa postać do kolejnego, znamy już to słówko, cliffhangera.
1010:  Przechodzimy, moi drodzy, dalej i dalej znajdujemy się w miejscu, w którym porzucił nas kolejny cliffhanger, a mianowicie w miejscu, w którym została odnaleziona Galadriela.
