🔴 RINGS OF POWER — odcinek 5 i 6 | Recenzja ze spojlerami #3
🔗 https://www.youtube.com/watch?v=YVcxr00_RQc

233:  A, jesteście!
234:  Witajcie, witajcie, witajcie!
237:  Podczas naszego trzeciego już omówienia The Brings of Power.
245:  Pierścienicy władzi, jak poinformowano mnie ostatnio.
251:  Ciekawe rzeczy się dzieją, moi drodzy, bardzo ciekawe rzeczy się dzieją i zastanawiałem się nad tym, od czego zacząć tradycyjne nasze spotkanie już podczas robawiania dwóch odcinków kolejnych, przedostatnie to na takie spotkanie, amazonowego Rings of Power.
266:  zrobionego przez wielmożnego Jeffa Pesosa, człowieka krytykowanego przez lewicę, kiedy trzeba mówić o pracownikach Amazonu wyzyskiwanych i niekrytykowanego przez tę samą lewicę, kiedy trzeba krytykować serial.
280:  Co zabawne również, a propos krytyki serialu, przypomniałem sobie ostatnio, że wszyscy recenzenci, którzy mówili, że fani nie powinni oglądać, nie powinni krytykować go przed obejrzeniem,
290:  Sami zrecenzowali rzecz po obejrzeniu dwóch odcinków, a bez obejrzenia trzeciego, czwartego, piątego i szóstego, który my już znamy, a także siódmego i ósmego, którego wciąż nie znamy i nie widzieli w tym sprzeczności.
300:  Być może dlatego też teraz sypią się recenzje w Forbesie, w Daily Telegraph i w innych czasopismach negatywne w serialu.
309:  Kto by przypuszczał?
311:  Absolutnie nikt.
313:  Pomyślałem, że zamiast...
315:  Poddawać się tego rodzaju płochym złośliwościom zaadresuje jedną kwestię, którą wczoraj podjęliśmy w debacie klubu jabileńskiego, do której byłem zaproszony.
324:  Macie zresztą nagranie na fejsie, postaram się podlinkować pod tym materiałem.
328:  A mianowicie problem tego, czy Brings of Power jest adaptacją.
333:  I już wiele razy do tego nawiązywaliśmy, a ponieważ chcę, żeby te streamy miały też taki walor, nazwijmy to popularnonaukowy szumnie, to pomyślałem, że powiem wam o tym, jak wygląda dzisiaj adaptowanie w obrębie dużych, fantastycznych światów.
349:  I oczywiście, żeby było, żeby tradycji stało się zadość, sięgniemy sobie do literatury naukowej.
355:  Tak jest, moi drodzy.
357:  Konkretnie sięgniemy sobie do stareńkiej książki niejakiego Henry'ego Jenkinsa,
362:  który zacytował tutaj, macie w zaznaczeniu, słowa nie byle kogo, ponieważ mowa tutaj, jeśli mnie pamięć nie myli, o Diane Nelson, która była wicedyrektorką Warner Brothers Family Entertainment.
378:  Myślę, że to jest dobre źródło, żeby się dowiedzieć, jak Hollywood działa, jakie są jego praktyki obecne.
384:  I czytamy.
385:  Podczas wywiadu z Owen Nelson opisał on fanów jako...
392:  kluczowych udziałowców w rozwoju danej własności intelektualnej i krwioobieg danej franczyzy.
403:  Zaraz sobie wyjaśnimy słówko franczyza.
406:  Studio powinno znajdować różnorodne sposoby, aby szanować fanowską kreatywność i energię,
415:  Zwłaszcza, że to właśnie ci fani są odpowiedzialni za rozwój tej franczyzy, czy współodpowiedzialni.
424:  Dlatego też oni, to znaczy fani, równocześnie chronią tążeż franczyzę przed zakusami grup, które chciałyby korzystać na ich wysiłkach.
438:  I dlatego też reagują równie celnie na wszelkie praktyki dezinformacji w odniesieniu do materiału, który się pojawia na rynku.
448:  No fascynująca sprawa, prawda?
451:  fascynujące.
453:  Kto by przypuszczał, że fani byli kiedyś uznawani jako krwiobieg danego IP, czyli Intellectual Property.
462:  Dziękuję, Felip, za trybut.
464:  20 sekund szóstego odcinka widziałem.
466:  No, sztos wystarczy.
467:  Spokojnie.
468:  Szósty akurat jest najlepszym z tych dwóch, o których będziemy mówić.
472:  Ale to nie tylko... To nie jest najważniejsza rzecz, o której sobie powiedzieliśmy w odniesieniu do owejż franczyzy, bo
477:  O!
477:  W innej książce, tutaj nawiasem mówiąc wam szybko pokażę o jakiej sobie mówiliśmy, to znaczy mówimy o tej książce Convergence Culture, How Old and New Media Collide.
488:  Polecam rzecz, jest zresztą w polskim przetłumaczeniu, w polskim tłumaczeniu dostępne.
492:  Polskie tłumaczenie wprawdzie jest średnie, ale co zrobimy?
495:  Natomiast w drugiej książce...
497:  Mamy jeszcze ciekawszą rzecz, która może Wam wyjaśnić to, że cały czas mówię, że Rings of Power nie jest adaptacją, ok?
502:  I przy okazji witam akcjatora w gronie trybutariuszy.
506:  Ostatnimi czasy fenomen kulturowy zwany jako transmedialne opowiadania, czy transmedialne narracje, to jest właśnie z Henry'ego Jenkinsa termin, połączyły ze sobą dwie formy
519:  tradycyjnego opowiadania, prawda, narracji.
522:  I dlatego też mamy franczyzy takie jak Star Wars, jak Wizarding Watch i Harry Potter, albo Lord of the Rings.
530:  które zawierają zarówno adaptacji, jak i ich transfikcjonalne, trudne słowo zaraz wyjaśnię, ekspansje, wykorzystujące inne media narracyjne.
541:  Tak samo jak niemedialne obiekty, takie jak t-shirty, klocki Lego, kostiumy, czyli fanowski cosplay także i wszystko to, co może być używane jako rekwizyt w grze wyobraźni, to jest z kolei z Waltona.
555:  I najlepsze jest to, że ona później jeszcze cytuje Jenkinsa dalej, że to transmedialne opowiadanie wymaga, żeby były integralne elementy fikcyjne,
566:  rozprzestrzeniane pomiędzy różnorodnymi kanałami w celu stworzenia do niesamowite jednolitego i skoordynowanego doświadczenia rozrywkowego.
577:  Ojej, to dlaczego ten Krzysztof mówił, że Galadriela musi wyglądać jak Galadriela?
583:  To przecież jakieś nerdowskie fantasmagorie są, to przecież jakieś bzdury.
587:  To wcale nie jest tak, że pisze o tym najwybitniejsza teoretyczka narracji ze Szwajcarii w książce pod tytułem Światotwórstwo Transmedia Fani i Przemy.
597:  No niepoczliwa sprawa, prawda?
599:  I obiecałem wam, że wam wyjaśnię, czym są te transfikcjonalne ekspansje.
603:  Oto, że macie jeden fikcyjny świat, albo wiecie co?
605:  Zrobimy jeszcze lepiej.
607:  Jeszcze lepiej zrobimy.
608:  Mianowicie ja wam to rozrysuję, okej?
610:  Włączę sobie nawet specjalnie mój rysik do tego, żeby wam to rozrysować.
614:  I mamy sobie, powiedzmy tak, moi kochani.
616:  Mamy jeden świat.
620:  Tak?
621:  Jeden świat.
622:  I w tym świecie sobie mogą być różnego rodzaju rzeczy.
625:  I powiedzmy, że w tym świecie jest również Gandalf.
630:  Gandalf.
631:  Mag.
632:  I teraz, co zrobimy, żeby czytelnicy, władcy pierścieni na przykład, byli zainteresowani kupnem naszych płatków zbożowych?
644:  Wiecie co zrobimy?
645:  Przeniesiemy wizerunek Gandalfa na płatki zbożowe.
651:  I to nie jest adaptacja, tak?
652:  Płatki zbożowe nie adaptują materiału fabularnego z Władcy Pierścieni, tak?
657:  Nie adaptują, bo płatki zbożowe nie są medium, ale płatki zbożowe biorą wizerunek Gandalfa i przynoszą go.
667:  Na opakowanie, żeby ludzie kupili płatki, bo sobie pomyślą, o, lubię Władcę Pierścieni, to se zjem płatki z Władcą Pierścieni.
675:  I wiecie, dlaczego ludzie to robią?
677:  No nie zgadniecie.
680:  dlatego, że ma być jednolity wygląd postaci i lokacji przenoszony pomiędzy różnorodnymi mediami, bo nie jest to adaptacja, tylko to jest poszerzanie fikcyjnej rzeczywistości różnymi kanałami.
694:  Dokładnie tak zrobił to po raz pierwszy George Lucas, który się o to wykłócał, nawiasem mówiąc, przed nową nadzieją i proponował wielu studiom, że słuchajcie, zróbmy tak, żeby były koszulki, żeby były kubki, a studia powiedziały hehehe,
707:  Weź sobie te wszystkie przychody z tych twoich śmiesznych koszulek, z tych twoich śmiesznych chubasków, z tych twoich śmiesznych figurek, to my sobie będziemy tylko profitować z filmu, a ty sobie weź te wszystkie przychody.
718:  I wiecie co teraz stanowi lwią część przychodów?
722:  World Disney Corporation
725:  Figurki, t-shirty, merchandise, tak?
727:  Merch stanowi przygodę, owiewalna część, Disneyland i inne tego typu rzeczy.
732:  Nie, nie filmy, nie filmy, które zrobią.
735:  Fascynujące, dlaczego?
737:  Być może dlatego, że myszka Miki wygląda jak myszka Miki na tym kubku i ludzie widząc ten kubek myślą sobie, o, to jest myszka Miki.
743:  I na tym polega, moi drodzy, franczyza.
745:  Jak macie franczyzę, powiedzmy, dla uproszczenia jest to żabencja, tak?
750:  Prosta sprawa.
751:  Wchodzicie do każdej żabki, wygląda ta jak żabka.
754:  Tak, stwierdziłem, że nie będę reklamował zagranicznego kapitału, wystarczy już, że reklamujemy Jeffa Pesosa.
760:  W związku z powyższym mamy rodzimy polski przykład, tak?
763:  Żabencja jest.
764:  Dlaczego rozpoznajemy żabencję jako żabencję?
767:  Ponieważ jest zielona, ponieważ ma spójność.
769:  identyfikację wizualną i ponieważ jak tam wchodzicie, to dostajecie spodziewalny zestaw produktów umieszczonych w spodziewalnych miejscach.
777:  Dlaczego?
778:  Dlatego, że tak samo jak Lotr, Władca Pierścieni czy cokolwiek innego, to jest franczyza, prawda?
785:  Tak samo jak Potter, jak Gwiezdne Wojny.
787:  Franczyza oznacza, że macie franczyzodawcę,
790:  który daje wam identyfikację wizualną, odpowiada za marketing i macie nieszczęsnego franczyzobiorcę, który ma wyłożyć kasę na prowadzenie sklepu, ale z głowy ma całą resztę.
800:  I teraz, moi drodzy, jak przedstawić to, co robi Jeff Bezos i Amazon Rings of Power?
806:  To jest mniej więcej w taki sposób, jak ja bym stwierdził, że dobrze, to ja w takim razie, ja też będę, ja Krzysztof też potrafi, Krzysztof będzie franczyzobiorcą żabki.
817:  Niech się niesie po internecie.
819:  I Krzysztof ma swój projekt, bo wiecie, Krzysztof jest artystą.
824:  I Krzysztof stwierdził, że w takim razie, skoro ma swobody artystyczne, to Krzysztof zrobi taką swoją żabkę, ale taką nie swoją żabkę, rozumiecie, nie?
837:  Oglądacie od sześciu odcinków Amazon Wings of Power, to rozumiecie.
840:  W związku z powyższym, moi drodzy, moja wersja żabki to będzie słoń.
845:  Ja uznałem, że w żabce, oczywiście żabki są zielone, ale moja, moja żabka będzie fioletowa, moi drodzy.
853:  I to jest, swoją drogą, logo, które sam zaprojektowałem.
856:  I będę mieć swoje logo, ale wiecie, kasę chcę od żabki, te 50 tysięcy, które oni obiecują i cały marketing, on jest mój.
863:  I teraz tak, zamiast tych wszystkich produktów śmiesznych, które oni tam mają, nie wiem, jakiś tam chleb, jakaś rzodkiewka, brukiew, piwo czy lemon, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie, nie.
875:  Ja będę sprzedawał tutaj jak wuj Wernon świdry.
880:  To będzie sklep sprzedający świdry i ponieważ chcę rozszerzać swoją działalność, stwierdziłem, że również będę sprzedawał śrubokręty, skrzynki z narzędziami, o i takie specjalne moskitiery, pod którymi orkowie mogą budować długie tunele.
894:  To będzie w mojej żabce.
896:  Teraz, jeżeli mówicie mi, że ja tak nie mogę, że powinno to być zgodne z tą zieloną żabką, psowie rasiści!
905:  Jak śmiecie tak mówi, co ja nie mogę mieć swojego słonia? !
909:  Moje swobody artystyczne gwałcicie?
912:  Co, może mamy za każdym razem słuchać tych wszystkich tępych fanów i klientów Żabki, którzy tylko... Nie, nie, chcę tylko zielone, chcę spodziewaną Żabkę, chcę, żeby był za każdym razem ten uśmiech pod napisem i chcę za każdym razem mieć tę samą lemoniadę.
928:  Nowe czasy idą, przepraszam najmocniej, nowe czasy.
931:  XXII wiek za pasem.
934:  Proszę uprzejmie, teraz będzie słoń.
938:  Zobowiązałem się od stycznia w waszej okolicy.
943:  O to chodzi z franczyzami, tak?
945:  To znaczy, jeżeli franczyzobiarca bierze licencję od franczyzodawcy, dotrzymuje pewnych standardów identyfikacji wizualnej, wyglądu postaci, wyglądu półek sklepowych, czegokolwiek innego.
958:  Nie dlatego, że ktoś go terroryzuje, tylko dlatego, że chce dotrzeć do klientów, a ci klienci oczekują spodziewalnych rezultatów.
967:  Jeżeli idziecie do McDonalda w Arabii Saudyjskiej, to nie chcecie mieć niespodzianki, huu,
972:  Co tym razem będzie w moim Burger Kingu?
975:  Może będzie tam anchois?
978:  O, anchois, krewetki i ketchup.
981:  Ojojo, jakie będzie to fajne, wspaniale.
983:  Nie mogę się doczekać tego mojego burgerka w Burger Kingu, prawda?
987:  Albo w McDonaldzie.
988:  Nie mogę się doczekać tego...
989:  Big Maca, który będzie na odmianę, nie będzie dwupiętrowy, tylko będzie jednopiętrowy.
993:  A, psikus.
995:  Po to są franczyzy.
996:  Ja wiem, są wady franczyz, są zalety franczyz, ale to jest model marketingowy, który został przyjęty na świecie, jak widzicie, nie tylko w odniesieniu do, no ja wiem,
1006:  McDonald'a przywołanego, żabki i całej reszty, ale także dużych światów fantastycznych.
1011:  Czy mi się ten model podoba?
1012:  Niekoniecznie, ponieważ wystarczy, że będzie kontrolował ten proces rozprzestrzeniania się świata człowiek niekompetentny, Kevin Feige, w czwartej fazie Marvela i od razu zacznie się wszystko składać jak domek z kart.
1025:  Słonina dla słonia piszą czaty, tak, tak.
1029:  No więc moi drodzy, to wszystko powiedziawszy, mam nadzieję, że głośność jest dobra, mam nadzieję, że muzykę słyszycie.
1035:  Wracamy do świata Amazonu, wracamy do konkretnie tej, moi drodzy, fikcyjnej rzeczywistości, którą porzuciliśmy niewcześnie.
1043:  Dzisiaj będziemy głównie, z tego co pamiętam, orbitować w tych okolicach, to znaczy w Niemordorze.
1051:  Piękne logo słonia, dziękuję, starałem się, starałem się.
1056:  Czy widziałem, że na Amazon Prime Video były usuwane negatywne oceny?
1060:  Nie tylko oceny Hao Asukara, ale recenzje i to było troszeczkę słabe, mówiąc tak delikatnie.
1066:  Bardzo delikatnie.
1067:  A nawiasem mówiąc, jeżeli chcecie jeszcze zobaczyć, jak te wizerunki utrwalone działają, to polecam coś, bo chciałem wam też zacząć dzisiaj od memów.
1076:  No chciałem, przyznaję, chciałem zacząć od memów, no ale moi drodzy, co ja poradzę, jak okazało się, że ja sobie mogę chcieć, ja sobie mogę chcieć zaczynać od memów, ale niestety bardzo mi przykro, jak wpisałem memy z Galadrielą, no to...
1092:  Tutaj jest tylko taka obca aktorka, wiecie, i ja nie rozumiem tego, bo ja nie rozumiem, bo ja myślałem, że Galadriela inaczej wygląda i ja strasznie was przepraszam, bo ja chciałem, strasznie chciałem wam pokazać Galadrielę, no i dopiero musiałem bardzo daleko zjechać, żeby zobaczyć właściwą Galadrielę tutaj i przykro mi, no nie ma zbyt wielu memów jeszcze.
1116:  Ja mam nadzieję, że powstaną takie, ale jak na razie wygląda na to, że
1121:  że Galadriela inaczej wygląda.
1123:  Strasznie chciałem wszystkich przeprosić.
1126:  Więc nie będzie dzisiaj memiku.
1128:  Może następnym razem zrobimy memik.
1130:  Obiecuję wam, postaram się.
1132:  Postaram się, żeby był.
1134:  Żeby nie było, wiecie, tylko nudne, naukowe rzeczy.
1136:  Tylko żeby był memik.
1138:  Postaram się.
1139:  Dobrze, without further ado zatem, bo wiem po co przyszliście tutaj moi drodzy.
1143:  Dwa odcinki mamy przed sobą.
1144:  Pierwszy odcinek jest jednym z najnudniejszych w serii, a drugi jest najbardziej dynamiczny w serii.
1149:  Mówię specjalnie najbardziej dynamiczny, ponieważ jeżeli ktoś uważa, że ta akcja, która się pojawiła w szóstym odcinku Rings of Power jest obezwładniająca, polecam obejrzenie pilota Koła Czasu.
1162:  Będziecie mieli tę akcję w dwudziestej minucie.
1166:  Moim zdaniem tak powinien wyglądać pilot, żeby...
1169:  był interesujący.
1172:  Ale co na to poradzimy w takim razie?
1174:  No zatem, moi kochani, zaczynamy sobie tradycyjnie, przepraszam, nie będę mógł dłuższych fragmentów wam pokazywać, ponieważ Amazon dba o swoją własność intelektualną.
1186:  Nie dba o własność intelektualną innych, ale o swoją dba, tak?
1189:  W związku z powyższym, żeby uniknąć copyright strike'u, który już raz był, będziemy sobie poklatkowo analizować i omawiać poszczególne odcinki.
1198:  Czyli dwa, odcinek piąty oraz odcinek szósty.
1201:  I oczywiście, nie wiem dlaczego się wam nie pokazuje nic, mam nadzieję, że to się zmieni.
1206:  Dlaczego jest tak, że no nie mówcie mi nawet, no nie mówcie mi nawet, że będzie czarne tło.
1214:  to jest absolutnie niemożliwe.
1216:  Ja mam sposób na to, ja mam, moi drodzy, sposób na to, to znaczy, jeżeli się nie mylę, to bardzo możliwe jest to, że będę musiał zmienić przeglądarkę na radośniejszą.
1228:  Tak, będę musiał zmienić przeglądarkę na radośniejszą.
1232:  Już wyjaśniam, co się stało.
1233:  Mianowicie, najprawdopodobniej,
1235:  Amazon wdrożył te skrypty, które są w Microsoft Edge, generalnie w Chromium, czyli także w Google Chrome i uniemożliwia nam oglądanie normalne, ale nie martwcie się, Firefox jest jeszcze.
1245:  Jest jeszcze Firefox.
1246:  Będę musiał tylko szybciutko, szybciutko zalogować się w Firefoxie i będziemy mogli wznowić naszą analizę.
1254:  Bardzo Was przepraszam za to.
1255:  Jak widać, Amazon bardzo pilnie sprawdza to, co pokazujemy.
1262:  Amazon.
1263:  Video, dobrze.
1264:  Już się logujemy.
1267:  Teraz powinienem dać taką muzyczkę, jak w windzie, moi drodzy.
1270:  Ale na szczęście już mamy odcinek piąty.
1273:  To będzie Partings bodajże.
1275:  Mam nadzieję, mam nadzieję, że zobaczymy to w pełnej krasie.
1279:  Będę niesłychanie oburzony, jeśli się okaże, że tak się nie uda.
1283:  Ha, ha, ha.
1284:  Ha, ha, ha.
1285:  Ha, ha, ha.
1292:  Tak!
1293:  Dobrze.
1294:  Dobrze, moi drodzy.
1296:  Dobrze, moi drodzy.
1297:  Żadnego hasła 1, 2, 3, 4.
1299:  Przepraszam najmocniej.
1301:  Używajcie menadżerów haseł.
1302:  Ja Was bardzo proszę.
1304:  Może być to... To jest darmowy menadżer, więc mogę go zarekomendować.
1308:  Ja używam Last Passa, tak?
1309:  Używajcie dowolnego innego menadżera haseł.
1311:  Nie używajcie hasła 1, 2, 3, 4, 5.
1313:  Błagam Was.
1315:  A zatem.
1315:  Amazon Rings of Power.
1317:  Odcinek piąty, Partings.
1319:  Moi drodzy, co nas tutaj czeka?
1321:  Jesteśmy wśród pól i pojawia się The Stranger, konsekwentnie tak nazywany, moi drodzy, a mianowicie nasz Hodor z kosmosu.
1330:  I to jest jedna z fajniejszych scen, muszę powiedzieć, to znaczy w tej scenie...
1339:  Nori, Nori, Nori, oczywiście to była Nori, tak, naturalnie Nori, bardzo ważna, kluczowa postać, kluczowa postać Nori, pamiętałem o niej, więc Nori rozmawia z Hodorem przez tworzy i uczy go konceptu dobra i zabijania.
1351:  I to jest moim zdaniem jeden z dwóch tropów, którego ja się będę bardzo trzymał, że absolutnie nie mamy do czynienia z Sauronem, jak niektórzy uważają, nie wiem dlaczego niektórzy tak uważają, tylko jednym z Istarich, moi drodzy.
1365:  I cały czas utrzymuję, że będzie to albo Romestam, albo Morimetar.
1369:  Niektórzy uważają też, że będzie Gandalf.
1371:  Inne poszlaki, które będą w tym odcinku, w moim przekonaniu wskazują, że Gandalf to nie może być, ponieważ Gandalf był powiernikiem ognia, tajemnego ognia skądinąd.
1382:  A zatem Hodor przetworzy, uczy się konceptu zabijania i uczy się konceptu dobra, to znaczy zastanawia się w którymś momencie, czy to jest tak, że on może jest zły, że może jest zagrożeniem, peril, prawda?
1394:  I zastanawia mnie też to, że nie zna w ogóle konceptu śmierci, prawda?
1397:  Bo nawet jeżeli byśmy założyli, że Istari mieli zmodyfikowaną pamięć, zanim wylądowali w śródziemiu, tak nawiasem mówiąc nie było.
1405:  to wciąż uważam, że dysponowaliby tak podstawowymi konceptami, jak koncept dobra, zła, śmierci, życia itd., itd.
1412:  Więc nie wiem, do czego to ma doprowadzić, szczerze powiedziawszy, ale zobaczymy.
1418:  Dawid pisze, że czeka aż dotrzemy do najlepszej sceny walki w historii kina.
1421:  To jest najlepsza scena walki w historii kina.
1424:  Zobaczymy.
1424:  Krzysztof nawet ważnych postaci nie pamięta.
1426:  To jest nieprawda, Janie.
1427:  To jest nieprawda i zaraz wyjaśnię dlaczego.
