Sprawa dla Masochisty | KRAKOWSKIE POTWORY (rant bez spojlerów)
🔗 https://www.youtube.com/watch?v=0X-wEkrX_To

1:  Są trzy fazy gównoburzy.
5:  Kupośniaczek, kałszkwał oraz trzecia, ekskrementornado.
13:  To właśnie ono wybija z kanałów podkrakowskich w wybitnej produkcji polskiej Netflixa, horrorze fantazy, autorstwa dwóch równie wybitnych reżyserek.
36:  Kasia Adamik i Olga Hajdas.
41:  Ta druga znana z wybitnych produkcji pod tytułem Ukryta Prawda oraz Barwy Szczęścia.
49:  Więc wiedząc to wszystko...
51:  Polska superprodukcja, barwy szczęścia, ukryta prawda, Netflix i fantasy.
58:  Byłem w 100% przekonany, że będziemy mieć do czynienia z murowanym sukcesem.
62:  Po pierwsze, nastawiłem się na to, co zawsze.
66:  To znaczy, że w polskich filmach i w polskich serialach nie ma czegoś takiego jak naturalny dialog.
71:  Przykładowo, Krzysztof, mógłbyś mi podać wodę?
74:  Proszę, tutaj jest twoja woda.
78:  polskim kinie, w polskim filmie, zagranym przez polskich aktorów.
83:  Dialog ten brzmiałby.
86:  Krzysztof, możesz podać mi wodę?
88:  Proszę bardzo, oto twoja woda.
91:  Wszystkie dialogi bowiem są zawsze nagrywane na jednym tonie, niezależnie od tego, czy ktoś się cieszy dlatego, że dostał się na wymarzone studia, na które usiłował się ucieszyć, czy mówi, o nie, morderca właśnie chce mnie zabić i ściga mnie, muszę natychmiast uciekać,
108:  I ja w tym momencie nawet staram się nadrabiać gestykulacją to, że mówię cały czas wbrew sobie na jednym tonie i z jedną intonacją, ponieważ nienaturalne dla mnie jest niewyrażanie emocji.
119:  Ale polscy aktorzy jednak, quod erat demonstrandum, nie mają z tym żadnego problemu.
126:  Przed wami między innymi Andrzej Chyra.
130:  Dzieją się dziwne rzeczy.
130:  Dobre bóstwo zabiło.
133:  Ale dobre bóstwa nigdy nie mają złych intencji.
135:  Nie.
140:  Nie ma mowy.
145:  Non si totem.
149:  Nie możemy się pomylić.
150:  Odlujecał mój pan!
151:  Nie!
158:  Ale, ale, powiecie, przecież Krzysztof, Krzysztof, my tutaj nie przyszliśmy po Andrzeja Hyre, my tutaj nie przyszliśmy po jakieś, jakieś smęty, jakieś smęty, polskie dialogi, nie, nie, my tu przyszliśmy po potwory, potwory w Krakowie.
178:  Myślicie, że Krzysztof wam nie pokaże?
180:  Myślicie, że Krzysztof wam pokaże?
182:  Proszę bardzo, tu jest scena tajemnicy.
187:  Największa moc skupia się w centrum równoległego świata.
191:  Tego miejsca szukamy.
193:  Tu znajduje się klucz do tego co się dzieje.
207:  I z tą tajemnicą są oczywiście potwory.
212:  Co jeden to lepszy.
259:  Ale jak wam mało tej
285:  nędznej parodii Labiryntu Fauna Guillermo del Toro, pani z zarazą, czarną zarazą, albo chaos, chaos, chaos, chaos.
301:  Albo tego Mikołaja, który się zasadzał na Szwabów, bo Szwaby w Krakowie pewnie zwiedzają, po niemiecku zwiedzają.
309:  Jak wam tego ma?
310:  Spokojnie, spokojnie.
313:  Wiem, wiem na co czekać, wiem.
315:  Przecież polskie kino specjalizuje się nie tylko w pokazywaniu półnagich ludzi, którzy zachowują się w całkowicie irracjonalny sposób.
325:  Nie tylko specjalizuje się w pokazywaniu
328:  sikających facetów, jak również w najbardziej wulgarnym pokazywaniu seksu, jak to jest w ogóle możliwe.
336:  Nie.
337:  Polskie kino w jednym specjalizuje się najlepiej.
341:  W pokazywaniu egzorcyzmów połączonych z bólami porodowymi.
371:  Lesia!
373:  Lesia!
373:  Lesia!
387:  No jak, podoba się wam, co?
390:  No powiedzcie, że przyznajcie się, że się wam podoba.
393:  No przyznaj się, że to dobre, że to takie fantastyczne, że czekałeś na to po prostu.
402:  No zobacz, zobacz jak się starali, jak chcieli zrobić to.
410:  chciały Kasia Adamik i Olga Hajdas, jak się starały, żeby zrobić fantasy kino.
418:  Proszę, nie podoba ci się?
420:  Ty tak narzekasz, tym malkontentem jesteś.
425:  Bardziej paradoksalne jest w tym wszystkim to, że
430:  Jednej z końcowych partii serialu pada, wprawdzie w języku angielskim, ale świetne podsumowanie tego, co Wit czuje, obejrzawszy wszystkie osiem odcinków tego sakramenckiego gówna.
450:  No i właśnie.
452:  Cierpię.
454:  Bardzo cierpię.
456:  Nie obejrzałem oczywiście ośmiu odcinków ciurkiem, obejrzałem je na gigantycznym przyspieszeniu, przewijając wielokrotnie, ponieważ ja nie jestem w stanie słuchać kogoś, kto mówi w ten sposób i nie ma w tle żadnej
479:  Ja po prostu nie jestem w stanie odbierać tak dzieła audiowizualnego, bo to jest dokładnie wszystko to, co dla mnie zaprzecza dzieło audiowizualnemu i jego idei.
491:  połączeniu słowa, muzyki, dźwięku, aranżacji dźwięku i efektów specjalnych i wszystkiego tego, co ma być magią kina.
499:  Przepraszam najmocniej, wypuszczanie w 2022 roku takiego spektaklu i festiwalu złego smaku, kiczu i cringe'u,
512:  To jest już pewna przesada.
514:  Ja jestem przyzwyczajony do tego, że polskie kino to jest kino klasy F. Ja jestem do tego przyzwyczajony.
522:  Nie mam wysoko zawieszonych oczekiwań.
524:  To jest mniej więcej tak, jakbym miał porównać wyjście do restauracji z trzema gwiazdkami Michelin i to powiedzmy byłoby kino zachodnie.
534:  z wyjściem na kebaba, które nie dość, że jest zgniłe miejsce w środku, to jeszcze zamiast, żebyście kebaba dostali do bułki, ktoś wam wali w twarz tym kebabem i mówi, coś ty jeszcze się nie cieszysz z tego, dobry kebab przecież.
548:  To jest dla mnie doświadczenie polskiego kina.
551:  Czuję się obrażony jako widz, czuję, że mój czas został zmarnowany i przede wszystkim widzę, co z biednymi polskimi studentami Akademii Teatralnych robią ci debile aktorzy, którzy usiłują uczyć ich czegoś, co jest zaprzeczeniem właśnie magii kina.
569:  Uczą ich teatralności, sztuczności i sami nie potrafią mówić, co to jest za żenada, żeby Andrzej Chyra
576:  No przecież to jest żenujące, tak?
582:  Jeżeli przeciętny youtuber jest w stanie artykułować lepiej niż wybitny polski aktor.
588:  Przepraszam, już dość, tak?
591:  Enough is enough, jak mawia klasyk.
