Tak mógł wyglądać Cyberpunk 2077 | CYBERPUNK: EDGERUNNERS (recenzja bez spojlerów)
🔗 https://www.youtube.com/watch?v=-5HJuQ3YWq0

1:  Właśnie skończyłem oglądać Edge Runners od studia Trigger, odpowiedzialnego m.in.
6:  za dwa epizody Star Wars Vision i Little Witch Academia, ale to nieistotne, oraz CD Projektu Red i nagrywam tę recenzję przekonany, że...
16:  wytworzę mem, że jeżeli na kanale moim pojawia się pozytywna recenzja fantastyki, to na pewno będzie to animacja, ponieważ po Arkane, po Castlevanii, po Legend of Vox Machina, Cyberpunk Edgerunners dołącza do absolutnej elity.
31:  I mam wrażenie, że jeżeli poszukujemy w 2022 roku dobrego światotwórstwa, czyli wiecie, nie takiego jak przy Rings of Power, to powinniśmy sięgnąć po animację.
43:  Jestem olśniony tym, w jaki sposób wygląda Cyberpunk Edgerunners, a zarazem jestem smutny, bo tak mogła wyglądać gra studia CD Projekt Red, to znaczy Cyberpunk 2077.
55:  Cyberpunk Edgerunners mianowicie odhacza absolutnie wszystkie
60:  tropy cyberpunkowe, które możecie chcieć.
62:  Jest przepiękna neonowa estetyka, jest ciemny Night City, w którym rozpoznajemy, to jest gratka dla graczy, znane lokacje od Afterlife po Badlands, a nawet bazę na Księżycu.
76:  Są niesamowite, charyzmatyczne, magnetyczne, punkowe postaci, które realizują tę ważną dla Mike'a Pondsmitha, twórcy uniwersum Cyberpunk 2020, zasadę
88:  street credu, to znaczy szacunku ulicy, który zbieramy zarówno przez niesamowite osiągnięcia punkowe i rewolucyjne w walce z korposami, jak i styl, który tutaj objawia się oczywiście w stylu graficznym, ale także w fantastycznych projektach postaci.
106:  Natomiast to, co jest najpiękniejsze absolutnie, to to, w jaki sposób postaci rzeczone w
112:  Błyskawicznie nawiązują relacje.
114:  Po 2-3 odcinkach jesteśmy zaznajomieni z nimi tak, jakbyśmy grali 200 czy 300 godzin w grę wideo albo obejrzeli 5 sezonów serialu.
124:  Mistrzostwo prowadzenia narracji, ale także mistrzostwo budowania relacji pomiędzy postaciami.
131:  w bardzo krótkim czasie i w bardzo oszczędny sposób.
135:  Mimo, że Cyberpunk Edgerunners olśniewa na tym poziomie wizualnym, jest to feria barw, szaleństwa, dzikich walk i tak dalej i tak dalej, to na poziomie emocjonalnym i na poziomie budowania portretu charakterylogicznego i psychologicznego postaci jest to narracja niesamowicie oszczędna, więc niech nie zwiodą was
156:  te bombastyczne obrazy, które pojawiają się m.in.
160:  też w tym zwiastunie, który Wam teraz pokazuję, ponieważ Cyberpunk Edgerunners jest znacznie bardziej kameralną produkcją, niż nie moglibyśmy przypuszczać, a co najważniejsze, produkcją, która pokazuje to, co jest absolutnie najważniejsze dla cyberpunka, tzn.
173:  przekraczanie granic człowieczeństwa.
176:  Ale równocześnie tak, że
179:  życia w świecie, w którym walka klas i rozbestwiony, rozpasany kapitalizm doprowadziły ludzi absolutnie na skraj nędzy.
187:  Świat cyberpunkowy w zasadzie jest bardzo bliski naszemu pod tym względem, zresztą może różnicą, że nie mamy takiej dobrej technologii tak fajnie działającej, ale poza tym niestety wszystkie inne aspekty świata cyberpunkowego, czyli rosnąca dysproporcja między klasami najbardziej zarabiającymi, a tymi, którzy znajdują się na skraju ubóstwa,
209:  Prywatyzacja edukacji i jej żenujące i żałosne konsekwencje dla rozwoju jednostek.
215:  Następnie problem związany z tym, że jeżeli chcecie mieć dobrą opiekę medyczną, to przygotujcie się lepiej na najlepszy platynowy pakiet Medicoveru, ponieważ na NFZ-cie to przyjmą Was najwyżej do jakiegoś nędznego szpitala, w którym ledwo są pieniądze na prąd.
230:  co przepięknie jest w serialu pokazane w początkowych sekwencjach, nie chcę Wam zaspoilować, ale wizda w szpitalu dla naszego głównego bohatera będzie bardzo istotna i traumatyczna.
240:  Wreszcie w świecie cyberpunkowym mamy do czynienia z rozpasanym korporacjonizmem, z przejęciem władzy, która była dotąd w gestii państw przez drapieżne korporacje, które uzależniają od siebie absolutnie wszystkich, ale równocześnie mamy tamten duch punkowy, rewolucyjny,
259:  wykraczania poza bariery, które są nam stawiane, ale także walki z opresyjnym systemem.
265:  Nawet wtedy, jeżeli wiemy, że przegramy, to przynajmniej chcemy odejść z hukiem.
