Władza, piguły i miasto z bibuły. Nowsza, ale czy wspanialsza dystopia? | BRAVE NEW WORLD (recenzja)
🔗 https://www.youtube.com/watch?v=ZB1YCbbf2vU

1:  W ostatnich latach niewątpliwie obserwujemy znaczący wzrost filmowych i serialowych dystopii.
8:  Wizji światów, które są na pozór idealne, sterylne, czyste i perfekcyjne, ale pod spodem coś w nich gnije i wynurza się z nich totalitarny potwór.
20:  Brave New World Oldosa Huxleya to jedna z trzech najważniejszych pozycji w tym nurcie, przynajmniej literackich, obok oczywiście roku 1984 George'a Orwella oraz mniej znanej, ale nie mniej dobrej powieści My, Eugenia Zamiatina.
37:  I przez to chociażby jest powieścią trudnoekranizowalną.
41:  Jednak w momencie, w którym zobaczyłem zwiastun serialu Stacji Peacock w reżyserii produkcji Davida Wienera, stwierdziłem, że być może jest w tym jakaś cień nadziei.
55:  Świat bowiem, sportretowany w tej serialu i w tej filmowej opowieści, jest absolutnie olśniewający.
63:  Połączenie retrofuturyzmu z sterylnym, wspaniałym projektem architektury świata, nowego Londynu, istotnie zasługującego przez to na miano nowego wspaniałego świata,
76:  wprowadziło powieść świeżości do tej powieści, już nieco podstarzałej i odpowiadającej na zupełnie inne lęki społeczne i potrzeby zarazem niż dowolna dystopia powstająca w wieku XXI.
90:  Śledzimy w serialu losy bohaterów znanych dobrze z oryginału książkowego, przede wszystkim Leniny Crown, Bernarda Marksa oraz Johna the Savage, dzikusa spoza dystopijnego świata, a zatem tego elementu, który przez system dystopijny zwykle nie jest przewidziany, bowiem skoro nie mamy proroków we własnym kraju,
110:  Jedyne co można zrobić, to jak najszybciej zaminować granice i oddzielić się wysokim murem, żeby taki prorok nie przyszedł z zewnątrz i nie uświadomił nas, że żyjemy w kłamstwie.
121:  Kłamstwie, na którym ufundowany jest cały, na pozór idealny system.
125:  I problem naczelny serialu Davida Wienera leży w tym, że rzeczony system przybrał niestety postać
132:  fizyczną, materialną, tzn.
134:  jest to system komputerowy, taki jakiego spodziewalibyśmy się w tego rodzaju świecie w dzisiejszych czasach.
141:  I system ten indywiduje obywateli, którzy nie są, wydaje mi się, przynajmniej tak podatni na wpływ somy, jak w oryginale książkowym.
151:  Jasne, ta narkotyczna substancja, zresztą pochodząca z sanskryckiego określenia na eliksir nieśmiertelności i życia,
159:  faktycznie jest potężna, ale raczej potężna jak silna substancja narkotyczna, a nie jako coś, co u Huxleya w zasadzie ma wpływ na funkcjonowanie systemu na wszystkich jego poziomach.
173:  I drugi problem serialu leży w czymś, do czego zwykle się nie przyczepiam, to znaczy w wyborach aktorów.
181:  Akurat pechowo się złożyło, że dystopijny władca systemu w świecie wykreowanym przez Oldosa Huxleya, Mustafa Mond, ma imię znaczące.
191:  Mustafa bowiem, modelowany zresztą na Mustafa Kemelu Atatürk przez Huxleya, oznacza tyle co ojciec, a Mond pochodzi od łacińskiego mundus, czyli świat.
203:  Na czele Nowego Londynu dystopii w Brave New World stoi ojciec świat.
210:  I nawiązuje to do bardzo długiej tradycji piętnowania patriarchatu w światach dystopijnych.
217:  Nieprzypadkowo w roku 1984 mamy Wielkiego Brata, w Bioshocku Infinite mamy Ojca Comstocka, w Ekwilibrium Kurta Wimera mamy po prostu Ojca.
229:  Ci mężczyźni w tym wypadku są znaczący.
235:  I dlatego pewnym ponurym paradoksem jest to, że na fali kastowania kobiet do ról pierwszo- i drugoplanowych akurat postawiono pechowo na taką rolę, która powinna być wypełniana przez mężczyznę.
250:  Poza tym, jeżeli miałbym wprost powiedzieć o kobietach,
254:  nowym wspaniałym świecie, cokolwiek, co może zachęcić do jego oglądania, myślę, że właśnie należałoby dać szansę temu serialowi z uwagi na piękno scenografii i to, jak ten świat wygląda.
266:  Natomiast to jest zarazem najsilniejszą i najsłabszą stroną serialu, bo jeżeli napięcie intrygi nie jest nawet w połowie tak dobre jak w oryginale książkowym, a postaci zostały spłaszczone do wypełniania typowych ról wymaganych przez hollywoodzkie schematy,
284:  to cóż nam pozostaje innego, jak nie właśnie świat i jego polityczny obraz.
289:  Natomiast problem polega na tym, że przez rozliczne decyzje fabularne, które zostały w serialu podjęte, świat ten być może jest nowszy, ale nie wydaje mi się, by był wspanialszy od tego, który stworzył Huxley.
304:  Czy jest to rekomendacja?
305:  Decyzja należy do Was.
308:  Do następnego.
