Aż poleje się krew | RED DEAD REDEMPTION 2 Livestream #13
🔗 https://www.youtube.com/watch?v=bdrxTeJEYD8

168:  © PTA & TVP
331:  🎵🎵🎵
421:  Witam wszystkich!
423:  Witam najserdeczniej!
426:  To jest sobota, to jest malaria, to jest dziki zachód i niestety gruźlica, na którą zapadł JP Morgan.
433:  Witam Keromusa, witam dygresyjnego etyka, witam stalowego guźca, witam Aleksandrę Żakiewicz, Bill Gomeza, witam Zero Noxa, witam Mr. Lipińskiego, który słusznie mówi, że powinniśmy poszukać moda na...
445:  Gruźlice, to było okrutne.
447:  Witamy Krapkę444, Alixowatego, Bartegak, Dorkę, Aleksandrę, Dit Firebone, DJ Ozaur, MagdaM1, Luke Biechu, Nadia Lewi, Grzybie Pierwotnią, Nihilistycznego, Oposa,
462:  Michała Ciekańskiego, witam Kingę Wolską, która biedna będzie się biedzić z wprowadzeniem do językoznawstwa angielskiego.
469:  Czy dostaniemy jamniki dla Kingi Wolskiej?
472:  I witam Kupsona28, witam Erharda Węgrodzkiego, Natalię NN, Nikoksa, Klosika, Norę, Tomirę, Adama Pabiańczyka, Kambrrianę, Pustelnika, Nikczemności, Takoż, Linuksa, Julka Opeczewsko, Tomeczka i dygresywnego Wilka.
487:  Moi drodzy,
489:  Trzynasty to odcinek naszej podróży na Dzikim Zachodzie.
493:  Powiedział Krzysztof niepostrzeżenie w tle, otwierając Red Dead Redemption 2, które ma ostatnio przykrą właściwość crashowania, unieprzyjemniania nam rozgrywki, psucia się wskutek patcha, który wysłał Rockstar.
508:  Witam Macieja Piotrowskiego tymczasem, witam Natalię NN, nudziarza,
514:  Aśku, Tomka Szklarza, Rebek Cloud, Willy2001 i Hajusa.
521:  Witam wszystkich, którzy zgromadzili się przy elektroswingu, tańczyć i cieszyć się na powitanie malarii.
529:  Witam nawet Dominikę Jamnikotwórczynię Klimczak.
532:  To nie chodzi o te jamniki, to chodzi o jamniki, które widzicie na czatach i których używają trybutariusze, tak jest.
537:  O!
539:  Pierwszy rwany dźwięk, znak to, że startuje Red Dead Redemption 2, moi drodzy.
544:  Dobra, mam nadzieję, że dzisiaj nie będzie problemów.
547:  Mam ogromną nadzieję, że dzisiaj nie będzie problemów.
550:  Ustawiam przechwytywanie gry na Red Dead Redemption 2 i teraz pilnujcie mnie czaty.
555:  Nie mogę ani razu zmienić sceny.
558:  Ponieważ jak zmieniam scenę, to dzieją się rzeczy po patchu.
562:  Niestety.
562:  Nieprzyjemne rzeczy się dzieją.
564:  Więc teraz czeka nas słuchanie ptaszków tiuturlikania.
569:  Pobrzdąkiwania banjo.
571:  Tak.
572:  Tak.
573:  I dziko zachodzenia.
578:  Dominika Jamnika, twórczyni Klimczak, chciałem też zaznaczyć, że uczyniła także tego Jamnika i ma absolutną słuszność.
583:  To jest fizyczny Jamnik stworzony przez Dominikę.
587:  Tak jest.
589:  Śmiesznie by było, gdyby malaria oryginalnie była nazwana gruźnicą.
596:  Coś w tym jest.
597:  Coś w tym jest.
599:  Coś w tym jest.
601:  Jadę ulicą na loko i oglądam stream przy Adam Pabiańczyk, którego serdecznie witamy.
605:  Mam nadzieję, że nie skończę jak JP Morgan na malarii.
608:  My też.
609:  My też.
610:  Dla wszystkich, którzy nie wiedzą o co chodzi, podczas tej gry mniej więcej 4827 razy wypierdzieliłem się z malarii konno.
620:  Niestety.
621:  JP Morgan był katapultowany z siodła niby sporządnego trebusza.
629:  Co dzisiaj pitę?
630:  Dzisiaj herbatka, moi drodzy.
631:  Herbatka, herbatka.
633:  Herbatka, woda, nawet soku dziś nie mam.
638:  To, co mamy natomiast, to nowy wpis w dzienniku.
645:  Sawa Sky pisze, że też gra Red Dead Redemption 2, ale trochę smutno, bo jest już platyna.
649:  Jeżeli smutno nam, że skończyliśmy jakąś grę, to jest to znak, że to znakomita gra.
656:  Tak, moi drodzy.
657:  Nie wiem, co się dzieje z widokiem.
659:  Ochyda.
661:  Zobaczcie, imersywne, nieimersywne.
668:  Tylko trzecia osoba.
673:  Mamy nieotwarte listy lub paczki.
677:  Jakie odczucia podczas egzaminów?
678:  Na razie zróweczki.
680:  U mnie egzaminy nie są czymś, co jest jakoś przesadnie emocjonujące dla mnie.
687:  Chyba nigdy mi się jeszcze nie zdarzyło oblanie kogoś akurat z egzaminu.
692:  O, chyba nigdy.
696:  Tak, poczta Myryga.
698:  Jedziemy na pocztę, moi drodzy.
700:  Powiedział nikt nigdy.
703:  Herbatko to najpotężniejszy eliksir, pisze Szymon i ma rację.
709:  Dlaczego?
710:  Widzicie?
710:  I to jest ta mapa.
712:  Mapa każe mi jechać w tył, a ja muszę jechać w przód.
718:  Jak tak można?
720:  Konfundować Krzysztofa.
721:  Nie wolno konfundować Krzysztofa.
727:  Co tu się dzieje?
729:  Ja uważam, że wykładowcy, którzy często oblewają, są kiepskimi wykładowcami.
733:  To jest też powód, dla którego ja nie oblewam.
735:  Żeby według własnych kryteriów nie być kiepskim wykładowcą.
738:  Żartuję.
739:  Nie, generalnie uważam, że są kiepskimi wykładowcami dlatego, że jeżeli ktoś nie zdaje egzaminów, nie zdaje kolokwiów,
747:  To jest to niechybny dowód na to, że zawinił ten, który miał wspomóc go w zdobywaniu tej wiedzy.
756:  Czy ja nie mam racji?
758:  Mapa kieruje w linii prostej najbliższej drogi.
761:  Mapa jest złudna.
763:  Skandal absolutny.
764:  Dobrze, moi drodzy, tutaj jest wydarzenie poboczne.
767:  Zaangażujemy się w wydarzenie poboczne.
769:  Nie będzie łatwo.
774:  Czy chociaż raz uda mi się kogoś uratować?
786:  Dobrze.
787:  Chowam broń.
789:  Chowam broń.
792:  Czy uratowaliśmy tę postać?
801:  Dwa razy wcisnąłem tab i nic to nie dało.
803:  Nieprawdopodobne.
805:  Właśnie ci, którzy zostali uratowani, nie zostali zabici.
813:  Aha.
