Dobry, zły i malaryczny | RED DEAD REDEMPTION 2 Livestream #11
🔗 https://www.youtube.com/watch?v=vOEgfyhe-N4

168:  KONIEC!
335:  Muzyka Muzyka
576:  Witam wszystkich przy sobocie, przy Red Deadowej sobocie.
579:  Wracamy na dziki zachód, wracamy z jamnikiem, wracamy z pląsem i wracamy z wieloma przygodami, które będziemy...
588:  Dzielnie przyzwyciężać, tak samo jak wszystkie przeszkody.
591:  Witam Wilena, Daniela, Tydiena, witam Magdę M1, Bartka Litowskiego, Jamika, Kerumusa, Wernona Roche i cały wywiad temerski.
600:  Rainbow Unicorn, Palitke, Urszule Giewon, Słonego Cukra, Bodzio, Koziego, Szymona Rogowskiego, Kaspar Kuzak, niech będzie powitany Mateusz, Stacewicz, DJ Ozaur, Martyna Łopuszyńska, Juliusz, Sukonfilt, Bogowie...
615:  Annę Kowalewską, także witamy Mikołaja D. Einara, Dorkę, tłumnie przybyliście i wiem, wszyscy przybyli dlatego, żeby oglądać zgrabne pęciny malarii.
626:  Witamy Patryka Kulpoka, witamy Wilsona, witamy Simeona, witamy Mr. Defeat, witamy Kasia Kaszel, Fox Ghost, Macieja Piotrowskiego, Stevena Alabamę,
636:  I wszystkich, którzy nie oglądają czwartego sezonu Stranger Things, tylko przyszli na stream.
641:  Cóż za poświęcenie.
642:  Swoją drogą, dobry sezon.
644:  Witamy Katarzynę Jandę, Tomasza Kulisia, Kupsona, Łukasza Bartoszewicza i wszystkich przybywających.
649:  Moi drodzy.
651:  Red Dead, tak jest, moi kochani.
653:  Without further ado.
655:  Without further ado, bo wiem, że czekacie na dźwięk tych... To są, nie wiem, łabędzie, kaczki...
665:  Mewy, coś w tym stylu, nie wiem.
667:  Jak wiadomo, powszechnie uczyłem się na biologii wyłącznie budowy pierwotniak oraz fragmentacji plechy.
675:  Ściana w tle nie jest tak czerwona, jak powinna być.
678:  I mean right, przeklęte słońce.
681:  Spokojnie, zaraz zajdzie i będzie właściwie.
685:  Ten sezon Stranger Things powala na kolana, prawda?
689:  Powróciliśmy do starych, dobrych korzeni.
691:  Jest tak dobrze, jak było w sezonie pierwszym i drugim i nie ma w ogóle nic z tego dziwnego, 80'sowego cringe'u, który zawitał do sezonu trzeciego.
702:  Sezon trzeci przypominał mi bardzo Captain Marvel, nie, Captain Marvel, znaczy Captain Marvel to swoją drogą, a z drugiej strony Wonder Woman 1984.
710:  Dosłownie, scena w supermarkecie była identyczna.
713:  Natomiast tutaj, och, dzieją się dobre rzeczy, chociaż powiem Wam, że zainteresowało mnie to, jak dużo jest analogii między obecnym sezonem Stranger Things, a czwartym, bodaj sezonem Riverdale'a.
725:  Gdzie liczni wywrócenia się malarii?
727:  Nie bądźcie tak okrutni dla tego biednego konia.
731:  Myślał Krzysztof, który będzie okrutny dla tego biednego konia.
737:  Jeszcze cały czas zalegam niestety z Obi-Wanem Kenobim i zastanawiam się czaty, zastanawiam, czy przypadkiem nie zrobić tak, żeby poczekać aż wszystko wyjdzie i obejrzeć razem, bo doprowadza mnie do szału to, że seriale znowu wychodzą co tydzień.
752:  Witamy z Gretka, witamy Bookworm.
754:  Trzeci sezon, bardzo mnie zniechęcił, warto wrócić.
756:  Tak, Bookworm, jak najbardziej.
757:  Jeżeli trzeci sezon Stranger Things zniechęcił, tak jako i mnie, mogę prawie zagwarantować, że już na etapie pierwszego odcinka będzie świetnie.
766:  W czwartym sezonie Stranger Things.
768:  Kasza kaszel urodziny ma, kochani trybutariusze, to jest okazja, rzadka okazja, żeby zajemniczyć się specjalną urodzinową emoji, którą mamy.
778:  Ja czekam, aż będą torty jamnicze dla Kasza Kaszel.
784:  Tak jest!
784:  Właśnie te!
785:  Właśnie te!
787:  Żabcia była na filmie Jujutsu Kaisen i trochę się zawiodła.
791:  Nie jest na miarę anime.
793:  Tak właśnie mam wrażenie, że sporo ludzi, które oglądało wcześniej sezon, jest zawiedzione.
797:  Ja nie oglądałem wcześniej sezonu i dzięki temu, znaczy nawet gdybym oglądał i to bym zapomniał, dzięki temu się cieszyłem tym bardziej.
805:  Greenpeace by się przyczepił, gdyby był licznik potknięć malarii.
809:  B. Glogowska miała również wczoraj urodziny.
811:  Przy okazji witam serdecznie na czatach razem z Michaliną Kamińską i wszystkim, którzy dołączyli.
815:  W związku z powyższym niestety musimy zajamniczać się dalej.
818:  Bardzo ubolewam.
820:  Z tego powodu.
822:  Możecie mi wyjaśnić, dlaczego ja nie widzę... Okej, dlatego nie widzę interfejsu.
826:  Myślałem, że zrobiłem coś źle znowu.
828:  RainbowUnicron, dzięki serdecznie za hojny trybut.
830:  Spóźnione życzenia urodzinowe, ponieważ Google odmówiło współpracy niedawno.
834:  Najgorzej.
834:  Bardzo serdecznie dziękuję.
836:  Miłego streamka wszystkim.
838:  To także dla Was czaty, życzenia.
840:  Cóż za początek.
841:  Dziękuję.
842:  Uwielbiam obchodzić urodziny po urodzinach.
844:  To jest najlepsze.
845:  Czy myślicie, że jeżeli zrobimy coś takiego, to...
850:  Prorok kaczk nam sprzyja.
853:  To dobrze.
855:  Jak robić jamnicze emoji?
857:  Niestety jamnicze emoji są dla wspierających kanał, ale mamy umowę, że jeżeli ktoś nie ma jamniczych emoji, może używać emoji ulubionego zwierzęcia.
