Koniec końców | RED DEAD REDEMPTION 2 Livestream #16
🔗 https://www.youtube.com/watch?v=6dUUma-rKgw

1:  🎵🎵🎵
73:  muzyka
150:  KONIEC!
220:  Witam z jamnikiem!
222:  Witam na tle lorowo-nieadekwatnej mapy z Warhammera!
225:  Witam Klaudię!
227:  Witam Samuita!
236:  Jeszcze raz witam Seronok, Zapotrzebunię, witam Pąkę, witam Benzanta, witam Webil, witam Bezsergo, witam Onufrego, Biliskos, witam Natalię, Enen, Andrzeja, Dudka, Kacpra, Dudruja, Aleksandrę, Władema, Pamięczyka, Tesia, Koli, Tomasza Szklarza, Rubuesza, Tomasza Rogodzińskiego, Iskora, Michalina Kamieńska, Rebeka, Klaud, Simona, Enen, Cytrusa, Magda, M1, Gafcie, Aleksandrę, Szakiewicz, Bajoniku, 24, witam wszystkich z lomazu, witam Polinkę, witam Juliusza, witam Dory, witam Konrada, Głębowskiego, Dominika,
264:  i wszystkich, którzy przybyli śledzić dzisiejsze przygody.
278:  bohatera.
278:  Nie pamiętam, jak się nazywa ten bohater, który wjeżdża po JP Morganie, ale wszystkich, którzy przybyli zobaczyć finał finałów, koniec końców.
287:  Red Dead Redemption 2.
289:  Witam Tektro, Simona, Red Angel, Juliusza, Takosz, Onufrego, Soywitch, wszystkich, którzy będą oglądać zapis tego streamu, wszystkich, których nie będą oglądać zapis tego streamu.
298:  Kto wie?
299:  Witam Dziabowskich, Sylwię S. I całą resztę, kochani.
304:  Taka przygoda za nami jest gigantyczna.
307:  Przygoda przy dźwiękach elektroswingu.
310:  Przygoda na dzikim zachodzie.
314:  Malaria.
315:  JP Morgan.
317:  Alokacja.
319:  Portfolia inwestycyjnego.
320:  Bycie najlepszym magiem wśród kowbojów i najgorszym strzelcem wśród doradców inwestycyjnych.
328:  Tak, moi drodzy, będzie.
331:  Without further ado zatem.
333:  Przenosimy się do gry.
336:  Nie ma żartów, a ja siadam.
339:  Dzisiaj radośnie, bo to piękna gra za nami, moi drodzy, i najgorsze rzeczy, najbardziej przejmujące i najbardziej sentymentalne i nostalgiczne już za nami.
348:  Mam nadzieję.
353:  Ezju pisze, że ma dzisiaj urodziny i chciałby dostać urodzinowe jamniki.
357:  Bardzo słusznie, Ezju.
358:  Od tego mamy, Ezju, przepraszam, od tego mamy urodzinowe jamniki, żeby wstawiać urodzinowe jamniki.
364:  Jest też taki urodzinowy jamnik.
367:  A jak grałem w Gęślinia, mam za słabą kartę graficzną, żeby grać w Red Deada.
370:  I nie ma problemu.
372:  Jak się okazuje, nawet moja karta graficzna 3060 Ti jest nie do końca wystarczająca, żeby grać w Red Deada i równocześnie streamować.
381:  Ach, moi drodzy.
383:  Teraz tak, pytanie, czy będą glitche?
386:  Czy przełączanie scen sprawi, że będą działy się straszne rzeczy?
390:  Zobaczymy.
391:  Testujemy od samego początku praktycznie nowy setup z glitchami, więc mam nadzieję, że ich będzie coraz mniej.
397:  Wydaje mi się, że udało nam się wyeliminować wszystkie możliwe przyczyny, ale prawda jest taka, że to jest straszna loteria.
404:  Witamy piesologię na czatach.
406:  Liczę na gliczę, tak?
408:  Niezmiennie.
408:  Udało mi się też uzyskać głębszy kolor czerwieni, dzięki temu, że mam trzy lampy tym razem za sobą, a nie tylko jedną.
416:  Jeszcze jest czwarta rezerwowo, gdyby czerwień była za mało głęboka, ale to jest do nagrań, dla każdego coś przykrego i vlogów.
424:  Bardzo możliwe, że wskoczy nowy odcinek w przyszłym tygodniu.
427:  Ale nie wiem.
430:  Bo odpoczywałem.
437:  Czy ktoś wie, jak się nazywa nasz bohater?
440:  Bo ja nie wiem.
441:  Wiem, że jest ubrany lamersko.
445:  Nie tak jak JP Morgan.
446:  To niesprawiedliwe.
450:  Dobrze, moi drodzy.
450:  Wszystko wskazuje na to, że jest ok.
453:  Dziękuję.
454:  Dziękuję.
455:  Zmierzałem, moi drodzy, w stronę U. U jak u kwiał.
460:  John Milton.
461:  Właśnie to jest dlatego, że on się przedstawia jako John Milton, a to jest John Marston.
465:  Ja teraz nic nie wiem, a nasz koń nie jest naszym koniem.
468:  Patrzcie, jak bardzo mało malaryczny.
471:  Adam Smith.
