Przeklinacz koni | RED DEAD REDEMPTION 2 Livestream #12
🔗 https://www.youtube.com/watch?v=zgH0rQYpvyQ

170:  Muzyka
337:  Muzyka Muzyka
407:  KONIEC!
445:  Witam!
445:  Witam wszystkich przy dźwiękach!
448:  Źulca Gaji i Elektroswinga, witam Samuita, witam Patryka Kulpoka, dygresywnego Wilka Nemora, Kacpra, Kłosowskiego, Agnieszkę Szabat, Nadie Lewi, Esona, Kangralda, wszystkich zgromadzonych, Korpomiśka Blisknera, Esona, Mardart, Jan Kupe, Kerem Musada, Pabiańczyka, Katarzynę, Volatajl Skim, Franka Łuczaka, arcykolega Roberta Górskiego, Miss Jesionka,
475:  Macieja 123, Kaspra Kuzaka, Tomasza Szklarza, Metal Boya, jak dobrze móc znowu używać swojego głosu w pełnej skali, moi mili, Nuk Daddy, Martynę Łopuszyńską, Juliusza, Kisii, Michalinę Kamieńską, Pawła, Szymona, Cordemon, Oliwie Future Melf,
496:  Piękne!
497:  Simba Shiny, Renarta, Kasa, Bookworm, Oliwie po raz kolejny, Tydiana, Bartka, witajcie wszyscy moi drodzy!
508:  Cóż za wspaniały dzień!
509:  What a day, what a lovely day!
511:  Będziemy jak zwykle towarzyszyć JP Morganowi, czyli najwybitniejszemu doradcy inwestycyjnemu wśród magów i najgorszemu strzelcowi wśród doradców inwestycyjnych w podróży na grzbicie malarii.
526:  wiernej chabety o szlachetnych pęcinach przez Dziki Zachód.
530:  Witam Oskara Drausa, Bill Gomeza, Daniela, Michaliny Ceser-Mavento, Istotę Żyjącą, Urszulę Giewon, Piodarka, Arcyna, Kaś, Fade to Black i wszystkich szlachetnych tutaj zgromadzonych, Aleksandrę Takosz i wszystkich stałych oraz niestałych widzów streamu, w tym także takich, którzy będą oglądać nasze zmagania.
551:  Nie po nie w czasie, ale w zapisie.
555:  Moi drodzy, to oznacza jedno.
558:  Red Dead Redemption 2, czyli gra, która po ostatnim update'cie i przy zmienianiu scen w OBS-ie generuje błędy dźwięku.
564:  Mam nadzieję, że dzisiaj ich nie będzie.
568:  A niekowalewską także witamy.
569:  I Victim, i Hathora, i Hysze, i DJ Azora.
573:  Moi drodzy, without further ado, jak mawiają anglosasi...
579:  Rozpocznijmy naszą podróż.
581:  Wzmówmy nią.
583:  Po tym długim okresie, w którym ja zdążyłem 7824 razy zapomnieć sterowania, zapomnieć fabuły, zapomnieć nazwisk postaci, których powinienem pamiętać, zapomnieć kim jest JP... nie, pamiętam kim jest JP Morgan, pamiętam też kim jest Malaria, to znaczy jego habeta, która jest ulubienicą czatów.
601:  Dzisiaj się spóźniłem, tylko 30 sekund, pisze Victim.
605:  A wizard is never late.
607:  You must practice further.
611:  Uwielbiam tę kojącą, spokojną muzykę, która wita nas na ekranach ładowania.
616:  Ojej, ojej, jak jest pięknie!
624:  Jak jest pięknie!
628:  Dlaczego jest tak pięknie?
634:  To jest niesprawiedliwe, jest aż tak pięknie, a wy akurat nie widzicie JP Morgana.
639:  Teraz zobaczycie JP Morgana, jak się wynurza za... śreżoty.
649:  Śreżogi.
650:  Prawie zapamiętałem ten rzeczownik, to jest trudny rzeczownik.
653:  Czyli promienie słońca przemychające przez liście drzew.
656:  Samuit uczy mnie śreżogi od pół roku i wciąż mam problem.
669:  Tak!
670:  Daj mi spokój z zapisem.
673:  Czy pamiętam z Red Dead Redemption 2 pana Wróbla?
676:  Pan Wróbel był chyba jakoś zupełnie na samym początku.
679:  Mam takie wrażenie.
681:  Duszno jak we Wrocławiu na tych bagnach pewnie.
683:  Nie byliście w Krakowie, jeżeli myślicie, że we Wrocławiu jest duszno.
688:  Dobrze, umiem biegać.
690:  Teraz tak, trudna sprawa.
691:  W jaki sposób?
693:  Okej, tabulator.
697:  Dobrze.
698:  Nie wiem tylko dlaczego jenoczęść naszego ekwipażu jest dostępna.
703:  A to zapewne dlatego, że jest... Jesteśmy w obozie.
707:  Okej.
710:  Tak.
711:  Ta gra wygląda lepiej niż otaczająca nas rzeczywistość.
713:  Generalnie to jest cecha gier komputerowych oraz światów fantastycznych, które wyglądają lepiej niż otaczająca nas rzeczywistość i dlatego eskapizm nie jest niczym złym.
723:  Skapizm jest w zasadzie jedyną rzeczą, którą człowiek robi najdawniej... Tak, chyba najdawniej w swojej historii, bo to wiecie, to jest ten pierwszy moment, kiedy jeden Neanderta do drugiego Neandertala mówił monosylabami, że zabił znacznie większego zwierza niż mogłoby się wydawać.
742:  W wersji Ewy Kopacz zabił dinozaura i rzucał w niego kamieniami.
748:  Mądrzy politycy, mądrzy.
753:  Wykształceni.
757:  Prawie tak, jak przedstawiciele polskiej kultury i środowiska aktorskiego.
761:  Prawie.
763:  Czy będziemy szukać wampira w Sądenii?
764:  A wiecie co, to może jest dobry pomysł, chociaż ja nie mam zielonego pojęcia, w jaki sposób to zrobić.
770:  Przede wszystkim odpalmy sobie mapę.
771:  Tutaj mapa jest pod M, w Elden Ring mapa jest pod G, ponieważ From Software.
777:  Czy coś się tutaj nam pokazuje radosnego, oprócz znaczników, których nie umiem usunąć?
781:  Usuń znacznik.
783:  Grzywna.
784:  Usunąłem znacznik i pojawiła się grzywna.
788:  Jak to?
789:  Bookworm pisze, że Keterdam wygląda gorzej niż rzeczywistość, a i tak jest lepszy.
793:  A to prawda.
794:  Ci z was, którzy nie znają Keterdamu, shame on you.
797:  Przeczytajcie albo Szóstkę Wron, albo obejrzyjcie, bo chyba też się przenosi akcja do Keterdamu, Cień i Kość.
806:  Ewa Kopacz uprawiała eskapizm nieświadomie, tak, bo eskapizm od realiów historycznych i wiedzy naukowej i rikczu równocześnie w tym konkretnym przypadku.
816:  Dobrze, usuwamy wszystkie znaczniki, które będą nas konfundować.
819:  Dlaczego grzywna tutaj wynosi 715 dolarów?
824:  Dlaczego grzywna wynosi 715 dolarów?
828:  Jestem pewien, że nic strasznego nie zrobiłem.
834:  Powiem ci, Dutchie, to jest sposób na to, żeby zrobić ten pracę.
838:  Zastosowanie zapłaci ci cały czas, co potrzebujesz.
845:  Nie lubię tego.
846:  To jest odpowiedni plan.
847:  Zrobiliśmy to, co robiliśmy w miarę w miarę, patrząc, patrząc i czekając.
852:  Przetestowałem to tak dobrze, jak mogę.
854:  To odpowiedni plan.
855:  Wiem, po prostu... Mam plan.
858:  ... między tobą i mną.
861:  Nerwowy?
862:  Wydaje mi się, że to wszystko.
864:  Nigdy nie byłbym nerwowy, to była moja praca przez te wszystkie lata.
867:  Wiem.
867:  Jesteś pewien?
868:  Pewnie.
868:  No, nie... Nie przeszkadzajmy chłopcom, niech się bawią.
878:  I pewnie to jest jedyny sposób, w jaki widziałem, że możemy to zrobić.
883:  Spodziewałem się tego więcej niż raz.
884:  Cóż, jesteś ekspertem.
888:  Ale przecież myśmy wszystkich już zabili.
894:  Ale przecież myśmy wszystkich już zabili.
899:  Ale przecież myśmy wszystkich już zabili.
901:  Ale przecież myśmy wszystkich już zabili.
913:  Mamy doskonały plan.
915:  Wiemy jak walczyć.
917:  Policja nie jest tak ciężka, jak gdybyśmy się szybko ruszyli.
921:  Myślę, że zakończymy to w dniu, z dystrakcją.
924:  To co mówi Jose.
926:  Jest to tak dobry plan jak każdy.
927:  Myślę, że zgadzam się.
928:  Gdybyśmy to robili w nocy, to byśmy po prostu pojechali do banku.
933:  Nie możemy tak silnie.
934:  Będą nam łatwiej uciekać.
936:  Wiem, jestem...
938:  Ezekucja?
938:  Plan?
957:  Zabijmy tego chłopaka.
959:  Wszyscy odpoczywajmy.
960:  Przejdziemy w morze.
961:  O, oczywiście, że skoro świt naturalny.
964:  A co z sowami?
965:  Co z ludźmi z innym chronotypem?
967:  Dlaczego zawsze nad rankiem?
969:  Obrabowuje się banki w nocy.
971:  Więc zabijemy sobie bank i w 6 tygodniach żyjemy nowo w tropicznym idolze, spędzamy ostatnie dni jako bananowodnicy.
980:  Wychodźmy z tego błędnego miejsca i zabijemy sobie bank!
989:  Moi drodzy, nie myślcie, że umknęło mi, że Sue Caulfield pisał, pisała, pisał, nie pamiętam, z prośbą o jamniki.
1002:  Zajamniczenie się na czatach.
1004:  Nikt się nie zajamnicza.
1006:  ...wszystko to jest prawdziwe?
1007:  Prawdziwe?
1009:  O, jak gożę tego słowa.
