To nie jest kraj dla starych magów | RED DEAD REDEMPTION 2 Livestream #7
🔗 https://www.youtube.com/watch?v=OZTuByL1FYI

16:  Muzyka Muzyka
45:  Chodź, chodź.
81:  Dziękuję.
168:  Zobacz, jak to wygląda.
217:  Dziękuje za uwagę.
336:  A!
339:  Był podwójny falstart.
340:  Był podwójny falstart.
342:  Podwójny falstart!
344:  Krzysztof nie włączył!
346:  Krzysztof nie wyłączył wyłączonego mikrofonu!
349:  Tak to jest!
350:  Tak to jest!
351:  Ale dobrze, był ambient przez chwilę, a zatem...
354:  Dla wszystkich, którzy nie umieją czytać z ruchu wark, jeżeli słyszymy smutne hordofony, jeżeli słyszymy kumkające żaby w stawie, którego nie widać, ale to jest ten wstaw tak naprawdę, to oznacza to jedno, jesteśmy w Red Dead Redemption 2, Dead Mage Redemption 2, Death Mage Redemption 2.
373:  Witamy u Głuchego Maga, który nie słyszał tego, że nie włączył mikrofonu.
377:  Typical Krzysztof is typical, oczywiście.
379:  A więc jeszcze raz witam Tomka Szklarza, Dominikę, Onu44, Piotra Żółwika, Tydiena, Eres, Fomkę, Muminak, Wolfiego, Zgredka, witam, Kamila serdecznie, Hefestion, Cezaria Magento, Bartka, Palitke, Gila Najmana, Samowita, Red Angel, Masmiksu, Dawida Matejczyka,
402:  Witam wszystkich najserdeczniej.
405:  Żółwika, Jakuba Sadowskiego takoż.
407:  Witam stałych widzów streamu, witam niestałych widzów streamu.
411:  Witam tych, którzy czekają na Hadesa i tych, którzy czekają na Dishonored.
415:  Spokojnie, będzie.
416:  Witam tych, którzy czekają na Warhammera trzeciego, który będzie już tę środę.
421:  Aha!
422:  Witajcie najserdeczniej.
424:  Witam Orię, Olgę, ActiveTV, Krataka i całą resztę.
430:  I stałych widzów streamu, jak zawsze również.
432:  I tych, którzy nas będą oglądać w przyszłości.
434:  Czy to już jest ten moment, kiedy przestajemy zwlekać, kochani?
437:  A teraz nakarm na malarię.
439:  Jaki był kod do sejfu?
440:  451?
444:  A!
