To nie może być koniec | RED DEAD REDEMPTION 2 Livestream #15
🔗 https://www.youtube.com/watch?v=QrplnrtbBz8

329:  Muzyka
469:  KONIEC!
568:  Witam wszystkich najserdeczniej w szalonym dzikim zachodzie!
578:  Witam!
580:  Witam Bezserca, witam Agnieszkę Szabat, witam Matakumę, witam Nun, witam Miłosza Węgrzyna, witam Złego Czarownika, witam Śwityziankę, witam Wilena, witam Jamniura, witam Red Angel, Mikę, Fomkę, Weronikę, Bartka, Ada Pawiańczyka, Kokoluta Nołan, Dominikę Jamnik, otwórczynię Klimczak, Stalowego Guśca, DJ Ozaura, Samuita Snówkina, Bydyskos, Słonego Cukra, Urszulę Piech, Zgomiaza,
604:  Łukasza Bartoszewicza, Kubę Ditwa, Ebon Morawskiego, Doktor Fluff, Iro Bartega, Pełcio Forik, Kingę Wolską, Mr. Lipińskiego, jak to czemu czerwono, Red Dead Redemption gramy, więc czerwono, witamy R-Rated Reality w gronie Trybutariuszy, to okazja na jeszcze większą liczbę jamników, podniosły to moment, ważny to moment!
631:  Witam Angelikę, witam Seronoksa, witam Zgredka, witam Nouan, Gimli, Arcymagnificencję, Szymona, Szacuna, Keromusa, Giliadera, Piotra Rado, Marcelka i wszystkich przybyłych, by oglądać Malarię!
646:  JP Morgana, najlepszego doradcy inwestycyjnego wśród magów i najgorszego strzelca wśród doradców inwestycyjnych.
654:  Witam bardzo złośliwego człowieka, witam Adama Sitkiewicza, Adama Potocznego, Sylwię S., Pawła Madeje, Urszulę Giewon, Fomkę, Odin who is with me.
664:  Witajcie najserdeczniej.
667:  Witam Mikecz, jestem gotowy na zakończenie historii JP Morgana.
671:  Nikt nie jest gotowy na zakończenie historii JP Morgana, spytajcie raczej czaty.
676:  Jak to się stało?
678:  Że nie ma... Gliczy?
681:  Czy ja dobrze widzę, że nie ma gliczy?
688:  Nie ma gliczy kamerki?
693:  Nie ma dziś gliczy?
694:  Udało się zaprawić?
696:  Nie wierzę!
697:  This call for more jamniki!
741:  Powiem wam, kochani, że jesteśmy przygotowani i to dobrze na Sekiro, a słuchajcie, Yamniro, Dexodice Twice, skoro nawet nie zaczęliśmy grać w Red Dead Redemption 2, a Krzysztof już wygrywa.
758:  Teraz tylko odpalamy Red Dead Redemption 2 i będą glicze dźwiękowe Rockstara, które sprawdziłem, nie mam już na nie wpływu, nic nie zrobię.
765:  Witamy jako 24, dziękuję serdecznie za trybut, początkowy trybut, przedgamingowy trybut.
770:  Już czuję, że to będzie piękny strumyk.
773:  Mam taką nadzieję, że tak będzie.
774:  Moi drodzy, moi kochani, odpalamy, odpalamy.
779:  Zobaczcie, pierwszy raz logo Rockstara.
782:  Tak to się dzieje.
782:  Oczywiście, że będzie Sekiro Adami, oczywiście, że będzie.
785:  Będzie Starcraft 2, a jeżeli chodzi o Total War'a, zbliża się w przyszłym tygodniu, nieodwołalnie.
790:  Musi być, kochani, dla wszystkich fanów Total War'a, specjalna kampania z okazji tej mapy, kochani.
799:  Holoprojektor persony Krzysztofa działa.
801:  Widzicie, co jest najlepsze?
806:  Nie pamiętam, co takiego zmieniłem, że poprawiło.
812:  Nie pamiętam!
814:  Już kamerka skacze?
819:  Nawet mnie nie denerwujcie.
822:  Dobiliście mnie.
824:  Dobrze, to była wina Rockstara!
826:  To była wina Rockstara!
827:  Ja nie mam nic z tym wspólnego.
832:  Nie, ale generalnie żartuję.
834:  Idea jest taka, że w Logitechu są dwie opcje niwelowania migotania, to znaczy 50 Hz i 60 Hz.
842:  I miałem 50 Hz ustawione, nie wiem dlaczego.
844:  Powinno być 60.
850:  Jako grę Soulslike polecamy na początek.
851:  Angeliku, ja bym Ci polecał Elden Ringa.
853:  Wydaje mi się, że jest najbardziej, przynajmniej też wedle tego wszystkiego, co słyszałem i tego wszystkiego, co czytałem, najbardziej lajtowy z wszystkich Soulslike'ów w tym sensie, że możesz w każdej chwili, jeżeli będziesz miała taką chęć, potrzebę, nie progresować głównego wątku fabularnego i męczyć się z bossami fabularnymi, tylko po prostu podróżować sobie po świecie.
875:  O, Samuit, który jest naszym czatowym weteranem Souls-like'ów, mówi, że Elden Ring na początek najlepszy.
882:  Ile dzisiaj gramy?
883:  Tyle, ile wytrzymam, kochani.
884:  Miejcie tylko na uwadze jedną rzecz, że Krzysztof niestety i o zgrozo dzisiaj był...
894:  Na zewnątrz o godzinie 11 miał wykład, na którym właśnie, pytacie jak wykład, na którym pojawiło się bardzo dużo wspaniałych ludzi z Holistycznej Agencji Eskapistycznej, za co chciałem bardzo podziękować.
905:  Niektórzy widzowie fatygowali się, kochani, z Częstochowy i dalej nawet.
909:  Było mnóstwo ludzi, byli moderatorzy, byli discordianie, byli widzowie.
915:  Byliście, tak jest.
917:  I było super.
918:  Najfajniejsze było to, że to było w formie takiej rozmowy na luzie, a nie wykładu.
923:  Bardzo mi się to podobało.
925:  Natomiast musiałem wstać o godzinie ósmej.
928:  Tak, fuj na zewnątrz.
929:  No dobrze, moi drodzy, mam nadzieję, że będzie wszystko dobrze dzisiaj.
