Zabójstwo J.P.Morgana przez tchórzliwego szeryfa z Saint Denis | RED DEAD REDEMPTION 2 Livestream #8
🔗 https://www.youtube.com/watch?v=bxvxIM0m6nE

4:  muzyka
143:  KONIEC!
254:  Witam wszystkich!
257:  Jamniki!
259:  Malaria!
267:  Więcej jamników!
273:  Same jamniki!
275:  Witajcie, witajcie serdecznie Red Dead Redemption 2!
280:  Co tu się dzieje?
282:  Niedziela!
283:  Mrowie jamników!
284:  Witam wszystkich trybutariuszy, widzów!
288:  Bywalców stałych, niestałych, posiadaczy jamników witam ze szczególną zawziętością i zaangażowaniem.
296:  Witam Erin Gangalfa, Onufrego, Samawita, Aśku, Zgredka, Krataka, Janko, Muzykanta, Fomke, Cezaria, Magento, Agnieszkę, Kajros, Francesinia, Bigomeza, Adam z Viking, Salomon, Asmot, Słony Cukier, Mika, Agnieszka, Verita, Serum,
313:  Dywimus, Grabka, Piotr Rado, bądźcie wszyscy podpaleni.
318:  Nie wiem, czy tak można i w tę stronę, ale niech będzie.
321:  Witam Dywimusa, Słonego Cukra, Hitmana, Muminak, Nikolaja Marchewkę, Pana Filmaja, Gazowane Mleko, Arcykolega, Tomka Szklarza, Kamila Szymure.
331:  Wszystkich najserdeczniej witam.
333:  Będzie się dzisiaj działo jak zawsze w przypadku Red Dead Redemption.
337:  Przepraszam, w przypadku Dead Mage Redemption 2.
339:  Wasze zdrówko.
345:  Dziś pitę achyntoszyn.
348:  Witamy hefestion.
351:  Artur Zawolski pisze, że najlepszy sposób, żeby zostać magiem ognia, wystarczy tylko spirytus zapalniczka, a potem napić się spirytusu i beknąć.
360:  Mam ochotę to wypróbować w tej chwili.
363:  Witam w przygnębiający, bo przedponiedziałkowy wieczór.
366:  Myślmy o tym, że jest niedzielny.
368:  Jest tam ostatnia osoba, która powinna wam przypominać, że szklanka jest do połowy pełna, a nie do połowy pusta.
377:  Ale tak, przypominam o tym.
381:  Krzysztof nie zapomniał.
382:  Witamy proroka Kaczka, który błogosławi czaty.
387:  Jestem, tylko obiad robię.
389:  Pysznie, pisze kluchenmuchen.
391:  Witamy, witamy wszystkich serdecznie.
393:  Krzysztof oczywiście absolutnie nie pamięta, co robiliśmy ostatnio w Red Dead Redemption 2.
398:  Czy kogoś to dziwi?
399:  Nie, nikogo to nie dziwi absolutnie.
401:  Piwko pite Erin.
402:  O, dobrze, dobrze, bardzo dobrze.
409:  W pustej szklance są pomarańcze.
410:  Piękne, piękne.
415:  Ostatnio był teatr.
417:  To prawda.
418:  Na pewno pójdziemy do teatru.
420:  Tylko wpierw jakiś kłeścik.
421:  Obiecuję.
422:  Obiecuję.
422:  Nic mnie, nic, nic mnie nie rozproszy.
428:  Witamy jamnikotwórczynię Dominikę Klimczak.
430:  Co za wspaniała wiadomość.
435:  Co za wspaniała wiadomość to oznacza, że mogę użyć mojej ulubionej emoji ostatnimi czasy.
439:  Czy wy widzieliście tę piękną rzecz?
441:  JP Morgan, najlepszy doradca inwestycyjny wśród magów i najgorszy mag wśród doradców inwestycyjnych, wiem, że przedstawiam go za każdym razem trochę inaczej, umył ręce w wodzie jak wstawał.
451:  To jest niesamowite.
452:  A to jest prawdziwa bohaterka tego streamu, tej serii streamów, to znaczy malaria.
457:  Powiedzcie mi, dobrze, mam kursor, jestem uratowany.
461:  Właśnie nie ma nigdzie ciastek dla malarii, chyba że kupiliśmy ostatnio.
465:  Czy my kupiliśmy ciastka dla malarii?
469:  Czy my kupiliśmy ciastka dla malarii?
471:  Tak!
472:  Są ciastka dla malarii!
475:  Czy wy widzicie, że malaria jest...
479:  Dlaczego malaria jest koniem pełnej krwi angielskiej?
483:  Kara odwrócona jabłkowita?
486:  Wyścigowa?
488:  Co?
491:  To są trzy... Nie.
492:  To są cztery rzeczy, które bym w ostatniej kolejności powiedział o malarii.
497:  Ja bym użył... Gdybym chciał scharakteryzować malarię, powiedziałbym, że ma malaryczną maść, dziwny, warkoczowy ogon, płomiejstą grzywę,
507:  Przerażająco smutne oczy konia, który wielokrotnie przewraca się i jest w biedzie z uwagi na swojego bezgłowego jeźdźca.
516:  No i oczywiście, że ma najchudsze pęćnie na dzikim zachodzie.
519:  Ale w życiu bym nie powiedział tych rzeczy o niej.
524:  To jest niesamowite.
525:  Czy rozwinąłem obóz?
526:  Tak, obóz jest rozwijany, Arturze.
531:  Malarii się należą ciastaczka.
532:  Oczywiście, zobaczcie, jaki mam piękny warkocz.
536:  Lecimy do obozu.
537:  Tak robimy, moi drodzy.
543:  Naprawdę przysięgam, nie było to celowe.
547:  Naprawdę przysięgam na wszystko, to nie było celowo.
552:  Nie, nie było, nie, nie zdarzyło się, absolutnie nie.
557:  Cofamy stream.
559:  Teraz... Co?
563:  Co to jest za znacznik?
564:  Nie znam tego znacznika.
565:  Nie znam tego znacznika.
567:  Co tu się dzieje?
567:  Dzień dobry.
569:  Clay.
570:  On jest, on jest goblinem.
574:  Albo golemem.
576:  Clay.
578:  Clay nie chce z nami rozmawiać.
580:  Clay jest wulgarnym socjopatą.
583:  Nie chce rozmawiać.
585:  Tak właśnie, należy prawowicie rozpoczynać streamy z Red Dead Redemption 2.
590:  Morciu prosi o przypomnienie, jak się nazywa ta strona, gdzie naukowcy płacą, żeby móc opublikować swoje prace, bo mówiłeś... Mówiłeś o z tego, co pamiętam.
597:  Naukowcy płacą, żeby móc publikować swoje prace?
600:  Nigdy na pewno nie mówiłem o żadnej stronie, gdzie naukowcy płacą, żeby opublikować swoje prace.
605:  Naukowcy płacą za wszystkie publikacje, które publikują, jasne, naukowe i książkowe.
610:  Tak, zgadza się, ale nie mam żadnej strony, na której to się dzieje.
613:  To po prostu cały system.
616:  Oficjalny licznik upadków malarii.
619:  Mam wrażenie w ogóle, że gra jak zwykle nas teleportowała, bo przysiągłbym, że kończyliśmy ostatni stream w obozie.
627:  Czy tak nie było?
631:  Who goes there?
632:  Jak to who?
633:  JP Morgan.
638:  Proszę bardzo, jesteśmy... A Elsevier, Elsevier to jest wydawnictwo.
643:  Elsevier to jest wydawnictwo, jedna z wielu.
647:  Oprócz tego jest J-Store i jak ktoś jeszcze?
651:  Project Muse.
652:  Dużo jest takich baz, które są równocześnie wydawcami.
654:  Springer, Brill.
656:  Wszystkie wydawnictwa funkcjonują tak samo zbrodniczo.
659:  Elsevier tylko przeze mnie szczególnie jest batorzony.
662:  Wiecie, jeszcze mamy drugą opcję.
664:  Jest jeszcze Hosea, ale skoro jesteśmy tutaj już, Strauss.
669:  Lenny!
670:  Dlaczego L jest dla Leopolda Straussa i dla Leniego?
674:  Idziemy poprzygotować z mopsożelaznym piecykiem lenym.
681:  Tak będzie.
684:  Malaria bierze przykład z polskiej gospodarki.
687:  To zabrzmiało bardzo smutno.
691:  Boże, wszyscy chcą z nami rozmawiać.
693:  Myśmy dopiero przyszli.
704:  Podpalony, witajcie kochani.
710:  Jak zawsze.
712:  Wołają nas, a potem nie chcą z nami rozmawiać.
717:  Dobrze, tutaj coś możemy zrobić.
718:  Jest jakaś praca obozowa do wykonania.
720:  Zabierz gruszka.
723:  Zabierz jabłko.
725:  Zabierz bułka.
727:  Zabierz owoce w puszce.
729:  Programiści Red Dead Redemption 2, Rockstar.
735:  Słoneczne popołudnie w San Francisco.
737:  Słuchajcie, musimy zaprojektować interakcję w tej grze i myślę sobie tak, że ERT będzie dla graczy klawiszowych, to będzie zabranie jednego owocu.
746:  Ale tylko jednego!
746:  Nie, ale słuchajcie, możemy wprowadzić taki jeden klawisz, że zabierz wszystko.
749:  Nie!
750:  Nie.
756:  Nie, nie możesz, jesteś okropnym człowiekiem.
767:  Nie rozmawiam z Mike'a, który jest Mikachem.
771:  Dobrze, praca obozowa jest ewidentnie w innym miejscu niż myślałem.
778:  Czemu praca obozowa nie działa?
781:  Okej, praca obozowa działa.
784:  Deadbed Redemption.
787:  Napełnij wiadro wodą z rzeki.
790:  To jest emocjonujący początek.
792:  Czytałem książkę Gender bez emocji, którą polecał Blok to tylko teleoria.
798:  Szczerze powiedziawszy nie potrzebowałem, bo domyślam się, że to jest dla osób, które chcą zapoznać się dopiero z tematem, a ja tak się składa to zakładam, więc nie musiałem chyba.
809:  Ale jeśli to nie jest dzieło wprowadzające w temat, że tak to ujmę, to chętnie się zapoznam.
819:  Nikt, nikt, nigdy.
820:  JP Morgan napełnia wodę wchodząc po pas do rzeki.
831:  Nierealistyczne!
841:  To nie jest książka dla osób chcących się dowiedzieć czegoś dobrego w temacie, pisze Nerdolo.
848:  O, to niedobra wiadomość raczej.
852:  Jamnik Punk był fantastyczny.
853:  Mikał An stworzył Jamnik Punk'a.
857:  Projekt nowoczesnego, innowacyjnego settingu w holistycznej agencji eskapistycznej.
862:  Słuchawki mi spadają.
864:  Zdanie słuchawki mi spadają nie było częścią opisu tego settingu.
870:  Morciu widział dzisiaj pożar?
872:  Bogowie.
874:  Piękny płomień buchał w jednym z mieszkań, aż się zatrzymałem, aby pooglądać, dopiero po chwili zacząłem kuchnię gasić.
882:  Podejrzewam, że nawet ja bym nie był tak okrutny.
887:  Dobrze, dobrze, dobrze.
888:  Wystarczy tego jedzenia.
888:  Nie, mam złe szczęście z ptaszkami, panie.
889:  Ale jeśli mnie położysz na ziemię, zjadę ci świątę.
896:  Ja?
896:  Ty.
903:  Sprawa z Instytutem Psychologii UJ już drugi dzień mi to przywołujecie, a ja drugi dzień nie mam linków, żeby się z tym zapoznać, więc wiecie, póki ja nie dostanę jakichś źródeł, to nie zajmę stanowiska.
913:  Taką mam zasadę.
916:  Zwłaszcza jeżeli to chodzi o kwestie uczelniane.
930:  Czemu wszyscy mówią naraz?
938:  Czy mogę zapłacić kilka dolarów?
946:  Jestem w porządku.
946:  Zapłacić pieniądze?
946:  O, ty straszny człowiek!
950:  Znowu coś nas ominęło.
951:  Wujek?
953:  Wujek?
954:  Wujek?
955:  Wujek?
956:  Wujek?
957:  Próbowałem.
958:  Bardzo dziwne.
960:  I oni nie lubią Kubów.
962:  Powinno być trochę prawdziwego pieniędzy na koniec tego wszystkiego.
967:  Jak to robisz, Ryder?
968:  W porządku, Micah.
969:  Dobrze.
969:  Zastanawiałem się o ciebie.
970:  Naprawdę mam.
971:  Ja?
971:  O co?
971:  Tylko zwykłe powody?
972:  Jestem tu dla ciebie, bratek.
997:  Podpalony klosiku.
999:  I Stalowe Guźcu, witajcie.
1006:  Czy widziałem taję listę frakcji The Legend of Total War?
1010:  Tak, widziałem.
1013:  Zgadzam się częściowo.
1015:  Nie dawałbym tak nisko Kataju.
1017:  Moim zdaniem Legend nie docenia Kataju, ale to jest głównie dlatego, że grały najmniej Katajem.
1022:  Ja uważam, że Kataj jest na bardzo podobnym poziomie jak Kislev.
1030:  No moi drodzy, prace obozowe, ważna rzecz.
1036:  Wujek zapraszał Susan do teatru za jej pieniądze, sugeruje brak personaliów.
1041:  To nie brzmi jak dobre zaproszenie.
1045:  To brzmi jak zaproszenie do publikacji naukowej.
1047:  Opublikuję mu twój tekst pod warunkiem, że dasz 9600 dolarów.
1051:  Nie, to nie jest wymyślona kwota.
1061:  O, dobra, Grabko, wishlista zdecydowanie.
1064:  Tak, tam będzie dobra rzecz.
1068:  Umieść Belesiana.
1075:  Swoją drogą, jutro wleci, moi kochani, materiał na kanał.
1080:  który jest moim reaction video na rozmowę *** Mickiego ze Stanowskim, ale jestem z siebie bardzo dumny, ponieważ nie użyłem ani jednego nazwiska.
1095:  A równocześnie bardzo silnie sugeruję, że to jest reakcja na ich rozmowę.
1104:  Bela Siana numer 2, moi drodzy.
1110:  Ja wiem, to są, to są poważne, poważne spoilery, moi drodzy.
1113:  Nosimy Belesiana i jak nie graliście w Red Dead Redemption 2, nie oglądajcie.
1118:  Bo... Okej, nie pamiętam, co ci, co zrobiłem, ale w porządku.
1127:  Cały odcinek mową ezopową jest.
1128:  Tak, no on jest wprawdzie o... On jest trochę o czym innym, ale tak naprawdę nie jest o czym innym.
1132:  Aha!
1136:  Oczywiście, że tego nie robię, więc to nie będzie typowe reaction video, moi kochani.
1139:  Tak, tak.
1143:  A, chodziło o spoiler odcinka.
1145:  Hmm, to nie był spoiler.
1149:  To był build-up, moi drodzy.
1152:  Dobrze, i teraz tak.
1153:  Jaka jeszcze praca obozowa na nas czeka?
1156:  Mamy jeszcze domino.
1157:  Możemy kogoś orżnąć w domino, ale to potem, po kłościku jakimś radosnym.
1166:  Znowu ktoś coś powiedział i ja nie wiem gdzie.
1169:  Tu jest pani Peregrino.
1171:  Zróbmy sobie większy kompas.
1172:  Chcę mieć większy kompas.
1174:  O!
1174:  Teraz widzę wszystkie prace obozowe.
1177:  Czy jakaś torba została ulepszona?
1198:  Nie.
1201:  Czy to normalne, że obejrzałem klipy ze streama przed streamem?
1204:  Są już klipy ze streama, naprawdę?
1207:  Witaj sermovento na chatach.
1211:  Dobrze, tu jest kropencja.
1213:  Wór.
1216:  Musimy podnieść wór.
1218:  Cudownie.
1219:  Ktoś pytał, czy pierwszy raz w Red Dead'a.
1221:  Tak jest, tak jest.
1223:  Przygoda w Red Dead Redemption 2 u mnie to prace obozowe, zwalanie się z konia, okazjonalne wykonywanie questów fabularnych i bardzo długie wizyty w teatrze.
1238:  Witamy Einara i Alcuna.
1240:  Let them burn.
1241:  A!
1242:  Oczywiście, że orżnęliśmy w domino.
1244:  Już raz udało się na całe 77 razy, kiedy graliśmy.
1259:  Nie martwcie się, slanesz będzie już niedługo, bo widzę, że na czatach jesteśmy bardzo niespokojni pod tym względem.
1264:  Witamy Adama Pabiańczyka w gronie jamniczych trybutariuszy.
1267:  Jak ci dziękuję, Adamie.
1269:  Mamy taki zwyczaj, że zajamniczamy czaty na powitanie nowych magów ziemi.
1277:  To są tak naprawdę jammagowie ziemi, nie oszukujmy się.
1283:  Puszczam ci tematycznego jamnika.
1286:  O właśnie.
1289:  Podpalony pisze Łukasz, witaj Łukaszu, pomimo wichury jadę po jedzenie, bym nie miał, bo bym nie miał 20% ziszki studenckiej, jakby mi wieźli.
1298:  Szanuję, jako Krakus nie mogę nie szanować.
1301:  Czy jest jeszcze jakaś praca obozowa?
1303:  Czemu one się nie pokazują na mapie głównej, tylko pokazują się na minimapie?
1306:  To jest skandal.
1309:  Jak się zajemniczyły czaty fantastycznie, co za wspaniałe uczucie.
1314:  Boże, naprawdę jest quest z rybami.
1317:  Czy ja słyszę psa?
1320:  Poklep pieska!
1327:  Ooo... Ooo, wreszcie jest pies.
1335:  Dobry zwyczaj zajamnicza i jakie ładne!
