Zemsta wierzchowca | RED DEAD REDEMPTION 2 Livestream #10
🔗 https://www.youtube.com/watch?v=RKwPFQD_Ob4

330:  Muzyka Muzyka
402:  muzyka
554:  Witam wszystkich w ten niedzielny wieczór!
558:  Witam serdecznie Urszulę Piech, witam Kluchenmuchen, czyli nasze moderatorskie grono, witam Roroka Kaczk, witam Aśku, witam Samawita, witam Aliksowatego Legrusa, Magda M1, Andriowa Stora, Seronoks, Kambriana, Jowialne Orangutan, Optometrysta Olga, Ania Nowak, Olga ***czuk,
580:  Niech będą powitani Wyłycz, Jariks, Motakume, DJ Ozaur, Dygresywny Wilk, Grzybnia Pierwotna, Dominika, Jamniko, Twórczynik Limczak, Palitka, Chaos, Marceja, Bordowa Pomarańcza, Urszula Giewon, Łaciaty, Matt Petterson, Muminak.
599:  Sanji Tsukitsubane, Bartek Helena, witajcie wszyscy w ten niedzielny wieczór, witajcie przy Red Dead Redemption 2, przy tych kojących dźwiękach cykat, przy kojących wybuchach prochu, przy kojących strzałach ze dwojga rewolwerów.
625:  Moi kochani, witamy Wernona Rosza, Renartivi Arcanum, Szymona Rogowskiego, Michała Szpryngwalda, Martyna Łopuszyńskiego, Urszula Giewon, Mikę, Erin, Jakuba Kowalczyka, Dori, Fomkę, Grzegorza Elborodo i bardzo miłą Świnkę.
642:  I fomka czytana była, mam nadzieję.
644:  Moi kochani, ale się cieszyłem na ten dzisiejszy nasz stream, albowiem wreszcie udało nam się wgryźć w fabułę Red Dead Redemption 2, nie do wiary.
653:  W przyszłym tygodniu, pamiętajcie, wróci Warhammer Chaos Gate, bo gra jest tak wybitna, że na pewno, na pewno w nią zagramy jeszcze raz i robi się z niej mała seria.
661:  Proszę, nie zabij dzisiaj malarii.
667:  To był klasyczny, pusty śmiech.
671:  Witamy Julkę Opaczewską, brak personaliów Tomasza, nawet wywiad temerski się pojawił na czatach.
678:  Zębowa wróżka i Anriowa Stora, moi drodzy.
683:  Nie mam zielonego pojęcia, jakie jest sterowanie w tej grze.
685:  Mam wrażenie, wiecie jakie ja mam wrażenie, że żyję w ciągłym dniu świstaka, to znaczy moja wiedza z zakresu sterowania w grach, ona po prostu resetuje się co 24 godziny.
697:  Doberek Sukofy, Doberek, witamy serdecznie.
702:  Cóż za wspaniałe dźwięki fortepianu.
705:  Nawet jest dom, który jest podpisany, że jest stabilny, stable, w odróżnieniu od domów niezrównoważonych, niestabilnych.
715:  Jowialny orangutan optometrysta prosi o zajamniczenie na poczet egzaminu zawodowego, który musi odbędnić w tym tygodniu liczne przeżycie.
723:  Drodzy trybutariusze, to okazja, by użyć okolicznościowej emoji.
727:  Jamnika kowboja reddodowego.
730:  Oczywiście, że jest whisky.
731:  Jak zawsze przy reddedzie jest bunahabn.
736:  Będzie pite, moi drodzy.
737:  Będzie wznoszony toast.
739:  Witamy stachu uchadza.
742:  Czaty, wiecie, co się tutaj działo?
743:  Bo ja nie wiem.
745:  Wylądowałem w jakiejś zasranej stacji kolejowej, in the middle of nowhere, jak mawiają Anglosasi, w środku niczego.
754:  Jest ciemno, choćby oko wykol.
757:  Dobrze, nie będę udawał, że cokolwiek wiem, co się dzieje.
763:  Ciągle przychodzą kolejni łowcy nagród Pinkerton i stróże prawa.
766:  Gdziekolwiek nie pójdziemy, wszędzie wpycha się cywilizacja.
768:  Może to znak czasów.
770:  Czytaliśmy dokładnie to ostatnim razem.
772:  Nic się nie zmieniło w naszym dzienniku.
774:  Chyba, że ja czegoś nie umiem czytać.
776:  Witamy jeszcze Aleksandry i Michała Jachaładała.
779:  Dobry zwyczaj zajamnicza.
780:  Absolutnie.
781:  O nie no, stało się moi drodzy.
783:  Widział Krzysztof przeglądając książkę, której w ogóle nie widać.
787:  Poznałem paru zbiegów.
788:  Czarnego gościa o nazwisku White i białego o nazwisku Black.
796:  Albo jakby przeczytał to dowolny streamer ze Stanów Zjednoczonych.
799:  Poznałem paru zbiegów.
801:  *** gościa o nazwisku White i białego o nazwisku ***.
804:  Chcieli się pozabijać.
805:  Błagali mnie, żebym pozbył się plakatów z ich podobiznami.
808:  Pozywałem plakaty.
809:  White i *** nie byli tacy niewinni, jak się wydają.
813:  Wszystko wiemy.
814:  Co się jeszcze stało?
815:  Nic się już nie stało.
817:  Nic się już nie stało.
820:  Naprawdę stało się tak niewiele?
822:  Dori pisze, że jest też w trakcie nauki na staże IT.
825:  Jest ciężko, powiem wam.
826:  Coraz bardziej zdaję sobie sprawę, że na studiach, w których jestem, ciężko się czegoś nauczyć.
832:  I mean... Right?
837:  Nie chciałem tego zrobić.
838:  Chciałem otworzyć mapę.
840:  JP Morgan, przestań otwierać dziennik, kiedy proszę cię o otwarcie mapy.
845:  Dobrze.
846:  W ten sposób będziemy wiedzieli, gdzie idziemy.
848:  Idziemy do D.
850:  Mój serdeczny przyjaciel mieszka przy ulicy, która się kończy na literę D, to znaczy to jest ten numerek, który się daje przy mieszkaniach i zawsze mówi, że zamawia do mieszkania pod tym, a tym numerem D jak dupa.
860:  Dostawcy są w niebo wzięci.
864:  Fela pisze, że się bardzo dobrze maluje podczas słuchania, grania i gadania.
866:  To dobrze, to dobrze, cieszę się, weny ci życzę.
871:  Vernon Roche, ubolewacz, tylko jego denerwuje Jeffrey Lannister w grze o tron.
877:  Nie no, bez przesady, Jeffrey Lannister jest sympatyczny.
882:  A tak naprawdę to nie.
883:  Nie no, to jest jedna z najbardziej nielubionych postaci, ale się smutna historia z nią wiąże, nie wiem czy wiecie.
888:  Mianowicie, aktor, który grał Jeffrey'a, niestety, spotkał się z taką falą krytyki, że zdecydował się zerwać z aktorstwem, przynajmniej na jakiś czas, nie pamiętam na jak długi.
903:  Dobrze, o, to pamiętałem.
905:  Przedmioty.
906:  Tego nie pamiętałem.
908:  Bardzo bym chciał naszą latarenkę.
910:  Dobrze, mamy latarenkę.
914:  Przybył prorok kaczk, tak?
915:  Przybył prorok kaczk na czatach.
917:  Nie wiem, czy został powitany mrowiem kaczk.
918:  Powinien był.
920:  Hmm.
923:  Ja w ogóle uważam, że te praktyki zawodowe, które są na studiach, są naprawdę o kant ściany rozbić, biorąc pod uwagę to, że bardzo często one są dobierane pod łuk nie tego, co potrzebują studenci, tylko tego, co jest w stanie nabić fejmu prowadzącym, którzy załatwiają takie praktyki na jakichś uczelniach.
945:  To jest bardzo smutne.
948:  O, panie, dziękuję.
949:  Nie mogłam nawet być wdzięczna do tego cholernego psychopata, aż do końca.
976:  To był instynkt.
978:  Nawet nie zdążyłem odpalić rozmowy.
983:  Czy Red Dead Redemption 1 jest wymaganym, żeby zrozumieć historię dwójki?
986:  Nie, ponieważ dwójka to jest prequel.
997:  Święto, Krzysztof kogoś zabił, jednocześnie kogoś uratował.
1002:  To nie jest malaria!
1005:  Gdzie jest... Gdzie jest malaria?
1013:  Czemu malaria uciekła?
1017:  Zapomniałem, że trzeba patrzeć na Cooper koński, ponieważ tylko w ten sposób jestem w stanie je rozpoznawać.
1023:  Czy jest zbroja dla malarii?
1024:  Niestety nie.
1024:  Witaj, Red Angel.
1028:  Samuit pisze, że nawet powiedział, że lepiej zaczynać od Red Dead Redemption 2.
1032:  No proszę.
1034:  To była dalmatyńska podróbka, to była krowa.
1038:  No może to rzeczywiście była krowa.
1042:  Jak koń może być dalmatyńczykiem?
1045:  Ja ewidentnie mam bardzo duże zaległości z dziedziny zoologii.
1053:  Właśnie, jeżeli chodzi o emoji, robiliśmy ostatnio naradę, że będzie trzeba okolicznościowe emoji, które były na poczet różnych gier, wstawić do świętego archiwum i w ten sposób będziemy mogli wzbogacić stream o nowe emoji, zwłaszcza takie, które zgodnie z nazwą wyrażają jakieś emocje.
1069:  Na przykład nie mamy takiej emoji, która wyraża wytrzeszcz oczu.
1076:  Appaloosa to koń dalmatyńczyk, pisze Fomka.
1080:  Appaloosa?
1084:  Co to jest Appaloosa?
1086:  Znaczy, co to znaczy?
1086:  Bo ja wiem, że maść konia, ale jestem zdumiony.
1092:  Dzięki Arcanum za wsparcie od 9 miesięcy.
1094:  Oczywiście, że czaty są najwspanialsze, naturalnie, że tak.
1098:  Aśku pisze, że jak byłam mała, to na brązowe krowy mówiła konie, bo przecież krowy są białe w czarne łaty.
1105:  No, ale tak jest.
1108:  Są krowy, które nie są białe w czarne łaty?
1116:  Okej, ja może się przestanę już kompromitować.
1121:  Bartosz pisze, że są.
1123:  W życiu nie widziałem.
1124:  Znaczy inaczej, ja nie widziałem w życiu w ogóle krowy.
1128:  Biało-czarnej.
1130:  Cóż dopiero takiej, która byłaby krową niekanoniczną.
1134:  Potrzebujemy emoji ci, ci, ci, ła, ła, łały.
1138:  Nie.
1141:  Nawet białe całe?
1144:  Myśmy chyba nigdy nie jechali tym mostem.
1147:  Chaty, myśmy nigdy nie jechali tym mostem.
1148:  On jest niezwykły.
1150:  Saint Denis.
1152:  Jest napisane Saint Denis.
1153:  To jest to miejsce, do którego bez przerwy wracamy.
1158:  W białym sadzie były inne krowy niż biało-czarne?
1160:  Nie mówcie nawet.
1162:  Victim pisze, że nie dostał powiadomienia.
1164:  To się często zdarza, dlatego zaczynamy 10 minut wcześniej już na stream.
1169:  Zgodnie z radą, jeśli się nie mylę, sama.
1174:  Czyli jak krowa jest czarno-biała, to jest dziełem sztuki, pyta Mika.
1179:  To jest bardzo dobre pytanie.
1180:  Myślę, że należałoby o to zapytać miłośników filmu Lighthouse.
1185:  Ale Krzysztof, jak może ci się nie podobać Lighthouse?
1188:  Przecież to jest wybitny film.
1191:  O, jeszcze Lighthouse jest, wiecie, nie 16x9, taki lamerski, tylko kwadratowy.
1197:  Ooo, nie.
1201:  Jak jest stary sposób kręcenia filmu, znacznie lepszy.
1210:  Ja właśnie się oblałem.
1213:  Właśnie się oblałem.
1215:  Dramatyczne.
