🔴 „Bez przypadku” — polska powieść w uniwersum #Cyberpunk2077 (ft. Rafał Kosik) | ROZMOWA #8
🔗 https://www.youtube.com/watch?v=qjwu_pVJ5ak
RK (Rafał Kosik)
KMM (Krzysztof M. Maj)

1:  Muzyka Muzyka
239:  Dzięki za oglądanie!
248:  KMM - Moi drodzy, moi drodzy, witam was serdecznie.
252:  KMM - Specjalny live dzisiaj.
254:  KMM - Pierwszy raz się tak zdarza, że będziemy tyle rozmawiali na kanale o literaturze i to nie byle jakiej osadzonej, powiem, w uniwersum Cyberpunka 2077.
263:  KMM - Ta piękna figurka to dobrodziejstwo, które otrzymałem od wydawnictwa Powergraph, które dzisiaj reprezentuje i współzałożyciel wydawnictwa i równocześnie pisarz.
274:  KMM - Pierwszy pisarz, moi drodzy, na naszym kanale obecny, to znaczy...
278:  KMM - Rafał Kosik, witaj Rafale serdecznie w naszym gronie.
282:  RK - Witam wszystkich i od razu przepraszam za jakość obrazu, ale łączę się z takiego miejsca, że lepiej się nie da.
290:  KMM - Będziemy, moi drodzy, rozmawiać o specjalnej bardzo rzeczy, to znaczy o książce bez przypadku Rafała.
296:  KMM - Książka wyszła w uniwersum Cyberpunka 2077, co podkreślam, ponieważ Cyberpunk to jest jedno i to jest nurt, a Cyberpunk 2077 to jest uniwersum
307:  KMM - I to jest druga rzecz i o tym sobie też zresztą będziemy rozmawiali.
309:  KMM - Zafałem krótki program moi drodzy.
312:  KMM - Na początku jak zwykle rozmowa ogólna, potem przejdziemy do creme de la creme naszych spotkań tutejszych, to znaczy waszych komentarzy, które mamy zgromadzone.
320:  KMM - Będziemy je czytać, będziemy się do nich ustosunkowywać.
323:  KMM - A w tak zwanym międzyczasie dla was też informacja od razu na sam początek, mianowicie też wydawnictwo Powergraph dla was specjalnie ma karnet VIP-owski, moi drodzy, prosto za rasaki.
334:  KMM - I jak wpiszecie sobie, oczywiście nie fokusuje się nic ładnie, to jest standardowa sprawa.
340:  KMM - że się nic nie fokusuje.
341:  KMM - Proszę bardzo, może przełączę tak, żeby było lepiej widoczne.
344:  KMM - Bez przypadku musicie pisać caps lockiem, bez odstępów, dostaniecie 40% rabatu nie tylko bez przypadku, ale w ogóle na rzeczy w księgarni wydawnictwa PowerGraph, więc wiecie, co robić, moi drodzy, w takim razie.
356:  KMM - A ja poproszę o serdeczne jamniki dla PowerGraphu i dla Rafała,
360:  KMM - i dla Kasi Kosik, którzy przygotowali dla nas tę ofertę.
363:  KMM - I without further ado, w takim razie teraz spokojnie przejdziemy sobie już do jakiejś radosnej, ambientowej muzyki tradycyjnie, żeby nam nie przeszkadzała w rozmowie.
372:  KMM - No i pytanie do naszego gościa, od którego muszę zacząć, mianowicie Rafał, powiedz jak to jest, jak się pisze do określonego właśnie uniwersum książkę, jak się w ogóle zaczyna taki projekt i taka współpraca, czym to się różni od twoich dotychczasowych doświadczeń?
391:  RK - Różni się przede wszystkim tym, że nie mogę tego świata stworzyć, bo mam świat zastany ze wszystkimi tego ograniczeniami.
399:  RK - Był to taki jeden z elementów, który na początku powodował, że się wahałem, czy podjąć to wyzwanie, bo we wszystkich moich dotychczasowych książkach sam sobie tworzyłem świat, sam sobie mogłem te zasady w trakcie pisania zmieniać, jak mi coś nie pasowało.
419:  RK - No a tutaj miałem takie sztywne wytyczne.
424:  RK - Jak sztywne?
425:  RK - No sztywne zasady obowiązujące w świecie.
430:  RK - Nie mogłem dodać żadnego elementu spoza tego uniwersum, nie mogłem niczego jakoś dramatycznie zmienić, co w zasadzie spowodowało, że mogłem opisywać, musiałem się ograniczyć do opisywania
444:  RK - losów ludzi, którzy żyją w tym świecie i w zasadzie oni też nie bardzo mogą cokolwiek zmienić, ponieważ
453:  RK - No właśnie, świat zastany na początku powieści musiał być tym światem, jaki zostanie na końcu powieści.
460:  RK - Zmienić się miała tylko sytuacja moich bohaterów.
465:  RK - W dodatku musieli to być bohaterowie, którzy nie są bohaterami gry w większości.
470:  RK - Tam się pojawiają oczywiście bohaterowie, którzy są w grze, pojawiają się lokacje z gry.
475:  RK - Natomiast większość bohaterów
477:  RK - prawie głównych bohaterów wszystkich stworzyłem od zera właśnie po to, żeby kluczowe było to, żeby nie powodować konfliktów z fabułą gry, również z przyszłą oczywiście fabułą.
490:  KMM - A możemy ujawnić, kto się pojawia na przykład z gry?
492:  KMM - Bo ja wiem, kto się pojawia, ale nie wiem, czy mogę ujawnić.
496:  RK - Pojawia się Dum-Dum.
498:  KMM - Dum-Dum, tak jest.
499:  KMM - To jest dla wszystkich, którzy nie pamiętają, ta postać to jest dosłownie na samym początku z gangu Maelstorm.
505:  KMM - Rozpoczynekamy w głównej linii fabularnej.
508:  KMM - Moi drodzy, głośniej Rafała się nie uda.
510:  KMM - Zciszę troszeczkę muzykę, mam nadzieję, że będzie odrobinę lepiej.
515:  KMM - Czyli Dum-Dum się pojawia, okej.
517:  KMM - Były inne cameo w tym przypadku, czy nie?
521:  RK - Wiesz co, parę tam próbowałem postaci jeszcze dodać, parę ze dwie lokacje próbowałem dodać, tylko że one mi w pewnym momencie właśnie przestały pasować, dlatego że musiałem się trzymać ściśle tego, co jest w grze i tam nie mogłem postaci zmienić, nie mogłem zmienić układu miejsca, w którym tych bohaterów
545:  RK - wkładałem i w efekcie po prostu rezygnowałem z tego, bo chciałem napisać fajną historię.
551:  RK - Tak mi się wydaje, że w zasadzie to nie jest takie bardzo istotne, żeby tam występowali ci bohaterowie, dokładnie ci, którzy są w grze, tylko bardziej mi chodziło o to, żeby oddać atmosferę gry i żeby ktoś, kto grał, jak sięgnie po książkę, to żeby poczuł podobny klimat.
572:  RK - To było moim głównym założeniem, oczywiście poza tym, żeby książka była fajna.
577:  KMM - A ja myślę, że jeżeli ktoś na przykład nie grał w Cyberpunka, ale widział chociażby anime o Edgarnes, o które zaraz cię spytam, i chciał przeczytać twoją książkę, to to będzie dobry taki, jak mawiał anglosasi, gateway drug, czyli coś, co sprawi, że zaszczepią się z radością i będą chcieli więcej poczytać albo właśnie doświadczyć tego świata.
597:  RK - Ja sobie jeszcze bardziej utrudniłem pracę, bo napisałem tę powieść w ten sposób, żeby ktoś, kto w ogóle nie ma pojęcia ani o grze, ani nie widział serialu, ani nawet nie wie, co to jest gatunek cyberpunk, żeby to przeczytał jako thriller polityczny, jako sensacyjną powieść science fiction.
620:  RK - To nie wymaga żadnej wiedzy.
622:  RK - wiedzy o realiach świata.
625:  RK - Tam wszystko jest wytłumaczone od początku do końca.
628:  RK - Można przyjść, nie wiem, z puszczy wyjść, wziąć tę książkę i przeczytać i podejrzewam, że będzie w pełni zrozumiała.
639:  KMM - Podbiję to, co powiedziałeś, bo ja wiele razy krytykowałem różne fragmenty gry właśnie za to, że tamta ekspozycja była nie do końca jasna.
648:  KMM - I przyznam ci szczerze zupełnie, że jeden element, którego mi bardzo brakowało w grze, to znaczy zarysowanie profilu charakterologicznego członków różnych gangów Night City i pokazanie różnic między nimi.
659:  KMM - Ja dopiero zobaczyłem w twojej książce, w pełnej okazałości, nie zobaczyłem tego w takim spektrum w grze, więc...
666:  KMM - Absolutnie dla wszystkich, którzy boją się tego hermetycznego języka netrunnerów i innych, u Rafała jest to wszystko wyjaśnione super.
673:  KMM - Więc tutaj akurat się wam wyświetla fragment o netrunnerze, gdzie macie w praktycznie takiej narracji, nazwijmy to,
682:  KMM - hetero-diegetyczne, jak to się ładnie mawia, czyli od narratora, który wie więcej niż bohater, powiedziane co i gdzie i jak, jak należy rozumieć to, czym jest w ogóle netrunning, jak ta sytuacja Netrunnera wygląda, no super sprawa pod tym względem.
694:  KMM - Ale właśnie to Edgerunners, bo muszę cię o to spytać, bo dużo ludzi też
699:  KMM - po pierwsze widziała Edge Runnersów, a po drugie bardzo doceniło to anime.
704:  KMM - Czy to doświadczenie pisania powieści do uniwersum było czymś podobnym dla ciebie, jak doświadczenie pisania pewnej części historii w Edge Runners na potrzeby anime też osadzonej w tym samym uniwersum?
721:  RK - Ja się podczas pisania scenariusza trochę się tam oswoiłem z tym światem, więc to drugie wejście już nie było takie trudne, ale zdecydowanie w obu przypadkach to było takie moje pierwsze doświadczenie.
737:  RK - Dla żartu mogę dodać, że już napisałem trzy opowiadania w uniwersum Bolka i Lolka dawno temu.
746:  RK - Tak, krótkie trzy opowiadania napisałem.
749:  RK - Natomiast oczywiście... One są gdzieś dostępne?
753:  KMM - Czy w pomroce dziejów zniknęły?
755:  RK - Znak to wydał.
757:  RK - Wydają serię opowiadań o Bolo Kuiloku co jakiś czas, więc jak najbardziej gdzieś tam z 10 lat temu to napisałem.
766:  RK - Natomiast w przypadku wejścia w ten świat, ja sobie po prostu założyłem od początku, że będzie trochę trudniej.
775:  RK - I w przypadku serialu było to może o tyle prostsze,
780:  RK - że jednak jak się pisze w serialach, to nie trzeba tak głęboko wchodzić w ten światło, nie trzeba go tak dokładnie opisywać, bo to będzie opisane przecież obrazem potem, prawda?
790:  RK - A w przypadku powieści trzeba to wszystko ubrać w literki.
795:  RK - I to, co gdzieś w grze się pojawia, jakiś gadżet czy jakieś
802:  RK - miejsce, czy cokolwiek się pojawia w grze, to widać, no to w przypadku powiesi trzeba to jakoś opisać.
809:  RK - I na przykład napotkałem całkiem ciekawy, no nie wiem czy problem, ale trudność taką, że część z tych przedmiotów nie ma nazwy po prostu, one się pojawiają w grze i
824:  RK - W literaturze nie mogę napisać mały czarny dynks z żółtym pokrętem, tylko muszę napisać co to jest, dlaczego to służy itd.
834:  RK - Więc ta trudność się pojawiła dopiero w momencie pisania powieści.
840:  RK - Tego nie było w serialu.
843:  RK - Myślę, że to jest taka główna różnica.
844:  KMM - No plus jeszcze, wiesz, te nazwy, ja tutaj wyświetlam akurat korporatkę, mi się strasznie spodobał feminatyw.
850:  KMM - I pojawia się bardzo dużo takich rzeczy i tu absolutnie na plus.
854:  KMM - Przy okazji jeszcze widzę na czacie pytanie od Bartka, 537, bardzo fajne.
858:  KMM - Czy bohater jest gangsterem?
859:  KMM - Tak, w rzeczy bardziej z perspektywy polityka typu Arasaka.
861:  KMM - Bohater jest zbiorowy, tyle ja mogę powiedzieć.
863:  KMM - Rafał, zdradzasz coś więcej?
865:  RK - Wiesz, staram się tych bohaterów w ten sposób wybrać, stworzyć, żeby oni...
873:  RK - reprezentowali różne poziomy tego społeczeństwa Night City, że właśnie korporatka jest tam powiedzmy taka dobrze sytuowana i w zasadzie niczego jej nie brakuje.
889:  RK - No oczywiście coś jej brakuje, bo jak się potem okazuje, bo inaczej by nie było jej w tej historii.
896:  RK - Mamy wszystkich po kolei aż do ludzi na samym dole, którzy w zasadzie nie mają
901:  RK - nie mają pieniędzy i mają takie problemy egzystencjalne.
909:  RK - Ale bohater jest tak, jest to zbiorowy bohater, wydaje mi się to po prostu ciekawszym sposobem,
917:  RK - Dużo rozkmin było, jak te słowa tworzyć dokładnie, bo czy to ma być korporatka, czy korposka.
926:  RK - Dużo było takich, tego rodzaju dylematów słów, które nie funkcjonują w języku polskim.
933:  RK - Obecnie trzeba było je stworzyć.
935:  RK - Nie wszystkie istniejące w grze mi pasowały tutaj, więc musiałem albo wymyślać, albo je zmieniać.
944:  RK - No, odbiegam od tematu.
945:  RK - Bohater zbiorowy jest po prostu i to trochę też wynikło z tego, że tutaj ten świat jest na tyle złożony, Night City, cały ten uniwersum, że byłoby trudno to jednym bohaterem wszystko pokazać, bo jeżeli opisujesz jakiś świat, powiedzmy,
968:  RK - nasz świat, obecny taki trochę, czy bliską przyszłość, to możesz to jednym bohaterem opisać, skupić się na jednym aspekcie tej rzeczywistości.
975:  RK - Natomiast tam cała wartość polega na tym, że pokazujesz wszystkie poziomy.
980:  RK - Być może jak będą wychodziły jakieś kolejne książki, kolejne powieści, to będzie się można bardziej skupić na którymś tam, na którejś tam części.
989:  RK - Tutaj założyłem, że jednak pokażę taki całokształt bardziej.
994:  KMM - Z tej perspektywy absolutnie ulubionym moim bohaterem jest Albert, nie będę wnikał w wiele, ale mam wrażenie, że Rafał też przez serię Felix Netinika naprawdę czuje bohaterów młodych i jest to świetnie wprowadzone, biorąc pod uwagę to, że w grze w zasadzie nie mamy w ogóle takiej perspektywy.
1012:  KMM - A to jest też ambitny chłopak, który chce zostać nedrunnerem.
1015:  KMM - Nic więcej nam nie powiem taktycznie, bo bym już za dużo zdradził.
1018:  KMM - A jeszcze mam pytań parę.
1021:  KMM - To znaczy przede wszystkim na propos Feliksa Netajnika, koalangista, ale ciężko przeczytać.
1027:  KMM - Pisze, że chciała tylko podziękować Ci z całego serca za serię właśnie Feliks Netynika.
1030:  KMM - Jest ze mną od początku, pozwoliłem przeżyć okropne dziedzictwa przez zanurzenie się w ich świat.
1034:  KMM - Na wieki dziękuję.
1035:  KMM - Więc też tacy czytelnicy tu się pojawiają.
1037:  KMM - To jest dziękuję bardzo miłe.
1040:  KMM - Ale pytanie jest takie konkretne, bo wyszło to nam przy okazji tej korporatki Pablo397, który jest praktycznie ze mną przez każdy stream Cyberpunka 2077, więc serdecznie go pozdrawiam i zna dużo sekretów dotyczących tej gry.
1054:  KMM - Pyta, skąd pomysły na zmiany dodatkowe, oprócz tej korporatki, prawda?
1058:  KMM - Dolary zamiast eurodolarów, karmnik zamiast paśnik, wieniec.
1062:  KMM - Wieniec to jest to do braindance'u.
1064:  KMM - Mnie się to akurat strasznie podobało jako pomysł.
1066:  KMM - Czy to były twoje autorskie pomysły, czy musiałeś jakoś konsultować z CDEP-em, czy z, nie wiem, z Mike'iem Pondsmith'em miałeś kontakt w tej sprawie?
1072:  KMM - Jak to wyglądało?
1074:  RK - Zresztą z Mike'iem nie miałem kontaktu.
1076:  RK - Jedyne, co wiem, to to, że ostatnio się domagał książki, żeby mu wysłać książkę.
1080:  RK - A to dobrze.
1084:  RK - Nie wiem, boję się, co on napisze, jak już przeczyta.
1089:  RK - Natomiast wiesz, co do konsultacji, to ja się musiałem konsultować, bardzo dużo się musiałem konsultować, chociażby właśnie dlatego, że nie wszystkie nazwy wiedziałem, jak powinienem zapisywać.
1102:  RK - Nie wiedziałem też dokładnie, jak wszystko działa, wszystkie tam elementy działają, bo wiesz, ja przeszedłem tą grę, ale nie przeszedłem jej całej, to jest długa historia, bo mi zdykwidowałem misję wizji.
1114:  RK - Serwis Stadia, na którym grałem, więc mi z całą historią to przepadło.
1118:  KMM - Już jak pechowo.
