🔴 Co robić, gdy nauka i praca nas przytłacza? (ft. @BezSchematu) | ROZMOWA #4
🔗 https://www.youtube.com/watch?v=eueWEwF4KCo
BFP (Bartosz Filip Malinowski, Bez/Schematu)
KMM (Krzysztof M. Maj)

6:  S05 - Muzyka Muzyka
29:  S06 - KONIEC!
101:  KONIEC!
115:  S05 - Muzyka Muzyka
134:  Dzięki za oglądanie!
182:  KMM - Witam wszystkich w wyjątkowy stream środowy, jeden z ostatnich wyjątkowych streamów środowych, ponieważ nadchodzi niestety rok akademicki.
191:  KMM - Witajcie najserdeczniej, witam wszystkich trybutariuszy.
194:  KMM - Dzisiaj krócej wyczytam, ale i tak niektórych.
196:  KMM - Tenebris, Piotr Danisz, Filip Skowronek, Kluchen Muchen, grono moderatorski, witam serdecznie.
201:  KMM - Witam także Jowialnego Orangutana Optometrysta, który ma najlepszy nick w polskim internecie.
206:  KMM - Witam Tomasza Adamskiego, Bortwo Pomarańczy, Roberta Górskiego, Kadarkę, Saganę 96, Arcykapłana Dzikich, Bobrów, Fajwus Fajb, Bartka Litowskiego, Piotra Danisza, Dietwe Ebon, Adusa Cytrusa, Red Jaga, Just Me, Mateusza, Tomka.
218:  KMM - Wszystkich, którzy przybyli, moi drodzy, przede wszystkim najserdeczniej witam tych, którzy podzielili się swoimi historiami, które będziemy dzisiaj czytać razem z...
230:  KMM - Bartoszem Filipem Malinowskim z kanału Bez Schematu, który to Bartosz do nas dołącza, moi drodzy, po raz pierwszy.
239:  KMM - Dziękuję Filipie, żeś do nas przybył.
242:  KMM - A ojo, dziękuję za zaproszenie, mój serdeczny przyjacielu.
245:  KMM - Bardzo się cieszę, długo szukałem pretekstu, żeby tutaj Filipa ściągnąć i Filip ściąga do nas w szczególnej roli, to znaczy, po pierwsze, możecie go znać, mam nadzieję, z kanału Bez Schematu, który zresztą za moment odwiedzimy, na momencik.
