🔴 Co zrobić, by szkoła NIE BYŁA piekłem (ft. Anna Szulc) | ROZMOWA #8
🔗 https://www.youtube.com/watch?v=DCFfU5vNZEM
KMM (Krzysztof M. Maj)
AS (Anna Szulc)

81:  KONIEC!
140:  Dzięki za oglądanie!
167:  KMM - Witam wszystkich najserdeczniej moi drodzy.
170:  KMM - Mam nadzieję, że wszystko jest słyszalne i że wszystko jest w porządku i że się widzimy jasno i wyraźnie, ponieważ dzisiaj moi drodzy wyjątkowy dzień.
180:  KMM - Wyjątkowy dzień głównie dlatego, że gościmy dzisiaj na kanale wreszcie, po tylu latach już mogę powiedzieć, praktyczkę, reformatorkę, nauczycielkę, która będzie mogła
193:  KMM - sama zaświadczyć o tym, moi drodzy, jak to jest nie istnieć.
197:  KMM - Bo wiecie, nie istnieją ludzie, którzy robią reformy, nie istnieją rozwiązania, o których mówimy cały czas i dyskutujemy na kanale.
204:  KMM - To są utopie, to są fantasmagorie, fantazje.
207:  KMM - To nigdy nie zaistniało i nigdy nie istniało i nigdy nie zaistnieje, ponieważ mówią tak youtuberzy i twórcy, którzy mają tyle wspólnego z edukacją, że ją, no cóż, jak wiecie, kiedyś mieli.
218:  KMM - No to dzisiaj wychodzimy w takim razie moi drodzy na pierwszy front zmian w edukacji i z ogromną przyjemnością witam w naszym gronie Annę Szulc.
228:  KMM - Myślę, że kogoś, kogo absolutnie nie trzeba przedstawiać.
231:  KMM - Cześć Anno, dziękuję Ci serdecznie za przyjęcie zaproszenia.
236:  AS - Dziękuję również.
237:  KMM - Cześć, dzień dobry Państwu.
238:  KMM - Powiedz, jakbyś miała w dużym skrócie powiedzieć, jak to jest nie mieć syndromu związanych rąk, to znaczy, że minister zakazuje, że wszyscy zakazują, że się nie da zmieniać.
249:  KMM - Jakie jest Twoje doświadczenie w tym wymiarze?
251:  KMM - Bo często mamy takie dyskusje, już zupełnie poważnie mówiąc, ze strony ludzi, którzy uważają, że jakakolwiek zmiana jest niemożliwa i też
259:  KMM - Od razu nie mówię, że ich intencje są złe.
261:  KMM - Niektórzy po prostu się boją zmian i wolą powiedzieć, że ktoś im zakazuje, a jeszcze inni, no właśnie, mają tyle wspólnego z edukacją, żeby kiedyś mieli.
267:  KMM - Po tych 20 latach pamiętają tylko stare wzorce i uważają, że to, o czym opowiadają reformatorzy, to jest niemożliwe do zrealizowania.
275:  AS - Szczególnie jak jest ich większość.
279:  AS - To jest tak, że bardzo często słyszę takie zdanie, ja bym zrobiła, ja bym chciała, nie wyjdzie mi, ponieważ system nie każe.
286:  AS - Jeszcze jest takie dobre dopowiedzenie, że dziennik mnie nie puszcza, to są tego typu argumentacje.
292:  AS - Natomiast system jest bardzo dobry, przede wszystkim bardzo dobre jest prawo oświatowe w Polsce.
297:  AS - I myślę, że nie powiem źle, bo się potwierdzają, że jest najlepsze w Europie.
302:  AS - Problem tylko polega na tym, że trzeba chcieć z niego skorzystać.
305:  AS - Ale to nie jest proste.
306:  AS - Ja od razu się tutaj wypowiadam w takim temacie, że ja nikogo nie krytykuję.
310:  AS - Ja nie uważam, że ktoś ma złą wolę.
312:  AS - Ja mam powody do tego, żeby rozumieć, że ktoś się boi.
316:  AS - Ja mam powody do tego, żeby nie widział tego sensu, bo tak naprawdę bardzo dużo jest przeszkód, sama tego doświadczam.
323:  AS - I dlatego dzisiaj z perspektywy czasu, po 20 latach pracy w drodze pod prąd, mam taką świadomość, że gdybym się zastanowiła 20 lat temu, czy ja bym na tą drogę weszła, to pewno bym weszła, bo to jest po prostu moje.
341:  AS - Ja mam takie przekonanie, to była po prostu decyzja absolutnie suwerenna.
