🔴 Co zrobić, gdy szkolny statut łamie prawo (ft. Dopamina Lab) | ROZMOWA #5
🔗 https://www.youtube.com/watch?v=PClVgzFe-b0
KMM (Krzysztof M. Maj)
AD (Anna Dęboń, Do!Pamina Lab)
RS (Robert Strzała, Do!Pamina Lab)

11:  S07 - Muzyka Muzyka
33:  Dzięki za oglądanie!
41:  Zdjęcia i montaż
64:  KONIEC
74:  KONIEC
107:  Muzyka Muzyka
124:  Dzień dobry.
156:  KMM - Witam wszystkich Was najserdeczniej zgromadzonych dzisiaj w ramach wyjątkowego streamu środowego.
164:  KMM - Moi kochani, dziękuję Wam serdecznie za reakcję pod materiałem ostatnim z serii Dla Każdego Coś Przykrego na temat statutów szkolnych, bo gdyby nie Wasza reakcja i komentarze i historię,
177:  KMM - to byśmy się pewnie nie spotykali w tym gronie, w jakim się dzisiaj spotykamy, a mam ogromną przyjemność powitać w naszym gronie nie tylko widzów, jak zawsze witam, nie tylko trybutariuszy wspierających nasz kanał, nie tylko wszystkich ludzi, którzy zgromadzili się tutaj dzisiaj poświęcając ten wieczór na rozmowy o rzeczach ważnych i edukacyjnych, ale witam również z nami Annę Dęboń i Roberta Strzałę z Dopaminy Lab, czyli dokładnie z tego
204:  KMM - Labu, który możecie znać już z ostatniego odcinka.
210:  KMM - Cześć Robercie, cześć Anno.
211:  KMM - Dzięki serdecznie, że pojawiliście się.
213:  KMM - Powinniście być już słyszalni.
216:  KMM - Cześć, dzień dobry, dobry wieczór.
218:  RS - Jesteśmy słyszalni?
220:  KMM - U mnie tak, mam nadzieję, jeżeli jest coś nie tak na czatach, to dawajcie znać, kochani.
225:  KMM - Ja przygłosiłem naszych gości maksymalnie, więc wtedy ewentualnie mogę jeszcze podkręcać po swojej stronie.
232:  KMM - Powiedzcie przez chwileczkę, przez momencik, czym się zajmujecie.
236:  KMM - Czaty mówią, że słychać jasno i wyraźnie, więc się bardzo cieszę.
240:  KMM - Ja tylko dopowiem, że spotykamy się oczywiście w kontekście tego
243:  KMM - raportu, który wydaliście na swojej stronie.
246:  KMM - Zresztą będziemy go za moment tutaj podziwiać.
249:  KMM - Tu, jeżeli jesteście zainteresowani pod adresem szkoła jest nasza dopamina lamp działa, możecie zapoznać się z zespołem.
255:  KMM - Ja oddaję, bo już się rozgadałem.
257:  KMM - Już się rozgadałem.
258:  KMM - Oddaję głos naszym gościom.
259:  KMM - Proszę pani.
263:  AD - Dęboniania, aktywistka miejska, aktywistka edukacyjna.
269:  AD - Od sprzed chwili mogę się już pochwalić członkini sieci obywatelskiej World of Polska.
276:  AD - Mama dwóch nastolatek.
281:  AD - Od ostatniego czasu mocno interesuje się prawami uczniowskimi i ich realizacją w szkole, ale również prawami dzieci i prawami człowieka.
294:  AD - No i chyba tyle.
295:  AD - To najważniejsze.
296:  RS - Ja się nazywam Robert Strzałaj, działam razem z Anią w Dopaminie.
301:  RS - Jestem nauczycielem.
302:  RS - Jestem nauczycielem polskiego.
304:  RS - Mam nadzieję, że nie mieszczę się w tych kryteriach polonistów.
308:  KMM - Tak, poloniści to jest kryterium dla tych, którzy nie spełniają się w tym zawodzie i czują się do niego przymuszeni.
316:  KMM - Więc to są bardzo precyzyjne kryteria.
319:  RS - Bardzo się mocno spełniam, ale oprócz tego, tak jak wspominałem,
323:  RS - Działamy za nią w dopaminie i też to może powiedzmy na początku, bo my nie jesteśmy prawnikami, jesteśmy raczej aktywistami, aktywistami, aktywistkami i głównym takim zamierzeniem, głównymi działaniami dopaminy
338:  RS - Wcale nie od początku było to zajmowanie się statutami, tylko właśnie po to, żeby szkoła była przyjazna i podkreślenie tego hasła, że szkoła jest właśnie nasza, czyli jest nasza wspólna.
350:  RS - Jest uczniów, jest nauczycieli, jest rodziców i wszyscy mamy w niej takie same równe prawa.
355:  RS - Dziękuję.
356:  AD - Rozpoczęliśmy właściwie działalność w mieście, w Dąbrowie Górniczej, skąd pochodzimy i gdzie głównie działamy.
363:  AD - Chcieliśmy bardzo mocno nasze szkoły obudzić, zainspirowani ruchem Budzącej się Szkoły i Marzeną Żylińską.
372:  AD - Organizowaliśmy fora, narady obywatelskie o edukacji.
377:  AD - I tak krok po kroku, rok za rokiem nasza działalność się rozwinęła.
383:  AD - Robert mówił, że nie od początku interesowaliśmy się statutami, ale jednak od początku interesowaliśmy się statutami, dlatego też, że się nimi interesowaliśmy w naszym mieście, to weszliśmy na drogę kolizyjną z naszym samorządem.
395:  KMM - Co to znaczy droga kolizyjna?
396:  KMM - Bo to jest coś, z czym się specjalizujemy na tym kanale.
404:  RS - Wszyscy chcemy przedstawiać swoje miejsca pracy albo chcemy przedstawiać swoje miasta jako takie miejsca, które są idealne i które są bez zarzutu i traktujemy wskazywanie jakichś uchybień w tych miejscach jako, tak jak w szkole to jest właśnie, o popełniłeś błąd, o tutaj masz, będziesz teraz...
423:  RS - będziemy cię teraz tępić i tak dalej, a tymczasem chodzi o to, żeby z tego uchybienia, z tego błędu wyciągać wnioski.
430:  RS - I stąd chyba wyniknęła droga kolizyjna, prawda?
434:  S03 - Trochę tak.
435:  KMM - A dopytam was, bo na froncie aktywistycznym działacie, jak opowiadacie, i lokalnie, i teraz także powiedziałbym lokalnie czy globalnie, biorąc pod uwagę skalę ogólną, polską tego raportu, nawet dotarliście do Dzień Dobry TVN.
448:  KMM - Przecierałem oczy ze zdumienia i się zarazem bardzo cieszę z tego.
452:  KMM - To powiedzcie mi, jak z perspektywy tego frontu aktywistycznego właśnie wygląda ta, nie chcę mówić druga strona, ale jak wygląda dyskusja z ludźmi, którzy uważają, że jest wszystko w porządku?
463:  KMM - Bo pewnie się spotykacie z tym.
464:  KMM - Ja się spotykam z tym, powiem, w edukacji wyższej bardzo często.
468:  KMM - To znaczy wszyscy są przekonani, że na przykład fakt, że mój magistrant wybitny, który świetnie napisał pracę dyplomową, który miał mieć wyróżnienie.
478:  KMM - Wyróżnienia nie mógł dostać, ponieważ średnia ważona ze studiów.
482:  KMM - I mną telepało, ale mną tylko.
488:  RS - Z której strony?
489:  RS - Z mojej perspektywy, jak to wygląda?
493:  KMM - Znaczy wiesz, jeżeli rozmawiasz z ludźmi, którzy uważają, że wszystko jest w porządku, to jak sobie radzicie?
497:  KMM - Czy spotykacie się z takim murem, czy właśnie nie macie takich doświadczeń?
501:  KMM - To mnie ciekawi.
502:  RS - Znaczy chyba już dotarliśmy do takiego punktu, że trudno jest rozmawiać, ale staramy się ciągle i wyciągamy rękę i chcemy po prostu, tak naprawdę chcemy rozmawiać, bo to, o czym tutaj też będziemy prawdopodobnie za chwilę mówić,
519:  RS - te pytania, które gdzieś tam się pojawiły, czy będą się pojawiały na czacie, no to przede wszystkim punktem wyjścia tak naprawdę jest rozmowa i takie spotkanie się wspólne, a nie prowadzenie wojny.
531:  RS - Ja wychodzę z takiego założenia, że nie jesteśmy na terytorium wojennym.
535:  RS - Szkoła czy samorząd, czy cokolwiek, to nie jest terytorium wojenne,
539:  RS - Tylko tam mieszkają, pracują, uczą się różni ludzie, no i powinni po prostu znaleźć jakiś, no znowu ten wspólny punkt, ale tego, ale to, to wiecie, to jest taki, to jest w Polsce za bieżąco, nie mamy, nie mamy środka w ogóle, to jest skrajność, albo, albo jedną, albo drugą.
556:  RS - A tu nie ma, i nam naprawdę zależy na takim spotkaniu się gdzieś pośrodku.
561:  RS - Cały czas to podkreślam, ale mega to jest trudne, prawda?
565:  AD - Cały czas, nawet przy okazji publikacji tego raportu, czy gdziekolwiek jesteśmy i zabieramy głos, to mówimy, że raport nie jest narzędziem, które ma właśnie wytykać błędy i ma być straszakiem, tylko ma być narzędziem, które będzie służyło rozwiązywaniu pewnych problemów, które są.
586:  AD - One właśnie zostały zdiagnozowane po to, zmonitorowane, wypisane, pokazane, żeby można było nad nimi pracować.
596:  AD - Zwłaszcza, że mamy też przygotowane, czy też opracowaliśmy równolegle z airportem taki program działań naprawczych, który chcieliśmy wdrożyć w szkołach w naszym mieście, który jakby odrębnie w każdej szkole, dlatego że my cały czas podkreślamy, szkoła jest nasza, szkoła jest
616:  AD - nasza, czyli tej społeczności danej szkoły.
619:  AD - Tam o tych zasadach, o tym jak ta szkoła pracuje, funkcjonuje i jak działa, decydują wszyscy członkowie, członkini tej społeczności, czyli dzieci, młodzież, rodzice, nauczyciele, nauczycielki,
636:  AD - dyrekcja jako kadra zarządzająca.
639:  KMM - A z waszych rozmów, obserwacji wynika, że z tych trzech grup rodziców, nauczycieli, uczniów, która miała do tej pory najwięcej do powiedzenia, czy która była nadreprezentowana, która była niedoreprezentowana, macie takie obserwacje?
655:  AD - Wiadomo, że głos młodych, czyli dzieci i młodzieży najmniej się przebija w tych rozmowach, bo jakby tego głosu najczęściej nie uwzględniamy, a z moich doświadczeń, uogólniam teraz i generalizuję, ta samorządność szkolna pozostawia wiele do życzenia i jest jednak pozorna bardziej niż autentyczna i prawdziwa.
683:  RS - No to jest to, co tutaj podkreślasz często na kanale swoim.
686:  RS - Już zawsze tak było, więc się tego trzymajmy.
689:  RS - I dzieci i ryby głosu nie mają, my dorośli mamy władzę tak naprawdę i morda w kubę.
696:  KMM - Wiecie, ale myślę, że nawet nie tyle, że dorośli, to znaczy biorąc pod uwagę to, że w odniesieniu do dorosłych ludzi,
703:  KMM - Będą takie pytania swoją drogą za moment, jak do nich przejdziemy w liceum, czy do dorosłych ludzi na studia.
709:  KMM - Dokładnie takie same standardy się stosuje, mimo że właśnie już jesteśmy w gronie ludzi, którzy sami decydują o sobie, ale jakby mam wrażenie, że cały czas potężniejsze jest to przeświadczenie, niestety,
721:  KMM - że decyduje ten, który jest właśnie u szczytu tej wyobrażonej bardzo często hierarchii.
727:  KMM - To troszeczkę martwi.
