🔴 Czy jesteśmy skazani na szkolne bezprawie? (ft. Mikołaj Marcela) | ROZMOWA #9
🔗 https://www.youtube.com/watch?v=0aH-dBrVm0I
KMM (Krzysztof M. Maj)
MM (Mikołaj Marcela)

141:  KONIEC!
165:  KMM - Witam wszystkich najserdeczniej na naszej rozmowie cyklicznej już, którą miewamy co jakiś czas na kanale, gdy trzeba, moi drodzy, zluzować trochę z krytyką, zluzować z rantami, zluzować ze złośliwościami, przynajmniej w wykonaniu jednej osoby, ponieważ zapraszam do tego drugą, żartuję, moi drodzy, na kanał wraca Mikołaj Marcela,
189:  KMM - znany już wam, którego absolutnie nie muszę przedstawiać, ale dla tych z was, którzy nie znają, wykładowca, tutor, reformator edukacji, praktyk i dydaktyk akademicki.
199:  KMM - Mikołaju, jak miło cię ponownie gościć na kanale.
204:  MM - Cześć.
205:  MM - Witam wszystkich.
206:  MM - Bardzo dziękuję za ponowne zaproszenia.
209:  MM - No i ja też się cieszę, chyba trzeci raz, nie?
211:  KMM - Tak jest, to już trzeci raz się spotykałem.
212:  KMM - Mam nadzieję, że Mikołaj jest słyszalny.
214:  KMM - Moi drodzy, gdyby jakieś poziomy głośności czy wszelkiego innego rodzaju kwestie techniczne były do nadrobienia, to dawajcie nam znać na bieżąco.
223:  KMM - Ja tylko zapowiem, że spotykamy się, moi drodzy, z nie byle jakiego powodu.
227:  KMM - To znaczy, Mikołaj, jak to Mikołaj?
229:  KMM - W trakcie, gdy Krzysztof mi tręży czas grając w gry i robiąc filmy, Mikołaj pisze książki.
234:  KMM - Mówicie, żeby troszeczkę głośniej Mikołaja, tak też zrobimy.
237:  KMM - Więc książka tym razem, z którą przybywa do nas Mikołaj, to jest, moi drodzy, Nie jesteś skazany na szkołę.
244:  KMM - I Mikołaju, ja byś mógł parę słów powiedzieć, może zaczynając od tego, tak prowokacyjnie zapytam, dlaczego znów ten temat, czy to jest właśnie ten moment, kiedy musimy mówić o czymś, co ma być alternatywą do tego systemu, jeśli tak, to dlaczego?
261:  MM - No wiesz co, skąd w ogóle pomysł i dlaczego potrzeba, tak?
265:  MM - No wszystko się wzięło od spotkania z uczniami ósmej klasy szkoły podstawowej, których zapytałem, czy wiedzą, co oznacza termin szkoła, skąd się wziął.
274:  MM - I tak jak zaczyna się ta książka, pierwsza odpowiedź to był strzał i uczniowie uznali, że to może pochodzić od więzienia.
283:  MM - No i powiedziałem im, że nie, że to chodzi o czasu wolnego od odpoczynku, więc zaśmiali się.
289:  MM - Pożartowaliśmy sobie przez chwilę, jak to dużo jest czasu na odpoczynek i jak dużo jest czasu wolnego w szkole.
296:  MM - I tak w sumie od tego wziął się pomysł na tą książkę i też uświadomiłem sobie po raz kolejny, bo ja przypomnę, że cała moja przygoda z pisaniem o edukacji zaczęła się od warsztatów z uczniami ze szkół podstawowych, jeszcze wtedy gimnazjalnych i ponadgimnazjalnych.
315:  MM - I te warsztaty pisarskie, które prowadziłem w Pałacu Młodzieży, szybko zamieniły się w takie niemalże zajęcia terapeutyczne, w czasie których rozmawialiśmy o tym, jak w ogóle wytrzymać w szkole, biorąc pod uwagę z jednej strony presję rodziców, z drugiej strony presję nauczycieli.
333:  MM - łamanie praw przez dyrekcję i przez nauczycieli.
336:  MM - No i wiesz, pierwsza moja książka, jak nie spieprzyć życia swojemu dziecku, wyszła w 2020 roku.
344:  MM - Teraz kilka książek dalej w 2024.
347:  MM - Jesteśmy w momencie zupełnie innym niż wtedy, bo mam wrażenie, że coraz więcej osób zdaje sobie sprawę, jak ważne są zmiany.
355:  MM - ale bardzo niewiele osób ma świadomość tego, jakie mam rzeczy, już rozwiązania dostępne w ramach systemu i o tym jest ta książka o alternatywach.
365:  MM - ale też o tym, jak hakować system, kiedy na te alternatywy z różnych powodów nie możemy sobie pozwolić.
370:  MM - O tym pewnie będziemy rozmawiać.
372:  KMM - To ja jeszcze dodam, moi drodzy, że wydawnictwo Muza na tę właśnie książkę, to znaczy nie jesteś skazany na nunaszkołę, prezentuje nam kod rabatowy na hasło JAMNIK, jedyne najsłuszniejsze, więc jeżeli wbijecie w ten link, który jest tutaj gdzieś na czatach podlinkowany, jest też w opisie filmu,
389:  KMM - i kupicie w Księgarni Muza książkę, to wtedy będziecie mieli rabat.
