🔴 Jak poprawić oceny w szkole (ft. Fundacja Szkoła Bez Ocen) | ROZMOWA #7
🔗 https://www.youtube.com/watch?v=XyJM6NPNoNw
JuD (Justyna Durszewicz)
JaD (Jarosław Durszewicz)
KMM (Krzysztof M. Maj)

16:  Dzięki za oglądanie!
106:  S02 - Muzyka Muzyka
132:  Zdjęcia i montaż
160:  Zdjęcia i montaż
200:  Zdjęcia i montaż
214:  Zdjęcia i montaż
228:  Zdjęcia i montaż
259:  Wszystkie prawa zastrzeżone.
267:  KMM - Witam Was wszystkich najserdeczniej, kochani.
270:  KMM - Dzisiaj mamy specjalny live w ramach naszego cyklu rozmów.
276:  KMM - To jest już siódme spotkanie z praktykami, którzy zmieniają edukację na pierwszym jej froncie.
281:  KMM - Witam serdecznie wszystkich widzów, wszystkich wspierających kanał, wszystkich stałych i niestałych oglądających.
288:  KMM - Pamiętajcie, zaznaczę na początku, że będzie jak zawsze zapis, a z nami witam najserdeczniej
295:  KMM - Jarosława i Justynę, jeżeli dobrze mówię, z Fundacji Szkoła Bez Ocen.
299:  KMM - Poprawiajcie mnie, jeżeli cokolwiek będzie nie tak.
303:  KMM - Witajcie najserdeczniej na kanale.
306:  JaD - Wolę Jarek.
307:  KMM - Dobrze.
308:  KMM - Będzie Jarek w takim razie.
313:  KMM - Fundacja Szkoła Bez Ocen.
314:  KMM - Powiedzcie, natomiast ten projekt Zwinna Edukacja to jest projekt, który jest niezależnie od Fundacji Szkoła Bez Ocen.
321:  KMM - Czy to jest w ramach tego?
322:  KMM - Jak to wszystko wygląda?
323:  KMM - Kim jesteście i co robicie?
327:  JuD - To tak najprościej, jesteśmy zespołem i to właśnie wiąże się ze zwinnością, bo żeby zmieniać edukację, to każdy, kto zajmuje się zmianą, na pewno wie, że jedna osoba edukacji nie zmieni, nie wprowadzi też zmiany.
343:  JuD - Dlatego my, myśląc o tym, co jest teraz najważniejsze, co było dla nas też bardzo ważne, stworzyliśmy zespół, który ma jeden cel.
355:  JuD - wprowadzać zmiany w szkole w zakresie oceniania, czyli eliminacji stopni i w zakresie zwinnego zarządzania, czyli skupiania ludzi w małe zespoły, no i tak pokrótce.
369:  JaD - Tak, i my jesteśmy przekonani do tego, że zwinne zarządzanie jest tym narzędziem w rękach dyrektora, które jest w stanie wprowadzić zmiany.
380:  JaD - A ta zmiana tutaj, widzę, że widzimy naszą stronę i to jest bardzo dobre rozwiązanie.
389:  JaD - Natomiast wiemy, że szkoła bez stopni w ocenianiu bieżącym jest tym, co jest zgodne z prawem oświatowym i tym, o co postulujemy.
402:  JaD - Bo w tytule miałeś ocena opisowa, natomiast ocena opisowa, tak żeby uporządkować...
411:  JaD - uporządkować terminologię, ocena opisowa jest oceną klasyfikacyjną,
417:  JaD - która występuje w środku bądź na zakończenie roku szkolnego i jest to ocena kończąca.
426:  JaD - W edukacji wczesnoszkolnej jest to ocena opisowa, w edukacji dalszej jest to ocena cyfrowa, ale do tego wrócimy.
433:  JuD - Bo właśnie dlatego, że jest tak dużo pojęć związanych z ocenianiem, dużo doświadczeń i potrzebna jest taka organizacja jak my,
443:  JuD - żeby mówić o przepisach prawa oświatowego, żeby pokazywać jak może być, a nie musi być tak jak jest teraz, żeby pokazać inny obraz edukacji, ale nie tylko pokazywać i głośno o tym mówić, bo to co my mamy, mamy na pewno odwagę mówić o tym co jest prawdą.
463:  JuD - I co jest prawem.
465:  KMM - Tak, i co jest prawem.
466:  KMM - Bo wiecie, sporo było problemów z tym, też przed publikacją, mam wrażenie, tego raportu Stowarzyszenia Umarłych Statutów, sporo też widzów mówiło na kanale, że sobie nie zdawali nawet sprawy z tego, że ten ład prawny, który jest w wielu szkołach, a zaraz będziemy czytać mrożące krew żyła historia z tym związane, no jest bezładem i jest bezprawiem w znacznej mierze, więc ważne, że to też podkreślacie.
488:  JaD - Tak, my to podkreślamy i my stoimy na takim stanowisku.
493:  JaD - My jesteśmy, można powiedzieć, tymi, którzy pokazują prawo oświatowe, jakim jest, a wiemy, że to prawo oświatowe nie jest złe.
503:  JaD - Dzisiaj w czasie konferencji Empatyczna Edukacja, w której też mieliśmy przyjemność razem z Tobą zresztą uczestniczyć,
511:  JaD - to wybrzmiewa, że no szkoda, że to prawo jest dobre, tylko problem polega na tym, że nauczyciele i myślę, że wielu dyrektorów o zgrozo, no jakby nie wie, że trzeba tego prawa przestrzegać.
