🔴 Kiedy posłuszeństwo jest złe? (ft. Mikołaj Marcela) | ROZMOWA #3
🔗 https://www.youtube.com/watch?v=jnF68qvleqw
MM (Mikołaj Marcela)
KMM (Krzysztof M. Maj)

5:  S01 - muzyka
22:  KONIEC!
105:  KONIEC!
123:  S01 - Muzyka Muzyka
141:  S01 - Dzięki za oglądanie!
202:  KONIEC!
224:  muzyka
237:  KMM - Witam wszystkich najserdeczniej, witam widzów, którzy przybyli z stałych kanałów, witam trybutariuszy, witam wspierających, witam wszystkich, którzy przybyli z nami spotkać się z wyjątkowym gościem, którego mamy dzisiaj po raz drugi, kochani, już po rozmowie, którą mieliśmy poprzednio, to znaczy widzimy się, moi drodzy, z Mikołajem Marcelą, który to Mikołaj Marcela już z nami w tej chwili jest.
264:  KMM - Cześć Mikołaju, witam cię najserdeczniej.
266:  MM - Cześć, cześć.
267:  MM - Witam wszystkich, witam Ciebie, dzięki za zaproszenie i cieszę się na tę rozmowę.
272:  KMM - Mam nadzieję, że poziomy głośności są okej.
274:  KMM - Kochani, informujcie, jeżeli by coś było nie w porządku.
278:  KMM - Będziemy wtedy na bieżąco dostosowywać czaty.
280:  KMM - Witają serdecznie, tłumnie, zgromadzeni.
283:  KMM - Ja tymczasem chciałem poinformować wszystkich, że jest o tyle wyjątkowa sytuacja dzisiaj, że jak się dowiedziałem i dowiedziałem się o tym dosłownie dzisiaj od Mikołaja, książka, którą będziemy dzisiaj sobie omawiać razem z Wami, to znaczy patoposłuszeństwo, dzisiaj premieruje, dosłownie.
299:  KMM - Więc nie jesteśmy pewnie pierwsi, ale na pewno pierwsi w internecie i na YouTubie, którzy o niej mówimy i bardzo się cieszę, że Mikołaj do nas przyszedł, tym bardziej, że Mikołaj ma tradycję jedzenia pizzy, jak jest premiera jego książki, więc specjalnie przełożył jedzenie pizzy na później.
316:  KMM - Ja myślę, czaty, że powinniśmy to uhonorować jakąś dużą liczbą jamników,
320:  KMM - A ponieważ jest z nami Mikołaj, mamy takiego specjalnego jamnika, który się nazywa JamNikołaj, więc liczę na dużo JamNikołajów na czatach.
328:  KMM - Moi kochani, drugie ogłoszenie, drobne, mianowicie w księgarni wydawnictwa Znak, i macie link w opisie do tego naszego materiału, jest 40% rabatu do 31 sierpnia na książkę Pato Posłuszeństwo.
343:  KMM - Więc bardzo, bardzo Was zachęcam do tego, żeby z tego skorzystać, bo prawdopodobnie lepszej okazji nie będzie.
349:  KMM - I ostatnie ogłoszenie, to znaczy macie na czatach, w przypiętym poście informacje dotyczące tego, jaki mamy dzisiaj grafik, gdzie grafik jest napięty.
358:  KMM - Mikołaj jest z nami 3 godziny, więc o godzinie 16 teraz mamy sobie radosny wstęp.
364:  KMM - Zaraz przejdziemy do omawiania książki i do Waszych pytań do tejże książki ogólnych.
369:  KMM - Natomiast od 17 do 19 będziemy czytać historię, z której mi się podzieliliście.
374:  KMM - Historie dotyczące patologicznego wychowania i w ogóle patologicznego posłuszeństwa w różnych obszarach naszej rzeczywistości.
383:  KMM - No i właśnie, i skoro już o tym mówimy Mikołaju, to pozwolę sobie zadać Ci pytanie jako pierwszy dotyczące tego, co pojawia się w tytule Twojej książki, ale nie pojawia się praktycznie ani razu w treści, to znaczy o samo słowo patoposłuszeństwo.
399:  KMM - Jak je definiujesz i jak je rozumiesz?
404:  MM - Pojawia się patoposłuszeństwo najbardziej jako patologiczne posłuszeństwo i pewnie dlatego się nie pojawia, bo dla mnie posłuszeństwo generalnie jako pewna idea jest pewną patologią z perspektywy funkcjonowania człowieka i w ogóle życia, ponieważ do tego dochodzę dopiero w zakończeniu, ale
429:  MM - Z czego powinniśmy sobie zdać sprawę, to jest, że albo żyjemy w kulturze posłuszeństwa, albo żyjemy w kulturze odpowiedzialności.
436:  MM - Nawet w samych tych terminach słychać.
440:  MM - Z jednej strony albo mamy posłuszeństwo, które polega na tym, że wykonujemy to, co usłyszeliśmy, więc zakłada pewną hierarchię, podległość.
450:  MM - i pewne automatyczne wykonanie polecenia, bo tym generalnie jest posłuszeństwo bez możliwości jakiegoś krytycznego odniesienia się do tego.
462:  MM - Z drugiej strony mamy odpowiedzialność, mamy kulturę odpowiedzialności, która z kolei gdzieś już sugeruje, że przed podjęciem pewnego działania
472:  MM - następuje odpowiedź, czyli w jaki sposób możemy się odnieść do tego, co usłyszeliśmy i albo rzeczywiście zgodnie z naszą wolą wykonać to, ponieważ uznajemy, że to jest pożądane, czy że rzeczywiście jest to właściwe, albo z drugiej strony zaprotestować, skrytykować, czy odnieść się generalnie krytycznie do tego, co usłyszeliśmy i spróbować
497:  MM - wypracować inny sposób działania.
500:  MM - I pod tym kątem ta cała książka właściwie jest w pewien sposób wymierzona w kulturę posłuszeństwa, w której my funkcjonujemy bardzo często od najmłodszych lat.
512:  MM - Ten podtytuł, jak szkoła, rodzina i państwo uczą nas bezradności i co z tym zrobić, sugeruje, że to się zaczyna bardzo wcześnie, bo w bardzo wielu przypadkach to jest dom rodzinny,
523:  MM - w którym jednak mamy takie przekonanie, że istnieją osoby, które mogą wydawać polecenia, a są osoby, które powinny te polecenia wykonywać, to słynne, tak, dzieci i ryby głosu nie mają, co wolno wojewodzie, to nie tobie smrodzie, tak, słynne hasełka.
541:  KMM - To są obrzydliwe hasła, mnie one zawsze denerwowały.
545:  KMM - Zresztą ty w którymś momencie bardzo słusznie porównujesz
547:  KMM - Dwie sytuacje, takie tresury, prawda?
550:  KMM - To znaczy wpuszczano zwierzęta do klatki, testowano, jak będą reagować na napięcie i później wpuszczano ludzi i no właśnie, działo się to samo i to mnie wstrząsnęło.
559:  KMM - Ja spróbuję teraz znaleźć ten fragment, bo myślę, że to warto od razu przytoczyć.
565:  KMM - Tak, jak piszesz o wyuczonej bezradności i badaniach Seligmana i Mayera.
571:  KMM - Przeraziło mnie właśnie to, że i zwierzę i człowiek reaguje tak samo.
578:  KMM - To znaczy, jeżeli nie ma żadnego sprzężenia zwrotnego, tylko po prostu jest ból i po nim nic nie następuje, to tak pokornieje, kuli się w sobie i powierzysz, że będzie następny cios.
592:  KMM - Straszne to jest.
594:  MM - No właśnie i weźmy pod uwagę, że my bardzo często tak funkcjonujemy w domach rodzinnych, w wielu przypadkach, bardzo często tak funkcjonujemy potem w szkołach, w których też jednak bardzo często uczymy się tej bezradności.
609:  MM - No a potem też niestety niezwykle często tak funkcjonujemy w życiu dorosłym.
614:  MM - Z jednej strony w konfrontacji z instytucjami rozmaitymi, a z drugiej strony z rynkiem pracy, bo tutaj też wiele zależy od tego, jaka jest kultura organizacji, w jaki sposób no właśnie odnosimy się do relacji międzyludzkich w poszczególnych przedsiębiorstwach czy w poszczególnych projektach, w których funkcjonujemy.
634:  MM - My też pewnie dobrze to znamy z naszych doświadczeń nawet na uniwersytecie, gdzie bardzo często mamy taką kulturę właśnie posłuszeństwa, w której nie ma za bardzo takiej przestrzeni do rozmowy, do odpowiedzi, do wzięcia odpowiedzialności za to, co robimy.
654:  MM - Oczywiście też powiedzmy sobie od razu, że kultura posłuszeństwa jest w pewnym sensie wygodna, bo pamiętajmy, że to też stawia nas w takiej sytuacji, w której my nie musimy brać odpowiedzialności, w której my bardzo często nie musimy myśleć, w której jesteśmy zwolnieni z czegoś, o czym pisze w tej książce, czyli z pracy interpretacyjnej, czyli
675:  MM - z takiego momentu, w którym musimy też stanąć czy wejść w perspektywę drugiej osoby i zastanowić się, czy to, co my robimy, czy to rzeczywiście jest w jej interesie, jak ona zareaguje, jak ona będzie to wszystko postrzegała.
695:  MM - Jak to na nią wpłynie, no to znów jakby ta cała historia związana ze szkołą, z uniwersytetem, z tym, w jaki sposób my traktujemy siebie nawzajem.
703:  MM - I bardzo często, no jest to hasło, tak?
705:  MM - No bo taki jest system, bo tak nazywa dyrekcja.
708:  MM - O tak, tak.
708:  KMM - Spekologia stosowana, nie?
710:  KMM - I przerzucanie tej odpowiedzialności, o której też mówisz.
713:  KMM - Ale też ciekawa rzecz pojawia na czatach, dwa pytania są w zasadzie, to znaczy, co jeżeli jest taka sytuacja, że słuchamy kogoś dlatego i o to pyta G. Bokota,
725:  KMM - a nie mamy odpowiedniej liczby albo zakresu kompetencji i dlatego też społeczeństwo uznaje, że ta osoba, która ma większy zakres kompetencji, ma prawo traktować nas z góry.
739:  KMM - Jak ty się na to zapatrujesz?
744:  MM - To znów wydaje mi się, że to wynika z tej kultury, w której my funkcjonujemy.
751:  MM - Także zakładamy, że ktoś może nas w ogóle traktować z góry.
753:  MM - No właśnie.
754:  MM - Jak ktoś nas traktuje z góry, to zakładamy, że hierarchia jest czymś naturalnym.
758:  MM - I znów jakby stawiamy
762:  MM - Bo o tym też piszę, tak?
763:  MM - To myślę, że to jest w ogóle bardzo ważny wątek i od tego zaczynam pierwszy rozdział, który jest poświęcony w ogóle temu, jak się narodziła ta kultura posłuszeństwa i jak ona funkcjonuje do dzisiaj.
