🔴 O patologiach szkół i uczelni z Mikołajem Marcelą | ROZMOWA #1
🔗 https://www.youtube.com/watch?v=_cdpjnT47QI
MM (Mikołaj Marcela)
KMM (Krzysztof M. Maj)

17:  muzyka
61:  Muzyka
102:  Muzyka
216:  Muzyka
271:  Muzyka
305:  muzyka
337:  KMM - Witam wszystkich.
339:  KMM - Witajcie serdecznie.
342:  KMM - Nieprzypadkowo w dolnym rogu pojawia się Mikołaja Marcela.
349:  KMM - Wiem, że czekaliście.
350:  KMM - Chyba mamy rekord, jeżeli chodzi o liczby oczekujących nas w streamie.
354:  KMM - Przed streamem pojawiło się 300 osób, teraz przybywacie coraz tłumniej.
359:  KMM - Dziękuję Wam najserdeczniej za przybycie.
361:  KMM - Dawajcie znać, jeżeli by
363:  KMM - cokolwiek było za głośno, za cicho.
366:  KMM - Zwykle mamy taką tradycję, że czytamy wszystkich, którzy przybywają, więc pozwolisz Mikołaju, że powitam trybutariuszy Bartka Litowskiego, Kacpra, Kacpra, przepraszam, Klosowskiego, Aśku, dygresywnego wilka, Kacpra, jeszcze raz, Sanji, Stachu Uchadza, witamy Taraela, moderatora naszego, Helenę witamy, stałych widzów streamu, Magdy M1 między innymi, witamy Samawita, Olgę, Dawida Izydro-Szczepańskiego, Bartka Litowskiego, Krataka,
393:  KMM - Perry, Igora Zięcine, Matik Sor, Renard TV, Palitke, Red Angel, Dygresywnego Wilka i Tomasza Szklarza, Misję Sionkę, Muminy Akwa i kochani, żeby uczynić zadość naszej tradycji, pokazać Mikołajowi, jaką jesteśmy jamniczą społecznością.
412:  KMM - Bardzo proszę wszystkich trybutariuszy o jamniki dla Mikołaja, a tymczasem oddaję głos człowiekowi, który...
420:  KMM - natknął mnie do wielu refleksji na tym kanale, bez którego wielu by z nas obudzonych, jeżeli chodzi o różnego rodzaju patologie w edukacji, nie było.
429:  KMM - Moi kochani, przed Wami Mikołaj Marcela.
431:  MM - Mikołaju.
434:  MM - Cześć.
435:  MM - Dzięki za głos.
436:  MM - Powiedz, co mówić.
437:  MM - W sumie żeśmy się nie umówili, co mówić, więc będę teraz improwizował.
440:  MM - Witam tak naprawdę wszystkich bardzo serdecznie.
443:  MM - Dziękuję Ci Krzysztofie za zaproszenie.
447:  MM - za to, że mamy okazję się spotkać, porozmawiać, odpowiedzieć na pytania, na ile będziemy w stanie, bo też mogą tutaj padać odpowiedzi, nie wiem, bo to nie jest szkoła, jak rozumiem.
461:  MM - Więc może się tak też zdarzyć.
465:  MM - Przypuszczam, że pewnie tak się zdarzy, że powiem tutaj nie wiem nieraz.
470:  MM - ale bardzo dziękuję za to zaproszenie, bo myślę, że ta rozmowa o szkole jest nam bardzo mocno potrzebna społecznie.
477:  MM - To jest taki problem duży, on oczywiście nie rozwiąże wszystkich problemów, tutaj odnosząc się do ostatniego tekstu Tomasza Markiewki w krytyce politycznej, ta edukacja nie rozwiąże wszystkich naszych problemów, ale
493:  MM - Myślę, że może się przyczynić do tego, że będziemy lepiej rozwiązywać swoje problemy i że będziemy lepiej się dogadywać i tworzyć lepsze społeczeństwo.
503:  MM - Więc im częściej rozmawiamy, im lepiej rozumiemy, czym jest edukacja, po co nam szkoła, czyli potrzebujemy jeśli tak, to jakiej, no to tym większa szansa, że trochę nam wszystkim będzie się lepiej żyło.
520:  KMM - Dzięki Ci wielkie, czaty pisałeś, że troszkę za cicho, więc przyciszyłem muzyczkę, podgłośniłem Mikołaja, mam nadzieję, że będzie teraz okej.
529:  KMM - Jak jeszcze masz możliwość, Mikołaj, żeby u siebie po swojej stronie trochę mikrofon przygłośnić, to będzie super.
534:  KMM - Jasne, kochani, będzie odcinek z tego live'a, jak zawsze wedle naszej tradycji będzie.
540:  KMM - Więc nie macie się co przejmować.
542:  KMM - Kochani, pomyślałem w ten sposób, że skoro jest z nami Mikołaj, to zrobimy tak, że oddam wam głos i na żywo, jeżeli macie jakiekolwiek pytania do niego, poza tymi oczywiście, o których będziemy czytać w drugiej części live'a, to zachęcam was serdecznie, żebyście śmiało teraz dopytywali autora po pierwsze selekcji i po drugie tych słów, które teraz wybrzmiały i wielu wypowiedzi na temat szkoły, o to, co was turbuje i być może o to, co ja sam
570:  KMM - kwitowałem właśnie tym nie wiem, o którym wspomniał Mikołaj, jak nie za bardzo byłem pewien, jak wam odpowiedzieć, zwłaszcza na takie kwestie, które są związane z tym, czym Mikołaj się zajmuje na co dzień.
579:  KMM - Przypomnijmy też, bo Mikołaj w swojej skromności nie zaznaczył, że jest też tutorem, coachem, zajmuje się więc właśnie w takich sytuacjach krytycznych, kryzysowych też pomocą ludziom.
590:  KMM - Pierwsze pytanie brzmi, jak długi będzie stream?
592:  KMM - I właśnie odpowiedź na to pytanie, jak zawsze brzmi, nie wiem, ponieważ będzie tak długo, jak długo damy radę być z wami
599:  KMM - I to jest jeden z tych powodów, dla których myślę, że się warto spotykać i o tym rozmawiać, ponieważ narzucamy na siebie tak strasznie dużo różnych limitów i ograniczeń, że to się w głowie nie mieści.
610:  KMM - Livia Jurkiewicz, pierwsze pytanie do Mikołaja.
613:  KMM - Mikołaju, co Ciebie zachęciło, żeby zająć się tematem zmian w edukacji?
618:  MM - Postaram się mówić tak głośniej też.
620:  MM - Mam nadzieję, że teraz... Dajcie znać, czy teraz wszystko jest okej, czy jest odpowiednia głośność.
624:  MM - Natomiast co mnie zachęciło do zajmowania się edukacją?
629:  MM - Przede wszystkim moje doświadczenia rozmaite i ta edukacja gdzieś zawsze z tyłu głowy była jako pewien problem do rozwiązania.
636:  MM - Natomiast tak naprawdę głównym takim doświadczeniem były spotkania z uczniami w czasie warsztatów pisarskich w 2018 i 2019 roku.
645:  MM - To były warsztaty, które prowadziłem
649:  MM - w Pałacu Młodzieży w Katowicach.
651:  MM - I to były warsztaty, na których spotykałem się z uczniami szkół podstawowych, gimnazjalnych, bo to był ostatni rocznik gimnazjum, i średnich.
661:  MM - I szczerze mówiąc, zaczęło się od tego, że mieliśmy się nauczyć pisać jakieś teksty, głównie fabularne, ale skończyło się na tym, że nasze spotkania tak od słowa do słowa zamieniły się w jakieś spotkania terapeutyczne, na których rozmawialiśmy na temat
678:  MM - problemów, z jakimi uczennicy, uczniowie mierzą się w swoich szkołach na temat tego, jak z nich wybrnąć, na temat też relacji z rodzicami, bo nie ukłamujmy się, że edukacja i szkoła to jest z jednej strony problem relacji z nauczycielami czy z dyrekcjami szkół, ale z drugiej strony też oczywiście z rodzicami, dlatego moje poprzednie książki poradnicze były adresowane do rodziców, bo uważam, że rodzice rzeczywiście mają
707:  MM - pewnie największą rolę do odegrania w zmianach w edukacji.
711:  MM - Ale generalnie właśnie wtedy te problemy, z jakimi się spotkałem, kiedy usłyszałem, że np.
718:  MM - o 7 rano ówczesna moja uczennica, a teraz moja studentka, z czego się bardzo cieszę, bo przyszła do nas na studia,
727:  MM - o siódmej godzinie zaczynała jednego dnia dwiema rozszerzeniami z matematyki, a potem miała dwie matematyki w podstawie, czyli przez cztery lekcje od godziny siódmej rano, będąc nastolatką z takim chronotypem, który właściwie sprawia, że o godzinie dziesiątej ten mózg się budzi, no to zrozumiałem, że za moich czasów szkoła nie była może idealna, ale mam wrażenie, że niestety coś się dzieje
755:  MM - bardzo złego i idziemy w odwrotnym kierunku niż powinniśmy i wtedy zająłem się tą edukacją, zacząłem pisać i bardzo się cieszę, że to robię do dzisiaj.
765:  KMM - Jeszcze jedno mam pytanie, znaczy jedno, mamy ich bardzo dużo, jest ich coraz więcej, zacznijmy od najważniejszego.
770:  KMM - Czy Mikołaj ma jamnika?
773:  MM - Nie mam jamnika, ale mam... Jak śmiesz!
777:  MM - Ale mam cudownego kundelka, którego adoptowaliśmy kilka lat temu ze schroniska.
784:  MM - Nikt nie wie, ile ma lat.
786:  MM - Tutaj zdania są podzielone.
788:  MM - Możliwe, że ma około 15, możliwe, że ma trochę więcej, a możliwe, że trochę mniej.
793:  MM - Ale jest cudownym pieskiem.
796:  MM - Kruszek się nazywa.
798:  MM - Normalnie byłby tutaj ze mną, ale po godzinie zaczyna prosić mnie, żebyśmy wyszli.
804:  MM - Więc niestety to by nie przeszło.
808:  MM - Ale kundelek nie, że mam.
811:  MM - Opiekuję się nim, bo akurat Kruszek
815:  MM - nie dałby o sobie powiedzieć, że on jest czyjś, że on ma taki charakter, że lubi zaznaczać swoją samodzielność.
825:  KMM - Więc raczej się nim opiekuję.
826:  KMM - Podoba mi się.
826:  KMM - Teraz przejdziemy do poważniejszego pytania, które często się też pojawia do mnie i ja coraz rzadziej znajduję na nie łatwą odpowiedź.
835:  KMM - Marta Cali, jeśli dobrze czytam cię, pyta, w jaki sposób, czy jak powinny wyglądać... Nie, zaraz, stop.
843:  KMM - Skomasowałem dwa pytania w jedno.
844:  KMM - Przepraszam, to wpierw od Marty.
845:  KMM - W sensie, w jaki sposób powinny wyglądać
848:  KMM - te wszystkie zmiany, bo parę razy mówiłeś, że nie powinny być na zwykłych uniwersytetach.
852:  KMM - Wydaje mi się, że to jest, a już wiem, chodzi o studia medyczne, przepraszam, więc jak powinny wyglądać studia medyczne, bo to jest rzecz inna niż ta, która się rozgrywa na zwykłych uniwersytetach.
862:  KMM - Zrekonstruowałem pytanie z dwóch.
866:  MM - Znaczy jak powinny wyglądać studia medyczne.
869:  MM - Po pierwsze to jest skomplikowana sprawa.
872:  MM - Ja tutaj nie udzielę nigdy żadnej jakiejś konkretnej odpowiedzi.
876:  MM - Pamiętajmy, że po pierwsze w ogóle mamy taką tendencję i
881:  MM - Tego nas uczy szkoła.
882:  MM - Jak ktoś mnie pyta, jak zmienić system edukacji albo jak coś zrobić konkretnego.
888:  MM - Nie ma jednej właściwej odpowiedzi.
892:  MM - Na każdym uniwersytecie jest trochę inna kadra, jest trochę inna sytuacja, jest trochę inny kontekst.
899:  MM - Cały problem rzeczywistości jest taki, że ta rzeczywistość jest, bym powiedział, taka rekurentna, że cały czas się coś wydarza, do czego powinniśmy się dostosowywać, a my chcemy mieć jeden wzór, który będzie trwał na wieki wieków i już nie będzie trzeba nic zmieniać.
916:  MM - Jedna rzecz na pewno, o której dużo rozmawiałem z moją mamą, która była lekarzem, która miała skomplikowaną drogę i w szkole, i potem na studiach,
929:  MM - bardzo wiele doświadczyła ze strony jej systemu edukacji i potem też systemu opieki zdrowotnej jako lekarka różnych specjalności, specjalizacji, no to ona na pewno mówiła, że jasne, z jednej strony wiedza wiedzą, ale na przykład bardzo dużym problemem dla niej zawsze, jeśli chodzi o studia medyczne, było to, że na studiach medycznych bardzo mało człowiek uczy się na przykład o relacjach z pacjentem, z drugim człowiekiem, że nie ma
959:  MM - że nie ma takiego spojrzenia holistycznego, że bardzo często jednak studia medyczne ograniczają się do takiego
967:  MM - przynajmniej ze jej czasów tak było, ale potem jak gdzieś kolejne osoby z naszej rodziny robiły studia i gdzieś potem to porównywała te doświadczenia, to mówiła, że to na przykład był bardzo duży problem i że to potem się odbija jednak na systemie opieki zdrowotnej, też jeśli chodzi o umiejętność prowadzenia wywiadu takiego też empatycznego, próby diagnozowania takiego bardzo...
993:  MM - bym powiedział, bo my dzisiaj idziemy wszyscy w jakąś bardzo mocną specjalizację.
997:  MM - Na przykład pamiętam, że zdiagnozowała kiedyś u swojej pacjentki na okulistyce.
1004:  MM - Tam był taki problem nie do zdiagnozowania, a jako że akurat była sobie jakąś specjalność z alergologii, to przy okazji wpadło jej do głowy, że to może być jakaś alergia.
1014:  MM - Ostatecznie okazało się, że problemy natury
1017:  MM - właśnie związanej z okulistyką, były tak naprawdę spowodowane alergią na gumkę, która była w bieliźnie.
1027:  MM - I szczerze mówiąc, ja w ogóle byłam genialnym interpretatorem i taką diagnostą.
1033:  MM - Myślę, że to może też częściej w ogóle tego wylądowałem na literaturze znastwie i zajmuję się też częściej interpretacją.
1040:  MM - Ale to są takie rzeczy, które gdzieś mi przychodzą do głowy tak na szybko, żeby odpowiedzieć, ale ja oczywiście nie udzielę takiej bardzo konkretnej odpowiedzi, bo nie jestem też osobą, która jakoś znana wskroś studia medyczne.
1053:  MM - Trochę o nich wiem, ale na pewno to wymagałoby też jakiejś konsultacji z osobami zajmującymi się tym na co dzień.
1065:  MM - Na pewno zastanowiłbym się, na ile studia medyczne dzisiaj powinny być tak mocno osadzone w transfer wiedzy, a na ile powinny być też takimi studiami, które uczą bardzo wielu, czy rozwijają wiele umiejętności miękkich i w tą stronę myślę.
1091:  KMM - I jeszcze jest druga rzecz, która też mnie zawsze konfunduje, ale ona już dotyczy szkolnictwa jako takiego.
1098:  KMM - Maciolt pyta, czy uczniowie mają możliwość jakkolwiek wpłynąć na reformę edukacji, chociażby we własnej szkole?
1106:  MM - We własnej szkole mamy samorządy.
1110:  MM - One mają pewne prawa, mogą niektóre rzeczy blokować, bo bardzo wiele rzeczy powinno być konsultowane.
1119:  MM - Jeśli jest np.
1120:  MM - wpisywane do...
1121:  MM - do statutu szkoły, to powinny rozmaite zmiany np.
1125:  MM - dotyczące ubioru mieć poparcie samorządu uczniowskiego, więc tutaj z jednej strony na pewno organizując się, uczniowie mogą na pewno coś zrobić organizując się i próbując walczyć o swoje chociażby przez samorząd.
1145:  MM - Wiadomo, że te możliwości nie są zbyt wielkie.
1148:  MM - Natomiast co do reformy,
1151:  MM - Ja też cały czas powtarzam, że my nigdy nie będziemy mieli jednego dobrego rozwiązania i cały problem dzisiejszej edukacji wydaje mi się wynika z tego, że my byśmy chcieli mieć jeden dobry pomysł, który by się sprawdzał w przypadku każdego.
1166:  MM - Zamiast mieć bardzo wiele pomysłów i mieć możliwość wyboru i szukania tego odpowiedniego dla mnie, taką realną możliwość wyboru, a nie tylko jak dzisiaj mamy, czyli że
1178:  MM - Ja mogę oczywiście pójść sobie do jakiejś innej szkoły, jeśli moich rodziców stać na czesne, jeśli mogę pójść na edukację domową, jeśli mam gdzieś jakąś taką przestrzeń do tego.
1191:  MM - Natomiast to nie jest zagwarantowane w ramach systemu publicznego i nie mogę na przykład dowolnie zmieniać szkoły, czy szukać jakiejś takiej szkoły, która byłaby w trochę innym modelu.
1202:  MM - Ta latka właśnie byłaby w modelu demokratycznym Montessori, czy byłaby jakimś autorskim pomysłem.
1208:  MM - I myślę, że pod tym kątem, to też nie do uczniów należy reformowanie systemu edukacji.
1217:  MM - Do uczniów powinno być po prostu uczenie się, rozwijanie, spędzenie fajnego, dobrego czasu z przyjaciółmi i próbowanie wyciągnięcia z tego jak największej satysfakcji.
1234:  MM - Więc jeśli o to chodzi, no oczywiście, ja wiem, że są też, pamiętajmy, rozmaite stowarzyszenia czy grupy, które, zresztą Krzysztof to wie, bo obaj konsultowaliśmy pomysły uczniów dotyczące, no nie wiem, właśnie jakiejś reformy i wiem, że uczniowie pracują nad rozmaitymi zmianami, pomysłami, w jaką stronę mogłoby to pójść, żeby przedłożyć to politykom.
1257:  MM - To zawsze jest możliwe.
1259:  MM - Na pewno też można próbować reformować system edukacji na poziomie własnej szkoły.
1264:  MM - Ostatnio o tym rozmawialiśmy z Dawidem Łasińskim, czyli panem burserem z internetu.
1269:  MM - W wielu szkołach, myślę, że w praktycznie każdej szkole jest jakiś nauczyciel, który jest gotowy zrobić jakiś szalony projekt czy pokazać coś z zupełnie innego świata.
1280:  MM - Jeśli tylko ktoś do niego przyjdzie i go to poprosi albo zasugeruje, że moglibyśmy zrobić coś
1286:  MM - trochę innego, trochę lepszego, żeby po prostu zrobić jakiś projekt.
1291:  MM - Myślę, że to też jest jakiś pomysł, czyli takie oddolne działanie, szukanie przestrzeni do działania po prostu.
1303:  KMM - To już widzicie, kochani, że tak samo jak mnie triggeruje chwalenie mowy noblowskiej Olgi Czarczuk, Mikołaja triggeruje nakładanie do tego, żebyśmy mieli reformę systemu i jak ją zrobić i tak jak najszybciej.
1315:  KMM - Jeden prosty wzór na to, żeby zmienić edukację w Polsce, zobacz jaki.
1319:  KMM - To jest takie tabloidowe podejście do zmiany.
1323:  KMM - Ja jeszcze dorzucę do tego, co powiedział Mikołaj, rozmowę z rodzicami.
1326:  KMM - Myśmy akurat mieli taką sytuację obydwaj, że rozmawialiśmy
1331:  KMM - A po to to robimy, między innymi to, co jest dzisiaj ten live, żeby właśnie zachęcić was do tego, żeby też rozmawiać w gronie przyjaciół, znajomych, rodziców, że jest źle i trzeba coś z tym zrobić.
1341:  KMM - Potrzebujemy dużego wolumenu ludzi, który będzie o tym mówił.
1345:  KMM - Będziemy wypiekiwać reformę systemu, tak.
1348:  KMM - Peri pyta, czy edukacja w Polsce powinna przenieść się całkowicie z papieru na cyfrę?
1352:  KMM - Jak taka zmiana powinna przebiegać?
1355:  KMM - Jak z twoich doświadczeń, Mikołaj?
1356:  KMM - Ja jestem wielkim zwolennikiem, ale też zajmuję się grami wideo głównie.
1361:  MM - To ja tutaj tak odpowiem jak przy poprzednim pytaniu.
1365:  MM - Znaczy ja jestem z kolei bardzo wielkim zwolennikiem pluralizmu, alternatyw, szukania jak największej możliwości działania takiego, żebyśmy znaleźli przestrzeń dla siebie.
1378:  MM - I dlatego ja nie lubię binarnych opozycji.
1383:  MM - Zresztą my chyba z Krzysztofem jako czytelnicy Deroity generalnie nie przepadamy.
1390:  MM - za binarnymi opozycjami albo tak, albo tak.
1393:  MM - Generalnie powinniśmy mieć, ja tak myślę, że lepsze jest myślenie w kategoriach spektrum.
1399:  MM - Także mamy pewne spektrum możliwości, z których korzystamy i fajnie, żeby to się rozciągało od papieru do cyfry i żeby można było w razie konieczności albo zbliżyć się bardzo mocno do tego krańca cyfrowego, no bo
1417:  MM - My z Krzysztofem pewnie bardzo dużo korzystamy z cyfry, ale ja na przykład lubię książki papierowe.
1425:  MM - Przyznam się, że jednak lubię czytać w papierze i jest to właściwie jedyny mój kontekst z papierem na co dzień.
1435:  MM - Więc nie wybrałbym pełnej cyfry, ale też rozumiem, że są takie osoby, które by wybrały pewną cyfrę albo takie osoby, dla których ta cyfra jest czymś,
1446:  MM - póki co obcym albo po prostu z jakichś powodów nie potrafią się na to przerzucić i niech dla nich będzie papier.
1453:  MM - Nie zmuszajmy nikogo do wyboru, tylko twórzmy takie przestrzeń, żeby każdy mógł sobie znaleźć coś dla siebie i żeby mógł się rozwijać w taki sposób, w jaki jest to dla niego dobre.
1465:  MM - Bo ja też zawsze powtarzam, że wiecie, możemy zostawić ten model
1470:  MM - pruski, tylko niech to będzie kwestia mojego wyboru i niech to będzie to, że ja chcę funkcjonować w takim systemie z ocenami, ze sprawdzianami, z testami, z tak wyglądającą maturą itd.
1486:  MM - Nie ma problemu, ja bym nie chciał nikomu niczego narzucać, to jest w ogóle taka moja jakaś myśl i to też wynika z tego, o czym powiedział Krzysztof przed chwilą, że ja jednak wzrastałem w domu, w którym
1497:  MM - tak naprawdę nic nie było narzucone.
1500:  MM - Znaczy ja zawsze mógłbym zabrać głos, odnieść
1504:  MM - zrezygnować z czegoś i generalnie mogłem powiedzieć nie i czegoś nie wykonać.
1511:  MM - Więc tak trochę moje spojrzenie na tym się zasadza.
1516:  MM - Także by tworzyć możliwości, ale nigdy nie narzucać i nie mówić, co jest dobre, a co złe dla wszystkich.
1523:  MM - Ewentualnie sugerować, podpowiadać i towarzyszyć w jakimś rozwoju, natomiast tworzyć te alternatywy i możliwości.
1531:  KMM - Myślę, że tym samym odpowiedziałeś na drugie pytanie, które szykowałem od Igora, ile powinny trwać lekcje, bo raportuję, że u niego 8-10 godzin, to jest strasznie często, to znaczy, nie wiem, ja w szkole miałem 8, to było max, ale 10-12 to jest taka norma, która jest w tej chwili, więc jeżeli byśmy, zakładając, że zachowujemy ten system, jaki jest, ile?
1555:  MM - Znaczy wiesz, jeśli o mnie chodzi, to super by było, żebyśmy mieli szkołę, do której można przyjść od godziny 8 do 15, 16, sobie posiedzieć i porobić to, co chciałbym porobić, czyli coś, co jest dla mnie istotne i uczyć się tyle, na ile potrzebuję.
1577:  MM - Natomiast byłbym za tym, żebyśmy zostawili szkołę jako pewną przestrzeń wyłączoną w pewien sposób
1584:  MM - z życia takiego praktycznego, zarobkowego, taką przestrzeń, do której muszę wyjść w pewien sposób poza moją codzienność domową.
1599:  MM - Ponieważ ja bym chciał, żeby szkoła była takim prawdziwym wolnym czasem, ale też takim wolnym czasem od obciążeń rozmaitych i żeby to był taki czas, w którym ja rzeczywiście mogę się rozwijać i mogę korzystać z niego.
1611:  MM - ale też na tyle, na ile tego potrzebuję, bo pamiętajmy, że takie doświadczenie każdego człowieka pewnie po skończeniu studiów, jeśli ma jeszcze dodatkowo taką pracę jak my z Krzysztofem, jest takie, że głupio jest nakładać na siebie jakieś bardzo określone ramy czasowe na zrobienie czegoś.
1629:  MM - Najcudowniejszą rzeczą jest kiedy ja wiem, co mam zrobić,
1633:  MM - i korzystam z jakiejś przestrzeni, z jakiegoś czasu, który mam do dyspozycji w taki sposób, jaki jest dla mnie najlepszy.
1640:  MM - I czasami mogę pracować, jednego dnia mogę pracować 8-10 godzin, bo potrafię, bo jestem do tego przygotowany, bo po prostu dobrze się czuję, a innego dnia na przykład popracuję godzinę albo dwie, bo po prostu nie idzie mi i praca przez 8 godzin jest stratą czasu i wolałbym
1660:  MM - pójść na spacer, odpocząć, położyć się albo chwilę pouprawiać sport.
1666:  MM - I myślę, że pod tym kątem znów, ja nie sądzę, że dobrze jest po prostu myśleć w kategoriach określonej liczby godzin dla wszystkich uczniów w danym dniu, tylko żeby to też była kwestia pewnego mojego wyboru, możliwości zrezygnowania z zajęć,
1687:  MM - wtedy, kiedy nie jestem na to gotowy.
1689:  MM - Więc tutaj pod tym kątem byłbym raczej znów za określeniem pewnych ram czasowych, w których mogę być na terenie szkoły i uczestniczyć w rozmaitych lekcjach lub nie uczestniczyć, a nie za określeniem, ile tych godzin jest potrzebnych, bo też
1705:  MM - Edukacja domowa pokazuje, że równie dobrze można tak naprawdę przeznaczać trzy godziny dziennie na naukę i spokojnie zaliczyć podstawę programową, zdać egzaminy na koniec roku i mieć właściwie większość dnia dla siebie.
1719:  KMM - Krótko mówiąc jest to tak, że edukacja musi być dopasowywana do konkretnego człowieka i cały problem jest myśleniem masowym, jak zresztą Mikołaj opiszesz wiele razy, fabrycznym o edukacji.
1732:  KMM - To nie jest tak, że wyplujemy kopię ludzi takich samych, którzy i każdy będzie w stanie pracować 8 godzin.
1738:  KMM - Ja miałem taki dzień,
1740:  KMM - teraz mojej bardzo liberalnej pracy, że mogę właśnie, jak mówisz, 10 godzin popracować, a czasami nawet tydzień jestem w stanie popracować 4 godziny w sumie i nie umarłem jeszcze.
1751:  KMM - Ani moja systematyczność pracy też nie ucierpiała na tym.
1756:  KMM - To jest trudne pytanie, Morawski zadał je.
1758:  KMM - Co zrobić, jeśli rodzice działają w myśl zasady my przeszliśmy gówno, więc wy też, a jest, jeśli jest tego więcej, to nas nie interesuje i zamknie się dzieciaku.
1766:  KMM - Co zrobić z takim podejściem, jak myślisz?
1768:  KMM - Też nauczyciele, myślę, mówią tak często, niestety.
1772:  MM - No wiesz co, to jest zawsze najtrudniejsze pytanie, bo ono też pokazuje, w czym tkwi problem.
1780:  MM - On znów tkwi bardzo często w relacjach i w temacie, który jest dla mnie niezwykle istotny, czyli w posłuszeństwie, o którym ostatnio się bardzo intensywnie zajmuję.
1794:  MM - I tutaj pod tym kątem nie za bardzo...
1798:  MM - Wiecie, to jest kwestia cały czas pracy nad takim podejściem rodziców, ewentualnie szukaniem gdzieś jakichś sojuszników, jakichś takich, nie wiem, kogoś w rodzinie, kto mógłby porozmawiać, kto może nas zrozumie.
1814:  MM - To jest kwestia tego, żeby znaleźć kogoś, kto widzi ten świat naszymi oczami i mógłby w jakiś sposób spróbować z innej strony, z innej perspektywy przemówić do naszych rodziców.
1828:  MM - Ja sobie zdaję sprawę, że ja byłem wielkim szczęściarzem.
1833:  MM - Krzysztof też.
1834:  MM - Mieliśmy takich rodziców, którzy raczej nas bronili przed systemem edukacji, przed jego właśnie rozmaitymi patologiami, niż nas wpychali w ten system.
1846:  MM - Jeszcze dodatkowo gdzieś podminowując nas i gdzieś zabierając pewne siebie czy jakieś poczucie własnej wartości.
1857:  MM - Więc pod tym kątem ja zawsze radzę szukać wsparcia, albo szukać jakiegoś nauczyciela, jakichś zajęć takich, które ja kiedyś prowadziłem, od których zaczęła się moja przygoda z edukacją, żeby z kimś o tym porozmawiać i spróbować poszukać jakiegoś rozwiązania dobrego dla mnie.
1877:  MM - Może ktoś mi podpowie jakieś słowa, którym mogę...
1881:  MM - przemówić do rodziców albo jakiś pomysł na to, jak zmienić ich podejście.
1888:  MM - Pamiętajcie, że tutaj znów nie ma gotowych odpowiedzi.
1891:  MM - To też, o czym Krzysztof mówił, że to z jednej strony tabloidowość takich gotowych odpowiedzi.
1898:  MM - Pamiętajcie, że to jest też kwestia szkoły.
1900:  MM - O tym pięknie pisze Sol Aldiński w takiej kultowej książce Rules for Radicals, która jest dla mnie bardzo ważną też książką.
1909:  MM - I on
1911:  MM - Jest pod koniec taka krótka historia na temat tego, jak on prowadził politykę jako taki radykał, który sporo pozmieniał jednak w Ameryce.
1924:  MM - Ja mówię, że jedną z rzeczy, której on nie potrafi wytłumaczyć większości ludzi, to jest to właśnie, że on nigdy nie wie, co robi.
1931:  MM - On zawsze improwizuje, zawsze próbuje szukać dobrego rozwiązania dla dobrej sytuacji, bo żadna sytuacja się nie powtarza.
1940:  MM - Nigdy nie jesteśmy w tej samej sytuacji, co byliśmy w przeszłości, czy w której jest inny człowiek.
1946:  MM - Zawsze trzeba znaleźć odpowiednie rozwiązanie do odpowiedniej sytuacji.
1950:  MM - I pod tym kątem ja zachęcam do tego, żeby właśnie cały czas szukać, myśleć nad rozwiązaniem, ale żeby też się nie poddawać, żeby nie myśleć, że z tej sytuacji nie ma wyjścia, bo to nas prowadzi do wyuczonej bezradności, do tego, że zaczynamy wierzyć w to, że rzeczywiście
1968:  MM - nie mamy żadnego wpływu na rzeczywistość czy na swoje życie.
1971:  MM - I to zresztą jest bardzo częste.
1973:  MM - Niestety takie doświadczenie, przekonanie, które my wynosimy, czy to z domu, czy ze szkoły.
1982:  MM - I tej wyuczonej bezradności bardzo często musimy się potem oduczać.
1990:  MM - Jeśli mamy szczęście i trafimy na właściwe osoby, to bardzo szybko się je oduczamy w życiu dorosłym.
1995:  MM - Natomiast pamiętajcie,
1997:  MM - Zawsze jest gdzieś jakieś wyjście, tylko trzeba być otwartym i trzeba korzystać z każdej możliwości, która się nadarzy.
2004:  MM - Szukać sojuszników, rozmawiać, też szukać jakichś osób, które nas po prostu zrozumieją, bo to bardzo często naprawdę bardzo mocno pomaga, kiedy ktoś po prostu zaczyna widzieć świat naszymi oczami i mówi...
2017:  MM - bo tak rzeczywiście jest, może spróbuj tego.
2020:  KMM - I to nie musi być, wiecie, autorytet, bo to może być ktokolwiek, tak?
2025:  KMM - To może być nasz rówieśnik.
2027:  MM - To może być nasz rówieśnik.
2028:  MM - Pamiętajcie, że my w ogóle, to jest jeden z takich paradoksów też systemu edukacji.
2034:  MM - My wiemy, że jako ludzie najszybciej się uczymy od rówieśników, tak?
