🔴 Wyścig zbrojeń w konflikcie pokoleń (ft. Mikołaj Marcela) | ROZMOWA #6
🔗 https://www.youtube.com/watch?v=hT2Y4dEm_K8
KMM (Krzysztof M. Maj)
MM (Mikołaj Marcela)

80:  KONIEC!
164:  KMM - Witam wszystkich zgromadzonych, kochani, na naszym kolejnym live, kolejnej rozmowie, którą mamy znowuż z najwspanialszym gościem, jakiego sobie moglibyśmy wyobrazić na tym kanale, to znaczy z Mikołajem Marcelą.
181:  KMM - Moi kochani, chyba nie muszę mówić, kim jest Mikołaj, nie muszę mówić wam, że gdyby nie Mikołaj, w zasadzie nie podejmowalibyśmy większości tematów edukacyjnych, jest autorem książek o edukacji,
191:  KMM - Jest autorem wielu, wielu rozmów, audycji, wywiadów poświęconych właściwej reformie i właściwemu nauczaniu, empatycznemu, indywidualnemu, tutorskiemu podejściu do drugiego człowieka.
204:  KMM - Witaj Mikołaju najserdeczniej.
206:  KMM - Cześć, witam wszystkich.
207:  KMM - Moi kochani, dzisiaj będziemy rozmawiać o, wpierw na początku jak zawsze, o najdowszej książce Mikołaja.
214:  KMM - Dawajcie znać oczywiście na czacie, jeżeli będziecie mieć jakieś pytania na bieżąco.
217:  KMM - W drugiej części rozmowy przechodzimy do historii, które gromadziliśmy od was, dotyczących w ogóle trudności dorastania, dojrzewania w naszym kraju.
227:  KMM - w poturbowanym świecie, w którym z jednej strony jesteśmy, nazwijmy to, zanurzeni w XIX wieku, w obszarze szkolnictwa, czy niestety niektórych także przyzwyczajeń biznesowych, rozmaitych Januszeksów, spółka bez żadnej odpowiedzialności, a z drugiej w świecie cyfry, gdzie tematem głównym jest sztuczna inteligencja,
246:  KMM - Media społecznościowe, gry wideo i to wszystko, co oferuje nam współczesna kultura.
251:  KMM - I będziemy o tym rozmawiać, moi kochani, więc witajcie najserdeczniej jeszcze.
254:  KMM - Cieszę się, Mikołaju, że przyjąłeś po raz kolejny zaproszenie.
258:  KMM - I without further ado, myślę, że możemy przejść do bardzo podstawowego pytania.
262:  KMM - Twoja książka, którą zaraz mam nadzieję pokażę, mam nadzieję, że to się uda zrobić ładnie, na wszelki wypadek sprawdzę sobie na podglądzie, tak żebyśmy mieli dobrze, okej, okej.
274:  KMM - Twoja książka nosi tu wszystko, czego ci nie mówią, gdy jesteś nastolatkiem.
277:  KMM - Czego ci nie mówili, Mikołaju, gdy byłeś nastolatkiem?
281:  MM - No i wielu rzeczy.
284:  MM - Głównie w szkole.
