Za Aiur! | STARCRAFT 2 Livestream #6
🔗 https://www.youtube.com/watch?v=37NWlyITPD8

51:  Wielkie dziękuję.
230:  Witam, witam wszystkich przy dźwiękach muzyki do StarCrafta 2 Legacy of the Void.
240:  Witam Joannę Wolny, witam Noeli Dee, witam Kacpra Wyszko, witam Sebastiana Gajdamskiego, Tasunkę, Sebulbę, Seronoksa, Kidlira, Miraskiego, Julkę Opaczewską i szlachetne grono moderatorskie, Piotra Danisza, Pusiel, Lofrane, Majora, Mika, Michk,
256:  Biernego Obserwatora z Lab, Kajro z Franczyzjnie, Sybina Aleksandre, Bartka Adamka Palitke, Bordowo Pomarańcze z Smocini, Majora, Mata Petersona, Zawisza we Bulek, Wojciecha, Franciszka, Żurawskiego, Kowudzi, Michała Raczyńskiego, Arcykolege, MFa, Istotę Żyjącą, Małgorzatę P.,
276:  Kacpra Wyszko ponownie, Regisa również, Willeda, TheWilka66, Aure, Lazy Boots, Ukrytego Smoka.
285:  Witam Tomasza Maleńczyka, który trybutuje na dzień dobry.
288:  Zamiast na Amazon wolę wydać na wsparcie twojego kanału.
291:  Bardzo dziękuję.
292:  Obejrzałem Rings of Power i sceny z Harfutami są nieoglądalne.
295:  Zgadzam się.
296:  Za Mowilkolaków i Elfa walczącego z nimi na gołe klaty.
300:  Dziękuję jeszcze raz Tomaszu za wsparcie kanału i za trybut.
302:  Na samym początku, jak witamy się.
305:  Cóż to za stream, moi drodzy?
307:  Dekarda witam, Simona Klosa, Adriana Widłaka, Adi Ha, Fantoresa, Jamnikowego Piechura, Michalinę Kamieńską, autysty w świecie, Grzegorza Elborodo, Pakucze, Tonika, Maxa Lemańskiego, Piotra Danisza, Tomka Szklarza, Cezara328, Domcisława, Ryguna, Ajdusa Cytrusa, Tajku Mikun i wszystkich przybyłych, moi mili.
331:  Cieszę się, że...
333:  Zaczynamy tę przygodę ponownie.
336:  Wracamy do świata StarCrafta, tym razem nie do sektora Koprulu, ale będziemy po stronie Protosów, którzy staną przed wielką próbą, czy zdołają się zjednoczyć w walce ze wspólnym wrogiem, czy zdołają przezwyciężyć rasizm i klasizm.
351:  Zobaczymy, moi drodzy, zobaczymy.
353:  A tymczasem, jak zawsze, przechodzimy w tryb grania.
359:  Tak jest...
362:  Stół mi nie zadziałał, co za smutna sprawa.
369:  Jak się macie, moi kochani?
370:  Mam nadzieję, że dobrze.
378:  Co to jest za nieprotoska muzyka?
381:  Jak?!
385:  O!
386:  O!
387:  Dobra protoska muzyka.
391:  Dajcie spokój, poczekajcie jeszcze, nie mam podglądu na siebie.
395:  Czemu mówicie o nieklimatycznej, jak to nieklimatyczne LED-y?
399:  Jak to nieklimatyczne?
400:  Co to za skandaliczna uwaga?
403:  LED-y są klimatyczne, ponieważ protosi są zieleni.
408:  Najczęściej, w każdym razie.
411:  Dobrze, już się ogarniam, żebym was też widział.
