Złote czasy Blizzarda | STARCRAFT 2 Livestream #4
🔗 https://www.youtube.com/watch?v=TTya8XkD2e4

287:  KONIEC
353:  KONIEC!
382:  Cześć.
415:  Witam, witam wszystkich, którzy czekają na wyląg zerków w Heart of the Swamp, w sercu Roya, w sercu Royu.
423:  Witam Roberta Karskiego, witam Onufrego, Tomasza Maleńczyka, Wilkera, Arcykolegę, dygresywnego Wilka, bardzo złośliwego człowieka Martę F., Pawła Strzelczyka, Tomasza Szklarza, DJ Ozaura, Martynę Łopuszyńską, Piotra Rado, Simona, F. Valentine, Achmed Pepe,
439:  Pawła Madeje, autystę w sieci biernego, obserwatora Krzysztof Kawąckiego, Kagralda Kuwantowego, Grimugi Płaskiego-Płatnerza, Dregezul, Prometa, Red Angel, Mrówę, Wolwilof, Lewtanta, Kyrasa, nikogo ważnego, Sebulbe, Seronoksa, Siomka, Kejkalu, Wojciecha, Cezarię, Magendę i wszystkich zgromadzonych, tak!
465:  Niech się nam darzy, niech się nam jamniczy, moi drodzy!
470:  Wspaniała muzyka z Heart of the Swamp nas witam!
474:  A ja witam Angelikę, Wszaśnego Pimbra, Tarjaela, Stalowego Guźca, szansowne grono moderatorskie, Prodigiozynę, Bartka Więcka, Sajmona, Tomasza Szklarza,
486:  Palitkę, Urszulę Giewon, Szuwareksa, Hala, Samuita, Gajsiek, Domciosława, Ryguna, Pietrka97 i wszystkich, którzy kontentują się nową jamniczą emoji zaprojektowaną przez Dominikę Jamnikotwórczynię Klimczak, czyli jamnikiem bąk.
503:  Od dzisiaj, jeżeli się pojawią seksboty na czatach, wiemy co robić.
507:  Należy je bąknąć i wybąkać na orbitę.
512:  Dopowiedziawszy, moi drodzy,
515:  Bardzo poważne rzeczy.
517:  O, nawet ja słyszę ten deszcz.
519:  Bardzo poważne rzeczy, moi drodzy.
522:  Na sam początek mianowicie, pierwszy raz na tym kanale będziemy analizować jakiś film na YouTubie.
527:  How cool is that?
529:  Pierwszy raz, moi drodzy.
532:  Będziemy mianowicie analizować najwspanialszy cinematic Blizzarda.
539:  jaki kiedykolwiek powstał.
541:  Rzeknę, najwspanialszy cinematic otwierający grę wideo, jaki kiedykolwiek powstał.
549:  Więc pierwszy sobie zobaczymy fragment do pojawienia się Sari Kerrigan, następnie przejedziemy kadr po kadrze i ja będę wam mówił, dlaczego to jest takie zajebiste.
557:  A potem...
559:  Obejrzymy już całość w grze.
561:  Tak zrobimy, moi drodzy, i tak będzie.
563:  Witam wszystkich i witam Crazy Shrimp, czyli szalną krewetkę, która dołączyła do grona trybutariuszy, a tymczasem uwiadał 4 edu, moi drodzy.
570:  Lecimy.
572:  To jest wersja 8K, więc powinno być okej.
575:  Mam nadzieję, że z dźwiękiem będzie też okej.
587:  Wiecie co?
588:  Ja nawet zniknę.
589:  Ja zniknę na tę okoliczność.
592:  Nie można zasłaniać sztuki.
593:  Ja jestem sztuką.
652:  Hmm, tak.
683:  Teraz na końcu.
714:  Mówiłem, że jest pięknie.
