🔴 Mucha, to nawet nie jest ona — THE THAUMATURGE Livestream #2
🔗 https://www.youtube.com/watch?v=APtadCvjLRY

16:  Dziękuje za uwagę.
124:  KONIEC
289:  Zdjęcia i montaż
397:  muzyka
471:  Witam wszystkich zgromadzonych.
473:  Mój drodzy, dzisiaj będzie stream cichy.
476:  Stream niebezgłośny, ale na pewno niezbyt wrzaskliwy, ponieważ Krzysztof leczy wciąż straszliwą chorobę.
484:  Ale już na tyle jest dobrze, że można streamować, że można grać, to jest najważniejsze.
488:  Putak i bobet, że nie dało się nawet grać off-stream, nawet było Hammera dramat.
494:  Trzymajcie się w zdrowiu i przede wszystkim dbajcie o siebie.
496:  Witam serdecznie wszystkich przybyłych, moi drodzy.
499:  Black Cat, Guni, Magda M1, istota żyjąca, Mintajm, Biko Meza, Michał Walczak, Magda M1, Magiczny Proszek, Michał Rybarczyk, Nadia Lewi, która stwierdziła, że mamy reportaż podobno dostępny pod tytułem Stam Posiadania.
513:  Świetnie.
514:  Gaciorro, Melancholy, Extrovert, Kazarko, Mag, Piekielnojamniczego Ognia.
518:  Dad Gramer, któremu dziękuję za odnowienie wspierania.
521:  Kain, któremu dziękuję za bycie Jamnikołajem, Magiczny Proszek, Smutny Keji, Mats, Istota Żyjąca, Ania Szymańska, Balrok72, Lovely Flames, Terneval, Arrrrrrora, Irena, Szymon Wrólewski, dzięki za wsparcie od 28 miesięcy, Jamnik, Jamnik, pisze Szymon i ma rację, moi drodzy, dawno nie było Jamnika.
540:  Tydzień nie pojawiały się streamy na kanale i filmy straszne rzeczy.
544:  Agnieszka Brzozowska, Łukasz G. Rymek, profesorgracz.pl, który pisze, że ta grafika wygląda trochę jak okładka do tytułu Gryfinder kontra obcy.
551:  Jest to prawda.
553:  Aradia Herodia, Nieciekawy Człowiek i Arwen Winchester.
558:  oraz Brontos i Damian Kajm i Ania i Graphic Witch i Smutny Hedge i Frogett67, który został obdarowany przez Kajnego.
566:  Z tego co widziałem, coś nie tak z głośnością mówicie.
569:  Jak to coś nie tak z głośnością?
570:  Co wy do mnie mówicie, że jest coś nie tak z głośnością?
574:  Nie przerażajcie mnie, że coś jest nie tak z głośnością, ale ja jeszcze sprawdzę jedną rzecz, bo wiecie, wiecie, że Windows lubi to robić, prawda?
582:  No oczywiście.
585:  Pierdzielony, obrzydliwy szlak mnie jasny trafi!
598:  Miałem się nie denerwować, miałem mówić cicho.
602:  Miałem się nie denerwować.
604:  Czy ja mogę poprosić, żeby cholerny Windows przestał mi przeciszać rzeczy, czy nie mogę o to poprosić?
614:  Dziękuję, że zwróciliście na to uwagę.
622:  Krzysztof Niekrzysz, ja wiem, ja wiem, taki był plan.
626:  Czy mak ognia nie powinien być silniejszy podczas gorączki?
630:  To prawda, swoją drogą.
631:  Urszulek Iwan też witamy serdecznie, jeszcze młotka, która wspiera od 7 miesięcy, porzućmy wszelkie krzyczenie, mele mu, papa nada.
