Na wieki wieków Spaczeń 🧀 — IKIT CLAW livestream #7
🔗 https://www.youtube.com/watch?v=QrxKMNCBoWE

6:  Kevin!
8:  Yes, yes!
10:  Witam wszystkich na najbardziej zielonym tak, teraz jest właściwy ekran spośród Warhammerowskich streamów.
20:  Niech będzie podpalony!
22:  Wracamy do naszej kampanii atomowego Ikita.
26:  Witam serdecznie Mike Smitha, Erin, Oskara Drausa, witam serdecznie, Piotra Rado, istoty żyjącą, Kamila Onu 44, Gangalfa,
36:  Kozim, Morciu, Palitke, bardzo złośliwego człowieka, Bartka Adamka, Jakuba Sadowskiego, Samawita, Frederica, Ulio, ponura osoba, Lancisa, Didiena, Kulke, Cezaria Magento, zwykłego kolesia.
51:  Aquarel też wychwytuje i Julię wychwytuje ze stałych widzów streamu.
56:  Witamy Adę Drach Kazarkoł.
61:  Ale się będzie działo, wiecie dobrze.
63:  Ja już nie mogłem się doczekać powrotu naszego radosnego Dwarhamera fantasy.
68:  Oczywiście, że wczytujemy.
69:  Oczywiście, że Clanscrier.
73:  O, witam jeszcze, bo nadrabiam czaty cały czas, Murek.
77:  Mateusza Rutkę witam.
80:  Kogoś jeszcze ja witam.
81:  Pszczołojamnika!
83:  Co za wspaniała informacja.
84:  Tak, nie widzicie źle, to jest tura 434.
92:  I tego Jacka witam.
96:  Mam nadzieję, że wypoczywacie w tym okresie międzyświątecznym, a nie, że złapały was jakieś straszliwe rzeczy, jak oto praca albo nauka lub inne tego typu kwestie smutne.
108:  Ja przez ostatnie dwa dni miałem taki totalny off, to znaczy mój organizm stwierdził, dziś śpimy.
114:  I spałem praktycznie cały czas, regenerowałem się.
119:  Oczywiście, że woda jest.
120:  Dzisiaj wszystko jest, moi drodzy.
122:  Dzisiaj jest woda, dzisiaj jest trunek.
125:  Tym razem Glenn Farkless.
130:  Jest herbatka.
132:  Jest.
134:  Oplężenie.
136:  Tak, tak!
143:  Niszczyć, niszczyć!
146:  Na sam początek.
149:  O, Samuit, zdrówko dla Samuita, grypsko, proszę wszystkich trybutariuszy o jamniki dla Samuita.
157:  Takie jamniki, które pozmawiają w uzdrowieniu.
165:  Pracy po czubek głowy piszecie, ale u Erin z kolei.
169:  Przyszły tydzień, to dobrze, to dobrze.
175:  Dobre oblężenie, bardzo dobre oblężenie.
179:  Jak się grało w tę grę?
180:  Ja już nic nie pamiętam.
184:  Nasze siły są jakoś potężnie uszczuplone, ale to nic.
190:  Mam dzisiaj cel streamu.
195:  Zrekrutować czarownika, który mówi GOOD SPELL, GOOD!
199:  To jest cel.
202:  Ten Jacek, dziękuję serdecznie za trybut.
204:  Obejrzałem wczoraj Koło Czasu, pisze ten Jacek.
206:  Fajnie było zobaczyć coś niezłego po Wiedźminie, chociaż miało parę swoich głupotek.
210:  Jak kobieta, która zabija sześciu żołnierzy i jednocześnie rodzi.
213:  To była dziwna scena.
215:  Ale fakt faktem jest, że trochę się przychylam do tego, że jest to lepsze miejscami od Wiedźmina.
225:  Co wiele mówi.
226:  Widzicie, teraz ściszę trochę grę.
231:  Dzięki jeszcze raz za trybut, Jacku, zgadzamy się w tym wymiarze w 100%, jeśli chodzi o około czasu.
238:  Możecie sobie obejrzeć, jeżeli wam się... jeżeli poszukujecie czegoś po Wiedźminie, co w jakiś sposób ukoi wasze sterane nerwy.
245:  Witamy Kingę Wolską.
248:  To nie był spoiler, pampi, spokojnie.
253:  Czy oglądałem Nie Spadź W Górę, Witamy Dominikę?
256:  Tak, widziałem.
257:  I nawet dzisiaj, jak nagrywaliśmy topkę dla kanału Bez Schematu, najlepszych czy najbardziej interesujących rzeczy z 2021, to ja właśnie poddałem Don't Look Up jako mój przykład.
269:  Jest to świetna satyra.
271:  Bardzo dobra satyra.
276:  Jeszcze raz powtórzę, jak się grało w tę grę?
279:  Dlaczego myśmy tak dawno nie grali w Warhammera?
290:  Nie musimy niszczyć murów!
292:  Co za radoście!
294:  Tak!
295:  Tak, tak.
296:  Dobrze.
298:  Znaczy, nie ja nagrywałem topkę.
300:  Filip bez schematu nagrywał topkę, a ja dawałem swoje przykłady.
303:  Ja nigdy w życiu nie zrobiłbym topki, wy znacie mnie.
307:  Dlatego jest bez schematu u mnie, pod tym względem.
311:  Czym jest Drip Engagement?
313:  Nie mam zielonego pojęcia, co to znaczy.
315:  Brzmi mi to jak jakieś korposłówko, Julio.
320:  Czy o gram kiedyś Wiedźmina I?
322:  Pyta mały człowiek, który wyszedł z wielkiego miasta.
324:  Tak, jeżeli będzie remaster graficzny, który sprawi, że będę chciał do tej gry powrócić, no bo ja Wiedźmina I znam na wyrywki, ale... no właśnie.
335:  musiałbym mieć jakiś powód, żeby powrócić.
337:  No i Wiedźmin pierwszy, przede wszystkim pamiętajmy o tym, to nie jest Wiedźmin 3, okej?
342:  Czyli nie ma tak, że w Wiedźminie pierwszym zwiedzamy sobie świat, robimy jakieś questy poboczne i dzieją się... Nie!
351:  Wiedźmin pierwszy jest wbrew pozorom, jak na cedeb, dość liniowy.
354:  Jak na cedeb.
357:  Jak grać proste z szczurami, trzeba zabić wszystkie nieszczury.
360:  To jest absolutnie słuszna uwaga.
363:  Problem polega na tym, że moja pamięć mięśniowa jest przystosowana do uników w Dark Souls.
