Nie ma ognia bez maga ognia — BALTHASAR GELT Livestream #2
🔗 https://www.youtube.com/watch?v=M4K_9rqOrJc

2:  Witajcie w świecie Warhammera!
5:  Och!
6:  Och!
7:  Czas na magię ognia!
9:  Czas na Baltazara Gelta Supreme Patriarchę z Kolegium Altdorfu, mistrza magii metalu, który będzie rekrutować morze magów!
19:  Nie tylko magów ognia, żeby wypalać wampiry!
22:  Ostatnia kampania skończyła się nam kraszem, ale udało mi się ją zrekonstruować.
27:  Także jesteśmy w jeszcze bardziej przerażającym położeniu niż poprzednio.
32:  Witam wszystkich na czatach.
33:  Witam Kacpra, Bogdana, Grzegorza, Red Angel, Samawita, Kamila, Red Pencil, Erin, Alkuna, Maćka i wyżej, wyżej, wyżej, nikoło już nie widzę, ale pewnie jeszcze na dole.
45:  Kluchen, Muchen, witam także Koltisa, Koltis, przepraszam, Jako i całą resztę wszystkich widzów, wszystkich, którzy stwierdzili, że w środę, w środku tygodnia, kiedy to powinni wyrabiać,
57:  szesnastogodzinną szychtę w pracy.
62:  To jednak zdecydowali się na odpoczynek i pochwalam to bardzo dobrze, witając równocześnie misję Sionkę, Husieka, Kazarką i całą, całą resztę.
71:  Mamy oblężenie Averheim, będziemy starali się opanować imperium na powrót i oddać lennikom ich ziemię, dzięki czemu zwiększy się nasz imperialny autorytet.
83:  Witam bardzo złośliwego człowieka też, Tomasza Izydorczyka.
86:  Wielkie nieba, aleśmy zgromadzeni tłumnie.
89:  Świeżo pod rzemce, bardzo się cieszę.
92:  Aśku, włączyła streamka w tle, ale wciąż pracuje.
96:  Ale dobrze, dobrze, to powiedzmy, że jest 50-50.
100:  Ja mam napisać karę za kolegów, co nie wiedzieli 30 zdań po niemiecku.
103:  Co? !
122:  Jeszcze się robi takie rzeczy?
125:  Maślana, napisz sto sześćdziesiąt razy!
129:  Maślana nie zrobił zadania!
132:  To jest straszne.
134:  O, blisko, blisko, Hephaestion, blisko.
138:  Moi drodzy, och, jak ja dawno nie grałem w Warhammera.
141:  Mamy armię złożoną z samych strzelców, tak, tak, ze szkoły Legenda oczywiście, ale, ale, ale mamy również dwójkę magów i mamy także Baltazara Gelta.
152:  Baltazar Geld, moi drodzy.
155:  na Pegazie.
158:  Wzlatuje w niebiosa, żeby spuszczać deszcz ognia.
162:  Ksiądz Krokodyl zajamniczył czaty, bardzo mi się to podoba.
165:  Moi drodzy, czas na pierwsze oblężenie.
170:  Nie wiem, czy słyszeliście piękne nawiązanie lore'owe.
174:  Guns of Nuln powiedzieli, Nuln w zasadzie, z tego względu, że to właśnie w Nuln jest największa odlewnia
185:  To się nazywało Ludwisarnia, dobrze pamiętam?
188:  Ludwisarz chyba wyrabiał... wyrabiał luf do ciału.
193:  Wąpierze, czy tylko z czosnkiem?
195:  Och tak, zaraz będzie serwowany, zaraz będzie serwowany.
199:  Pando nie przerzuca się na Twitcha ze streamami z gier z prostego powodu, to znaczy na YouTubie są lepsze i to zdecydowanie lepsze zasięgi.
207:  Streamer mojego poziomu na Twitchu to jest, moi mili, jakieś 30 osób w piku.
213:  Więc nie... O, tak!
216:  Searing Doom!
220:  Dobry wieczór, fantastyczne zwierzęta.
224:  Jedyne, z czym kojarzy mi się Pegas, to z platformą UJ-owską.
227:  Bardzo, bardzo złe skojarzenie.
229:  Znaczy, dobre skojarzenie, ale złe w tym sensie, że niesympatyczne.
233:  Pamiętam tę platformę dobrze.
236:  Proszę, proponuję, żeby dalej strzelać w tę stronę.
239:  Czy ranią nas wieże?
240:  Nie ranią nas wieże.
243:  QueBSN właśnie siedzi i przygotowuje test na jutrzejsze igrzyska ekonomiczne, które organizuje.
248:  Jeśli jakimś cudem znajduje się tu jakiś uczestnik owych igrzysk, to pozdrawiam.
