Organki szatkują organy — THOREK IRONBROW livestream #3 (The Silence & The Fury DLC)
🔗 https://www.youtube.com/watch?v=3Z1ESWSjGbE

2:  Kazukan Kazakit!
3:  Ha!
4:  Zaczynamy stream!
6:  Brzmią organki najpiękniejsze z wszystkich instrumentów dętych i zaczynamy od razu, od razu, od potężnej bitwy o granitowy masyw.
18:  Stoczymy ją ręcznie, bez żadnych ostrzygnięć automatycznych, tak jak to było w przypadku prymitywnych zwierzoludzi.
26:  Witam wszystkich zgromadzonych na czacie.
29:  Miło mi się z wami zobaczyć tego niedzielnego wieczoru, podczas którego będziemy gromić wstrętne trupy pustyni.
37:  Witajcie królowe góry, niech wasze kopalnie sięgają głęboko, a kufle zawsze będą pełne piwa.
43:  Cóż za wspaniałe pozdrowienia na czacie, jestem poruszony i wzruszony.
49:  Szkoda tylko, że jesteśmy otoczeni z wszystkich stron i w zasadzie nie wiemy, jak się rozłożyć, co dla krasnoludów zawsze jest złą informacją, ale nie drżyjcie, poradzimy sobie.
61:  Dobry wieczór, dobry wieczór, dobry wieczór, chociaż zobaczymy, czy będzie taki dobry.
66:  Najważniejsze, żeby rozłożyć się z organkami.
70:  Jest autentycznie najgorszy z możliwych ustawień.
75:  Nasze dzielne, chwackie krasnoludy charakteryzują się tym szczęśliwie, że potrafią dobrze trzymać linię frontu.
85:  Zatem zrobimy im linię da-wi-nota.
89:  Aha!
91:  Z braku linii Marginota oczywiście.
93:  Będziemy musieli się pozbyć w którymś momencie tych kuszników.
97:  Chociaż myślę, że oni mogą tutaj bronić tej flanki.
101:  Ciężka sprawa.
103:  Ustawimy sobie te organki tak.
105:  Niech plują ogniem w tę stronę.
107:  A te organki niech plują ogniem naprzód.
110:  Te organki zaś niech plują ogniem w tę stronę.
112:  O!
113:  Tak sądzę.
114:  Ja zgubiłem kufel po drodze na polu bitwy.
117:  Jak można?
118:  Skandal!
118:  Skandal!
120:  O, tutaj będziemy wypalać!
122:  O, tak!
124:  Brakowało mi wypalania.
126:  Nie mają sensu rasy, które nie wypalają, mówię wam.
131:  Nie mają najmniejszego sensu takie rasy.
135:  Funderers.
137:  Dobrze, zrobimy sobie, zrobimy sobie małe Waterloo.
142:  A nasz, nasz śmieszny helikopterek, który się nazywa Młot Niebios, będzie nękał trupy z tamtej strony.
149:  Zobaczymy, zobaczymy czy to wygramy, zobaczymy.
156:  Dzień dobry, dzień dobry.
159:  To nie problem, jak się jest otoczonym, bo nie trzeba szukać przeciwnika.
164:  Mówicie, że Legend of Total War robi kampanię Skavenów?
168:  Mam ochotę przerwać stream i zacząć oglądać jego kampanię.
171:  Uwielbiam Skavenów.
181:  Jeden królik tutaj jest!
183:  W ogóle się nie będziemy nim przejmować zatem.
187:  Dobrze, szybka korekta, szybka korekta, bardzo szybka korekta naszych działek.
198:  Królik jest wysmażany przez nasze naramiężniki.
205:  Wielki arcymagu, niech twoje oddziały wymazywacze uraz przysporzą ci zwycięstw i chwały.
210:  Jestem poruszony waszymi dzisiejszymi pozdrowieniami.
217:  Jeden królik zginął.
219:  Och, tak.
220:  Brakowało mi tego.
222:  Brakowało mi... brzmienia działu.
228:  Dobrze, musimy się teraz zorganizować jakoś sensownie.
231:  Krasnoludy mają jeden problem, mianowicie są przerażająco wprost wolne.
236:  Ale grzorganki już grzmią!
239:  BUM BUUUM!
242:  Wiem, że tak mówią Skaveni, ale...
246:  Jeszcze pieprzniemy tutaj naszymi działami.
249:  One się nazywają... Przepięknie!
251:  Armata 42-funtowa z Zoof Baru!
255:  Cóż tu się dzieje?
256:  Dlaczego nasi... ...whorlers... Wycofamy ich poza linię dział, bo mam wrażenie, że działa im szkodzą.
265:  I... Tu się jeszcze przeniesiemy.
272:  Na ramieżniku!
273:  Liczę na ciebie.
278:  W Warhammerze fantasy jest jakiś odpowiednik Valara Aulego ze Śródziemia.
283:  Aulego?
284:  Chyba dopiero w Age of Sigma pojawiają się bogowie tego rodzaju, natomiast jest na przykład Bóg... Teoretycznie, Bóg Wód.
293:  Wiem o tym dlatego, że to on odpowiada za przetransformację Sailostry.
304:  Działa grzmicie, nie przynoście mi zawodu.
312:  To jest zdolność, która została dodana w tym dodatku do naszego inżyniera, bomba błyskowa mianowicie.
328:  Jesteśmy troszeczkę niezorganizowani, ale to się zaraz zmieni, spokojnie.
338:  Rune of Wrath and Ruin!
340:  To jest coś, co nas ratowało ostatnio i będzie nas ratować i teraz.
350:  Ooo, to będzie dobry strzał dla armaty 42-fundowej z Zubaru!
355:  Witam również!
357:  Bukwud to manan!
358:  Oczywiście!
359:  Bretoń... Jak to nikt go nie czci?
361:  Bretończycy go czczą!
362:  Konkretnie Alberic de Borodello, którym się nikt nie przejmuje.
371:  Nasz naramiężnik niestety nie miał takich strzałów, na jakie liczyłem.
377:  Natomiast za to nasze działa grzmią jak należy.
384:  Mówiłem, że będzie bitwa od razu, mówiłem!
392:  Nasz, yyy... Nasz hichopter!
395:  Chodź, hichopterze, chodź!
397:  Chodź, hichopterze!
398:  Bum, bum!
401:  Ha ha ha!
403:  Tak!
405:  Głupie trupy nieodporne na ogień!
409:  Potęga inżynierii!
417:  Co to się dzieje?
418:  Co to się dzieje?
418:  Dlaczego naramiężnik jest tak doświadczany?
426:  Lockhear, czci manana, macie rację.
429:  Lockhearowi to wybaczymy.
433:  Dobrze.
435:  Był chaos, przestaje być chaos.
443:  Gdzie jest nasz naramiężnik?
446:  Nasz naramiężnik uparł się, że będzie walczył wręcz.
451:  Co tam?
452:  Co tam, że mamy wielkie miotacze ognia?
454:  Nie, nie!
455:  Sprawdzimy, jak się walczy wręcz.
460:  Musimy sami rzucić na siebie zaklęcie, bo... jakiś obrzydliwy król grobowców nas usiłuje dojechać.
467:  To jest niedopuszczalne.
469:  Teraz tylko, żebyśmy nie oberwali od swoich.
472:  To byłoby bardzo skawenie.
476:  Na ramieżnik!
478:  Chodź, chodź na ramieżniku, chodź!
480:  Postrzelasz!
483:  Mam olbrzymią potrzebę strzelania z naramieżnika.
487:  Nordland oddaje cześć Mananowi.
488:  Tak, macie rację!
490:  I stand... Nie!
491:  Nie rozpadajcie się!
493:  Nie zdążyliśmy was zabić!
500:  Witamy kompletne grono moderatorskie, witamy Urszulę wśród nas, witamy Taraela.
505:  Nieznaczne zwycięstwo.
507:  Oburzające.
510:  Dopóki złoto jest dla Krasnali, to wszystko będzie dobrze.
513:  Jak to jest, że Torek wyprzedził Bardina w kolonizacji Karak Zorn?
517:  To jest dobre pytanie.
523:  Z tym Bogiem Wód jest takie nawiązanie bardziej do tego, że istnieją inni bogowie chaosu, bo teoretycznie jest jeszcze biegun południowy, o którym nie wiadomo nic, zaś Manan to nic złego.
531:  Dobrze wiedzieć.
533:  Nasz story złoto lub
537:  Wszyscy nazywają się dziwnie oprócz Yama i Amaraya.
540:  Będzie trzeba absolutnie naprawić to, że nasi krasnalenie zostali ponazywani właściwie.
546:  Zajmujemy natychmiast granitowy masyw.
552:  Dobrze.
554:  Czy to oznacza, że będziemy mogli rekrutować już jednostki, na których nam zależy?
560:  Potrzebujemy mianowicie bardzo, o tak, potrzebujemy żelaznych rębaczy.
563:  To jest fantastyczna wiadomość.
565:  Możemy zatem wreszcie, chyba, chyba, przekierować część naszych oddziałów do Mierzwy Grzebaczka.
575:  Chociaż wiecie co?
577:  Ja wiem, że kusznicy są dobrzy dla Toreka.
581:  Znaczy nawet bardzo dobrzy.
584:  Hmm.
585:  Zastanawiam się.
589:  biegun południowy nie ma zniszczonych bram, o ile pamięta Johan Waterman.
593:  Tam była kwestia zniszczenia, dobrze pamiętam, tych bram do świata eterycznego, z tego co wiem.
601:  O, zrobimy sobie, podwyższymy prędkość jednostek dystansowych, to jest dobra wiadomość.
607:  Wiem, że jest bardzo atrakcyjny ten Doomstack z kusznikami, zastanawiam się właśnie nad nim.
615:  Właszcza, że są ociupiny tańsi,
619:  Ale jednak wolę mieć standardowy dumstak, potem najwyżej zrobimy Torekowi drugi dumstak, albo zrobimy mu dumstak z runnordami.
626:  Na razie się pozbywam kuszników, proszę nie krzyczeć.
631:  Bierzemy mianowicie w zamian, nie podoba mi się na ramieżnik, chcę standardowy oddział żelaznych smoków.
640:  I to jest tyle z tego, co możemy wyrekrutować, ponieważ jesteśmy niesłychanie zamożni.
646:  Co przypomina mi o stawce podatkowej, co przypomina mi o tym, że standardowo będziemy mieli bunt.
652:  Tyle w temacie.
654:  Oczywiście, że będziemy wojować z Setrą Nieśmiertelną.
657:  Na początek Wielka Królowa Kalida.
659:  Znaczy, he, Wielka!
661:  Ha, ha!
670:  Żeby tylko nam nie zginął nasz z Torii Złotolub.
676:  O!
678:  Wielka Królowa Kallida is no more!
681:  Czy grałem w Pyre?
682:  Nie, ale brzmi mi ogniście.
685:  Czy będzie jakiś live z Verbintida 2?
688:  Może kiedyś.
690:  Ja jednak jestem człowiek strategii.
692:  Jeśli gram w inne rzeczy niż strategie, bardzo często są to RPGi i to takie bardzo tradycyjnie rozumiane RPGi.
700:  Dobrze, rekrutujemy dalej.
703:  Czy to znaczy, że mamy pełen dooms, tak?
708:  Nie, jeszcze nie.
710:  Potrzebujemy... Potrzebujemy teoretycznie jeszcze jednego bohatera i najlepiej byłoby,
723:  Może chcemy dwóch mistrzów inżynierów.
734:  To jest dobra rzecz dla Daui.
737:  Bierzemy nowego Herosa, moi drodzy.
740:  Wzmocniony pancerz, runa gniewu i ruiny bez zastanowienia.
749:  w jakie RPGi grywam.
752:  Aktualnie jest na tapecie Mass Effect, ale to aktualnie.
761:  Z RPGów generalnie no to, no Wiedźmin 3 też wróci na, znaczy wróci, wróci u mnie i będzie pierwszy raz na kanale, no będziemy sobie rozgrywać kampanię niebawem, niebawem.
773:  To jest dobry, to jest dobry inżynier, będzie nieśmiertelny od teraz.
778:  Natomiast generalnie z RPGami jest o tyle dowcipnie, że większość gier ma elementy RPG interesujących.
