SKAVENI WRACAJĄ — IKIT CLAW livestream #8
🔗 https://www.youtube.com/watch?v=f5uBVyRilCY

246:  Dziękuje.
330:  Tak!
331:  Nie było mikrofonu rzeczy!
334:  Nic nie działa dzisiaj!
336:  Tak!
337:  Witam!
338:  Witam w straszliwej noże z Kaweniej!
342:  Witam w podmieście, którego nie ma zaznaczonego na mapie!
346:  Witam Einar, doktor Flaf, Magden, jeden Womke, Jakuba Bielczyńskiego, Jesionkę, Aśku, Żbomiasa,
354:  Grimczuka, Kluchemuchel, Pulpuliko, Nerdolo, Wojciecha Charyńskiego, Nikolasowu, Kermusza, Złego, Czarownika, Zimiego, Jakoba, Adenusa, Bulełta Uśmiecha, Kasze Kasze, Lajacka, Margot Witch, Polekt i Okiem Nuba, Victim, Kaje, Natalię R., Jakuba Bielczyńskiego, Terrod, Mimana oraz Red Angel, która ma dziś urodzinie, tak!
381:  Tak, i była Jan Mikołajem.
385:  Podziękujcie, Redanger, ludzie, rzeczy, za prezenty.
391:  Tak, tak, dawno nie było, DAWNO NIE BYŁO SKRENÓW!
399:  Witajcie wszyscy!
402:  Zmęczyłem się na początku, ponieważ mówiłem do wyciszonego mikrofonu, jak zawsze.
406:  Nie przyzwyczaję się nigdy od czasu, kiedy mam w innym miejscu
410:  mikser.
411:  Zobaczymy, czy Warhammer, moi drodzy, dzisiejszy, podczas wyjątkowego streamu środowego, zadziała tak, jak powinien.
418:  Ponieważ Warhammer, jak wiadomo, zasobożerny, więc nie wiem, jak to będzie w 2K.
422:  Zobaczymy.
424:  Skaveni głos będzie wracał, moi drodzy.
426:  Grał nam Dreamcave i Humble's Nelesus, ale teraz without further ado, moi drodzy, wznawiamy wiekopomny
436:  Wiekopomny stream z Warhammera Total War 2.
441:  Stream, w którym Ickit Claw robi rzeczy.
445:  Straszne rzeczy.
447:  Czy widziałem film z wszystkimi Harbingersami Fatui z Genshin'a?
451:  Obawiam się, że mogłem nie widzieć.
454:  Moi drodzy, mamy 200. turę, 102 posiadane osady, 32 prowincje, co daje tempo.
460:  Pół osady na turę.
463:  Powiedziałbym, że nie jest tak źle.
465:  Więc tak, jaki jest stan rzeczy moi drodzy?
471:  Headtaker zasadza się na admirała pijawkę kolcogroda.
477:  Tak, głupi admirał zginie!
482:  Mistrz śmierci Snikcz, syniki Snikcz, czai się w lesie.
489:  Tak, w lesie, w lesie!
491:  Nikt nie zobaczy mistrza śmierci Snikcza!
498:  Tret, ze szczytu kalek nie ma nowego miana.
501:  Tak samo Boskra Iskier, Ratios Pacidore już ma.
504:  Magister Zarazy i Szkodnictwa też jest z nami, moi drodzy.
508:  Oj, wiele imion będzie dziś do nadania, wiele imion.
512:  Małe Okienko.
514:  To prawda, Małe Okienko jest w Warhammerze zawsze, moi drodzy.
518:  Zawsze było.
519:  Co to jest Warhammer 2?
521:  Dobre pytanie.
522:  To jest ten świat, ten.
524:  Ten świat, moi drodzy.
525:  Tutaj jest Warhammer 2.
527:  Przy czym skaweni, którymi gramy, na dusznych bagnach są.
533:  Tak!
534:  Tak jest, moi drodzy.
537:  Aaa, witamy żabcie na czatach, zażabiło się, witam wszystkich dołączających radośnie, niech się serzy szczęście w Warhammerze, nie mógłbym się zgodzić bardziej, moi drodzy, nie mógłbym się zgodzić bardziej.
553:  Skaveni nie istnieją.
556:  Hold my spaczeń.
558:  Hold my warpstone!
559:  Tak!
560:  Co więcej?
562:  Co więcej tutaj mamy, moi drodzy?
563:  Ostatnio dostaliśmy straszne bęcki, ale Lord Skralk, tu, czai się, będzie rekrutował sobie wielką armię, za pośrednictwem której pokona te obrzydliwe siły, które tutaj przybywają.
576:  Moi drodzy, co się dzieje?
577:  Kluchenmuchen podarowała wspieranie kanału pięciu szczęśliwym Discordianom rzeczom.
582:  Tak!
583:  I czatom rzeczom!
585:  Jacent Króżewski otrzymał wsparcie!
587:  Miraski, Fiji Polchawski, Liuni i Mordart!
593:  Kluchen... Muchen... Podarowała wsparcie!
597:  Tak!
599:  Tak!
600:  Moi drodzy, za Jamnikołajcie, Jamnikołajowi naszemu, Kluchenowi, Jamnikołajowi.
606:  Bardzo dziękujemy, Kluchen, i za wspieranie moderatorskie, i za wspieranie na Discordie, i za wspieranie w kanale, i teraz jeszcze za obdarowywanie, moi drodzy.
615:  Witamy Demetriusa w kolejnej gildii magów.
622:  Co tu się dzieje dalej?
623:  Oj, moi drodzy, z tymi imionami jest katastrofa, powiem wam.
626:  Sir Ratwick Rattenborough dołącza tutaj, jak najbardziej.
632:  Co to jeszcze tutaj potrzebujemy?
634:  Nic nie potrzebujemy, ponieważ niestety Aldrich, który nie ma imienia, przypominam.
640:  Spaczerat Serlinde.
644:  Ratzerlinde!
646:  Ja już rozumiem dlaczego!
647:  Rozumiem dlaczego!
649:  Tak!
649:  Tak!
650:  Spacz!
653:  Ratzerlinde!
656:  Dla wszystkich, którzy nie wiedzą o co chodzi, przypominam o Daczu Wanderlinde!
662:  Bardzo mi się podoba ta nazwa, jest dobrze, moi drodzy.
665:  Spaczopatra i Ser Ratwit Rattenborough dołączają do Spacza Ratserlinde.
671:  Ickit Claw tutaj się czai.
673:  Wiecie, co zrobi Ickit Claw w tej chwili?
674:  Ickit Claw oblegnie Nuln.
679:  Jak Ickit Claw oblegnie Nuln, Pyrrusowe Zwycięstwo My Ass.
684:  Ataki stają się płonące.
688:  Dobrze, moi drodzy, lecimy.
692:  Skaladin z paczeniem błogosławiony, przepiękne, zapamiętajcie to.
697:  Mmm.
699:  Szczurga, ratarczuk jest, moi drodzy, jest, absolutnie.
702:  Co można ciekawego robić wieczorem w Krakowie?
704:  Jak najdalej od Krakowa, czyli na Kazimierz polecam.
708:  Absolutnie się należy trzymać z dala od centrum.
710:  Chociaż powiem wam, że na Szpitalnej 22 została opalona knajpa wiedźmińska.
716:  Oto, wyobraźcie sobie.
719:  Czemu Filip wrzuca materiały w takim momencie?
721:  A, właśnie, jest rozmowa o The Boys.
724:  Obiecałem wam, że będzie materiał The Boys, nie powiedziałem gdzie, więc będzie na kanale bez schematu.
728:  Rozmawiamy tam ponad godzinę, moi drodzy.
731:  Bo w zasadzie ja mógłbym, gdybym robił u nas na vlogu, to powiedziałbym, jest genialne, oglądajcie, więc mógłby to być short.
739:  A tak macie dłuższą rozmowę.
740:  Zapomniałem, jak się gra w Warhammera.
742:  Dobrze, żartuję.
743:  Tutaj ustawiamy katapulty, tutaj ustawiamy wszystkie szczury.
746:  Szczury są piękne.
748:  Ach.
749:  Dla wszystkich, którzy nie wiedzą, o co chodzi, proszę bardzo.
752:  Wielka katapulta ciągnięta przez szczury.
756:  Tutaj kazalnica zagłady, na której kapłan zarazy rozsiewa spaczeń.
763:  I właśnie pytanie od Verminiona, czym jest spaczeń?
766:  Spaczeń jest materiałem szczuroaktywnym.
768:  Nie żartuję, wbrew pozorom.
770:  Witamy proroka kaczk.
775:  Niech kaczk będzie błogosławiony.
776:  Tutaj macie z kolei Doom Wheel, czyli Koło Zagłady.
780:  Koło Zagłady charakteryzuje się tym, że jest po prostu popierdoloną drezyną.
783:  W środku siedzi Iggyt Claw, a tutaj pompuje szczur.
789:  Tak jest.
791:  Aśku po raz kolejny przypomina o rzeczach Aśku czeka na moda?
795:  Proszę bardzo.
797:  Proszę bardzo.
800:  Proszę bardzo.
801:  Dzisiaj jest dzień, którego nikt się nie spodziewał.
804:  Dzisiaj jest stream, którego się nikt nie spodziewał i proszę bardzo.
807:  Aśku się nie spodziewała, że będzie moderatorem w kanale?
810:  Aśku jest moderatorem na kanale.
812:  Proszę bardzo.
814:  Proszę bardzo.
818:  Nie wiesz, w co się pakujesz, wprawdzie, ale proszę bardzo.
822:  Spaczyń jest fizyczną manifestacją skawańskiego ducha, prawda?
825:  Nie mógłbym się bardziej zgodzić.
827:  Szkoda, że tu jest woda.
828:  Ciekawe, dlaczego szczury nie mogą wchodzić do wody.
831:  Być może dlatego, że są szczurami lądowymi.
834:  Pro tip dla wszystkich, którzy chcą jeszcze grać w Warhammera 2, a warto, rozstawia się szczury przed katapultami, w ten sposób wieże strzelają w szczury, głupie wieże, i nie strzelają w katapulty.
848:  Zniszcz wieżę!
850:  Głupia wieża, zniszcz!
851:  Tak!
853:  Dobrze.
854:  I teraz.
856:  Mówiłem, że będzie trezyna szczurza, w której pompują szczury?
859:  Proszę bardzo.
860:  Dla wszystkich, którzy nie wierzyli.
863:  Pompujący szczur.
865:  A, szybciej, szybciej!
867:  Tak, tak!
869:  Skaven!
871:  Dobrze.
872:  Nie ma żartów, moi drodzy.
874:  Poważna, poważna bitwa teraz.
878:  Te wieże fortowe na za moment zginą.
881:  Wszystko zginie i przepadnie.
883:  Niech żyje magia.
884:  W tej grze jeszcze nie została tak znerfiona jak w Warhammerze III.
888:  Mięso armratnie, jak najbardziej, Fomka.
892:  Skampa, skampa!
894:  Nikt nie wie, co tak naprawdę mówią Skaveni, ale ich język jest przepiękny.
900:  Aha, świetnie.
902:  Świetnie, że nasze szczury skretyniały.
