Total War: Warhammer II — CYLOSTRA DIRELFIN livestream
🔗 https://www.youtube.com/watch?v=R6IbYz1NgRM

3:  Witajcie na streamie.
4:  Co niedzielnym już taka się ma tradycja robi.
8:  Dzisiaj zabieramy się za eksplorację świata Warhammera fantasy.
15:  Nie martwcie się, wróci Warhammer 40k i Mechanicus w przyszłym tygodniu, ale dzisiaj zgodnie z zapowiedzią zabieramy się za kampanię jedyną słuszną, a mianowicie kampanię
31:  Vampire Coast, konkretnie Pirates of the Vampire Coast, Piratów z Wybrzyża Wampirów.
39:  I tak, wcielamy się w tę fałszującą dziwę, boże, powiedziałem dziwę, a powinienem rzec dziwa, to było całkowicie przez przypadek, a mianowicie Silostrę Dzikopłetwą, jak to wyszło w przekładzie polskim.
55:  która to została zaproszona na audiencję do Króla Feniksa w Lawern, żeby pośpiewać w tamtejszej operze, ale po drodze się stały rzeczy, o których to rzeczach sobie porozmawiamy i te rzeczy doprowadziły do tego, że stoi teraz na czele wampirycznej armii ożywieńców.
77:  Oczywiście gramy na poziomie legendarnym, oczywiście poziom bitwy bardzo wysoki, oczywiście to oznacza, że nie ma żadnych zapisów i save scamów.
85:  Będziemy wszystko rozgrywać tak jak należy.
90:  Cylostro, o Pani, Twój głos jest uchłuchującym posągiem księżyca.
93:  Wciąż są jednak tacy, którzy nie poznali się na Twym talencie.
114:  W południowej dżungli po drugiej stronie zatoki kłębią się niebieskie żmije.
120:  Stanowią dla nas zagrożenie, dlatego należy je zniszczyć zanim ich obmierzły odór zanieczyści te krainy.
127:  Dalej na północ znajdują się ruiny dawno upadłych wielkich miast, z których wiele wciąż skrywa starożytne bogactwa.
134:  Gdzie się na razie nie będziemy zapędzać.
136:  Które twoja publiczność nazywa teraz swoim domem.
141:  Mimo to w dżunglach tych znajdziesz jedną z najwspanialszych scen.
145:  Wielki ołtarz Heksoatla, wznoszący się wyżej niż jakakolwiek inna budowla.
151:  Wyrwij go, złapiaszczuro ludzi.
154:  Ci niewdzięcznicy nie są godni, by słuchać twych pieśni.
157:  Zanim się zmierzymy z Heksoatlem, minie dużo czasu.
161:  Ludzie północy ze Skegi lubują się w najazdach i grabieży.
166:  Złotrów tego pokroju nie będzie dobrego audytorium.
169:  Lepiej posłać
171:  Dobry dobry.
173:  Witamy czat.
176:  Może jest twą sceną.
178:  Niechaj świat usłyszy twój głos.
181:  Lepiej, żeby nie usłyszał tego głosu.
183:  Nie wiem, swoją drogą, czemu przetłumaczyli Sajlostrę na dzikopłetwą, skoro, jak zresztą zobaczymy wiele razy w bitwach, Sajlostra za każdym razem bardzo uroczo wymawia swoje francusko brzmiące nazwisko Dyralfon, więc nie mam bladego pojęcia skąd ta dzikopłetwa, ale musimy to jakoś przeżyć.
203:  To jest, swoją drogą, bardzo dobra jednostka.
205:  Ten nasz paladyn będzie miał magiczną ochronę.
207:  3% jeszcze później dostaje w umiejętnościach 20%.
209:  Dobra.
212:  Kontekst, bo urwałem wam we wprowadzeniu.
215:  I na rzeczonym statku, jak Sylostra płynęła na audiencję do High Elfów, które są na wyspie Ulfuan.
221:  Wyspa Ulfuan się znajduje w tym miejscu.
223:  Konkretnie do prowincji Itain.
225:  Tu jest stoiska Lotharn, która jest na razie spowita mgłą wojny.
229:  Niestety okazało się, że złapali w Sylostrę sztorm.
233:  No i kapitan stwierdził, tak jak to kapitanowie różnych okrętów często stwierdzają wbrew woli przywódców państw, że nie będzie oto diwy największej z Bretonii zabierać na audiencję do Króla Feniksa z tego względu, że warunki atmosferyczne na to nie pozwalają.
249:  Ale Sajlostra wszczęła bunt, a że jak widać zresztą jest to niewiasta pokaźnych rozmiarów nawet po śmierci, co dużo mówi na temat tego, jaka była za życia.
260:  powinna się gdzieś pokazać w pełnej okazałości, o tutaj, to wzięła rzeczonego kapitana, wyrzuciła go za burtę i wszczęła mutiny, bunt na okręcie.
271:  No i się okazało, że bez umiejętności żeglugi zatonęła.
276:  I wtedy jeden z bogów podmorskich zaproponował jej pakt.
283:  No i właśnie w wyniku tego paktu zyskała nieśmiertelność w takiej formie i możliwość zarządzania cudowną armią nieumarłych piratów.
290:  Zamykam się już w kwestii lore.
293:  Przede wszystkim musimy sobie zrobić coś, co w Warhammerze zawsze mnie denerwuje, to znaczy zwiększyć szybkość animacji na samym początku.
301:  I co?
302:  Pierwszy nasz przeciwnik.
303:  Pierwszy nasz przeciwnik jest szczęśliwie żenujący.
