Wielki Plan jaszczurów — TEHENHAUIN livestream #2
🔗 https://www.youtube.com/watch?v=1neg5jr7WRU

11:  Muzyka
76:  muzyka muzyka muzyka
102:  KONIEC!
178:  Dzięki za oglądanie!
282:  Witam!
284:  Wyjątkowy stream środowy jest wyjątkowy!
288:  Witam Zlappana Karmazyna, Prodigiozynę, Meirach Aweran, Julkę Opaczewską-Wileda, Setki Wymiarów, Mariana Kowalskiego, Klarek Luczykowską, Fomkę, Keromusa, Kaje, Sajmona, Bydiskos, Bartka Litowskiego, Martynę Łopuszyńską,
320:  Urbiet Discordii!
323:  Witamy Red Angel, Nanike, Makaron, Ten Jacek, Adus, Cytrus i Fomka też niech będą powitani jako Jan Guzek!
331:  Wszyscy przybyli, wszyscy trybutariusze dołączający do nas, zajamniczajcie!
336:  Dark Noir oraz Miko392, którzy dołączyli jeszcze przed streamem!
342:  Co za emocje!
343:  Witamy Stachuchaca, Tomasza Maleńczyka takoż i Sztyci!
350:  Witajcie najserdeczniej w świecie Warhammera fantasy, w którym dzieją się rzeczy, których część nie rozumie, ale część rozumie, moi drodzy, ponieważ poważne rzeczy się dzieją.
365:  I ci, którzy z nas nie zrozumieją, ci, którzy z nas nie będą wiedzieli, co należy zrobić, wystarczy podążyć.
373:  za przedwiecznymi, za pradawnymi, za dziećmi starożytnych, za wielkimi jaszczuroludźmi pod dowództwem Techenawina.
383:  Witamy Kaje w gronie Trybutariuszy i Daniela Lisowskiego takoż i Samuita.
389:  Duża część pisze Samuit, nie wie, co się dzieje.
392:  Spokojnie, moi drodzy, mamy mapę, jesteśmy bezpieczni.
396:  Co z tego, że ta mapa nie pokazuje w ogóle regionów, w którym gramy?
400:  Co z tego?
402:  ponieważ, moi drodzy, jesteśmy na mapie dalej niż myślicie.
407:  To znaczy, moja mapa na ścianie, niestety, sięga... O, to jest to, to jest to, tak?
412:  Ona sięga dotąd, Ulfuanu nie widzicie.
416:  Natomiast my jesteśmy tu, jesteśmy w plugawej lustry, plugawionej przez obrzydliwych skawenów, przeciwko którym musimy walczyć, plugawionej przez Jadriego Stalowobrodego.
428:  Dzisiaj dużo dinożaurów na czatach musi być.
430:  Katarzyna Kulik, dzięki za wsparcie od dwóch miesięcy już.
433:  Z wielkim niepozdrowieniem na UJ, HS Nieme.
436:  A więc pamiętamy.
438:  UJ, prawda?
440:  UJ, żeby zaznaczyć, że to HS Nieme, prawda?
443:  UJ.
