Za Sigmara! A od magii wara — BALTHASAR GELT Livestream #3
🔗 https://www.youtube.com/watch?v=tZmKi5U3UAg

3:  Witajcie.
4:  Dziś jest specjalny dzień, bo zanim zaczniemy grać w Warhammera, dowiecie się, że założycielem miasta był Tuncil, który zajmował się robieniem noży.
15:  Dlatego mówiono na niego Messerschmitt.
17:  Robił noże do zabijania, do ścinania włosów, do wyprawiania skór, do krojenia kapusty, do wykrawania rzemień ze skóry, do znaczenia drzew na ścięcia, a nawet do rzezania w drewnie figurek i ozdób.
28:  To był dobry fach!
29:  I wszyscy szanowali Tuncila Messerschmida.
34:  Ale w osadzie, gdzie mieszkał, było ich dwóch.
36:  Jeszcze jeden nożownik umiał robić to samo, to Tsun-Chun-Chil.
39:  Ponieważ Tsun-Chil był młodszy, kupił konia i zapakował um swały swój, cały swój dobytek na wóz.
45:  Były tam jego narzędzia.
47:  Kamienne koło do ostrzenia, skrzynia z ubraniami, trochę garnków skóry i wełnianych dyrek do spania oraz jego kobieta z brzuchem pod brodę.
67:  Witajcie czaty.
71:  Ta historyjka pochodzi z wybitnej, z wybitnej prozy.
76:  Olgi.
81:  Mam nadzieję, że zrozumiecie teraz fenomen tej wybitnej pisarki.
87:  Witamy serdecznie wszystkich.
88:  Witamy Jakuba Sadowskiego, witamy Piotra Rado, witamy Jacka, witamy Emka Mieczysława, witamy Słonego Cukra, witamy Babę Jagę.
97:  Witamy Mikę, witamy Erin, witamy Zawulona, Alice in Poland, Klarek Luczykowską, Alcuna, Kamila, Hefestion, Tydiena, Samawita, anarchistycznego Wataszkę, słonego cukra raz jeszcze, bo czemu nie, Jakuba Bielczyńskiego, chyba dotarłem do wszystkich, nie, jeszcze nie, Niri Mari, Tomka Szklarza, Cezaria Magento, Onu44, wszystkich stałych i nowych widzów streamu.
126:  Istota żyjąca pozdrawia nas z piekła.
130:  No powiadacie, powiadacie.
131:  Wiecie, co dzisiaj robimy?
133:  Dzisiaj odpalamy kampanię, którą już wcześniej mieliśmy.
137:  Graliśmy tak dawno w kampanię Złotego Zakonu, że już zapomnieliście o tym, że ona istnieje.
142:  Graliśmy tak dawno w kampanię Złotego Zakonu, że ja nawet nie wiem, która z nich to jest, ale to chyba jest ta.
150:  Witamy, brak personaliów takoż, Dragomira,
155:  Dori.
157:  Tsuki Tsubane.
158:  Witamy.
158:  Po jakimś czasie.
159:  Lord Sif doradza, żeby zabić heretyków w imię piątego boga chaosu.
162:  Tak jest.
164:  Ależ byśmy chcieli zagrać w Warhammera 3.
166:  Wiem, też bym chciał.
167:  Też bym chciał, moi kochani.
172:  Och, tak.
172:  Dzisiaj kawa.
173:  Dziś kawa, bo jest bardzo wcześnie rano.
180:  Działa?
180:  Działa.
181:  Już się przeraziłem, że coś przestanie działać.
188:  Witamy żółwika.
189:  Popatrzcie.
189:  Popatrzcie, jaką mamy prostą bitwę do wygrania na sam początek.
193:  Wspaniale.
195:  Wspaniale.
195:  O to chodzi.
199:  W sumie opowieść w stylu był tam taki Paweł.
202:  Generalnie moja anegdotka z początku streamu służy temu, żebyście zrozumieli, że to nawet nie jest tak, że to jest jakoś beznadziejnie złe.
211:  To jest po prostu o niczym.
213:  To jest absolutnie i w stu procentach o niczym.
221:  Jaki konik, babo jago?
222:  Jaki konik?
223:  Gdzie?
227:  Jedyne co, tu mamy wóz, który jest ciągnięty przez szalonych wyznawców Sigmara, którzy wrzeszczą we Temple of Luminak.
239:  No więc powiedzmy, powiedzmy, że to są dwa koniki.
241:  No powiedzmy, powiedzmy.
243:  Przyznaję rację.
246:  Gdzie ustawimy się z naszymi strasznymi dziełami?
249:  Mam nadzieję, że się w ogóle dobrze macie.
251:  Pamiętajcie, że jutro jest stream charytatywny, będą się działy rzeczy.
257:  Plugawy YouTube uciął początek historyjki?
259:  Nie martwcie się, w tym przypadku nic nie straciliście.
265:  Mamy bardzo złe ukształtowanie terenu tutaj.
268:  Po mnie troszeczkę martwi.
271:  Martwi mnie również to, że nasi bohaterowie są w strasznym stanie.
276:  Pierwszy gameplay z Warhammera III będzie z Grand Cafe czy z Cinch'a?
279:  Grand Cafe.
