Zamek Drakenhof w drugiej turze — ISABELLA & VLAD VON CARSTEIN Livestream
🔗 https://www.youtube.com/watch?v=kDWWzVNoauY

2:  Witam czaty!
4:  30 tysięcy subskrypcji!
5:  Pozwolicie, że dokonam swego zwyczaju.
12:  Wasze zdrowie, wzniesione kulajlą, szlachetnym trunkiem!
16:  Widzimy się na dworze wampirycznym!
20:  Kon Karsztajnów!
21:  Będziemy opanowywać świat!
25:  Wśród burz, wśród piorunów!
27:  Morza krwi i posoki!
30:  Będziemy wzbudzać trwogę w sercach mężów i żon i trzody, bo tak nazywają wampiry, ludzi.
39:  Witam czaty w ten groźny, burzowy wieczór.
43:  Burzowy w grze oczywiście.
44:  Witam Łukasza, Rafała, Księdza Krokodyla, Mateusza, Jacka, Hevestion, Dzimiego, Jakuba, Bartka Lidowskiego, Onu44, Samuit, Palitke, Wewelarius, Piotra, Dominikę Klimczak, która zaprojektowała wszystkie emoji, włącznie z emoji papajową.
61:  Mikkas, Kamila, Majka Smitha, Babę Jagę, Rafała Wrzoska, King i stałych widzów streamu takoż, Kupsona, Kingę widzę, Kacpra, Anuki, FadeToBlack, Wielkie Nieba, Zgredka też witam i Alcuna.
77:  Wiecie, co dzisiaj robimy?
78:  Wiecie!
79:  Dzisiaj będziemy opanowywać Sylwanię, południowo-wschodnią część Imperium Ludzi.
86:  I zrobimy to SWIFTLY!
91:  QUICKLY!
92:  Wiele razy usłyszycie jeszcze te słowa ze z ust Izabeli von Karnstein, używającej najbardziej krwistej pomadki w Warhammerze fantasy.
102:  Witam Mkoltisa, Alkun, Tydjena!
106:  Chyba pierwszy raz na czatach witam.
108:  Niech będzie podpalony na wieku wieków spaczeń.
110:  Janko, muzykanta i Vileda, takoż witam!
112:  I pana Gerdara i Elgion!
115:  Żywi niepotrzebcy trwają o pojawienia się w tej zimnej, przerażającej piękności.
120:  Izabela von Karolsztajn wspiera w boju swego nieumarłego męża, przerażającego Wlada von Karolsztajn, łącząc uzdrawiającą moc krwawego kielicha Bathuri z niesamowitą wprawą wyćwiczonej wojowniczki.
129:  Razem odbiją zamek Drachenhof.
131:  I to kiedy?
132:  Kiedy odbiją?
133:  W drugiej turze odbiją, ponieważ jest to oficjalnie możliwe.
136:  Pokażę wam jak.
140:  Pokażę wam jak.
141:  Moi drodzy, von Karsztajnowie mają tę cudowną właściwość, że nie tylko są wampirami... Aaaa!
149:  Piękny początek!
151:  Emmanuelle Porzner ma najlepszą cechę, jaką może mieć, to znaczy wiedzę.
157:  Dlaczego?
157:  Bo wampiry są frakcją, która najlepiej polega na... czy w największym stopniu polega na... magii.
165:  Ha, ha, ha!
166:  Ha, ha, ha!
170:  Tak!
171:  Wreszcie!
172:  Wreszcie jakaś frakcja, która polega wyłącznie na magii.
178:  Dyscyplina!
180:  Dyscyplina i wiedza!
182:  Czy może być lepiej?
183:  Nie, nie może być lepiej.
184:  Witamy Paulinę na czatach.
186:  Witamy... Kogo jeszcze witamy na czatach?
188:  Córkę Zbójnika witamy na czatach.
190:  Chyba po raz pierwszy.
191:  Wielkie Nieba.
193:  Marka Krauze witamy także.
196:  MagdaM1 witamy.
198:  O, to nie będzie prawilna magia ognia, o moi kochani, to będzie coś lepszego.
203:  Tak, usłyszeliście to.
205:  Jest coś lepszego niż magia ognia.
207:  Jest to magia śmierci.
210:  Najlepsze zaklęcie w tej grze to powiew śmierci.
213:  Jak zobaczycie, co ono robi, to będziecie absolutnie i krańcowo przerażeni.
217:  I teraz tak, świeżo gdy nacieszyliście się widokiem Izabeli von Karnstein, będziecie się musieli z nią chrychło pożegnać.
225:  Zobaczycie dlaczego.
226:  Przede wszystkim, żeby ta strategia się udała, żeby ta strategia się udała, potrzebuję mistrza rekromancji.
233:  To jest mój dzień, ewidentnie.
235:  Nie tylko, nie tylko radosna, radosna liczba stuknęła.
239:  Witamy także Nukdadiego i Filipa B. Wszystkich witam serdecznie.
244:  Ale informacja szybka.
246:  Jeżeli wypadnie nam wiedza, na którym jest naszych bohaterów i go zwolnimy, to boost plus 5 do wiatrów mocy magii we wszystkich armiach aplikuje się dalej.
258:  Wampiry, tak samo jak piraci z Wybrzeża Wampirów, polegają na wskrzeszeniu, po pierwsze, zwłok, po drugie, na rekrutacji zwłok.
271:  Tak.
273:  I... nie przerażajcie się tym, co tutaj widzicie, nie przerażajcie się absolutnie.
281:  Nie, nie, nie, nie, zrobimy coś innego.
284:  Zrobimy coś chytrzego.
286:  Chytrzego, chytrzejszego, chytrzejszego raczej, tak.
289:  Tak zrobimy.
291:  Zobaczycie.
293:  Kolejna wiedza, co za farciarz, nie wstyd ci?
296:  Tak, bardzo dobrze.
299:  Teraz tak, zaraz zobaczycie, po co zrekrutowaliśmy tę postać.
302:  W tak zwanym międzyczasie cokolwiek, co nam da przychód.
307:  Świetnie, przeklęte pola.
310:  Plus 100 do przychodu i... Plus 100 do przychodu, tak.
315:  Nie, nie możemy sobie już na to pozwolić, za dużo.
318:  I to, moi drodzy, wszystko na tę turę.
321:  Agathejszym prosi o pomoc, mam do napisania referat o inflacji.
323:  W życiu referatu nie pisano na języku polskim, nie nauczyli mnie jak takowy napisać.
328:  O inflacji.
330:  Dobra, szybki kurs.
336:  Piszecie referaty.
338:  Na początku zawsze trzeba zarysować ogólną ideę.
341:  Można się posiłkować cytatem, jakimś mottem, wtedy jest łatwiej to rozpocząć.
345:  I przechodzimy później metodą koła hermeneutycznego, tak zwaną, od ogółu do szczegółu.
349:  Więc pierwszy plan ogólny, trzeba powiedzieć, czym jest inflacja, jak na przykład realizuje się w świecie i potem przechodzimy do szczegółu.
357:  Jakiś jeden przykład, drugi przykład i trzeci przykład to nam tworzy środek, taką mięso tekstu, mięso referatu i potem robimy podsumowanie.
365:  W podsumowaniu można wybić najważniejszą myśl, którą mieliśmy albo którą wyczytaliśmy i otworzyć dyskusję.
371:  To jest taka generalna, naczelna zasada, jeżeli chodzi o przygotowanie referatów.
375:  Tyle w pierwszej turze, moi drodzy.
380:  Czemu nasza frakcja nie ma hajsu, tylko jakieś fioletowe fasolki?
383:  To są fasolki wszystkich smaków Bertiego Botta, który niestety nie żyje.
389:  Zaraz wyjaśnię, mianowicie wampiry nie potrzebują czegoś tak śmiesznego jak pieniądze.
393:  Wampiry mają mroczną magię.
396:  I mroczna magia...
397:  To wszystko, co akumulują nasze wspaniałe i przeklęte miasta.
401:  Teraz tak, możecie spytać, ale Krzysztof, dlaczego to zrobiłeś tak, że wymieniłeś w tym momencie swojego bohatera na innego?
409:  Teraz mam nadzieję, że mi się to uda zrobić.
413:  Mianowicie tak, ledwo się przyzwyczaiłeś do Izabeli von Karsztajn.
417:  Jak to, Krzysztof, dlaczego zwolniłeś Izabelę von Karsztajn?
420:  Przecież ona jest taka piękna.
423:  Zaraz zobaczycie, dlaczego.
424:  Nie.
425:  Przenieśmy się tutaj.
427:  W nowej prowincji macie więcej jednostek do zrekrutowania.
432:  Bam.
434:  Tutaj bierzemy sobie zombiaki.
439:  Przenosimy się pod zamek DRAKENHOFF.
442:  Będziemy walczyć z Lordem Drakenem.
444:  Żartuję, nieprawda.
446:  Wypowiadamy bez chwili wahania wojnę naszemu bratankowi, manfriendowi von Garsztajnowi.
453:  I... Zobaczcie.
455:  Co jest pite?
456:  Pite jest, moi drodzy, kulajla.
459:  Szesnastka.
462:  Wspaniałość.
463:  Zawsze świętuję w ten sposób próg subskrypcji.
468:  Zamiast zwykłego złota jest jakieś przeklęte.
470:  Tak.
471:  Jak miło dla odmiany oglądać coś na żywo zamiast powtórek.
473:  Mówi Bartek i witamy Bartka serdecznie na czatach.
479:  Strzelam, że raszuję darmowe szkielety.
481:  Aaa, nie, nie, lepiej, lepiej.
483:  Wiecie, dlaczego wymieniliśmy na Manfreda von Karnsteina?
486:  Ponieważ mało kto wie o tym, że ma trejt napastnik oblężniczy.
489:  I tak, w tym momencie właśnie zdobyliśmy zamek Drakenhof.
497:  Okej.
500:  Dziękuję.
503:  To był najnowszy stream z cyklu W jaki sposób zdobyć w drugiej turze zamek Drakenhof.
508:  Dziękuję Wam, że się pojawiliście.
512:  Teraz tak.
513:  Zasada jest następująca, to burzymy, to możemy sobie naprawić, co tam, ale tu potrzebujemy szybkopalni zmatowiałego złota.
521:  Jakbyście zastanowili, zastanowialibyście się, co to jest za przeklęte złoto, to tak, zmatowiałe, tutejsze złoto jest zawsze zmatowiałe, haha, i zupełnie niepodobne do czystego metalu, tak uwielbianego przez krasnoludy, ma jednak swoją wartość.
536:  Czy z Manfredem da się zrobić Konfederację?
538:  Da się, jest to dość trudne, ale się to da zrobić.
540:  Zaraz zobaczycie, co będziemy kombinować.
544:  Nasz... Johan Helszlicht wygląda tak jak strupieszały święty Mikołaj.
553:  Co sądzę o występach polskich aktorów w jakichkolwiek serialach?
558:  Wiecie, jakie mam zdanie na temat polskich aktorów.
559:  Mogliby nie istnieć.
562:  Dobrze.
564:  Szkielety uzupełniamy.
565:  Świetnie.
568:  No, zostawimy.
570:  Swoją drogą.
575:  Piękna, wampiryczna muzyka.
582:  Dobrze.
583:  Czy to jest wszystko?
584:  Wallat von Karlstein warczy na nas.
586:  Tak, więc teraz plan jest następujący.
587:  Tutaj jest Manfred w tym miejscu i będziemy chcieli go utrzymać przy życiu, ale równocześnie podbić frakcję Tempelhof.
595:  To jest nasz następny krok.
597:  Kolejnym naszym krokiem jest zbudowanie mauzoleum szalonego hrabiego, dzięki któremu będziemy mogli rekrutować wampirzy bohaterów.
611:  Po szkole i nauce w końcu coś przyjemnego dzisiaj pisze Tommy Gunn.
614:  Witamy, witamy na czatach.
615:  Będą się działy rzeczy.
617:  Wracam z herbatą, z miodem, a tu coś o zakończeniu live'a.
620:  A, to tylko Krzysztof troluje.
622:  Krzysztof Bing, Krzysztof.
625:  Piękne jest to, jak Vlad von Karstein za każdym razem nam mówi, że jest Vlad von Karsteinem.
629:  Vladem von Karsteinem.
631:  Ale w ogóle to jest przepiękne, nie?
633:  Wampiry oczywiście muszą mieć straszne niemieckie nazwiska.
638:  Teraz tak.
640:  Żeby być chytrym,
642:  Wiecie, że ja lubię być chytrym.
643:  To... O tak.
645:  O tak.
649:  Aaaa!
654:  Ojoj, nietoperki nam zginęły!
657:  Tak mi przykro!
658:  Dobrze.
668:  Teraz nasze wampiry docelowo mają być najpotężniejszymi jednostkami w tej armii.
674:  Paweł pisze, Krzysztof, ostatnio dla każdego coś przegrałem, wysłałem na chacie mojej rodziny na MS, po tym dostałem informację, prawdopodobnie Messenger albo Microsoft Teams, żartuję, od mojej kuzynki maturzystki, że dobrze gadasz i masz nowego widza.
685:  Pozdrowienia dla kuzynki maturzystki Pawła Kiciora.
689:  Cieszę się strasznie.
692:  O, Pan Taczko się melduje po raz pierwszy.
694:  Witamy, witamy, witamy.
697:  Jak się czuję z tym, że najnowszy film po raz kolejny stał się Comfort Zone do zwierzeń?
700:  Bardzo się dobrze czuję, ponieważ po to one są.
703:  Nie ma przestrzeni, w której możemy rozmawiać na te tematy, więc stwarzam taką przestrzeń, a przy okazji mówię to, co myślę, więc win-win.
713:  Nie myślcie sobie, że herbatki też nie mam.
714:  Po prostu mam więcej rzeczy.
717:  Dziś mam dużo rzeczy przy sobie.
718:  Czy jest coś lepszego niż strumyk i pizza?
720:  Tak, strumyk i dwie pizze.
723:  Niemieckie nazwiska wampirów są po to, żeby łatwiej imperium zinfiltrować.
727:  Zobaczcie, to są takie szczegóły, które ja kocham na mapie Warhammera.
730:  To jest jakiś kompletnie bezsensowny, randomowy most, który wjedzie donikąd, ale jest przepiękny.
737:  Wszystkie krasnoludy zostaną przez nas zniszczone, tak na marginesie.
741:  Dobrze, i teraz tak, drugi protip.
745:  Hmm... Drugi protip nam nie wyjdzie chyba.
749:  Boję się, żeby Temple of Hope nie zniszczyło Eshen, to jest bardzo możliwe.
752:  Ale nawet jeśli, to się nie będziemy tym specjalnie przejmować, bo Manfred... A, nie lubię Manfreda.
758:  Dobra, teraz tak.
760:  Nie powstrzymujemy się jeszcze przed wydaniem 3000.
762:  To jest tyle w tej turze.
769:  O, Mikrox kupił dzisiaj Dishonored 1 z dodatkami.
771:  Ale się cieszę.
772:  To jest dobra gra.
773:  Bardzo dobra gra.
775:  Znakomita.
776:  Dobrze, świetnie!
778:  Sytuacja jest bardzo dobra.
780:  To znaczy, Vlad von Carstein w tym momencie... Aaaah!
786:  Dobra, teraz tak.
791:  Jeszcze tego nie zrobimy, zaraz zobaczcie dlaczego.
798:  Jeszcze tego nie zrobimy.
801:  Tymczasem Vlad von Carstein uda się tutaj.
807:  Okej Okej
819:  Pizza na słodko.
820:  Wróż... nie chcemy wróża.
822:  Chcemy to.
824:  I... tak.
828:  I... tak.
831:  I przy okazji tradycyjnie się przemieścimy w ten sposób.
836:  I magicznie, magicznie.
839:  Eee, nie ma problemu.
842:  I take these chances.
851:  Ryzykowna kampania, ale nie ma ryzyka, nie ma zabawy.
858:  Dobrze.
860:  Raz i... I nehek.
867:  Czemu nie ma zombie krasnoludów?
868:  Dobre pytanie.
869:  Dobre pytanie!
871:  Nie znam na nie odpowiedzi.
872:  Jak tymczasem nasza główna prowincja?
874:  Czy możemy... Tak.
876:  Myślę, że to jest ten moment, że możemy nieznacznie przyinwestować.
880:  Mhm.
881:  Tak.
884:  I dalej.
886:  Nie widziałem jeszcze nowego filmu Kurzgesagt o mięsie, niestety.
890:  U, u, u, u, u, nie, nie, nie, Manfred, nie, nie, nie.
895:  World will drown in Vlad Kinky.
897:  No.
898:  Kinky, kinky.
900:  Jak się człowiek nie zna, pisze córka zbójnika, to się gapi w ekran i myśli, że jakiś dziwny ten Wiedźmin dzisiaj.
904:  No następnym razem się nie dam nabrać.
907:  Tak, tak.
908:  Grając w Dishonored pisze Jakub, byłem skrytobójcą, czy jak wszędzie magiem ognia, który był... Wbrew pozorom byłem skrytobójcą, który był równocześnie magiem ognia.
916:  No i w ten sposób Sylwania została zniszczona, niestety.
918:  To się czasem zdarza.
920:  Ale kompletnie się tym nie przejmujemy, ponieważ dzięki temu...
923:  Zostały nadwyrężone tutaj siły.
926:  To oznacza, że możemy mieć jeszcze więcej jednostek.
929:  W Vampirami gra się cudownie.
930:  Nie trzeba w ogóle rekrutować.
932:  I wszyscy awansują nieustannie.
939:  Jak jakieś jednostki nam giną, to... Okej, nie ma problemu.
944:  Wskrzesi się nowe.
948:  Tak się właśnie dzieje.
953:  Cokolwiek, szczerze mówiąc, może być to.
958:  Nie mam z tym problemu.
960:  Dobrze.
960:  Jak będzie Strigoi, to będziemy w stanie, mam nadzieję, łatwiej opanować świat.
971:  Nic nam nie zginie wartościowego?
973:  Nic.
973:  Dobrze.
976:  I... łupimy.
979:  A Vladem zajmujemy.
983:  Tak!
985:  Wszystko na auto na razie.
986:  Zobaczcie dlaczego.
989:  Potrzebujemy magini w naszej armii.
993:  Dobrze.
994:  I inwokacja Neheka.
995:  Tak jest.
996:  Wszystko się zgadza.
998:  Ok.
1001:  Świetnie.
1002:  A przejdziemy do sąsiedniej prowincji czy nie?
1011:  Zamek Drakenhof?
1013:  Eshen.
1016:  Przejdziemy.
1017:  Świetnie!
1025:  Dobra, tutaj nie ma już niestety trupów, które można wskrzesić.
1028:  Whatever.
1030:  Chociaż z drugiej strony, na wszelki wypadek, gdyby był jakiś atak, przynieśmy się jednak tutaj.
1035:  Dobrze.
1036:  Mamy całą prowincję, to już jest świetna wiadomość.
1038:  Interesuje nas rozwój, to nas nie interesuje.
1044:  Okej.
1046:  Okej.
1048:  Możemy naprawić, nie ma problemu.
1053:  Spotkania z widzami?
1054:  Będzie na pewno Q&A niebawem.
1056:  Nowe.
1060:  Lord z wiedzą został zabity?
1062:  Tak, to prawda.
1063:  To jest smutne.
1065:  Nie zauważyłem tego.
1067:  Ale się nie przejmujemy tym.
1070:  Dzisiaj niczym się nie przejmuję.
1077:  Nie ma to jak podbijanie niemieckich miast, prawda?
1085:  Bardzo jest zdesperowany.
1087:  Świetnie.
1089:  Jeszcze dostaniemy darmowy awans.
1091:  Bardzo dobrze.
1093:  Sprawdźmy szybko, czy jesteśmy w stanie zrekrutować jakiegoś nowego bohatera, który będzie miał... Niestety.
1102:  Tak, tu zawaliłem mocno.
1104:  Ale, ale, mamy sześć tysięcy.
1106:  To oznacza, że robimy to, na czym mi zależy od początku.
1110:  Lecimy Auzoleum Szalnego Hrabiego.
1112:  Świetnie.
1115:  Zrobimy tak, Vlad się przemieści tutaj.
1119:  Okej, raz.
1122:  I Strigoj.
1125:  Okej.
1127:  Stratea?
1128:  Zaraz zobaczycie.
1129:  Nic nie mówię na razie.
1131:  Dobra.
1136:  Vlad się przemieści tutaj i troszeczkę musimy zrekrutować jeszcze jednostek przed oblężeniem.
1144:  Chociaż... Strategia jest dla słabych!
1164:  Zaraz cała Sylwania będzie nasza.
1167:  Teraz kluczowa rzecz, która nas interesuje, to Fort Oberstier.
1171:  To będzie część naszej strategii.
1173:  Główna część naszej strategii.
1174:  Dlaczego Strigoya zrekrutowałem?
1176:  Na początku on się może przydać.
1178:  Jest dość silny, ale tylko na początku.
1180:  Dzisiaj zaczynamy tańce i hulanki na dzikim zachodzie na strumyku.
1185:  Patrzcie, co będzie w niedzielę.
1187:  Powiedziałem, że będzie Red Dead Redemption po Wiedźminie.
1192:  Dziękuję Kulchenbuchen za gratulacje okrągłej liczby subów.
1194:  Właśnie dzisiaj świętujemy wampirzo.
1199:  Oświadomiam sobie, że Kiszek jest niewidoczny na tle tego streamu.
1202:  Ciekawa sprawa.
1203:  Witamy Klara Kluczykowską, która nagrała przepiękną jamniczą kolędę.
1208:  Jest na naszej holistycznej, znaczy na stronie holistycznej agencji eskapistycznej na Discordzie.
1216:  Jak się nazywa ta zakładka?
1217:  Holistyczna twórczość mianowicie.
1220:  Będzie Red Dead Mononico, będzie, będzie, będzie.
1223:  Ale będzie, będzie po... Wiedźminie.
1229:  Okej.
1230:  To jest ten etap, że w dalszym ciągu będziemy inwestować w wampiry.
1234:  Czy mamy jakieś zbroje dla nich?
1236:  Jeszcze nie mamy, jeszcze nie mamy, to nic, ale to nic.
1239:  To nic, absolutnie nic.
1241:  Potrzebujemy klątwę nieśmierci, absolutnie.
1245:  I... tyle.
1249:  Tak!
1251:  Bardzo dobrze.
1252:  I pieniążki.
