🔴 Bear with me, niedźwiedź ze mną — WARHAMMER 3 Kostaltyn #2
🔗 https://www.youtube.com/watch?v=yjpBzYQVOcw

34:  Szybko ruchnij.
152:  RUŻINA!
489:  Witam wszystkich!
492:  Warhammerzących!
493:  Witam wszystkich niewarhammerzących w stream sobotni o godzinie 18 przy świeczce, która jest sztuczna!
503:  Przygotowujemy się, moi drodzy, do live'u o fantastyce, poważna sprawa, szejk truska w głowie, Neverast, Vegari, witam serdecznie, Ania Szymańska, MrMotionless, Szymon Wróblewski, który jest naszym moderatorem, więc i wszystkich pozostałych moderatorów też witam, Kain jest JamNikołajem, niuch, i podrobo, wsparcie, Kuba Wdowiak, Joglol, Graphic Witch, GrimHawk, Wenzant, Krystian, Nemeczek, Szymon Zajdel, Fumineko, Umysłowe Getto, Sara Gawrońska, Czarci Pomiot, Siwy Dym, Grzegorz Szikora,
529:  Arkadiusz Cybulak, Daniel Mazur, Misiek Milan, Kislev, tak jest, Daniel Mazur, Forursun, Forkislev, Gnomeus, Ikain, Ikacper, Krzysztof Jakrzejk, Tarf Bigos, Kruczycień, Wyznawca Roga Tego Szczura, Jerzerlen, Waldubij, Gomeza, Simon, Kuba, Poprostum i Borowiczek.
549:  Wszyscy, którzy dobrze spędzają sobotę przy pizzy.
551:  Pamiętajcie, żeby taka była umowa.
552:  wczorajszego streamu z Hollow Knighta, że macie dzisiaj jeść pizzę.
556:  Nie, żebym sprawdzał.
557:  Łapaciu, Grzegorz, Sikora, Pan Karmazen, Astrzej, Urszula, Giewon, Kordii.
562:  Czy ta świeczka to alegoria zniczu na grobie Dragons?
565:  Do***a dwa, tak jest, moi drodzy, tak właśnie.
567:  A poza tym będzie ich więcej.
568:  Plan jest taki, żebyśmy mieli w którymś momencie taki kadr na te streamy o fantastyce, które zbliżają się, moi drodzy.
574:  I tutaj będzie dużo świeczników, dużo rzeczy.
578:  Tak, tak, rzeczy, tak.
579:  śmiece, ludziaki.
581:  Nie inaczej, moi drodzy, będzie ciekawie.
583:  Będzie klimatycznie, mam nadzieję.
585:  W każdym razie wszystko do tego zmierza.
587:  Łapaciuch, witam serdecznie.
588:  Grzegorza także.
589:  Joglol, Pademifernes, Noelid, Gawiedo.
593:  Fumineco, Lindor, Destiny, Neverast, Voidface, Adrian, Mizak, który pisze, że jedzie pierdolino i ogląda Krzysztofa Niezłe Połączenie, ale chyba nie mówisz o połączeniu Kraków-Warszawa, bo na tym połączeniu zła się Chopina.
608:  Witam Krzyśka także.
609:  Dobre imię polecam, Webziam, Majster, znajomy syndykalisty do nas, witam także Kamil F., Małgorzata Piłat, Pan Karmazyn, Jaksa Utsendari, Jerz z Erlenwaldu, Pan Pitu, Daniel Ratajczak i Grzegorz, kolejny Grzegorz.
624:  Sebulba z Norarin, nielitościwa Agnieszka Brzozowska, Natalia, która życzy wszystkim dobrego wieczoru i miłego, więc moi drodzy, wszystkiego jamniczego, także jak są tendały, niech będzie podpalony na wieki, jaków spaczem jutro turniej figurkowego Warhamca, to się klimatem nacieszyć mogę już dziś, nie inaczej, moi drodzy.
642:  Flomi, witam serdecznie.
644:  Gnomeus, Crankheid, Mikał Kędzierski i Nerdoloj, Previs i Hudy90, Metrolog Kaka, Szymon Półtorak, Longinex12.
655:  Borowiczek ubolewa, że we wtorek 10 godzin Winter City czeka.
658:  Nie poleca.
659:  Emeriu pyta, jak będzie więcej świeczek, domagam się dowodu, że masz gaśnicę.
662:  To nie są, moi drodzy... To są fajne świecze.
666:  To jest, moi drodzy, taki patent.
673:  Klekoczący, wprawdzie, więc trzeba ustawić dobrze na bateryjki, świeci się i wgna tak samo, i nie brudzi, i nie kopci.
682:  Więc dobra rzecz praktyczna jest jeszcze taka opcja ze świeczkami długimi, więc będzie można zrobić świeczniki.
688:  Rzeczy, moi drodzy, kiedy początek serii z God of War, niebawem, moi drodzy, może nawet w przyszły tydzień.
693:  Dobry wieczór z usuniętą ósemką, pisze Fisiek, u mnie usuwana ósemka będzie niebawem, to znaczy za dwa tygodnie.
699:  Vivat dla usuwanych ósemek.
704:  Wyszło zbyt, moi drodzy, epicko, jak na usuwane ósemki, zdecydowanie zbyt epicko.
709:  Mam nadzieję, że się macie dobrze, moi kochani.
712:  Już przełączam na Warhammera, bo po to tutaj jesteśmy.
715:  I od razu utyskuję nad nienazwanym bohaterem, który jest Aleksandrem Niepstelem.
720:  Troszeczkę, troszeczkę się pograło off-stream, dobrze?
723:  Troszeczkę, troszeczkę, ale nie za długo specjalnie.
727:  To znaczy chodziło o to, żebyśmy opanowali przynajmniej częściowo te prowincje, które się tutaj znajdują, bo jak pamiętacie ostatnim razem lub nie, męczyliśmy się strasznie, żeby zabezpieczyć te tereny.
737:  Mamy następujące armie.
739:  Armia nasza główna to jest armia Kostaltyna.
745:  która jest mieszaną armią, powiedzmy sobie, ale w niej jest Złota Rycerka dołączona, więc zobaczycie, jak wygląda Złota Rycerka.
753:  Ona została dołączona dosłownie w poprzedniej bitwie, więc zero problemu, nie jest jeszcze wyle, wyle, wyle, wylewelowana.
759:  I oprócz tego jest druga armia.
761:  Chosen drużyna, która jest z Chosen lekkimi saniami bojowymi, bo to jest radosny Doomstack.
768:  Czy oglądałem nowy trailer Age of Cimmer?
769:  O, dzisiaj sobie możemy to obejrzeć, bo inaczej nie obejrzę.
772:  Zaraz oszaleję z tym internetem LTE, pisze Cherry w cmentarnicach rozmokłych, przecież internet nie jest nikomu potrzebny.
776:  A skąd?
777:  Ale za ta autostradę wam to pewnie zrobią.
779:  Ciekawostka na start, całość materiału o Kislewie podczas End Times.
782:  Kislew has fallen.
785:  Daniel Ratajczak jest JamNikołajem.
787:  Dziękuję za wsparcie kanału i społeczności.
789:  Krzysiek otrzymuje wsparcie oraz Misiek Milan i Grzegorz Sikorajszek, Truskawkowy Lapaciuch i Krystian i Arti Niezłomny i Łukasz Szelewicki oraz Sara Gawrońska i Nerdolo.
801:  Wszyscy możecie używać jamników.
806:  Bardzo dziękujemy Danielowi Ratajczakowi za bycie JamNikołajem.
811:  Chosen Drużyna opuszcza to miejsce i Chosen Drużyna zmierza do Zimowego Stosu, ażeby go zniszczyć.
817:  Nie wiem, czy Chosen Drużyna nie będzie się tutaj ekspediować na Pustkowia Chaosu.
821:  Mamy bardzo niewiele pieniędzy, to jest jedyny tylko problem.
824:  I równocześnie chcemy dzisiaj zbałamucić Carycę Katarzynę.
830:  Naszym celem jest zdobycie względów Carycy.
833:  Musimy to zrobić, moi drodzy, na...
840:  w następujący sposób szukał słowa Krzysztofa, a mianowicie trzeba zebrać wystarczającą liczbę popleczników.
846:  I to powinno wystarczyć.
847:  Przynajmniej mam taką ogromną nadzieję.
849:  Uzyskiwanie poplecznicy plus 5 to zajęcie osady.
853:  Będziemy to robić.
854:  Umiejętność zimowa, obrona w zwarciu plus 5.
857:  Bierzemy to.
